https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1659700800,2022-08-05 12:00:00,SFUND/USDT,3.0689,3.0806,2.9152,3.003,13231.21532217,39826.349837633612
1659697200,2022-08-05 11:00:00,SFUND/USDT,3.0801,3.0899,3.04,3.058,6550.79172862,20045.910271847763
1659693600,2022-08-05 10:00:00,SFUND/USDT,3.0801,3.1399,3.0607,3.0726,18379.10758844,57072.622806462836
1659690000,2022-08-05 09:00:00,SFUND/USDT,3.0335,3.1215,3.022,3.0739,45578.62255674,140060.920581417711
1659686400,2022-08-05 08:00:00,SFUND/USDT,2.953,3.0294,2.953,3.021,19598.86080778,58685.541269481928
1659682800,2022-08-05 07:00:00,SFUND/USDT,2.9377,2.9499,2.9252,2.9499,7645.79276428,22439.630566935085
1659679200,2022-08-05 06:00:00,SFUND/USDT,2.9318,2.9399,2.9252,2.9299,57697.53441282,169128.245466125196
1659675600,2022-08-05 05:00:00,SFUND/USDT,2.9314,2.9365,2.9252,2.9301,1579.06843385,4627.131567217533
1659672000,2022-08-05 04:00:00,SFUND/USDT,2.9251,2.9479,2.9251,2.9347,16018.08523517,46927.288151800298
1659668400,2022-08-05 03:00:00,SFUND/USDT,2.8895,2.9499,2.8729,2.9383,16547.01710282,48013.759799202865
1659664800,2022-08-05 02:00:00,SFUND/USDT,2.8899,2.9299,2.8899,2.9,11093.81790137,32285.81710570857
1659661200,2022-08-05 01:00:00,SFUND/USDT,2.8703,2.8899,2.8573,2.8899,52111.78275014,149721.693774503744
1659657600,2022-08-05 00:00:00,SFUND/USDT,2.8714,2.898,2.8573,2.8573,76719.75124766,220412.181778827144
1659654000,2022-08-04 23:00:00,SFUND/USDT,2.8445,2.91,2.8445,2.8719,33914.04684672,97306.295793821586
1659650400,2022-08-04 22:00:00,SFUND/USDT,2.8483,2.8549,2.8281,2.8489,19392.08081354,55112.651460942666
1659646800,2022-08-04 21:00:00,SFUND/USDT,2.845,2.8699,2.8305,2.8442,21386.55640033,60898.91215446096
1659643200,2022-08-04 20:00:00,SFUND/USDT,2.8097,2.856,2.7725,2.83,4319.96512132,12154.082343245651
1659639600,2022-08-04 19:00:00,SFUND/USDT,2.7588,2.8268,2.7588,2.8096,6079.68448409,16979.914678312842
1659636000,2022-08-04 18:00:00,SFUND/USDT,2.7033,2.76,2.7021,2.7495,6923.614339,18721.9536197236
1659632400,2022-08-04 17:00:00,SFUND/USDT,2.6927,2.7107,2.6872,2.7098,29838.31325743,80406.661430703814
1659628800,2022-08-04 16:00:00,SFUND/USDT,2.7422,2.7437,2.688,2.6948,51661.68991934,140918.117177762824
1659625200,2022-08-04 15:00:00,SFUND/USDT,2.7541,2.7902,2.724,2.7444,19835.70282702,54551.379644909889
1659621600,2022-08-04 14:00:00,SFUND/USDT,2.7255,2.7507,2.7045,2.7501,40499.05258988,110481.765037067579
1659618000,2022-08-04 13:00:00,SFUND/USDT,2.6943,2.74,2.6815,2.7254,25570.13032231,69162.966567131075
1659614400,2022-08-04 12:00:00,SFUND/USDT,2.6838,2.7022,2.6672,2.6931,26115.94189363,70064.026222028285
1659610800,2022-08-04 11:00:00,SFUND/USDT,2.7127,2.746,2.659,2.6826,28061.8497349,75800.90642437966
1659607200,2022-08-04 10:00:00,SFUND/USDT,2.6912,2.7459,2.6871,2.7031,3676.21218123,9941.576354130988
1659603600,2022-08-04 09:00:00,SFUND/USDT,2.6873,2.6946,2.6489,2.6885,21222.93001773,56745.464626410828
1659600000,2022-08-04 08:00:00,SFUND/USDT,2.75,2.75,2.6898,2.6898,32654.39937076,88854.362215322963
1659596400,2022-08-04 07:00:00,SFUND/USDT,2.7708,2.7844,2.7522,2.7592,11803.84965354,32546.089184871307
1659592800,2022-08-04 06:00:00,SFUND/USDT,2.8102,2.8247,2.7684,2.771,22643.55887737,63318.73878028227
1659589200,2022-08-04 05:00:00,SFUND/USDT,2.8003,2.8297,2.7921,2.8197,29100.50785044,81762.026600389341
1659585600,2022-08-04 04:00:00,SFUND/USDT,2.7873,2.8393,2.7873,2.8003,22010.62139669,61834.530830215659
1659582000,2022-08-04 03:00:00,SFUND/USDT,2.7723,2.7878,2.7472,2.7878,24600.73426671,68093.5498330574
1659578400,2022-08-04 02:00:00,SFUND/USDT,2.78,2.7955,2.7626,2.7653,13818.95861173,38368.823383061353
1659574800,2022-08-04 01:00:00,SFUND/USDT,2.7859,2.8055,2.7707,2.7766,51272.47451924,142809.650811735565
1659571200,2022-08-04 00:00:00,SFUND/USDT,2.7065,2.807,2.7021,2.7792,20480.44990568,56303.075055755408
1659567600,2022-08-03 23:00:00,SFUND/USDT,2.768,2.7692,2.5702,2.7159,76125.52678127,206874.223408549607
