https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume ETH
1655769600000,2022-06-21 00:00:00,ETH/UAH,39682.5539,41838.7468,38200.0,39870.3252,30588067.66545713,767.18881805
1655683200000,2022-06-20 00:00:00,ETH/UAH,39746.7644,40999.9919,36968.5141,39600.9086,29579840.823822584,746.94853905
1655596800000,2022-06-19 00:00:00,ETH/UAH,35598.3245,40749.1909,33324.8945,39802.1503,30014365.474841636,754.08904415
1655510400000,2022-06-18 00:00:00,ETH/UAH,38796.7355,39195.853,31678.0,35643.7881,26411818.183554873,740.99358097
1655424000000,2022-06-17 00:00:00,ETH/UAH,37637.3944,39886.9607,37300.0005,38628.277,28310328.340817768,732.89130501
1655337600000,2022-06-16 00:00:00,ETH/UAH,43662.3443,44747.4,37324.021,37873.9383,25854289.46944907,682.64063971
1655251200000,2022-06-15 00:00:00,ETH/UAH,42543.8311,44487.0987,35598.7,44044.2707,33500983.363813154,760.62068531
1655164800000,2022-06-14 00:00:00,ETH/UAH,42486.0983,44487.0999,38505.0,43078.7358,32378077.013915244,751.60230245
1655078400000,2022-06-13 00:00:00,ETH/UAH,51132.8724,51908.9437,41700,42474.5442,31970674.237606805,752.70199692
1654992000000,2022-06-12 00:00:00,ETH/UAH,54455.3303,54874.9554,50550.0001,51392.1377,37894071.83792903,737.35153924
1654905600000,2022-06-11 00:00:00,ETH/UAH,58714.3439,59633.3598,53255.5014,54430.1333,41153621.25420088,756.08158127
1654819200000,2022-06-10 00:00:00,ETH/UAH,62868.5657,63664.9674,58445.6,58847.1539,42842311.23419342,728.02690351
1654732800000,2022-06-09 00:00:00,ETH/UAH,63087.2242,63991.3224,62572.7089,63160.7896,47061231.24751383,745.10200942
1654646400000,2022-06-08 00:00:00,ETH/UAH,63052.6874,64337.8814,62064.7968,63183.9661,47888785.38373992,757.92623255
1654560000000,2022-06-07 00:00:00,ETH/UAH,65192.9279,65227.6717,61167.8435,63530.5195,46580024.27590552,733.19130148
1654473600000,2022-06-06 00:00:00,ETH/UAH,63718.0772,66999.9999,63505.4314,65202.9409,47450225.00386324,727.73136225
1654387200000,2022-06-05 00:00:00,ETH/UAH,63885.9372,64635.0296,62668.8002,63609.1027,46982799.55135429,738.61754933
1654300800000,2022-06-04 00:00:00,ETH/UAH,63406.7737,63992.1971,62066.2115,63723.0931,46074909.63237128,723.04885703
1654214400000,2022-06-03 00:00:00,ETH/UAH,64715.8685,65131.2621,61659.1,63401.8583,48229516.60735912,760.69563102
1654128000000,2022-06-02 00:00:00,ETH/UAH,64901.083,65459.9053,63142.0447,64797.853,47622596.43879394,734.9409623
1654041600000,2022-06-01 00:00:00,ETH/UAH,67796.3606,68544.128,63689.4439,65027.916,48221067.68699944,741.54410372
1653955200000,2022-05-31 00:00:00,ETH/UAH,69360.7356,69598.0783,67551.0002,67737.7237,47226577.98193514,697.19759393
1653868800000,2022-05-30 00:00:00,ETH/UAH,64602.8434,69588.7598,64195.0632,69384.0413,52169889.00864616,751.90040867
1653782400000,2022-05-29 00:00:00,ETH/UAH,64489.2774,65509.6702,63791.8697,64663.4476,47437139.50341029,733.60053112
1653696000000,2022-05-28 00:00:00,ETH/UAH,62462.1072,65000.0,62123.3795,64602.1811,47944978.45747884,742.15727149
1653609600000,2022-05-27 00:00:00,ETH/UAH,64901.9969,65978.6998,62000.0,62473.2437,46300089.025158115,741.11869791
1653523200000,2022-05-26 00:00:00,ETH/UAH,70100.4187,70551.3916,62690.2911,64826.4787,48341282.89551227,745.70274161
1653436800000,2022-05-25 00:00:00,ETH/UAH,71226.8739,72543.4347,69350.0,69984.5502,51231418.7826583,732.03898055
