https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BMON,Volume USDT
1656374400,2022-06-28 00:00:00,BMON/USDT,0.01444,0.01477,0.01352,0.01404,7061974.91522123,100007.4269636980271
1656288000,2022-06-27 00:00:00,BMON/USDT,0.01405,0.01466,0.0136,0.01449,7720133.05068205,109721.0486044395244
1656201600,2022-06-26 00:00:00,BMON/USDT,0.014,0.01508,0.01373,0.01415,7734208.63881675,108702.1486677038788
1656115200,2022-06-25 00:00:00,BMON/USDT,0.01391,0.0143,0.01332,0.01406,3111582.70656931,42968.0067862515036
1656028800,2022-06-24 00:00:00,BMON/USDT,0.01263,0.01415,0.01262,0.01387,8810530.15468308,118968.089644387322
1655942400,2022-06-23 00:00:00,BMON/USDT,0.01167,0.01374,0.01159,0.01248,10503782.68742344,128203.0107726140224
1655856000,2022-06-22 00:00:00,BMON/USDT,0.01166,0.012,0.01141,0.0116,12148890.35716244,141313.1575322986618
1655769600,2022-06-21 00:00:00,BMON/USDT,0.01187,0.01219,0.01152,0.01166,8678374.73110276,103100.0669927444523
1655683200,2022-06-20 00:00:00,BMON/USDT,0.01188,0.01267,0.01139,0.01187,9887439.59719804,118395.8607012736052
1655596800,2022-06-19 00:00:00,BMON/USDT,0.01097,0.01199,0.01053,0.01188,13537458.28953936,151896.7957611659614
1655510400,2022-06-18 00:00:00,BMON/USDT,0.01155,0.01171,0.01013,0.01097,13771796.57708562,150811.8605966245004
1655424000,2022-06-17 00:00:00,BMON/USDT,0.01108,0.01186,0.01108,0.01159,12416259.45413906,143764.4494066018114
1655337600,2022-06-16 00:00:00,BMON/USDT,0.01254,0.0127,0.011,0.01113,11204875.537094,133289.9149238383631
1655251200,2022-06-15 00:00:00,BMON/USDT,0.01214,0.01327,0.01092,0.01254,12092292.64312063,142894.1714546839955
1655164800,2022-06-14 00:00:00,BMON/USDT,0.012,0.013,0.01124,0.01214,7004175.23560677,86382.4232134201072
1655078400,2022-06-13 00:00:00,BMON/USDT,0.0134,0.01342,0.01148,0.01189,9650709.1598125,118756.2193098047263
1654992000,2022-06-12 00:00:00,BMON/USDT,0.01414,0.0142,0.0131,0.01341,11427943.11530618,155651.5362287795351
1654905600,2022-06-11 00:00:00,BMON/USDT,0.01488,0.0157,0.0138,0.01413,8906297.50492171,132686.8538703447579
1654819200,2022-06-10 00:00:00,BMON/USDT,0.01501,0.01546,0.01448,0.01488,9507590.08712717,142413.958243996428
1654732800,2022-06-09 00:00:00,BMON/USDT,0.01571,0.0161,0.01476,0.015,6247834.70002377,96015.1077069692324
1654646400,2022-06-08 00:00:00,BMON/USDT,0.01584,0.0164,0.0154,0.0156,5431130.72483727,86113.4987186237146
1654560000,2022-06-07 00:00:00,BMON/USDT,0.01529,0.0169,0.014,0.016,9146329.63424991,139165.784045929363
1654473600,2022-06-06 00:00:00,BMON/USDT,0.0156,0.0168,0.01522,0.01535,8291043.87779696,131989.5676414139288
1654387200,2022-06-05 00:00:00,BMON/USDT,0.01524,0.017,0.01476,0.01565,10231772.81475157,157510.4284888544042
1654300800,2022-06-04 00:00:00,BMON/USDT,0.01516,0.0156,0.01491,0.0153,6573471.76559781,99590.6418351115181
1654214400,2022-06-03 00:00:00,BMON/USDT,0.01536,0.0156,0.0147,0.01518,3454371.15752967,52127.3591602797221
1654128000,2022-06-02 00:00:00,BMON/USDT,0.01502,0.0156,0.01466,0.01536,5587666.60599037,83888.0903814186787
1654041600,2022-06-01 00:00:00,BMON/USDT,0.01557,0.01642,0.01491,0.01501,5840310.04575455,89928.7151434146321
1653955200,2022-05-31 00:00:00,BMON/USDT,0.01559,0.0165,0.01552,0.01556,6428062.1945261,101104.4900812345116
1653868800,2022-05-30 00:00:00,BMON/USDT,0.01449,0.01614,0.0143,0.01556,10206713.3266175,156717.2887931211061
1653782400,2022-05-29 00:00:00,BMON/USDT,0.01491,0.01505,0.0143,0.0145,9236527.6056399,134912.1710105225566
1653696000,2022-05-28 00:00:00,BMON/USDT,0.01476,0.01508,0.01451,0.01491,10115767.09447848,150020.8410637878548
1653609600,2022-05-27 00:00:00,BMON/USDT,0.01517,0.0154,0.01435,0.01477,10634927.91934849,159265.5465958097171
1653523200,2022-05-26 00:00:00,BMON/USDT,0.01647,0.01663,0.01501,0.01517,7545772.31100886,120455.0307784955185
