https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDAO,Volume USDT
1655164800,2022-06-14 00:00:00,SDAO/USDT,0.5587,0.5665,0.5213,0.549,237125.36859047,130455.421359106233
1655078400,2022-06-13 00:00:00,SDAO/USDT,0.5561,0.5797,0.5249,0.5602,229125.84255514,126665.634870078414
1654992000,2022-06-12 00:00:00,SDAO/USDT,0.6032,0.6047,0.5561,0.5561,128788.81023837,75359.274173147376
1654905600,2022-06-11 00:00:00,SDAO/USDT,0.611,0.6251,0.601,0.6032,173629.59268137,106405.054663069448
1654819200,2022-06-10 00:00:00,SDAO/USDT,0.6352,0.6499,0.6038,0.611,285670.36769267,179284.927432871377
1654732800,2022-06-09 00:00:00,SDAO/USDT,0.691,0.699,0.6276,0.6382,210912.78400043,144370.640347403574
1654646400,2022-06-08 00:00:00,SDAO/USDT,0.7285,0.7732,0.69,0.6901,238863.26359389,174814.303683944873
1654560000,2022-06-07 00:00:00,SDAO/USDT,0.7353,0.7498,0.7072,0.7305,346647.76963915,250453.411500299451
1654473600,2022-06-06 00:00:00,SDAO/USDT,0.7184,0.7599,0.7184,0.735,191039.03711848,142575.252355072112
1654387200,2022-06-05 00:00:00,SDAO/USDT,0.7084,0.7249,0.6901,0.7214,234919.70377136,165894.14523279551
1654300800,2022-06-04 00:00:00,SDAO/USDT,0.7052,0.7134,0.6992,0.71,130876.47165334,92574.495980714572
1654214400,2022-06-03 00:00:00,SDAO/USDT,0.7143,0.722,0.6926,0.7106,208191.35623336,148275.687613800251
1654128000,2022-06-02 00:00:00,SDAO/USDT,0.6783,0.7476,0.6713,0.713,338470.4784316,233550.078759657541
1654041600,2022-06-01 00:00:00,SDAO/USDT,0.808,0.809,0.674,0.6778,277528.39468352,209290.528623708263
1653955200,2022-05-31 00:00:00,SDAO/USDT,0.821,0.8255,0.7962,0.808,283361.15133556,229185.244287784594
1653868800,2022-05-30 00:00:00,SDAO/USDT,0.7677,0.83,0.7659,0.821,356838.7409894,286838.614885936717
1653782400,2022-05-29 00:00:00,SDAO/USDT,0.762,0.7713,0.7614,0.7678,79036.25732191,60642.699795195465
1653696000,2022-05-28 00:00:00,SDAO/USDT,0.7551,0.7637,0.7501,0.762,92401.10487244,69939.156978206178
1653609600,2022-05-27 00:00:00,SDAO/USDT,0.7663,0.775,0.7504,0.7536,173515.4099266,131952.351853154645
1653523200,2022-05-26 00:00:00,SDAO/USDT,0.7938,0.8,0.7602,0.7679,187827.32970287,145717.035342769698
1653436800,2022-05-25 00:00:00,SDAO/USDT,0.807,0.812,0.7926,0.7959,116152.99742586,93037.021817643834
1653350400,2022-05-24 00:00:00,SDAO/USDT,0.785,0.8158,0.7795,0.805,245803.09391536,195738.078431682111
1653264000,2022-05-23 00:00:00,SDAO/USDT,0.821,0.925,0.7206,0.7893,619889.09713854,512287.513588427976
1653177600,2022-05-22 00:00:00,SDAO/USDT,0.8118,0.824,0.811,0.8215,134527.31094637,110039.824979794946
1653091200,2022-05-21 00:00:00,SDAO/USDT,0.812,0.8259,0.7994,0.812,262187.27194975,212544.024462145793
1653004800,2022-05-20 00:00:00,SDAO/USDT,0.8205,0.8371,0.7997,0.811,116205.04960657,94838.714923823356
1652918400,2022-05-19 00:00:00,SDAO/USDT,0.8173,0.826,0.7851,0.822,144723.97492142,116930.612557915775
1652832000,2022-05-18 00:00:00,SDAO/USDT,0.8429,0.8442,0.805,0.816,162039.30160367,133297.268512422262
1652745600,2022-05-17 00:00:00,SDAO/USDT,0.823,0.8627,0.8172,0.8428,140361.40514121,118049.081759572768
1652659200,2022-05-16 00:00:00,SDAO/USDT,0.8151,0.8765,0.8025,0.8215,249439.18245084,210607.075478051871
1652572800,2022-05-15 00:00:00,SDAO/USDT,0.7569,0.8199,0.7508,0.8154,131053.81918389,101792.144982726641
1652486400,2022-05-14 00:00:00,SDAO/USDT,0.7752,0.782,0.74,0.7558,133054.93688865,101429.812669049006
1652400000,2022-05-13 00:00:00,SDAO/USDT,0.6936,0.8038,0.686,0.776,224292.03592801,169618.435322611923
1652313600,2022-05-12 00:00:00,SDAO/USDT,0.7349,0.7391,0.6007,0.6964,351298.67694812,238986.729199770697
1652227200,2022-05-11 00:00:00,SDAO/USDT,0.7921,0.8028,0.7192,0.7321,294691.37062781,221243.249543514693
1652140800,2022-05-10 00:00:00,SDAO/USDT,0.773,0.8196,0.7681,0.7921,195033.07749462,154320.721081573169
1652054400,2022-05-09 00:00:00,SDAO/USDT,0.8431,0.8468,0.7696,0.771,220169.17090221,177628.857433362018
1651968000,2022-05-08 00:00:00,SDAO/USDT,0.8563,0.8625,0.8295,0.8433,97792.62069986,82715.754299942977
1651881600,2022-05-07 00:00:00,SDAO/USDT,0.8763,0.8764,0.8555,0.86,33989.35436466,29544.575368355526
1651795200,2022-05-06 00:00:00,SDAO/USDT,0.894,0.895,0.87,0.8764,318760.20030092,281747.213391427174
1651708800,2022-05-05 00:00:00,SDAO/USDT,1.0257,1.027,0.85,0.895,585401.57866597,546752.573093931062
1651622400,2022-05-04 00:00:00,SDAO/USDT,0.9106,1.028,0.8816,1.0245,578102.50952885,531239.233487512047
1651536000,2022-05-03 00:00:00,SDAO/USDT,0.9175,0.9292,0.9,0.911,241111.29270694,220853.82283270309
1651449600,2022-05-02 00:00:00,SDAO/USDT,0.931,0.9314,0.9169,0.9171,119045.74216,109998.416386325198
1651363200,2022-05-01 00:00:00,SDAO/USDT,0.9251,0.9535,0.915,0.9314,225810.06048044,209901.812375935391
1651276800,2022-04-30 00:00:00,SDAO/USDT,1.039,1.0477,0.9162,0.9251,336241.55497901,332187.212040929856
1651190400,2022-04-29 00:00:00,SDAO/USDT,1.084,1.088,1.0057,1.04,342464.8355275,359862.868175149664
1651104000,2022-04-28 00:00:00,SDAO/USDT,1.15,1.212,1.0757,1.0824,433179.06095762,490086.16646226933
1651017600,2022-04-27 00:00:00,SDAO/USDT,1.067,1.1538,1.0449,1.1492,460374.04025396,494742.829421448151
1650931200,2022-04-26 00:00:00,SDAO/USDT,1.173,1.19,1.0651,1.067,637785.60255041,714435.698276299643
1650844800,2022-04-25 00:00:00,SDAO/USDT,1.2959,1.299,1.153,1.173,557798.50420073,685213.399068204813
1650758400,2022-04-24 00:00:00,SDAO/USDT,1.474,1.477,1.293,1.2961,399533.18153911,553726.658264940753
1650672000,2022-04-23 00:00:00,SDAO/USDT,1.578,1.5871,1.4372,1.474,433867.67647941,647035.507581211198
1650585600,2022-04-22 00:00:00,SDAO/USDT,1.591,1.6241,1.56,1.58,230128.96644982,366346.92942030989
1650499200,2022-04-21 00:00:00,SDAO/USDT,1.6365,1.6917,1.5778,1.5919,233777.57531593,384877.905488076232
1650412800,2022-04-20 00:00:00,SDAO/USDT,1.66,1.734,1.619,1.6382,359249.71125707,600420.617736632169
1650326400,2022-04-19 00:00:00,SDAO/USDT,1.6168,1.7314,1.6144,1.6609,443108.21302701,742668.356524871685
1650240000,2022-04-18 00:00:00,SDAO/USDT,1.584,1.667,1.5207,1.618,323536.92017546,514667.474660414909
1650153600,2022-04-17 00:00:00,SDAO/USDT,1.681,1.6857,1.5761,1.5832,274045.59564099,452421.988084688304
