https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOKA,Volume USDT
1654473600,2022-06-06 00:00:00,LOKA/USDT,1.0227,1.077,0.9842,1.0077,89795.71076676,92843.7729501399
1654387200,2022-06-05 00:00:00,LOKA/USDT,1.0567,1.0614,1.0036,1.0161,66481.3770667,68067.309689795372
1654300800,2022-06-04 00:00:00,LOKA/USDT,1.0346,1.069,1.0164,1.0544,89398.36342167,93530.164072612409
1654214400,2022-06-03 00:00:00,LOKA/USDT,1.1217,1.1366,1.0045,1.0352,105400.58055062,111124.384424183739
1654128000,2022-06-02 00:00:00,LOKA/USDT,1.1093,1.1378,1.0821,1.1221,120335.49431201,133530.16271202641
1654041600,2022-06-01 00:00:00,LOKA/USDT,1.3111,1.3276,1.0822,1.1112,189116.64814059,225534.537327462964
1653955200,2022-05-31 00:00:00,LOKA/USDT,1.3498,1.4228,1.2943,1.3073,152043.25505972,205504.165509612186
1653868800,2022-05-30 00:00:00,LOKA/USDT,1.3019,1.3699,1.2534,1.3516,242122.90642775,316992.491053064515
1653782400,2022-05-29 00:00:00,LOKA/USDT,1.2601,1.3167,1.168,1.2996,184906.98249309,232891.548779185904
1653696000,2022-05-28 00:00:00,LOKA/USDT,1.1652,1.2704,1.1437,1.2607,111774.34025333,135401.859417143345
1653609600,2022-05-27 00:00:00,LOKA/USDT,1.3284,1.336,1.1009,1.1644,221438.12687268,266557.593158333841
1653523200,2022-05-26 00:00:00,LOKA/USDT,1.2301,1.5435,1.2234,1.3202,604486.82509117,826765.837617650222
1653436800,2022-05-25 00:00:00,LOKA/USDT,1.2604,1.2952,1.1852,1.2286,196488.7923711,243877.511711776118
1653350400,2022-05-24 00:00:00,LOKA/USDT,1.2127,1.3912,1.1446,1.26,251796.11088105,319908.706038270649
1653264000,2022-05-23 00:00:00,LOKA/USDT,1.2407,1.3451,1.2008,1.212,160748.86095701,203313.81610811451
1653177600,2022-05-22 00:00:00,LOKA/USDT,1.2099,1.3317,1.1718,1.2407,171360.5741174,215184.054109485803
1653091200,2022-05-21 00:00:00,LOKA/USDT,1.2937,1.364,1.1382,1.2124,340853.32985479,419305.25906631858
1653004800,2022-05-20 00:00:00,LOKA/USDT,1.0576,1.4575,1.0478,1.2898,609335.35119491,771242.759500122856
