https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNCG,Volume BTC
1655856000,2022-06-22 00:00:00,WNCG/BTC,0.00000559,0.000006297,0.000005117,0.000005153,17711.38114852,0.0992648670467784
1655769600,2022-06-21 00:00:00,WNCG/BTC,0.00000532,0.000006299,0.00000518,0.00000555,21970.9661,0.1236855825852
1655683200,2022-06-20 00:00:00,WNCG/BTC,0.0000052,0.00000561,0.000004502,0.000005285,43143.3885,0.2195000274099
1655596800,2022-06-19 00:00:00,WNCG/BTC,0.00000561,0.000005954,0.00000513,0.00000519,4553.68336196,0.025625737159481
1655510400,2022-06-18 00:00:00,WNCG/BTC,0.000005113,0.000005954,0.00000504,0.00000561,26248.81784769,0.14447247671849088
1655424000,2022-06-17 00:00:00,WNCG/BTC,0.00000491,0.00000528,0.00000491,0.00000513,5313.6197,0.027046248261
1655337600,2022-06-16 00:00:00,WNCG/BTC,0.000005042,0.000005042,0.00000465,0.00000486,7960.87397283,0.0384116044362538
1655251200,2022-06-15 00:00:00,WNCG/BTC,0.00000445,0.000013999,0.000004271,0.000004806,109854.99220109,0.5725994012683879
1655164800,2022-06-14 00:00:00,WNCG/BTC,0.00000421,0.00000449,0.00000421,0.00000447,25031.68464609,0.1083961691539362
1655078400,2022-06-13 00:00:00,WNCG/BTC,0.00000434,0.0000044,0.00000393,0.00000416,39195.49981386,0.1643655870309702
1654992000,2022-06-12 00:00:00,WNCG/BTC,0.00000498,0.00000499,0.00000433,0.00000433,7480.49226073,0.0357415755539974
1654905600,2022-06-11 00:00:00,WNCG/BTC,0.00000552,0.0000056,0.00000497,0.00000497,9210.6932,0.049458091604
1654819200,2022-06-10 00:00:00,WNCG/BTC,0.00000569,0.00000569,0.00000543,0.00000548,14401.35477296,0.0800851356819536
1654732800,2022-06-09 00:00:00,WNCG/BTC,0.00000577,0.00000589,0.00000567,0.00000571,15547.1371,0.090194402133
1654646400,2022-06-08 00:00:00,WNCG/BTC,0.0000056,0.00000595,0.00000558,0.00000578,9877.87480678,0.056708161339968
1654560000,2022-06-07 00:00:00,WNCG/BTC,0.00000609,0.00000614,0.00000551,0.00000559,49502.83858994,0.2771832554269304
1654473600,2022-06-06 00:00:00,WNCG/BTC,0.00000583,0.00000611,0.00000567,0.00000608,20050.9974,0.116992109856
1654387200,2022-06-05 00:00:00,WNCG/BTC,0.00000594,0.00000601,0.00000578,0.0000058,2802.0229,0.016427688376
1654300800,2022-06-04 00:00:00,WNCG/BTC,0.00000599,0.00000606,0.00000586,0.00000597,10514.5149,0.062645254263
1654214400,2022-06-03 00:00:00,WNCG/BTC,0.00000607,0.00000629,0.0000058,0.00000599,9092.95699552,0.054959539432
1654128000,2022-06-02 00:00:00,WNCG/BTC,0.00000612,0.00000628,0.00000599,0.00000604,11225.24072753,0.0691142916919613
1654041600,2022-06-01 00:00:00,WNCG/BTC,0.0000059,0.00000618,0.00000576,0.00000617,10846.2932,0.064760946211
1653955200,2022-05-31 00:00:00,WNCG/BTC,0.00000593,0.00000741,0.00000586,0.00000597,41968.44901528,0.2534192320988482
1653868800,2022-05-30 00:00:00,WNCG/BTC,0.00000591,0.00000618,0.00000583,0.00000593,42589.2774167,0.2546148878889236
1653782400,2022-05-29 00:00:00,WNCG/BTC,0.00000607,0.00000621,0.00000578,0.00000593,13378.20798764,0.0807114278919748
1653696000,2022-05-28 00:00:00,WNCG/BTC,0.00000597,0.0000061,0.0000059,0.00000605,13336.1498,0.080218830385
1653609600,2022-05-27 00:00:00,WNCG/BTC,0.00000545,0.0000063,0.00000531,0.00000592,59050.2591,0.350134566349
1653523200,2022-05-26 00:00:00,WNCG/BTC,0.0000066,0.0000066,0.00000536,0.00000536,64018.08593558,0.3759467493269596
1653436800,2022-05-25 00:00:00,WNCG/BTC,0.00000613,0.00000726,0.00000593,0.00000654,68776.8471,0.452183138997
1653350400,2022-05-24 00:00:00,WNCG/BTC,0.00000665,0.00000668,0.00000598,0.00000619,77340.69330226,0.4913834524129894
1653264000,2022-05-23 00:00:00,WNCG/BTC,0.00000793,0.00000829,0.00000661,0.00000661,36407.76174167,0.2661451194179425
1653177600,2022-05-22 00:00:00,WNCG/BTC,0.00000835,0.00000876,0.00000788,0.00000799,17665.9103,0.143310413836
1653091200,2022-05-21 00:00:00,WNCG/BTC,0.00000833,0.00000916,0.00000811,0.00000859,26231.1095154,0.225579736081974
1653004800,2022-05-20 00:00:00,WNCG/BTC,0.00000833,0.00000867,0.0000082,0.0000083,6909.37413992,0.0573991181988015
1652918400,2022-05-19 00:00:00,WNCG/BTC,0.00000826,0.00000866,0.00000812,0.00000838,13684.73269674,0.1155219768775288
1652832000,2022-05-18 00:00:00,WNCG/BTC,0.00000844,0.00000853,0.00000808,0.00000827,6336.0423,0.052533668793
1652745600,2022-05-17 00:00:00,WNCG/BTC,0.00000799,0.00000849,0.00000799,0.00000839,7195.63108461,0.0598996887519559
1652659200,2022-05-16 00:00:00,WNCG/BTC,0.0000082,0.00000868,0.00000799,0.00000802,15927.1504,0.132860362024
1652572800,2022-05-15 00:00:00,WNCG/BTC,0.00000749,0.00000851,0.0000072,0.00000832,25049.6181,0.194063166832
1652486400,2022-05-14 00:00:00,WNCG/BTC,0.00000695,0.00000775,0.00000695,0.00000755,37819.0269,0.282168995855
1652400000,2022-05-13 00:00:00,WNCG/BTC,0.00000595,0.00000736,0.00000595,0.00000697,64004.17373601,0.4323512608019897
1652313600,2022-05-12 00:00:00,WNCG/BTC,0.00000682,0.00000779,0.00000578,0.00000593,286350.82269004,1.8662586056268285
1652227200,2022-05-11 00:00:00,WNCG/BTC,0.00000919,0.00000929,0.00000559,0.00000685,79418.29462659,0.6169998664869913
1652140800,2022-05-10 00:00:00,WNCG/BTC,0.00001045,0.00001088,0.00000901,0.00000917,50918.86593664,0.5013911348429436
1652054400,2022-05-09 00:00:00,WNCG/BTC,0.00001348,0.00001359,0.00001047,0.00001053,54302.43371078,0.6465904719514915
1651968000,2022-05-08 00:00:00,WNCG/BTC,0.00001301,0.00001371,0.00001284,0.00001339,10423.4279,0.137580411282
1651881600,2022-05-07 00:00:00,WNCG/BTC,0.00001358,0.00001363,0.00001292,0.00001295,5824.0384,0.077895574047
1651795200,2022-05-06 00:00:00,WNCG/BTC,0.00001403,0.0000146,0.00001329,0.00001352,24766.1064,0.338453133738
1651708800,2022-05-05 00:00:00,WNCG/BTC,0.00001477,0.00001488,0.00001354,0.00001408,8822.05832917,0.1241317920198804
1651622400,2022-05-04 00:00:00,WNCG/BTC,0.00001491,0.00001513,0.00001433,0.00001481,7635.395,0.11275857154
1651536000,2022-05-03 00:00:00,WNCG/BTC,0.00001383,0.00001813,0.00001347,0.000015,25329.75807127,0.3700580377248926
1651449600,2022-05-02 00:00:00,WNCG/BTC,0.00001367,0.00001405,0.00001347,0.00001371,7671.56645685,0.105382411551982
1651363200,2022-05-01 00:00:00,WNCG/BTC,0.00001309,0.00001398,0.0000129,0.00001381,11820.0245,0.160286375974
1651276800,2022-04-30 00:00:00,WNCG/BTC,0.00001323,0.0000142,0.00001294,0.00001302,17961.6668,0.24144239082
1651190400,2022-04-29 00:00:00,WNCG/BTC,0.00001376,0.00001386,0.00001317,0.00001321,4605.4252,0.062447469477
1651104000,2022-04-28 00:00:00,WNCG/BTC,0.00001361,0.00001444,0.00001361,0.0000137,16611.1884,0.230485024013
1651017600,2022-04-27 00:00:00,WNCG/BTC,0.00001385,0.00001445,0.0000132,0.00001363,7203.82821775,0.0999319396209675
1650931200,2022-04-26 00:00:00,WNCG/BTC,0.00001489,0.00001512,0.00001374,0.00001376,14037.91967876,0.204657371899834
