https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSD,Volume BTC
1645920000,2022-02-27 00:00:00,SUSD/BTC,0.00002541,0.00002746,0.00002496,0.00002658,128.9335,0.003311933917
1645833600,2022-02-26 00:00:00,SUSD/BTC,0.00002511,0.00002618,0.00002491,0.00002546,257.9532,0.006508173559
1645747200,2022-02-25 00:00:00,SUSD/BTC,0.00002665,0.00002665,0.00002456,0.00002533,29.97,0.000774215194
1645660800,2022-02-24 00:00:00,SUSD/BTC,0.00002626,0.0000295,0.00002458,0.00002619,2449.6339,0.066401243681
1645574400,2022-02-23 00:00:00,SUSD/BTC,0.00002605,0.00002741,0.00002535,0.00002668,1367.2103,0.03660065873
1645488000,2022-02-22 00:00:00,SUSD/BTC,0.00002686,0.00002766,0.00002597,0.00002659,4169.2096,0.110025825945
1645401600,2022-02-21 00:00:00,SUSD/BTC,0.0000261,0.00002779,0.00002523,0.0000268,1695.25263997,0.0452475054068143
1645315200,2022-02-20 00:00:00,SUSD/BTC,0.00002475,0.00002681,0.00002475,0.00002573,874.4134,0.022524716198
1645228800,2022-02-19 00:00:00,SUSD/BTC,0.00002518,0.00002542,0.00002456,0.00002478,51.6013,0.001303967309
1645142400,2022-02-18 00:00:00,SUSD/BTC,0.00002533,0.00002551,0.00002293,0.0000253,17.0846,0.00042255275
1645056000,2022-02-17 00:00:00,SUSD/BTC,0.00002263,0.00002522,0.00002253,0.00002517,406.6526,0.009801151456
1644969600,2022-02-16 00:00:00,SUSD/BTC,0.00002242,0.00002355,0.00002238,0.00002273,202.39534897,0.0046606265648471
1644883200,2022-02-15 00:00:00,SUSD/BTC,0.00002336,0.00002357,0.00002211,0.00002234,383.439,0.008642426361
1644796800,2022-02-14 00:00:00,SUSD/BTC,0.00002351,0.00002402,0.00002273,0.0000237,12.8291,0.000301951621
1644710400,2022-02-13 00:00:00,SUSD/BTC,0.00002389,0.00002389,0.00002223,0.00002374,32.4328,0.000760647205
1644624000,2022-02-12 00:00:00,SUSD/BTC,0.0000239,0.0000239,0.00002318,0.00002371,18.2505,0.000430235651
1644537600,2022-02-11 00:00:00,SUSD/BTC,0.00002291,0.00002366,0.00002268,0.00002362,2470.3692,0.05748949568
1644451200,2022-02-10 00:00:00,SUSD/BTC,0.00002251,0.00002305,0.00002173,0.00002268,9193.7328,0.206279949094
1644364800,2022-02-09 00:00:00,SUSD/BTC,0.00002307,0.00002347,0.0000159,0.00002245,13982.0492754,0.27319767857687
1644278400,2022-02-08 00:00:00,SUSD/BTC,0.00002281,0.00002372,0.00002126,0.00002246,1433.0814,0.032569852191
1644192000,2022-02-07 00:00:00,SUSD/BTC,0.00002397,0.00002397,0.00002155,0.0000228,890.5349,0.01988380308
1644105600,2022-02-06 00:00:00,SUSD/BTC,0.00002393,0.00002481,0.000023,0.00002392,250.2089,0.005917577657
1644019200,2022-02-05 00:00:00,SUSD/BTC,0.00002477,0.00002477,0.00002381,0.00002383,16.4116,0.000398446904
1643932800,2022-02-04 00:00:00,SUSD/BTC,0.00002672,0.00002711,0.00002386,0.00002386,198.1001,0.005042616624
1643846400,2022-02-03 00:00:00,SUSD/BTC,0.00002705,0.00002792,0.00002681,0.00002706,33.593,0.00091370631
1643760000,2022-02-02 00:00:00,SUSD/BTC,0.00002582,0.00002714,0.00002481,0.00002691,297.7261,0.007794629044
1643673600,2022-02-01 00:00:00,SUSD/BTC,0.00002619,0.00002666,0.00002524,0.00002638,4690.93684211,0.1208084976288513
1643587200,2022-01-31 00:00:00,SUSD/BTC,0.00002629,0.00002775,0.00002579,0.00002616,2993.3524,0.077647925921
1643500800,2022-01-30 00:00:00,SUSD/BTC,0.00002617,0.00002706,0.00002579,0.00002682,63.2439,0.001666837341
1643414400,2022-01-29 00:00:00,SUSD/BTC,0.00002639,0.00002733,0.00002588,0.00002599,205.6172,0.005367256325
1643328000,2022-01-28 00:00:00,SUSD/BTC,0.00002689,0.00002835,0.00002605,0.00002712,1105.51369643,0.0305925229937905
1643241600,2022-01-27 00:00:00,SUSD/BTC,0.00002747,0.00002799,0.00002638,0.00002745,639.577,0.017851638112
1643155200,2022-01-26 00:00:00,SUSD/BTC,0.00002703,0.0000278,0.00002546,0.00002764,2303.0698,0.06147028474
