https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1654358400,2022-06-04 16:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654354800,2022-06-04 15:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654351200,2022-06-04 14:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654347600,2022-06-04 13:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654344000,2022-06-04 12:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654340400,2022-06-04 11:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654336800,2022-06-04 10:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654333200,2022-06-04 09:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654329600,2022-06-04 08:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654326000,2022-06-04 07:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654322400,2022-06-04 06:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654318800,2022-06-04 05:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,35.00000000,0.1355158
1654315200,2022-06-04 04:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,0.00000000,0.0
1654311600,2022-06-04 03:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,0.00000000,0.0
1654308000,2022-06-04 02:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,0.00000000,0.0
1654304400,2022-06-04 01:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,0.00000000,0.0
1654300800,2022-06-04 00:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,0.00000000,0.0
1654297200,2022-06-03 23:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,0.00000000,0.0
1654293600,2022-06-03 22:00:00,LINK/ETH,0.00386374,0.00386374,0.00386374,0.00386374,14.16409230,0.054726369983202
1654290000,2022-06-03 21:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654286400,2022-06-03 20:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654282800,2022-06-03 19:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654279200,2022-06-03 18:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654275600,2022-06-03 17:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654272000,2022-06-03 16:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654268400,2022-06-03 15:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654264800,2022-06-03 14:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654261200,2022-06-03 13:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654257600,2022-06-03 12:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654254000,2022-06-03 11:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,0.00000000,0.0
1654250400,2022-06-03 10:00:00,LINK/ETH,0.00383430,0.00383430,0.00383430,0.00383430,3.69007800,0.014148866075400002
1654246800,2022-06-03 09:00:00,LINK/ETH,0.00385998,0.00385998,0.00385998,0.00385998,25.77259500,0.09948170124809999
1654243200,2022-06-03 08:00:00,LINK/ETH,0.00386495,0.00386495,0.00386495,0.00386495,0.00000000,0.0
1654239600,2022-06-03 07:00:00,LINK/ETH,0.00386495,0.00386495,0.00386495,0.00386495,0.00000000,0.0
1654236000,2022-06-03 06:00:00,LINK/ETH,0.00386495,0.00386495,0.00386495,0.00386495,0.00000000,0.0
1654232400,2022-06-03 05:00:00,LINK/ETH,0.00386495,0.00386495,0.00386495,0.00386495,20.03695100,0.07744181376744999
1654228800,2022-06-03 04:00:00,LINK/ETH,0.00390488,0.00390488,0.00390488,0.00390488,0.00000000,0.0
1654225200,2022-06-03 03:00:00,LINK/ETH,0.00390488,0.00390488,0.00390488,0.00390488,0.00000000,0.0
1654221600,2022-06-03 02:00:00,LINK/ETH,0.00390488,0.00390488,0.00390488,0.00390488,0.00000000,0.0
1654218000,2022-06-03 01:00:00,LINK/ETH,0.00390488,0.00390488,0.00390488,0.00390488,7.20000000,0.028115136
1654214400,2022-06-03 00:00:00,LINK/ETH,0.00392426,0.00392426,0.00391410,0.00391410,129.09076200,0.5052741515442001
1654210800,2022-06-02 23:00:00,LINK/ETH,0.00388108,0.00388108,0.00388108,0.00388108,0.00000000,0.0
1654207200,2022-06-02 22:00:00,LINK/ETH,0.00388108,0.00388108,0.00388108,0.00388108,0.00000000,0.0
1654203600,2022-06-02 21:00:00,LINK/ETH,0.00387975,0.00388108,0.00387975,0.00388108,76.92560648,0.2985544327973984
1654200000,2022-06-02 20:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654196400,2022-06-02 19:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654192800,2022-06-02 18:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654189200,2022-06-02 17:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654185600,2022-06-02 16:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654182000,2022-06-02 15:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654178400,2022-06-02 14:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654174800,2022-06-02 13:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.00000000,0.0
1654171200,2022-06-02 12:00:00,LINK/ETH,0.00383433,0.00383433,0.00383433,0.00383433,0.61712700,0.0023662685699099998
1654167600,2022-06-02 11:00:00,LINK/ETH,0.00381238,0.00381238,0.00381238,0.00381238,0.00000000,0.0
1654164000,2022-06-02 10:00:00,LINK/ETH,0.00381238,0.00381238,0.00381238,0.00381238,0.00000000,0.0
1654160400,2022-06-02 09:00:00,LINK/ETH,0.00381238,0.00381238,0.00381238,0.00381238,0.00000000,0.0
1654156800,2022-06-02 08:00:00,LINK/ETH,0.00381238,0.00381238,0.00381238,0.00381238,26.09983527,0.0995024899866426
