https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BICO,Volume USDT
1659312000,2022-08-01 00:00:00,BICO/USDT,0.6254,0.7,0.6051,0.6186,386688.85107881,248764.882397464161
1659225600,2022-07-31 00:00:00,BICO/USDT,0.5924,0.6857,0.587,0.6268,523705.56297933,329881.621697940378
1659139200,2022-07-30 00:00:00,BICO/USDT,0.619,0.6808,0.5795,0.5914,347216.72810662,222462.886588171975
1659052800,2022-07-29 00:00:00,BICO/USDT,0.5762,0.6635,0.569,0.6182,451798.70900089,276187.644831423509
1658966400,2022-07-28 00:00:00,BICO/USDT,0.578,0.5981,0.5477,0.5753,218908.49698885,125400.044116977372
1658880000,2022-07-27 00:00:00,BICO/USDT,0.5351,0.5779,0.5105,0.5761,94463.5716185,51017.221062242721
1658793600,2022-07-26 00:00:00,BICO/USDT,0.5271,0.5363,0.506,0.5363,150497.69798715,78560.397751335695
1658707200,2022-07-25 00:00:00,BICO/USDT,0.5809,0.589,0.5261,0.5272,309376.16980156,171392.342552790836
1658620800,2022-07-24 00:00:00,BICO/USDT,0.6269,0.6302,0.5756,0.5809,285675.52704588,170272.207128328929
1658534400,2022-07-23 00:00:00,BICO/USDT,0.5841,0.7127,0.57,0.6241,1088953.16100521,700660.212787239936
1658448000,2022-07-22 00:00:00,BICO/USDT,0.5309,0.62,0.527,0.5825,439907.74787758,256627.16129090424
1658361600,2022-07-21 00:00:00,BICO/USDT,0.5261,0.5383,0.5041,0.5299,278464.02220181,144983.143435091144
1658275200,2022-07-20 00:00:00,BICO/USDT,0.5687,0.62,0.5173,0.5232,428720.5624489,241285.761238427187
1658188800,2022-07-19 00:00:00,BICO/USDT,0.5529,0.59,0.5333,0.571,295116.39772128,165780.022993180287
1658102400,2022-07-18 00:00:00,BICO/USDT,0.5084,0.5725,0.5084,0.5529,324770.07383154,177363.904977658655
1658016000,2022-07-17 00:00:00,BICO/USDT,0.5198,0.559,0.5061,0.5069,103363.58299163,54703.950928048178
1657929600,2022-07-16 00:00:00,BICO/USDT,0.4946,0.531,0.477,0.5183,158381.76606581,79415.447748890564
1657843200,2022-07-15 00:00:00,BICO/USDT,0.5069,0.5078,0.4855,0.4954,59002.22721566,29447.405046687951
1657756800,2022-07-14 00:00:00,BICO/USDT,0.4961,0.5312,0.4727,0.5075,105045.90034855,52585.986192069866
1657670400,2022-07-13 00:00:00,BICO/USDT,0.4633,0.4989,0.4565,0.4944,75389.29553495,36176.931546497178
1657584000,2022-07-12 00:00:00,BICO/USDT,0.4687,0.4816,0.4636,0.4648,18683.22415646,8804.402857948437
1657497600,2022-07-11 00:00:00,BICO/USDT,0.492,0.505,0.4643,0.4687,61870.74203516,30093.806565163314
1657411200,2022-07-10 00:00:00,BICO/USDT,0.5203,0.5203,0.4914,0.4932,129311.67178212,65047.215210430089
1657324800,2022-07-09 00:00:00,BICO/USDT,0.5202,0.549,0.5118,0.5192,32089.4920902,16900.908535312772
1657238400,2022-07-08 00:00:00,BICO/USDT,0.5162,0.53,0.4872,0.5171,192187.40547241,96411.392818979908
1657152000,2022-07-07 00:00:00,BICO/USDT,0.508,0.5315,0.496,0.5178,102608.42838666,52360.858214936738
1657065600,2022-07-06 00:00:00,BICO/USDT,0.4886,0.522,0.4806,0.5058,88061.52667798,44208.026403943634
1656979200,2022-07-05 00:00:00,BICO/USDT,0.5072,0.516,0.4785,0.4874,234743.11659339,115235.971321239423
1656892800,2022-07-04 00:00:00,BICO/USDT,0.4768,0.5069,0.4662,0.5069,279388.20789989,136326.4981983007
1656806400,2022-07-03 00:00:00,BICO/USDT,0.4909,0.4927,0.467,0.477,132448.00117627,63325.261009746719
1656720000,2022-07-02 00:00:00,BICO/USDT,0.492,0.5088,0.4704,0.4921,167808.41282972,81248.328929585771
1656633600,2022-07-01 00:00:00,BICO/USDT,0.5021,0.514,0.4812,0.4897,139856.05932192,69252.422712161683
1656547200,2022-06-30 00:00:00,BICO/USDT,0.5328,0.5338,0.4711,0.505,61770.66536951,30351.977730752179
1656460800,2022-06-29 00:00:00,BICO/USDT,0.5321,0.575,0.527,0.5297,73665.06770262,40584.977867212446
1656374400,2022-06-28 00:00:00,BICO/USDT,0.579,0.593,0.5309,0.5329,144919.94099507,81114.775106991871
1656288000,2022-06-27 00:00:00,BICO/USDT,0.5299,0.6201,0.528,0.579,335908.42960264,199247.428101040094
1656201600,2022-06-26 00:00:00,BICO/USDT,0.5559,0.5857,0.5253,0.5253,67618.97668482,37558.471982479133
1656115200,2022-06-25 00:00:00,BICO/USDT,0.5593,0.589,0.527,0.5525,44791.79242554,24845.246919360731
1656028800,2022-06-24 00:00:00,BICO/USDT,0.5386,0.5889,0.524,0.5589,89349.15385623,49085.139578617256
1655942400,2022-06-23 00:00:00,BICO/USDT,0.504,0.5419,0.504,0.535,32486.66016123,17109.005533591007
1655856000,2022-06-22 00:00:00,BICO/USDT,0.5239,0.5264,0.4999,0.5023,141796.53434336,72236.863510972232
1655769600,2022-06-21 00:00:00,BICO/USDT,0.5409,0.5689,0.5209,0.5252,114482.88435895,63566.34964472267
1655683200,2022-06-20 00:00:00,BICO/USDT,0.538,0.5492,0.5125,0.5412,53713.14456126,28554.313934617061
1655596800,2022-06-19 00:00:00,BICO/USDT,0.5022,0.555,0.489,0.539,121173.15339274,63855.989130669742
1655510400,2022-06-18 00:00:00,BICO/USDT,0.507,0.518,0.4535,0.5057,132397.99388901,63881.09444213659
1655424000,2022-06-17 00:00:00,BICO/USDT,0.5004,0.5617,0.4982,0.5068,207309.79723772,110112.57960127581
1655337600,2022-06-16 00:00:00,BICO/USDT,0.553,0.561,0.483,0.4992,157167.15821369,80646.116322299753
1655251200,2022-06-15 00:00:00,BICO/USDT,0.516,0.56,0.462,0.5512,187298.7123184,94721.193768439461
1655164800,2022-06-14 00:00:00,BICO/USDT,0.49,0.536,0.464,0.519,146383.68821721,74707.1365664673
1655078400,2022-06-13 00:00:00,BICO/USDT,0.491,0.512,0.44,0.49,143632.76248436,68270.33853473464
1654992000,2022-06-12 00:00:00,BICO/USDT,0.54,0.545,0.482,0.487,167857.70186882,85734.53411306413
1654905600,2022-06-11 00:00:00,BICO/USDT,0.624,0.643,0.515,0.542,294463.39180022,163051.51981921957
1654819200,2022-06-10 00:00:00,BICO/USDT,0.68,0.683,0.617,0.622,99466.8795624,63805.43730949259
1654732800,2022-06-09 00:00:00,BICO/USDT,0.67,0.691,0.656,0.677,24513.72988491,16482.3471467531
1654646400,2022-06-08 00:00:00,BICO/USDT,0.698,0.715,0.666,0.667,33803.44447113,23320.82506834778
1654560000,2022-06-07 00:00:00,BICO/USDT,0.717,0.752,0.665,0.702,148164.67257383,101663.64403678355
1654473600,2022-06-06 00:00:00,BICO/USDT,0.732,0.804,0.708,0.721,139402.83602384,105169.79630366695
1654387200,2022-06-05 00:00:00,BICO/USDT,0.695,0.771,0.678,0.732,190419.67748291,138158.94943585739
1654300800,2022-06-04 00:00:00,BICO/USDT,0.709,0.733,0.678,0.695,108591.16390937,76189.09954583087
1654214400,2022-06-03 00:00:00,BICO/USDT,0.745,0.745,0.661,0.707,175572.01241722,122680.33094544007
1654128000,2022-06-02 00:00:00,BICO/USDT,0.727,0.762,0.699,0.746,301863.70452479,217381.56086971956
1654041600,2022-06-01 00:00:00,BICO/USDT,0.868,0.922,0.722,0.728,989221.51975471,799115.2118333733
1653955200,2022-05-31 00:00:00,BICO/USDT,0.696,1.009,0.689,0.868,1374778.87356004,1216216.85202967181
1653868800,2022-05-30 00:00:00,BICO/USDT,0.644,0.704,0.643,0.695,80235.31091692,54682.52815095196
1653782400,2022-05-29 00:00:00,BICO/USDT,0.655,0.656,0.627,0.648,47911.49808946,30710.53775525385
1653696000,2022-05-28 00:00:00,BICO/USDT,0.652,0.681,0.639,0.654,135856.36312161,89708.18185720257
1653609600,2022-05-27 00:00:00,BICO/USDT,0.621,0.725,0.585,0.653,490796.6285069,323392.53672129013
1653523200,2022-05-26 00:00:00,BICO/USDT,0.654,0.662,0.592,0.618,262123.08260764,162199.93804894753
1653436800,2022-05-25 00:00:00,BICO/USDT,0.694,0.702,0.65,0.652,100696.4429274,67675.62332870258
1653350400,2022-05-24 00:00:00,BICO/USDT,0.651,0.724,0.635,0.691,167042.85936799,113250.88700598161
1653264000,2022-05-23 00:00:00,BICO/USDT,0.693,0.719,0.636,0.649,156520.8911955,108010.35770295966
1653177600,2022-05-22 00:00:00,BICO/USDT,0.724,0.75,0.675,0.696,124843.0540535,88687.55435861959
1653091200,2022-05-21 00:00:00,BICO/USDT,0.686,0.747,0.658,0.722,254335.36361077,180187.78653391389
1653004800,2022-05-20 00:00:00,BICO/USDT,0.708,0.733,0.655,0.685,356968.75797852,249229.38301880211
1652918400,2022-05-19 00:00:00,BICO/USDT,0.68,0.766,0.644,0.712,766281.53099132,538586.18599466083
1652832000,2022-05-18 00:00:00,BICO/USDT,0.621,0.795,0.563,0.675,336701.90076057,226587.38320555508
1652745600,2022-05-17 00:00:00,BICO/USDT,0.613,0.642,0.592,0.624,119089.17704791,73137.15338318412
1652659200,2022-05-16 00:00:00,BICO/USDT,0.701,0.701,0.59,0.61,98263.4183569,60810.47601203663
1652572800,2022-05-15 00:00:00,BICO/USDT,0.633,0.774,0.623,0.701,424175.59669773,296884.87865188738
1652486400,2022-05-14 00:00:00,BICO/USDT,0.497,0.723,0.485,0.628,699339.76467864,422662.80171162758
1652400000,2022-05-13 00:00:00,BICO/USDT,0.387,0.54,0.377,0.486,330952.63546046,154077.61287901688
1652313600,2022-05-12 00:00:00,BICO/USDT,0.489,0.516,0.36,0.383,590944.09339285,241858.63612359324
