https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3S,Volume USDT
1656028800,2022-06-24 00:00:00,GALAX3S/USDT,2.9031,2.9287,2.0967,2.2628,65629.25467661,169384.975568562005
1655942400,2022-06-23 00:00:00,GALAX3S/USDT,3.6089,3.6481,2.8356,2.9341,71296.47084146,222109.342770839186
1655856000,2022-06-22 00:00:00,GALAX3S/USDT,3.2525,3.7386,3.0504,3.6443,66592.40975744,229715.080209591219
1655769600,2022-06-21 00:00:00,GALAX3S/USDT,3.2279,3.4201,2.4814,3.2525,98044.76107101,291133.478347695526
1655683200,2022-06-20 00:00:00,GALAX3S/USDT,3.2736,3.9542,2.973,3.2279,58685.9119652,198596.848648809455
1655596800,2022-06-19 00:00:00,GALAX3S/USDT,3.9076,4.48,3.1002,3.2736,71059.8311086,269454.632477372317
1655510400,2022-06-18 00:00:00,GALAX3S/USDT,3.3419,4.5351,3.1615,3.8713,105225.79134068,407860.201761064421
1655424000,2022-06-17 00:00:00,GALAX3S/USDT,3.6844,3.7676,3.1232,3.3419,78330.94339402,265035.076007863804
1655337600,2022-06-16 00:00:00,GALAX3S/USDT,2.51,3.8892,2.3638,3.6844,125813.57351452,406555.124623550916
1655251200,2022-06-15 00:00:00,GALAX3S/USDT,3.156,4.3091,2.5,2.5,185426.08597688,638826.952411949129
1655164800,2022-06-14 00:00:00,GALAX3S/USDT,3.9832,5.0238,2.5001,3.152,199293.68859964,681131.849240067987
1655078400,2022-06-13 00:00:00,GALAX3S/USDT,4.5207,6.004,3.0887,3.9237,255628.18272012,1194363.853398052296
1654992000,2022-06-12 00:00:00,GALAX3S/USDT,3.5923,4.6877,3.3476,4.5207,135599.27977347,540686.53455592193
1654905600,2022-06-11 00:00:00,GALAX3S/USDT,2.813,3.727,2.5633,3.5923,110637.50250389,344840.832429724569
1654819200,2022-06-10 00:00:00,GALAX3S/USDT,2.2164,2.8762,2.1727,2.8,84382.8467639,221399.011789591863
1654732800,2022-06-09 00:00:00,GALAX3S/USDT,2.2875,2.4,2.0287,2.2208,64631.99590386,142018.544438545424
1654646400,2022-06-08 00:00:00,GALAX3S/USDT,2.038,2.3359,1.7692,2.2994,100467.7415962,205495.303319500361
1654560000,2022-06-07 00:00:00,GALAX3S/USDT,1.559,2.12,1.4012,2.0188,388470.84114838,716220.78428408157
1654473600,2022-06-06 00:00:00,GALAX3S/USDT,3.0088,3.0088,1.49,1.5802,182871.36944496,394171.563583643088
1654387200,2022-06-05 00:00:00,GALAX3S/USDT,2.9973,3.281,2.7594,2.9837,46525.16141741,142000.112684451932
1654300800,2022-06-04 00:00:00,GALAX3S/USDT,3.1236,3.4954,2.8208,2.9881,48266.22604493,149792.360421007457
1654214400,2022-06-03 00:00:00,GALAX3S/USDT,2.8343,3.4999,2.7517,3.1236,60275.04434489,193881.184564642544
1654128000,2022-06-02 00:00:00,GALAX3S/USDT,3.1982,3.333,2.6967,2.8343,78373.16849409,237089.420491213158
1654041600,2022-06-01 00:00:00,GALAX3S/USDT,2.3765,3.3248,2.3178,3.2098,98471.7126968,273639.744203574833
1653955200,2022-05-31 00:00:00,GALAX3S/USDT,2.2859,2.689,2,2.3646,92770.47495159,215630.560158037839
1653868800,2022-05-30 00:00:00,GALAX3S/USDT,2.9253,3.0916,2.2,2.2851,136896.92852124,362117.283232518337
