https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume EUR
1650214800,2022-04-17 17:00:00,ADA/EUR,0.88018,0.88018,0.87620,0.87620,363.26363668,318.291598459016
1650211200,2022-04-17 16:00:00,ADA/EUR,0.88405,0.88405,0.88100,0.88385,5602.21843116,4951.520760380767
1650207600,2022-04-17 15:00:00,ADA/EUR,0.88542,0.88691,0.88295,0.88691,23205.34783345,20581.05504696514
1650204000,2022-04-17 14:00:00,ADA/EUR,0.88745,0.88745,0.88700,0.88714,109.89712060,97.494131569084
1650200400,2022-04-17 13:00:00,ADA/EUR,0.88480,0.89000,0.88480,0.89000,1939.41293042,1726.0775080738001
1650196800,2022-04-17 12:00:00,ADA/EUR,0.88212,0.88502,0.88212,0.88452,2236.02647417,1977.810136932848
1650193200,2022-04-17 11:00:00,ADA/EUR,0.88027,0.88027,0.87907,0.87907,164.05926674,144.2195796131318
1650189600,2022-04-17 10:00:00,ADA/EUR,0.88121,0.88145,0.88111,0.88111,1211.64278010,1067.590569973911
1650186000,2022-04-17 09:00:00,ADA/EUR,0.88038,0.88040,0.87785,0.88027,4735.39944992,4168.430073781078
1650182400,2022-04-17 08:00:00,ADA/EUR,0.87800,0.87951,0.87655,0.87708,1122.27915698,984.3286030040183
1650178800,2022-04-17 07:00:00,ADA/EUR,0.87663,0.87663,0.87560,0.87637,11556.75384112,10127.992363742334
1650175200,2022-04-17 06:00:00,ADA/EUR,0.87482,0.87865,0.87482,0.87865,1378.56123691,1211.2728308109715
1650171600,2022-04-17 05:00:00,ADA/EUR,0.87381,0.87381,0.87381,0.87381,0.00000000,0.0
1650168000,2022-04-17 04:00:00,ADA/EUR,0.87135,0.87381,0.87135,0.87381,4814.66880264,4207.105746434858
1650164400,2022-04-17 03:00:00,ADA/EUR,0.87341,0.87341,0.87341,0.87341,4768.33311062,4164.709822146615
1650160800,2022-04-17 02:00:00,ADA/EUR,0.87500,0.87500,0.87500,0.87500,22.74342573,19.900497513749997
1650157200,2022-04-17 01:00:00,ADA/EUR,0.88025,0.88025,0.88025,0.88025,0.00000000,0.0
1650153600,2022-04-17 00:00:00,ADA/EUR,0.88025,0.88025,0.88025,0.88025,227.20817949,199.9999999960725
1650150000,2022-04-16 23:00:00,ADA/EUR,0.88458,0.88458,0.88458,0.88458,112.48557507,99.5024899954206
1650146400,2022-04-16 22:00:00,ADA/EUR,0.88041,0.88719,0.88041,0.88719,3359.20995357,2980.2574787077683
1650142800,2022-04-16 21:00:00,ADA/EUR,0.87330,0.87330,0.87330,0.87330,34.77843333,30.372005827088998
1650139200,2022-04-16 20:00:00,ADA/EUR,0.87034,0.87204,0.87034,0.87204,204.81205243,178.6043022010572
1650135600,2022-04-16 19:00:00,ADA/EUR,0.87147,0.87388,0.87024,0.87024,580.42213735,505.10656080746395
1650132000,2022-04-16 18:00:00,ADA/EUR,0.87000,0.87000,0.86964,0.86964,686.78636673,597.2568959630772
