https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAR,Volume USDT
1658966400,2022-07-28 00:00:00,KAR/USDT,0.6147,0.6434,0.6024,0.6382,30900.9895,19211.5346295
1658880000,2022-07-27 00:00:00,KAR/USDT,0.5741,0.615,0.5629,0.615,45822.7396,26680.54675972
1658793600,2022-07-26 00:00:00,KAR/USDT,0.5968,0.5968,0.5559,0.5747,62976.3907,36416.2102108
1658707200,2022-07-25 00:00:00,KAR/USDT,0.63,0.6332,0.5968,0.5968,31865.5578,19471.29798762
1658620800,2022-07-24 00:00:00,KAR/USDT,0.6572,0.6631,0.6275,0.6293,29012.6742,18875.5188192
1658534400,2022-07-23 00:00:00,KAR/USDT,0.692,0.7559,0.612,0.6572,110629.06953566,74704.668134114718
1658448000,2022-07-22 00:00:00,KAR/USDT,0.6638,0.7198,0.6618,0.692,29315.6034,20446.66579025
1658361600,2022-07-21 00:00:00,KAR/USDT,0.664,0.6804,0.634,0.6603,35720.0257,23735.48739754
1658275200,2022-07-20 00:00:00,KAR/USDT,0.6632,0.6957,0.66,0.6626,23061.01503362,15589.073180071263
1658188800,2022-07-19 00:00:00,KAR/USDT,0.672,0.6889,0.656,0.66,37266.3102658,25143.489775337901
1658102400,2022-07-18 00:00:00,KAR/USDT,0.6317,0.6932,0.6317,0.6721,83594.24926435,56184.482390483903
1658016000,2022-07-17 00:00:00,KAR/USDT,0.6673,0.675,0.6292,0.6292,31333.59292508,20311.506652020946
1657929600,2022-07-16 00:00:00,KAR/USDT,0.6618,0.6792,0.6427,0.6631,16004.91099795,10595.782434264524
1657843200,2022-07-15 00:00:00,KAR/USDT,0.6567,0.6762,0.6434,0.6663,24649.82859993,16358.497963820005
1657756800,2022-07-14 00:00:00,KAR/USDT,0.6358,0.6678,0.6089,0.6568,18374.19354898,11670.379530171724
1657670400,2022-07-13 00:00:00,KAR/USDT,0.598,0.6399,0.5883,0.6389,65911.43511864,40692.278739551854
1657584000,2022-07-12 00:00:00,KAR/USDT,0.5892,0.6673,0.5815,0.5982,47636.83142613,28721.263600331708
1657497600,2022-07-11 00:00:00,KAR/USDT,0.6394,0.6394,0.5822,0.5892,40685.14039627,24586.587513332951
1657411200,2022-07-10 00:00:00,KAR/USDT,0.6687,0.6687,0.6391,0.6391,14978.05281142,9730.99306955484
1657324800,2022-07-09 00:00:00,KAR/USDT,0.6706,0.683,0.6591,0.666,20281.35160668,13619.927638246212
1657238400,2022-07-08 00:00:00,KAR/USDT,0.6905,0.7174,0.6648,0.6729,49163.00438087,34075.06503764034
1657152000,2022-07-07 00:00:00,KAR/USDT,0.6988,0.7032,0.652,0.6915,47325.7590397,32291.748341147316
1657065600,2022-07-06 00:00:00,KAR/USDT,0.688,0.7292,0.6658,0.6988,51097.07742703,35645.323914646966
1656979200,2022-07-05 00:00:00,KAR/USDT,0.7305,0.7361,0.6607,0.6862,118952.86893124,83055.295642500017
1656892800,2022-07-04 00:00:00,KAR/USDT,0.6673,0.7937,0.643,0.727,131632.80008555,92612.71430733967
1656806400,2022-07-03 00:00:00,KAR/USDT,0.6697,0.6878,0.643,0.664,112656.72043668,74375.269122161062
1656720000,2022-07-02 00:00:00,KAR/USDT,0.6187,0.8095,0.6032,0.6684,309498.40348169,212578.38655793552
1656633600,2022-07-01 00:00:00,KAR/USDT,0.6066,0.6651,0.5731,0.6192,77168.14178336,46820.236038390395
1656547200,2022-06-30 00:00:00,KAR/USDT,0.5712,0.6169,0.5464,0.6067,99286.08908508,57032.381257710971
1656460800,2022-06-29 00:00:00,KAR/USDT,0.5564,0.5853,0.5414,0.5712,75498.16704653,42468.521966459311
1656374400,2022-06-28 00:00:00,KAR/USDT,0.5453,0.58,0.5255,0.5594,89995.14084549,50157.689333144228
1656288000,2022-06-27 00:00:00,KAR/USDT,0.5272,0.5639,0.527,0.5495,60217.83769657,33047.954203406728
1656201600,2022-06-26 00:00:00,KAR/USDT,0.4935,0.5957,0.4935,0.5303,251436.33879609,138737.216187215676
1656115200,2022-06-25 00:00:00,KAR/USDT,0.4887,0.5109,0.464,0.4935,98652.64376013,48041.054708885993
1656028800,2022-06-24 00:00:00,KAR/USDT,0.4743,0.493,0.4649,0.4866,53646.31028291,25821.597741619844
1655942400,2022-06-23 00:00:00,KAR/USDT,0.4694,0.4892,0.4587,0.4743,48661.40845267,23099.915878291232
