https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETC
1652313600000,2022-05-12 00:00:00,ETC/USDT,19.836085,20.722408,16.1,18.33,5055.616749596399,275.81106108
1652227200000,2022-05-11 00:00:00,ETC/USDT,23.751223,24.0,19.0,19.716365,6171.938217389227,313.03631361
1652140800000,2022-05-10 00:00:00,ETC/USDT,22.530714,29.0,22.172272,23.870576,10425.346618220621,436.7446608
1652054400000,2022-05-09 00:00:00,ETC/USDT,26.934785,31.330793,22.7,22.7,7731.878292404,340.61137852
1651968000000,2022-05-08 00:00:00,ETC/USDT,26.778092,27.812969,26.103667,26.746842,1202.2665184882528,44.94984935
1651881600000,2022-05-07 00:00:00,ETC/USDT,27.110042,32.869999,26.486241,26.486241,1047.7941826550884,39.55994294
1651795200000,2022-05-06 00:00:00,ETC/USDT,27.771934,32.869999,27.18,28.069996,2289.6378473263208,81.56886974
1651708800000,2022-05-05 00:00:00,ETC/USDT,30.782545,33.777,27.5,28.374934,3628.249433072906,127.86811885
1651622400000,2022-05-04 00:00:00,ETC/USDT,26.888026,31.129988,26.888026,30.703134,2273.510794776472,74.04816703
1651536000000,2022-05-03 00:00:00,ETC/USDT,27.5,27.965074,26.522554,26.99535,2194.9885402901805,81.30987523
1651449600000,2022-05-02 00:00:00,ETC/USDT,27.9,29.51995,26,27.518609,11212.497146463074,407.45145027
1651363200000,2022-05-01 00:00:00,ETC/USDT,26.550578,28.0,25.51,27.9,2310.0554502809996,82.79768639
1651276800000,2022-04-30 00:00:00,ETC/USDT,29.333266,31.2,24.85,25.847328,7820.308913902081,302.55773107
1651190400000,2022-04-29 00:00:00,ETC/USDT,30.711459,31.5,28.750376,28.812021,4540.314754164062,157.58404293
1651104000000,2022-04-28 00:00:00,ETC/USDT,31.030849,33,30.5,33,3688.27217682,111.76582354
1651017600000,2022-04-27 00:00:00,ETC/USDT,30.653424,31.376354,30.653,30.912488,2042.102775352004,66.0607705
1650931200000,2022-04-26 00:00:00,ETC/USDT,33.381604,33.831826,30.001107,30.05,2401.9259505025,79.93098005
1650844800000,2022-04-25 00:00:00,ETC/USDT,33.468664,34.769798,31.501505,33.593644,5960.771029120905,177.43746493
1650672000000,2022-04-23 00:00:00,ETC/USDT,35.372195,36,34.190296,34.801623,3426.75979382575,98.46551679
1650585600000,2022-04-22 00:00:00,ETC/USDT,35.270031,36.0,34.514487,35.619065,2472.9577773082224,69.42792511
1650499200000,2022-04-21 00:00:00,ETC/USDT,37,37,37.0,37.0,25.761310679999998,0.69625164
1650412800000,2022-04-20 00:00:00,ETC/USDT,38,38,36.15,36.681721,749.516537754919,20.4329709
1650326400000,2022-04-19 00:00:00,ETC/USDT,37.2,38.226209,35.7576,37.399616,4121.20354701799,110.19373961
1650240000000,2022-04-18 00:00:00,ETC/USDT,36.444665,37.19998,34.4,36.8,2526.645386336,68.65884202
1650153600000,2022-04-17 00:00:00,ETC/USDT,38.0,38.297336,36.000001,37.971111,2821.958811324381,74.3185737
1650067200000,2022-04-16 00:00:00,ETC/USDT,37.425865,38.518768,37.398854,38.033111,632.4814634846201,16.62975883
1649980800000,2022-04-15 00:00:00,ETC/USDT,36.927898,37.564558,36.000001,37.425865,3781.615538230364,101.04283597
1649894400000,2022-04-14 00:00:00,ETC/USDT,38.559622,39,35.000001,39,3357.0708627299996,86.07874007
1649808000000,2022-04-13 00:00:00,ETC/USDT,38.018089,39.430995,36.95,38.559622,1760.7930558677072,45.66416797
1649721600000,2022-04-12 00:00:00,ETC/USDT,37.354947,39.430995,36.500266,37.97819,3294.2624512306515,86.74090185
1649635200000,2022-04-11 00:00:00,ETC/USDT,40.167224,40.167224,36,36,2416.8290788800005,67.13414108
1649462400000,2022-04-09 00:00:00,ETC/USDT,41.80956,43.33,41.166182,41.8106,2503.909686711082,59.88695897
1649376000000,2022-04-08 00:00:00,ETC/USDT,42.529587,43.33,40,40,2556.6996052,63.91749013
1649289600000,2022-04-07 00:00:00,ETC/USDT,39.29933,44,39.000001,44,4688.02773824,106.54608496
1649203200000,2022-04-06 00:00:00,ETC/USDT,44.301012,44.301012,38.5,38.5,8574.362423935,222.71071231
1649116800000,2022-04-05 00:00:00,ETC/USDT,46.828752,47.0,45.0,45.0,2916.765468,64.8170104
