https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USDT
1658188800,2022-07-19 00:00:00,KNC/USDT,1.447,1.624,1.437,1.518,195052.59508625,299713.05732512219
1658102400,2022-07-18 00:00:00,KNC/USDT,1.354,1.47,1.354,1.454,107793.66247782,153646.38030230073
1658016000,2022-07-17 00:00:00,KNC/USDT,1.405,1.42,1.35,1.352,37487.52320464,51620.59004230804
1657929600,2022-07-16 00:00:00,KNC/USDT,1.415,1.42,1.335,1.406,52972.32323963,72761.22031102221
1657843200,2022-07-15 00:00:00,KNC/USDT,1.327,1.453,1.327,1.419,59705.83636673,84374.59123572213
1657756800,2022-07-14 00:00:00,KNC/USDT,1.288,1.33,1.228,1.329,16069.10394423,20757.42533205665
1657670400,2022-07-13 00:00:00,KNC/USDT,1.19,1.289,1.177,1.289,23266.61875534,28867.47040684089
1657584000,2022-07-12 00:00:00,KNC/USDT,1.237,1.252,1.192,1.192,17371.45110326,21300.94189198237
1657497600,2022-07-11 00:00:00,KNC/USDT,1.316,1.316,1.23,1.239,24059.78343625,30755.56159046515
1657411200,2022-07-10 00:00:00,KNC/USDT,1.39,1.393,1.313,1.316,23355.6434471,31678.64271277455
1657324800,2022-07-09 00:00:00,KNC/USDT,1.382,1.42,1.378,1.394,28963.48632322,40354.320260964
1657238400,2022-07-08 00:00:00,KNC/USDT,1.401,1.437,1.353,1.38,46867.68912594,65575.40182447103
1657152000,2022-07-07 00:00:00,KNC/USDT,1.391,1.418,1.361,1.409,35589.62038467,49634.56673974795
1657065600,2022-07-06 00:00:00,KNC/USDT,1.376,1.43,1.348,1.389,79824.5484465,110138.20806602232
1656979200,2022-07-05 00:00:00,KNC/USDT,1.293,1.405,1.225,1.382,76501.39933399,100357.69645970608
1656892800,2022-07-04 00:00:00,KNC/USDT,1.239,1.308,1.212,1.292,39305.84079551,49526.81332517171
1656806400,2022-07-03 00:00:00,KNC/USDT,1.255,1.255,1.202,1.236,18164.38556329,22309.91424456193
1656720000,2022-07-02 00:00:00,KNC/USDT,1.224,1.267,1.207,1.252,18845.09829345,23236.69441842605
1656633600,2022-07-01 00:00:00,KNC/USDT,1.26,1.29,1.2,1.219,35037.09923487,43428.17930726152
1656547200,2022-06-30 00:00:00,KNC/USDT,1.306,1.313,1.176,1.252,41492.64675125,50781.22928553204
1656460800,2022-06-29 00:00:00,KNC/USDT,1.345,1.367,1.275,1.299,43832.0143522,57686.192230719
1656374400,2022-06-28 00:00:00,KNC/USDT,1.41,1.491,1.338,1.345,51843.01301066,72950.58513326343
1656288000,2022-06-27 00:00:00,KNC/USDT,1.398,1.491,1.375,1.406,50664.7747874,72346.63611447205
1656201600,2022-06-26 00:00:00,KNC/USDT,1.517,1.544,1.397,1.397,126165.66113045,187064.13958338967
1656115200,2022-06-25 00:00:00,KNC/USDT,1.459,1.529,1.4,1.523,72987.38339143,108077.0900039537
1656028800,2022-06-24 00:00:00,KNC/USDT,1.394,1.493,1.389,1.457,200786.9490038,291062.89556926676
1655942400,2022-06-23 00:00:00,KNC/USDT,1.318,1.421,1.318,1.398,29338.6914031,40243.49377435821
1655856000,2022-06-22 00:00:00,KNC/USDT,1.377,1.377,1.272,1.311,94719.84949887,125914.86114499071
