https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPET,Volume USDT
1655942400,2022-06-23 00:00:00,DPET/USDT,0.159,0.178,0.1523,0.1579,669971.5675355,107673.406668822828
1655856000,2022-06-22 00:00:00,DPET/USDT,0.1555,0.1641,0.153,0.1589,294793.75890383,46396.250370068125
1655769600,2022-06-21 00:00:00,DPET/USDT,0.1655,0.1719,0.1538,0.1558,359744.11827256,58176.90293641635
1655683200,2022-06-20 00:00:00,DPET/USDT,0.1719,0.1741,0.152,0.166,382852.82693453,62025.137411621038
1655596800,2022-06-19 00:00:00,DPET/USDT,0.1582,0.1933,0.1489,0.1718,707236.88299888,118870.608968492897
1655510400,2022-06-18 00:00:00,DPET/USDT,0.1688,0.1704,0.1432,0.1582,373646.80627547,58811.925542991363
1655424000,2022-06-17 00:00:00,DPET/USDT,0.1546,0.1818,0.1512,0.1693,511722.15655705,85280.87350588197
1655337600,2022-06-16 00:00:00,DPET/USDT,0.1647,0.1735,0.1537,0.1547,519267.64208004,85748.362411997079
1655251200,2022-06-15 00:00:00,DPET/USDT,0.1622,0.1725,0.1367,0.1646,632942.90244585,97820.745835739559
1655164800,2022-06-14 00:00:00,DPET/USDT,0.1598,0.1986,0.1506,0.1623,1125042.0868164,194046.347000055532
1655078400,2022-06-13 00:00:00,DPET/USDT,0.1765,0.1801,0.1481,0.1598,380818.77620654,61624.854770874517
1654992000,2022-06-12 00:00:00,DPET/USDT,0.1806,0.19,0.1658,0.1759,245069.68282061,43179.250584204178
1654905600,2022-06-11 00:00:00,DPET/USDT,0.1988,0.2139,0.18,0.1806,321911.60700988,61667.828716327934
1654819200,2022-06-10 00:00:00,DPET/USDT,0.1824,0.2972,0.1815,0.1991,2764111.93953644,620271.513486109074
1654732800,2022-06-09 00:00:00,DPET/USDT,0.1921,0.2049,0.1738,0.1816,758115.07167113,140537.640297051544
1654646400,2022-06-08 00:00:00,DPET/USDT,0.2076,0.2205,0.1917,0.1922,437144.44579515,90709.358442803621
1654560000,2022-06-07 00:00:00,DPET/USDT,0.2127,0.36,0.1957,0.208,4465610.5993166,1225847.405329517138
1654473600,2022-06-06 00:00:00,DPET/USDT,0.1605,0.4939,0.1604,0.213,7702260.81631862,2358207.062144732902
1654387200,2022-06-05 00:00:00,DPET/USDT,0.1612,0.1679,0.156,0.1605,133100.92347959,21621.756386647601
1654300800,2022-06-04 00:00:00,DPET/USDT,0.1573,0.1661,0.1561,0.1612,219780.558107,34922.352341410506
1654214400,2022-06-03 00:00:00,DPET/USDT,0.1622,0.1624,0.15,0.1572,429070.96355541,68556.453509301676
1654128000,2022-06-02 00:00:00,DPET/USDT,0.1724,0.1811,0.1479,0.1624,366043.60530033,61582.383059947347
1654041600,2022-06-01 00:00:00,DPET/USDT,0.1799,0.1841,0.1712,0.1724,459905.03858047,82287.596459352972
1653955200,2022-05-31 00:00:00,DPET/USDT,0.1749,0.1954,0.1724,0.1805,728386.5195801,129718.633846450853
1653868800,2022-05-30 00:00:00,DPET/USDT,0.1815,0.1889,0.1568,0.1748,779508.4100411,140664.73558539294
1653782400,2022-05-29 00:00:00,DPET/USDT,0.1783,0.1844,0.1706,0.181,453474.42494449,79279.308591477007
1653696000,2022-05-28 00:00:00,DPET/USDT,0.1681,0.189,0.1658,0.1783,409487.69940879,71040.039640334801
1653609600,2022-05-27 00:00:00,DPET/USDT,0.1799,0.1799,0.1654,0.168,712452.97299059,123503.548347102423
1653523200,2022-05-26 00:00:00,DPET/USDT,0.1979,0.2005,0.1774,0.18,505821.07896179,94653.204895592833
1653436800,2022-05-25 00:00:00,DPET/USDT,0.2155,0.223,0.1935,0.1982,344631.930133,72240.872034403293
1653350400,2022-05-24 00:00:00,DPET/USDT,0.218,0.2403,0.2025,0.2153,457405.22926305,102424.469046188187
1653264000,2022-05-23 00:00:00,DPET/USDT,0.2794,0.2854,0.2128,0.2175,1784270.68370921,451051.360814627539
1653177600,2022-05-22 00:00:00,DPET/USDT,0.1935,1.2,0.19,0.2794,2994999.33865718,1062520.50820632674
