https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1658275200,2022-07-20 00:00:00,WXT/USDT,0.007664,0.007678,0.007395,0.007464,938408.8271,7119.5383165313
1658188800,2022-07-19 00:00:00,WXT/USDT,0.007532,0.007674,0.007502,0.007643,1645550.978,12512.5163816227
1658102400,2022-07-18 00:00:00,WXT/USDT,0.007464,0.007638,0.007423,0.007532,2770837.2319,20972.8296348338
1658016000,2022-07-17 00:00:00,WXT/USDT,0.007265,0.007556,0.0072,0.007491,3061472.8297,22636.1737011973
1657929600,2022-07-16 00:00:00,WXT/USDT,0.00706,0.007274,0.007025,0.007248,896073.2542,6407.0873586292
1657843200,2022-07-15 00:00:00,WXT/USDT,0.007376,0.007399,0.007056,0.00706,2111854.4707,15187.2081361787
1657756800,2022-07-14 00:00:00,WXT/USDT,0.007837,0.007858,0.00735,0.007415,5166844.7354,39354.7905236767
1657670400,2022-07-13 00:00:00,WXT/USDT,0.008879,0.008888,0.0077,0.007836,6431142.1843,52231.4745771159
1657584000,2022-07-12 00:00:00,WXT/USDT,0.009241,0.009246,0.008856,0.008856,1881840.3163,16932.4256763716
1657497600,2022-07-11 00:00:00,WXT/USDT,0.009516,0.009595,0.00924,0.009246,714668.2045,6721.0051940989
1657411200,2022-07-10 00:00:00,WXT/USDT,0.009599,0.009599,0.009394,0.00955,647466.3486,6181.5813776171
1657324800,2022-07-09 00:00:00,WXT/USDT,0.009778,0.009799,0.009516,0.009552,993490.9186,9596.4562367072
1657238400,2022-07-08 00:00:00,WXT/USDT,0.009659,0.009855,0.009445,0.009778,1982293.2861,19228.7703165214
1657152000,2022-07-07 00:00:00,WXT/USDT,0.010009,0.01001,0.009398,0.00963,1759163.21854087,17071.09173843392031
1657065600,2022-07-06 00:00:00,WXT/USDT,0.010023,0.010023,0.009772,0.009985,2986266.64970181,29657.72643403780988
1656979200,2022-07-05 00:00:00,WXT/USDT,0.010188,0.010188,0.010023,0.010023,1215846.35997905,12278.09281829137167
1656892800,2022-07-04 00:00:00,WXT/USDT,0.01012,0.010263,0.010045,0.010188,2669532.86290955,27085.98151068374701
1656806400,2022-07-03 00:00:00,WXT/USDT,0.010176,0.01022,0.010002,0.010123,2060657.77905876,20778.39584559308242
1656720000,2022-07-02 00:00:00,WXT/USDT,0.010364,0.010379,0.010119,0.010176,1575049.07040726,16087.56338522843854
1656633600,2022-07-01 00:00:00,WXT/USDT,0.010807,0.010897,0.01029,0.010332,2450959.92862258,25757.64878747020613
1656547200,2022-06-30 00:00:00,WXT/USDT,0.010512,0.010893,0.0101,0.010806,4147796.50478708,43478.42339035778289
1656460800,2022-06-29 00:00:00,WXT/USDT,0.010874,0.010908,0.010477,0.010477,1667097.63384642,17728.95433839305127
1656374400,2022-06-28 00:00:00,WXT/USDT,0.01084,0.011003,0.010828,0.010863,376298.27224854,4097.119188317925
1656288000,2022-06-27 00:00:00,WXT/USDT,0.010949,0.01107,0.010765,0.010859,1051819.29355473,11500.09261305253376
1656201600,2022-06-26 00:00:00,WXT/USDT,0.010987,0.01107,0.010924,0.010949,318796.94213945,3511.89137121868125
1656115200,2022-06-25 00:00:00,WXT/USDT,0.011044,0.011071,0.010918,0.010987,717987.79406625,7881.85503871589827
1656028800,2022-06-24 00:00:00,WXT/USDT,0.010593,0.011291,0.010538,0.011037,3121274.37947788,34096.75974301689267
1655942400,2022-06-23 00:00:00,WXT/USDT,0.010832,0.010832,0.010089,0.010593,3123416.91476939,32400.58669558738527
1655856000,2022-06-22 00:00:00,WXT/USDT,0.010845,0.010932,0.010703,0.010871,686567.9219488,7428.24069103066068
1655769600,2022-06-21 00:00:00,WXT/USDT,0.010686,0.010999,0.010631,0.010892,2159173.66127155,23421.02429431126168
1655683200,2022-06-20 00:00:00,WXT/USDT,0.010392,0.010698,0.010207,0.010686,4367356.97579505,45520.96438444271975
1655596800,2022-06-19 00:00:00,WXT/USDT,0.009998,0.01055,0.009994,0.010392,4288070.37500854,44105.27804109322611
1655510400,2022-06-18 00:00:00,WXT/USDT,0.010676,0.0107,0.009934,0.009984,6225086.30558066,64717.92285265367161
1655424000,2022-06-17 00:00:00,WXT/USDT,0.010402,0.010762,0.010174,0.010714,4215366.9853564,44483.09209942343358
1655337600,2022-06-16 00:00:00,WXT/USDT,0.011148,0.011148,0.009969,0.010374,10968505.73204231,114629.56091958078448
1655251200,2022-06-15 00:00:00,WXT/USDT,0.010962,0.011268,0.010433,0.011147,4549037.09758088,48872.85247027291415
1655164800,2022-06-14 00:00:00,WXT/USDT,0.010933,0.011035,0.010317,0.010979,7310058.31910535,78656.38106696424873
1655078400,2022-06-13 00:00:00,WXT/USDT,0.011563,0.011571,0.010126,0.010945,13249909.58197586,141707.55497200182112
1654992000,2022-06-12 00:00:00,WXT/USDT,0.011435,0.011836,0.011192,0.011575,4074502.5892805,46893.99909522053397
1654905600,2022-06-11 00:00:00,WXT/USDT,0.011503,0.01198,0.01103,0.011433,6576359.06773851,75493.91377547228477
1654819200,2022-06-10 00:00:00,WXT/USDT,0.011969,0.011969,0.011015,0.01154,5833252.68779077,66068.24786758667679
1654732800,2022-06-09 00:00:00,WXT/USDT,0.012413,0.012413,0.0112,0.011969,14516054.35169208,168851.20302491016003
1654646400,2022-06-08 00:00:00,WXT/USDT,0.012534,0.012571,0.012375,0.012413,2268595.8198893,28343.74898027971577
1654560000,2022-06-07 00:00:00,WXT/USDT,0.013124,0.013263,0.012024,0.012534,7874184.54780023,98263.14083701249459
1654473600,2022-06-06 00:00:00,WXT/USDT,0.011989,0.013124,0.011935,0.013124,12960007.22613959,164510.65600813224677
1654387200,2022-06-05 00:00:00,WXT/USDT,0.012063,0.012076,0.011701,0.011949,2406854.19077551,28608.46292439728402
1654300800,2022-06-04 00:00:00,WXT/USDT,0.011888,0.012174,0.011737,0.012018,4914437.18820626,58774.96893378488293
1654214400,2022-06-03 00:00:00,WXT/USDT,0.011623,0.012025,0.011122,0.01186,6679878.96685453,77760.36581045229077
1654128000,2022-06-02 00:00:00,WXT/USDT,0.011493,0.011694,0.01065,0.011635,8097753.46740404,90312.50746561090292
1654041600,2022-06-01 00:00:00,WXT/USDT,0.01168,0.011994,0.011291,0.011492,8286565.88763611,96651.40020831717803
1653955200,2022-05-31 00:00:00,WXT/USDT,0.011798,0.012011,0.011396,0.011682,17148830.78192068,202427.94101654193827
1653868800,2022-05-30 00:00:00,WXT/USDT,0.011187,0.011836,0.011185,0.011797,6150090.1265082,70795.20089469645703
1653782400,2022-05-29 00:00:00,WXT/USDT,0.010432,0.011197,0.010288,0.011146,5002639.60163403,53837.80104702691716
1653696000,2022-05-28 00:00:00,WXT/USDT,0.010332,0.010513,0.01027,0.010464,3290858.9827499,34156.53631129606688
1653609600,2022-05-27 00:00:00,WXT/USDT,0.010995,0.011049,0.009838,0.010335,5427517.60922772,56624.38595985908588
1653523200,2022-05-26 00:00:00,WXT/USDT,0.011975,0.012024,0.010525,0.011,10721136.27105222,119006.29958753957346
1653436800,2022-05-25 00:00:00,WXT/USDT,0.011887,0.012039,0.011471,0.012021,3850348.46161285,45177.76846839966041
1653350400,2022-05-24 00:00:00,WXT/USDT,0.011405,0.011923,0.011405,0.011887,9368058.83397112,109509.95042303628671
1653264000,2022-05-23 00:00:00,WXT/USDT,0.0123,0.0123,0.01136,0.011368,12784529.26194511,152194.18857334773537
1653177600,2022-05-22 00:00:00,WXT/USDT,0.011934,0.012348,0.011597,0.012348,9871060.3652436,117762.69297805685727
1653091200,2022-05-21 00:00:00,WXT/USDT,0.011886,0.011948,0.011449,0.011925,7370036.93446858,86515.78182103146843
1653004800,2022-05-20 00:00:00,WXT/USDT,0.011426,0.012,0.011177,0.011886,14175266.84664483,163890.45943653437049
1652918400,2022-05-19 00:00:00,WXT/USDT,0.010608,0.011501,0.010383,0.011426,9471435.87001758,103363.7244428620507
1652832000,2022-05-18 00:00:00,WXT/USDT,0.01194,0.012257,0.010138,0.010658,18614814.68173296,209313.04363797822363
1652745600,2022-05-17 00:00:00,WXT/USDT,0.010608,0.011984,0.010544,0.01194,9942084.4313216,109061.02083164322732
1652659200,2022-05-16 00:00:00,WXT/USDT,0.011073,0.011157,0.010248,0.010608,5941321.26321456,62687.04299278419394
1652572800,2022-05-15 00:00:00,WXT/USDT,0.009677,0.01117,0.0096,0.011072,10349244.44992523,106476.61131331006968
1652486400,2022-05-14 00:00:00,WXT/USDT,0.00876,0.009731,0.00876,0.009731,6543217.98620153,59853.55860031428862
1652400000,2022-05-13 00:00:00,WXT/USDT,0.008536,0.009875,0.008414,0.00876,30582002.15856764,279415.03583805121174
1652313600,2022-05-12 00:00:00,WXT/USDT,0.009118,0.009312,0.007896,0.008537,46479882.87777229,400337.94939303399458
1652227200,2022-05-11 00:00:00,WXT/USDT,0.010573,0.011294,0.007649,0.009144,53726948.68670204,512141.73475807715919
1652140800,2022-05-10 00:00:00,WXT/USDT,0.009312,0.010634,0.008843,0.010584,33408722.20276954,329957.17571531832658
1652054400,2022-05-09 00:00:00,WXT/USDT,0.011092,0.011117,0.009162,0.009359,41062328.39326272,404347.72608712361518
1651968000,2022-05-08 00:00:00,WXT/USDT,0.0112,0.011249,0.009793,0.011051,38077365.87499812,398734.69442651960703
1651881600,2022-05-07 00:00:00,WXT/USDT,0.012433,0.01248,0.010779,0.01125,47624285.34494792,545899.04564158646566
1651795200,2022-05-06 00:00:00,WXT/USDT,0.011883,0.013369,0.010684,0.012433,92564990.12346361,1127249.61864499133954
1651708800,2022-05-05 00:00:00,WXT/USDT,0.010983,0.012117,0.010752,0.01184,53029371.755048,607673.9460524739054
1651622400,2022-05-04 00:00:00,WXT/USDT,0.010128,0.0111,0.010126,0.010983,35158609.62464293,373236.76107102353498
1651536000,2022-05-03 00:00:00,WXT/USDT,0.00988,0.0104,0.009755,0.01016,23112851.76249319,233467.27352444602722
1651449600,2022-05-02 00:00:00,WXT/USDT,0.009739,0.010218,0.009052,0.009882,28368161.61136022,277871.31119533545666
