https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLN,Volume USDT
1650549600,2022-04-21 14:00:00,MLN/USDT,57.772,61.097,57.636,58.875,281.88403096,16924.58752437096
1650546000,2022-04-21 13:00:00,MLN/USDT,57.767,57.875,57.592,57.838,11.2913,652.0716508
1650542400,2022-04-21 12:00:00,MLN/USDT,57.8,57.825,57.627,57.676,4.4993,259.5785946
1650538800,2022-04-21 11:00:00,MLN/USDT,57.5,57.75,57.5,57.75,3.3688,194.0968038
1650535200,2022-04-21 10:00:00,MLN/USDT,57.125,57.651,57.125,57.651,14.0438,807.1100705
1650531600,2022-04-21 09:00:00,MLN/USDT,57.364,57.492,56.907,57.046,31.6997,1815.8200298
1650528000,2022-04-21 08:00:00,MLN/USDT,57.4,57.4,57.146,57.298,19.9895,1146.2877922
1650524400,2022-04-21 07:00:00,MLN/USDT,57.125,57.519,57.125,57.394,140.71175453,8069.74946532225
1650520800,2022-04-21 06:00:00,MLN/USDT,57.047,57.136,56.875,57.012,2.5446,144.940737
1650517200,2022-04-21 05:00:00,MLN/USDT,57.248,57.308,57.023,57.065,11.3805,651.5161199
1650513600,2022-04-21 04:00:00,MLN/USDT,57.15,57.215,57.127,57.215,5.2016,297.383919
1650510000,2022-04-21 03:00:00,MLN/USDT,57.049,57.173,57.04,57.166,12.4875,712.7113161
1650506400,2022-04-21 02:00:00,MLN/USDT,57.191,57.212,57.048,57.048,14.5763,833.2558608
1650502800,2022-04-21 01:00:00,MLN/USDT,56.988,57.184,56.896,57.184,16.8003,959.2028666
1650499200,2022-04-21 00:00:00,MLN/USDT,56.586,57.119,56.586,56.988,47.8861,2722.567664
1650495600,2022-04-20 23:00:00,MLN/USDT,56.659,56.92,56.594,56.594,23.3253,1322.8475009
1650492000,2022-04-20 22:00:00,MLN/USDT,56.6,56.921,56.6,56.66,23.38285344,1327.08650715824
1650488400,2022-04-20 21:00:00,MLN/USDT,56.175,56.758,56.015,56.545,123.4778,6968.7495493
1650484800,2022-04-20 20:00:00,MLN/USDT,55.969,56.108,55.801,56.108,58.9842,3300.6896424
1650481200,2022-04-20 19:00:00,MLN/USDT,55.719,55.989,55.702,55.824,65.181,3636.1440739
1650477600,2022-04-20 18:00:00,MLN/USDT,55.999,55.999,55.589,55.589,44.7304,2499.2232601
1650474000,2022-04-20 17:00:00,MLN/USDT,56.086,56.19,55.902,55.93,25.1601,1411.5374579
1650470400,2022-04-20 16:00:00,MLN/USDT,55.905,56.4,55.598,56.086,110.4813,6203.2946988
1650466800,2022-04-20 15:00:00,MLN/USDT,56.301,56.341,55.824,55.824,29.7932,1672.9419654
1650463200,2022-04-20 14:00:00,MLN/USDT,56.598,56.714,56.315,56.393,24.2049,1367.5817035
1650459600,2022-04-20 13:00:00,MLN/USDT,57.174,57.224,56.538,56.538,80.6709,4578.4643502
1650456000,2022-04-20 12:00:00,MLN/USDT,57.172,57.172,57.102,57.102,0.508,29.0428409
1650452400,2022-04-20 11:00:00,MLN/USDT,56.907,57.248,56.907,57.148,2.1267,121.4463085
1650448800,2022-04-20 10:00:00,MLN/USDT,56.525,56.824,56.49,56.824,6.2541,354.3891639
1650445200,2022-04-20 09:00:00,MLN/USDT,56.4,56.627,56.4,56.546,26.007,1471.4847515
1650441600,2022-04-20 08:00:00,MLN/USDT,56.4,56.4,56.4,56.4,0.0018,0.10152
1650438000,2022-04-20 07:00:00,MLN/USDT,56.226,56.334,56.194,56.199,0.0327,1.8379828
1650434400,2022-04-20 06:00:00,MLN/USDT,56.281,56.354,56.194,56.296,5.6155,315.572288
1650430800,2022-04-20 05:00:00,MLN/USDT,56.272,56.47,56.06,56.281,6.0161,338.6337767
1650427200,2022-04-20 04:00:00,MLN/USDT,56.272,56.272,56.272,56.272,0.0036,0.2025792
1650423600,2022-04-20 03:00:00,MLN/USDT,56.28,56.358,56.28,56.326,0.8066,45.4294761
1650420000,2022-04-20 02:00:00,MLN/USDT,56.215,56.277,56.215,56.277,0.0617,3.4685957
1650416400,2022-04-20 01:00:00,MLN/USDT,56.075,56.135,56.019,56.135,1.5055,84.3876326
1650412800,2022-04-20 00:00:00,MLN/USDT,56.164,56.268,56.059,56.151,15.0013,842.5859589
1650409200,2022-04-19 23:00:00,MLN/USDT,56.107,56.4,56.077,56.163,19.5826,1100.1896416
1650405600,2022-04-19 22:00:00,MLN/USDT,55.941,56.089,55.933,56.076,20.6966,1158.5410684
1650402000,2022-04-19 21:00:00,MLN/USDT,56.018,56.191,56.01,56.191,41.1652,2309.6232624
1650398400,2022-04-19 20:00:00,MLN/USDT,56.128,56.196,55.962,56.141,53.72096152,3014.55912491856
1650394800,2022-04-19 19:00:00,MLN/USDT,56.2,56.281,56.145,56.232,3.61401423,203.24304736674
1650391200,2022-04-19 18:00:00,MLN/USDT,56.032,56.2,55.996,56.097,11.9828,671.4185397
1650387600,2022-04-19 17:00:00,MLN/USDT,56.295,56.295,56.108,56.12,4.5327,255.0495834
1650384000,2022-04-19 16:00:00,MLN/USDT,56.431,56.491,56.295,56.295,6.1927,349.5417551
1650380400,2022-04-19 15:00:00,MLN/USDT,56.627,56.676,56.431,56.431,12.2719,694.4135713
