https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume WAVES
1658534400000,2022-07-23 00:00:00,WAVES/ETH,0.00359306,0.00360959,0.00351154,0.00356583,158.53889702222995,44460.58758332
1658448000000,2022-07-22 00:00:00,WAVES/ETH,0.003622,0.00369998,0.0034,0.00358736,155.2827853874794,43286.08932125
1658361600000,2022-07-21 00:00:00,WAVES/ETH,0.00374328,0.0038,0.00357461,0.00362621,162.3109490194303,44760.49346823
1658275200000,2022-07-20 00:00:00,WAVES/ETH,0.0041,0.00420047,0.00371984,0.00374198,162.463496638304,43416.45242313
1658188800000,2022-07-19 00:00:00,WAVES/ETH,0.00343349,0.00408464,0.00340356,0.00408364,183.8932826613727,45031.70765821
1658102400000,2022-07-18 00:00:00,WAVES/ETH,0.00376327,0.00378721,0.00342613,0.00342613,154.32784600130574,45044.36375774
1658016000000,2022-07-17 00:00:00,WAVES/ETH,0.00378509,0.00381744,0.00371558,0.00376276,161.29900059171035,42867.20401825
1657929600000,2022-07-16 00:00:00,WAVES/ETH,0.0041204,0.00412534,0.00363997,0.00377254,164.25648866398348,43540.02572908
1657843200000,2022-07-15 00:00:00,WAVES/ETH,0.00437243,0.00447961,0.004,0.00411561,175.49887626426982,42642.25139512
1657756800000,2022-07-14 00:00:00,WAVES/ETH,0.00437498,0.00467,0.00420419,0.00427353,185.5654638003586,43422.0571285
1657670400000,2022-07-13 00:00:00,WAVES/ETH,0.00454728,0.00457,0.00429063,0.00437694,188.51007726106633,43068.91967015
1657584000000,2022-07-12 00:00:00,WAVES/ETH,0.00426847,0.00458979,0.00425879,0.00454124,190.97264877049076,42052.97424723
1657497600000,2022-07-11 00:00:00,WAVES/ETH,0.0043833,0.0043833,0.00423,0.00426784,184.23403681000616,43167.98118252
1657411200000,2022-07-10 00:00:00,WAVES/ETH,0.00446353,0.00447392,0.00438971,0.00440043,10.189540219505082,2315.57830019
1657324800000,2022-07-09 00:00:00,WAVES/ETH,0.00440237,0.00452685,0.00440187,0.00446446,165.713557656251,37118.38781314
1657238400000,2022-07-08 00:00:00,WAVES/ETH,0.00452919,0.00459427,0.00434723,0.00440505,186.46848474424647,42330.61707455
1657152000000,2022-07-07 00:00:00,WAVES/ETH,0.00448163,0.00463472,0.00437721,0.0045199,194.78902289182707,43095.87001744
1657065600000,2022-07-06 00:00:00,WAVES/ETH,0.00463551,0.00465326,0.00445294,0.00447068,177.07035828750182,39607.03031474
1656979200000,2022-07-05 00:00:00,WAVES/ETH,0.00477118,0.00479169,0.00458546,0.00464441,193.1118914137796,41579.42374032
1656892800000,2022-07-04 00:00:00,WAVES/ETH,0.0047855,0.00498106,0.00472832,0.00478155,194.9007604628457,40761.00019091
1656806400000,2022-07-03 00:00:00,WAVES/ETH,0.00486532,0.00489024,0.00473001,0.00481146,196.4860267858351,40837.09036048
1656720000000,2022-07-02 00:00:00,WAVES/ETH,0.00493678,0.00506742,0.0047,0.00485905,204.78764932708097,42145.61474508
1656633600000,2022-07-01 00:00:00,WAVES/ETH,0.00474883,0.00516643,0.004641,0.00490864,204.76884664536374,41716.00415703
1656547200000,2022-06-30 00:00:00,WAVES/ETH,0.00490693,0.00490693,0.00467142,0.0047406,199.7641853661615,42139.0088525
1656460800000,2022-06-29 00:00:00,WAVES/ETH,0.00474277,0.00499999,0.0046228,0.00490357,208.0776255079171,42433.90540115
1656374400000,2022-06-28 00:00:00,WAVES/ETH,0.00494439,0.00495787,0.00491097,0.004922,6.50950467834272,1322.53244176
1656288000000,2022-06-27 00:00:00,WAVES/ETH,0.00493169,0.005256,0.00485325,0.0049318,209.80786510335716,42541.84376969
1656201600000,2022-06-26 00:00:00,WAVES/ETH,0.00518041,0.0054,0.00487224,0.0049324,208.41838168748632,42254.96344325
