https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRM,Volume USDT
1655683200,2022-06-20 00:00:00,FRM/USDT,0.02292,0.02401,0.02221,0.02338,2313919.72747011,53511.8179222723929
1655596800,2022-06-19 00:00:00,FRM/USDT,0.0211,0.023,0.01951,0.02299,3338539.18384611,71188.6851754477075
1655510400,2022-06-18 00:00:00,FRM/USDT,0.02235,0.0266,0.0191,0.0211,3778843.32520344,81739.3118796483982
1655424000,2022-06-17 00:00:00,FRM/USDT,0.0246,0.0246,0.02199,0.0226,2666121.36172255,61913.846370076721
1655337600,2022-06-16 00:00:00,FRM/USDT,0.0257,0.0263,0.0244,0.0246,1853799.62057096,46895.924307834613
1655251200,2022-06-15 00:00:00,FRM/USDT,0.0261,0.0267,0.0209,0.0257,2654845.97421903,65368.6207023461854
1655164800,2022-06-14 00:00:00,FRM/USDT,0.0266,0.0309,0.0256,0.0262,2598180.82330847,69925.353852294497
1655078400,2022-06-13 00:00:00,FRM/USDT,0.0325,0.0325,0.0248,0.0266,2131492.87404923,58637.021563020307
1654992000,2022-06-12 00:00:00,FRM/USDT,0.034,0.0345,0.0305,0.0325,1873292.98260519,60452.902159649569
1654905600,2022-06-11 00:00:00,FRM/USDT,0.0368,0.0374,0.0317,0.034,2108579.06784258,74788.407183432997
1654819200,2022-06-10 00:00:00,FRM/USDT,0.0384,0.0398,0.0361,0.0368,2635991.07726387,99858.032802197021
1654732800,2022-06-09 00:00:00,FRM/USDT,0.0377,0.0396,0.0345,0.0384,2258201.0028223,85927.410839791025
1654646400,2022-06-08 00:00:00,FRM/USDT,0.0396,0.0402,0.0368,0.0377,2212297.88029738,85662.326613904807
1654560000,2022-06-07 00:00:00,FRM/USDT,0.0382,0.0548,0.0342,0.0396,5792434.12405238,237106.027134750124
1654473600,2022-06-06 00:00:00,FRM/USDT,0.0389,0.0406,0.0374,0.0382,3007378.09732009,117898.32394739031
1654387200,2022-06-05 00:00:00,FRM/USDT,0.038,0.0401,0.037,0.0392,1347826.26268282,51108.290409819491
1654300800,2022-06-04 00:00:00,FRM/USDT,0.0398,0.0398,0.0365,0.038,1505052.79610381,57437.465510348888
1654214400,2022-06-03 00:00:00,FRM/USDT,0.0413,0.0413,0.0382,0.0399,3271401.37556977,129914.109088259301
1654128000,2022-06-02 00:00:00,FRM/USDT,0.0427,0.0427,0.0386,0.0413,426246.01782067,17268.943227078821
1654041600,2022-06-01 00:00:00,FRM/USDT,0.0457,0.0472,0.0422,0.0429,205668.6931171,9233.704765400343
1653955200,2022-05-31 00:00:00,FRM/USDT,0.0465,0.047,0.0453,0.0453,157609.57849904,7197.629227000944
1653868800,2022-05-30 00:00:00,FRM/USDT,0.0436,0.0477,0.0436,0.0465,269483.25765282,12300.378765844673
1653782400,2022-05-29 00:00:00,FRM/USDT,0.0426,0.0456,0.0423,0.0436,204909.94753092,8931.612600049562
1653696000,2022-05-28 00:00:00,FRM/USDT,0.0443,0.0453,0.0425,0.0426,186131.52638378,8089.888147591499
1653609600,2022-05-27 00:00:00,FRM/USDT,0.0426,0.0451,0.0414,0.0441,339055.41337616,14766.717457535236
1653523200,2022-05-26 00:00:00,FRM/USDT,0.0425,0.0432,0.0403,0.0426,186053.29249832,7752.77275772479
1653436800,2022-05-25 00:00:00,FRM/USDT,0.0414,0.0441,0.0411,0.0423,361182.59911162,15228.540016327903
