https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AOA,Volume USDT
1654707600,2022-06-08 17:00:00,AOA/USDT,0.0003637,0.0003671,0.0003635,0.0003666,678356.299721,247.077480150985128
1654704000,2022-06-08 16:00:00,AOA/USDT,0.000365,0.0003667,0.0003636,0.0003659,146415.55245446,53.332844094241019
1654700400,2022-06-08 15:00:00,AOA/USDT,0.0003693,0.0003714,0.0003631,0.000365,730338.00163561,268.23243062613765
1654696800,2022-06-08 14:00:00,AOA/USDT,0.000371,0.0003725,0.0003635,0.0003713,5152965.7819817,1907.332673891785305
1654693200,2022-06-08 13:00:00,AOA/USDT,0.0003656,0.0003728,0.0003656,0.000371,2846617.25611797,1057.313672810439216
1654689600,2022-06-08 12:00:00,AOA/USDT,0.0003696,0.0003696,0.0003631,0.0003656,1902742.3886,692.98416601553
1654686000,2022-06-08 11:00:00,AOA/USDT,0.0003803,0.0004152,0.0003609,0.0003696,31421698.02979351,12059.001694457981729
1654682400,2022-06-08 10:00:00,AOA/USDT,0.0003787,0.00038,0.0003753,0.00038,3226477.4639,1217.43919284873
1654678800,2022-06-08 09:00:00,AOA/USDT,0.000376,0.0003815,0.000376,0.0003815,1871795.95513952,705.25400567561688
1654675200,2022-06-08 08:00:00,AOA/USDT,0.000374,0.000376,0.0003731,0.000376,3868627.9309,1449.832361801
1654671600,2022-06-08 07:00:00,AOA/USDT,0.0003787,0.00038,0.0003705,0.0003731,5543349.3353,2083.56214385321
1654668000,2022-06-08 06:00:00,AOA/USDT,0.0003803,0.0003815,0.000377,0.0003815,114930.7191,43.73743644516
1654664400,2022-06-08 05:00:00,AOA/USDT,0.0003707,0.0003815,0.00037,0.0003773,557232.50314279,210.387770546906899
1654660800,2022-06-08 04:00:00,AOA/USDT,0.0003875,0.0003919,0.0003707,0.0003707,4350955.04276621,1638.111823866877699
1654657200,2022-06-08 03:00:00,AOA/USDT,0.000368,0.0003975,0.000366,0.0003875,7376804.91583812,2870.813549428055694
1654653600,2022-06-08 02:00:00,AOA/USDT,0.0003728,0.0003743,0.000368,0.000368,1009593.6797,374.025598888
1654650000,2022-06-08 01:00:00,AOA/USDT,0.0003759,0.000382,0.0003707,0.0003729,835403.29368914,315.974409977552566
1654646400,2022-06-08 00:00:00,AOA/USDT,0.000372,0.0003759,0.0003708,0.0003759,185275.55346427,68.964402074469093
1654642800,2022-06-07 23:00:00,AOA/USDT,0.0003637,0.0003743,0.0003637,0.0003743,3404915.08741164,1272.675512694722515
1654639200,2022-06-07 22:00:00,AOA/USDT,0.000372,0.0003731,0.0003635,0.0003635,681398.32212333,250.041002614274423
