https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT
1651363200,2022-05-01 00:00:00,USDC/USDT,0.99890,1.00103,0.99889,1.00103,20330.76875,20351.7094418125
1651276800,2022-04-30 00:00:00,USDC/USDT,0.99891,0.99998,0.99890,0.99890,1252.65147,1251.273553383
1651190400,2022-04-29 00:00:00,USDC/USDT,1.00089,1.00090,0.99890,0.99890,5083.28385,5077.692237765
1651104000,2022-04-28 00:00:00,USDC/USDT,1.00000,1.00000,0.99952,1.00000,57722.28792,57722.28792
1651017600,2022-04-27 00:00:00,USDC/USDT,1.00000,1.00000,0.99939,1.00000,89815.92572,89815.92572
1650931200,2022-04-26 00:00:00,USDC/USDT,0.99883,1.00000,0.99866,0.99999,58932.43352,58931.8441956648
1650844800,2022-04-25 00:00:00,USDC/USDT,1.00048,1.00088,0.99867,0.99999,11768.61929,11768.5016038071
1650758400,2022-04-24 00:00:00,USDC/USDT,0.99895,0.99999,0.99893,0.99893,5756.83317,5750.6733585081
1650672000,2022-04-23 00:00:00,USDC/USDT,1.00000,1.00000,1.00000,1.00000,249.03243,249.03243
1650585600,2022-04-22 00:00:00,USDC/USDT,1.00055,1.00055,0.99885,0.99999,1696.49660,1696.479635034
1650499200,2022-04-21 00:00:00,USDC/USDT,1.00078,1.00094,0.99895,1.00084,11504.33361,11513.9972502324
1650412800,2022-04-20 00:00:00,USDC/USDT,0.99862,0.99862,0.99860,0.99860,1537.50000,1535.3475
1650326400,2022-04-19 00:00:00,USDC/USDT,0.99884,1.00094,0.99878,1.00070,24137.74473,24154.641151310996
1650240000,2022-04-18 00:00:00,USDC/USDT,0.99947,0.99968,0.99698,0.99932,90591.95913,90530.3565977916
1650153600,2022-04-17 00:00:00,USDC/USDT,0.99880,0.99880,0.99880,0.99880,0.00000,0.0
1650067200,2022-04-16 00:00:00,USDC/USDT,0.99881,0.99881,0.99880,0.99880,317.26177,316.881055876
1649980800,2022-04-15 00:00:00,USDC/USDT,1.00091,1.00091,0.99880,0.99881,2986.94700,2983.39253307
1649894400,2022-04-14 00:00:00,USDC/USDT,1.00034,1.00091,0.99921,1.00089,82766.24719,82839.9091499991
1649808000,2022-04-13 00:00:00,USDC/USDT,1.00045,1.00046,0.99875,0.99875,8088.12507,8078.0149136625005
1649721600,2022-04-12 00:00:00,USDC/USDT,0.99865,0.99985,0.99778,0.99985,61395.98286,61386.773462571
1649635200,2022-04-11 00:00:00,USDC/USDT,0.99871,1.00046,0.99605,0.99605,17147.91025,17080.1760045125
1649548800,2022-04-10 00:00:00,USDC/USDT,0.99891,0.99891,0.99891,0.99891,39.80302,39.7596347082
1649462400,2022-04-09 00:00:00,USDC/USDT,0.99869,0.99869,0.99869,0.99869,7507.60570,7497.770736533
1649376000,2022-04-08 00:00:00,USDC/USDT,1.00043,1.00043,1.00043,1.00043,29.29462,29.307216686599997
1649289600,2022-04-07 00:00:00,USDC/USDT,1.00044,1.00046,0.99885,1.00046,2486.15848,2487.3021129008
1649203200,2022-04-06 00:00:00,USDC/USDT,0.99973,1.00008,0.99792,0.99894,12797.04522,12783.480352066801
1649116800,2022-04-05 00:00:00,USDC/USDT,0.99880,0.99975,0.99546,0.99975,21283.00376,21277.68300906
1649030400,2022-04-04 00:00:00,USDC/USDT,1.00001,1.00001,1.00001,1.00001,0.00000,0.0
1648944000,2022-04-03 00:00:00,USDC/USDT,0.99845,1.00046,0.99845,1.00001,171308.10938,171309.82246109383
1648857600,2022-04-02 00:00:00,USDC/USDT,0.99998,0.99999,0.99998,0.99999,155.59666,155.59510403340002
1648771200,2022-04-01 00:00:00,USDC/USDT,1.00045,1.00046,1.00014,1.00014,3928.14136,3928.6912997904
1648684800,2022-03-31 00:00:00,USDC/USDT,1.00044,1.00045,0.99887,0.99887,3085.94535,3082.4582317545
1648598400,2022-03-30 00:00:00,USDC/USDT,0.99850,1.00041,0.99850,0.99852,391.70836,391.12863162720004
1648512000,2022-03-29 00:00:00,USDC/USDT,1.00000,1.00046,1.00000,1.00046,23.73408,23.744997676799997
1648425600,2022-03-28 00:00:00,USDC/USDT,0.99853,0.99999,0.99853,0.99853,555.93027,555.1130525031
