https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume XEM
1652659200000,2022-05-16 00:00:00,XEM/EUR,0.06463442,0.06463442,0.0526333,0.05613642,21636.733767899892,385431.30765909
1652572800000,2022-05-15 00:00:00,XEM/EUR,0.05408294,0.06730571,0.0508396,0.06426841,25305.97396476721,393754.47385064
1652486400000,2022-05-14 00:00:00,XEM/EUR,0.05496134,0.06139322,0.04919349,0.05487351,22058.704697678102,401991.86634276
1652400000000,2022-05-13 00:00:00,XEM/EUR,0.04104063,0.05889861,0.03920442,0.0548837,21521.8760594678,392136.02689811
1652313600000,2022-05-12 00:00:00,XEM/EUR,0.04646768,0.05161735,0.03701035,0.04037061,15675.906032965933,388299.95466915
1652227200000,2022-05-11 00:00:00,XEM/EUR,0.05812727,0.06139047,0.04275723,0.04671784,18467.06696016852,395289.40036972
1652140800000,2022-05-10 00:00:00,XEM/EUR,0.05963508,0.06974838,0.05501003,0.05868849,23331.452386633035,397547.32804734
1652054400000,2022-05-09 00:00:00,XEM/EUR,0.07307694,0.07684898,0.05501199,0.06102156,24627.496770289697,403586.81046977
1651968000000,2022-05-08 00:00:00,XEM/EUR,0.07917657,0.08470174,0.07000068,0.07319437,29992.3552657959,409763.14525005
1651881600000,2022-05-07 00:00:00,XEM/EUR,0.07889421,0.08572396,0.07563994,0.07899734,30672.72298492888,388275.38984134
1651795200000,2022-05-06 00:00:00,XEM/EUR,0.08000945,0.080706,0.07564022,0.07963282,30790.497725260146,386655.87536973
1651708800000,2022-05-05 00:00:00,XEM/EUR,0.08688631,0.08752858,0.07564051,0.080675,31860.06723374246,394918.71377431
1651622400000,2022-05-04 00:00:00,XEM/EUR,0.08552163,0.08800001,0.083711,0.08703842,34752.756509889754,399280.6453735
1651536000000,2022-05-03 00:00:00,XEM/EUR,0.08907507,0.08986934,0.08288718,0.0860916,30828.34880236633,358087.76701056
1651449600000,2022-05-02 00:00:00,XEM/EUR,0.08534935,0.09458998,0.08382273,0.08972249,37264.34330952439,415328.90259203
1651363200000,2022-05-01 00:00:00,XEM/EUR,0.08406023,0.08697599,0.0835487,0.08484182,33577.39604254582,395764.68353161
1651276800000,2022-04-30 00:00:00,XEM/EUR,0.08519395,0.08701523,0.08288719,0.08433704,33186.04515483869,393493.12182214
1651190400000,2022-04-29 00:00:00,XEM/EUR,0.09023058,0.09098472,0.08450605,0.08520977,31668.475579475213,371653.10479626
1651104000000,2022-04-28 00:00:00,XEM/EUR,0.08730363,0.09204046,0.08688065,0.09012049,35019.83128162015,388589.00214169
1651017600000,2022-04-27 00:00:00,XEM/EUR,0.08359688,0.08805795,0.08343377,0.08726033,33192.726918745015,380387.36409483
1650931200000,2022-04-26 00:00:00,XEM/EUR,0.08825292,0.09099707,0.08300088,0.08395013,33320.083967578066,396903.30399224
1650844800000,2022-04-25 00:00:00,XEM/EUR,0.08648422,0.09038495,0.08300034,0.08900998,34428.85636362906,386797.70924147
1650758400000,2022-04-24 00:00:00,XEM/EUR,0.08856946,0.08882225,0.08776614,0.08819747,1809.8120844,20520.0
1650672000000,2022-04-23 00:00:00,XEM/EUR,0.09023609,0.09099707,0.08782086,0.08817544,35212.90366730885,399350.47295833
1650585600000,2022-04-22 00:00:00,XEM/EUR,0.09108289,0.09414374,0.08929148,0.08971439,35155.47935363268,391859.98314911
1650412800000,2022-04-20 00:00:00,XEM/EUR,0.09347436,0.0943372,0.09304211,0.09421913,1460.396515,15500.0
1650326400000,2022-04-19 00:00:00,XEM/EUR,0.09112715,0.09455872,0.09089554,0.09395786,36852.19950989763,392220.5072561
1650240000000,2022-04-18 00:00:00,XEM/EUR,0.09184187,0.09241437,0.0865374,0.09117911,35438.81498576429,388672.52582049
1650153600000,2022-04-17 00:00:00,XEM/EUR,0.09403883,0.09461408,0.09078412,0.09246882,36390.09772443931,393539.11647666
1650067200000,2022-04-16 00:00:00,XEM/EUR,0.09309344,0.09458415,0.09240589,0.09421614,36754.355090808494,390106.78096989
1649980800000,2022-04-15 00:00:00,XEM/EUR,0.09329136,0.09397342,0.09170537,0.09263602,36855.70713677709,397855.0366993
1649894400000,2022-04-14 00:00:00,XEM/EUR,0.0942911,0.09499994,0.09043641,0.09218256,36137.805015495716,392024.31583041
1649808000000,2022-04-13 00:00:00,XEM/EUR,0.09109667,0.09450747,0.09094877,0.09329953,36675.47948550642,393093.93611636
1649721600000,2022-04-12 00:00:00,XEM/EUR,0.08938398,0.09329336,0.08852179,0.09129201,35948.39478518277,393773.72439475
1649635200000,2022-04-11 00:00:00,XEM/EUR,0.09515019,0.09682655,0.08533157,0.08912294,34940.631576209445,392049.80868236
1649548800000,2022-04-10 00:00:00,XEM/EUR,0.09758257,0.09761616,0.09685134,0.09696487,1527.1967025,15750.0
1649462400000,2022-04-09 00:00:00,XEM/EUR,0.09389125,0.10030522,0.09099025,0.09737402,39448.83496522687,405126.90104842
1649376000000,2022-04-08 00:00:00,XEM/EUR,0.09890322,0.09971683,0.09294922,0.09411622,36823.62687054623,391256.96793333
1649289600000,2022-04-07 00:00:00,XEM/EUR,0.09695987,0.10060811,0.09599999,0.09910232,38143.806153585356,384893.17054924
1649203200000,2022-04-06 00:00:00,XEM/EUR,0.10770019,0.10981118,0.09599999,0.09692925,38562.58311266926,397842.58222022
1649116800000,2022-04-05 00:00:00,XEM/EUR,0.10795014,0.11170449,0.10565953,0.10798247,39346.724121051695,364380.66401937
