https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume BTC
1651489200,2022-05-02 11:00:00,LINK/BTC,0.00029023,0.00029023,0.00029023,0.00029023,0.00000000,0.0
1651485600,2022-05-02 10:00:00,LINK/BTC,0.00029023,0.00029023,0.00029023,0.00029023,0.00000000,0.0
1651482000,2022-05-02 09:00:00,LINK/BTC,0.00029023,0.00029023,0.00029023,0.00029023,0.00000000,0.0
1651478400,2022-05-02 08:00:00,LINK/BTC,0.00029023,0.00029023,0.00029023,0.00029023,0.00000000,0.0
1651474800,2022-05-02 07:00:00,LINK/BTC,0.00029023,0.00029023,0.00029023,0.00029023,10.72834100,0.00311368640843
1651471200,2022-05-02 06:00:00,LINK/BTC,0.00028916,0.00028916,0.00028916,0.00028916,0.00000000,0.0
1651467600,2022-05-02 05:00:00,LINK/BTC,0.00028916,0.00028916,0.00028916,0.00028916,0.00000000,0.0
1651464000,2022-05-02 04:00:00,LINK/BTC,0.00028916,0.00028916,0.00028916,0.00028916,19.69983717,0.0056964049160772
1651460400,2022-05-02 03:00:00,LINK/BTC,0.00029170,0.00029170,0.00029170,0.00029170,132.93350000,0.03877670195
1651456800,2022-05-02 02:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651453200,2022-05-02 01:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651449600,2022-05-02 00:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651446000,2022-05-01 23:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651442400,2022-05-01 22:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651438800,2022-05-01 21:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651435200,2022-05-01 20:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651431600,2022-05-01 19:00:00,LINK/BTC,0.00029196,0.00029196,0.00029196,0.00029196,0.00000000,0.0
1651428000,2022-05-01 18:00:00,LINK/BTC,0.00029358,0.00029358,0.00029196,0.00029196,3500.00000000,1.02186
1651424400,2022-05-01 17:00:00,LINK/BTC,0.00029576,0.00029639,0.00029576,0.00029639,221.65997000,0.0656977985083
1651420800,2022-05-01 16:00:00,LINK/BTC,0.00029369,0.00029369,0.00029369,0.00029369,0.00000000,0.0
1651417200,2022-05-01 15:00:00,LINK/BTC,0.00028997,0.00029369,0.00028997,0.00029369,75.16630022,0.0220755907116118
1651413600,2022-05-01 14:00:00,LINK/BTC,0.00028975,0.00029071,0.00028975,0.00029071,33.66071420,0.009785506225082001
1651410000,2022-05-01 13:00:00,LINK/BTC,0.00029169,0.00029221,0.00029169,0.00029221,91.16268000,0.0266386467228
1651406400,2022-05-01 12:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651402800,2022-05-01 11:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651399200,2022-05-01 10:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651395600,2022-05-01 09:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651392000,2022-05-01 08:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651388400,2022-05-01 07:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651384800,2022-05-01 06:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651381200,2022-05-01 05:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651377600,2022-05-01 04:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651374000,2022-05-01 03:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651370400,2022-05-01 02:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,0.00000000,0.0
1651366800,2022-05-01 01:00:00,LINK/BTC,0.00029115,0.00029115,0.00029115,0.00029115,2.15146300,0.00062639845245
1651363200,2022-05-01 00:00:00,LINK/BTC,0.00029220,0.00029220,0.00029220,0.00029220,0.00000000,0.0
1651359600,2022-04-30 23:00:00,LINK/BTC,0.00029693,0.00029693,0.00028381,0.00029220,213.13372342,0.062277673983324
1651356000,2022-04-30 22:00:00,LINK/BTC,0.00030000,0.00030005,0.00024000,0.00029689,10093.13346336,2.9965503939369507
1651352400,2022-04-30 21:00:00,LINK/BTC,0.00030663,0.00030663,0.00030663,0.00030663,0.00000000,0.0
1651348800,2022-04-30 20:00:00,LINK/BTC,0.00030663,0.00030663,0.00030663,0.00030663,0.00000000,0.0
1651345200,2022-04-30 19:00:00,LINK/BTC,0.00030663,0.00030663,0.00030663,0.00030663,0.00000000,0.0
1651341600,2022-04-30 18:00:00,LINK/BTC,0.00030663,0.00030663,0.00030663,0.00030663,0.00000000,0.0
1651338000,2022-04-30 17:00:00,LINK/BTC,0.00030663,0.00030663,0.00030663,0.00030663,0.00000000,0.0
1651334400,2022-04-30 16:00:00,LINK/BTC,0.00030562,0.00030684,0.00030562,0.00030663,15.27391000,0.0046834390233
1651330800,2022-04-30 15:00:00,LINK/BTC,0.00030654,0.00030784,0.00030653,0.00030654,15.57087500,0.004773096022499999
1651327200,2022-04-30 14:00:00,LINK/BTC,0.00031100,0.00031100,0.00030618,0.00030618,33.07844200,0.010127957371560001
1651323600,2022-04-30 13:00:00,LINK/BTC,0.00031244,0.00031251,0.00030904,0.00031027,82.46675200,0.025586959143040003
1651320000,2022-04-30 12:00:00,LINK/BTC,0.00031235,0.00031328,0.00031235,0.00031268,109.75923600,0.03431951791248
1651316400,2022-04-30 11:00:00,LINK/BTC,0.00031205,0.00031310,0.00031205,0.00031300,10.30655300,0.003225951089
1651312800,2022-04-30 10:00:00,LINK/BTC,0.00031133,0.00031190,0.00031015,0.00031167,15983.84556325,4.981685146698128
1651309200,2022-04-30 09:00:00,LINK/BTC,0.00031128,0.00031188,0.00031095,0.00031130,7.21361300,0.0022455977268999996
1651305600,2022-04-30 08:00:00,LINK/BTC,0.00031356,0.00031401,0.00031065,0.00031160,89.73885700,0.0279626278412
1651302000,2022-04-30 07:00:00,LINK/BTC,0.00031381,0.00031381,0.00031238,0.00031257,95.18851000,0.0297530725707
1651298400,2022-04-30 06:00:00,LINK/BTC,0.00031516,0.00031516,0.00031329,0.00031329,31.16057000,0.0097622949753
1651294800,2022-04-30 05:00:00,LINK/BTC,0.00031584,0.00031688,0.00031522,0.00031566,147.94017767,0.0466987964833122
1651291200,2022-04-30 04:00:00,LINK/BTC,0.00031467,0.00031583,0.00031467,0.00031583,3.48468200,0.00110056711606
1651287600,2022-04-30 03:00:00,LINK/BTC,0.00031297,0.00031307,0.00031297,0.00031307,3.87922000,0.0012144674054
1651284000,2022-04-30 02:00:00,LINK/BTC,0.00031393,0.00031393,0.00031393,0.00031393,1.10225600,0.00034603122608
1651280400,2022-04-30 01:00:00,LINK/BTC,0.00031381,0.00031399,0.00031264,0.00031264,12.66083800,0.00395828439232
1651276800,2022-04-30 00:00:00,LINK/BTC,0.00031127,0.00031217,0.00031127,0.00031217,6.41775300,0.00200342995401
1651273200,2022-04-29 23:00:00,LINK/BTC,0.00030956,0.00031048,0.00030956,0.00030994,14.49942300,0.004493951164619999
1651269600,2022-04-29 22:00:00,LINK/BTC,0.00030796,0.00031055,0.00030796,0.00031021,66.30905600,0.02056973226176
1651266000,2022-04-29 21:00:00,LINK/BTC,0.00031038,0.00031110,0.00030986,0.00031064,78.42918852,0.0243632431218528
1651262400,2022-04-29 20:00:00,LINK/BTC,0.00031168,0.00031229,0.00031046,0.00031046,62.44026945,0.019385206053447
1651258800,2022-04-29 19:00:00,LINK/BTC,0.00031359,0.00031359,0.00030979,0.00031180,47.36694482,0.014769013394876
