https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume ETH
1578078000,2020-01-03 19:00:00,ETH/JPY,14519.0,14519.0,14401.61,14464.0,32234.3,2.23
1578074400,2020-01-03 18:00:00,ETH/JPY,14543.0,14543.0,14519.0,14519.0,1523.46,0.1049
1578070800,2020-01-03 17:00:00,ETH/JPY,14386.0,14609.13,14386.0,14543.0,132857.2,9.127
1578067200,2020-01-03 16:00:00,ETH/JPY,14354.86,14467.94,14348.0,14386.0,162036.37,11.23
1578063600,2020-01-03 15:00:00,ETH/JPY,14318.0,14354.86,14308.0,14354.86,46495.6,3.24
1578060000,2020-01-03 14:00:00,ETH/JPY,14518.0,14518.0,14277.0,14318.0,21093.08,1.46
1578056400,2020-01-03 13:00:00,ETH/JPY,14401.0,14518.0,14381.0,14518.0,1428501.15,98.43
1578052800,2020-01-03 12:00:00,ETH/JPY,14385.0,14401.0,14385.0,14401.0,1029.26,0.07147
1578049200,2020-01-03 11:00:00,ETH/JPY,14310.0,14385.0,14310.0,14385.0,44293.02,3.08
1578045600,2020-01-03 10:00:00,ETH/JPY,14366.0,14392.0,14310.0,14310.0,34022.09,2.369
1578042000,2020-01-03 09:00:00,ETH/JPY,14300.0,14379.0,14300.0,14366.0,67406.93,4.692
1578038400,2020-01-03 08:00:00,ETH/JPY,13975.98,14374.0,13975.61,14300.0,90955.06,6.385
1578034800,2020-01-03 07:00:00,ETH/JPY,14029.0,14046.0,13973.0,13975.98,739335.5,52.81
1578031200,2020-01-03 06:00:00,ETH/JPY,14038.0,14038.0,14029.0,14029.0,2142.56,0.1527
1578027600,2020-01-03 05:00:00,ETH/JPY,14085.0,14107.0,14035.0,14038.0,3735.83,0.2653
1578024000,2020-01-03 04:00:00,ETH/JPY,13785.0,14119.86,13785.0,14085.0,3515138.52,249.62
1578020400,2020-01-03 03:00:00,ETH/JPY,13778.78,13785.0,13776.31,13785.0,19965.77,1.449
1578016800,2020-01-03 02:00:00,ETH/JPY,13673.83,13778.78,13673.83,13778.78,67398.42,4.901
1578013200,2020-01-03 01:00:00,ETH/JPY,13828.0,13828.0,13673.83,13673.83,4074191.92,296.94
1578009600,2020-01-03 00:00:00,ETH/JPY,13862.0,13862.0,13828.0,13828.0,40891.71,2.957
1578006000,2020-01-02 23:00:00,ETH/JPY,13877.42,13886.0,13861.0,13862.0,25605.39,1.845
1578002400,2020-01-02 22:00:00,ETH/JPY,13921.0,13921.0,13877.42,13877.42,44133.18,3.18
1577998800,2020-01-02 21:00:00,ETH/JPY,13854.42,13921.0,13854.42,13921.0,39439.68,2.838
1577995200,2020-01-02 20:00:00,ETH/JPY,13871.0,13871.0,13840.38,13854.42,48571.97,3.507
1577991600,2020-01-02 19:00:00,ETH/JPY,13896.0,13896.0,13870.0,13871.0,22762.63,1.641
1577988000,2020-01-02 18:00:00,ETH/JPY,13896.0,13896.0,13896.0,13896.0,0.0,0.0
1577984400,2020-01-02 17:00:00,ETH/JPY,13864.0,13896.0,13760.54,13896.0,411815.74,29.82
1577980800,2020-01-02 16:00:00,ETH/JPY,14072.0,14072.0,13820.0,13864.0,884630.21,63.76
1577977200,2020-01-02 15:00:00,ETH/JPY,14094.0,14094.0,14052.33,14072.0,3246715.57,230.85
1577973600,2020-01-02 14:00:00,ETH/JPY,14065.73,14120.0,14065.73,14094.0,68285.24,4.845
1577970000,2020-01-02 13:00:00,ETH/JPY,14137.0,14166.24,14061.0,14065.73,92760.01,6.584
1577966400,2020-01-02 12:00:00,ETH/JPY,14137.0,14164.71,14129.0,14137.0,94631.19,6.686
1577962800,2020-01-02 11:00:00,ETH/JPY,14173.0,14173.0,14137.0,14137.0,73409.87,5.183
1577959200,2020-01-02 10:00:00,ETH/JPY,14155.0,14177.0,14155.0,14173.0,73061.19,5.156
1577955600,2020-01-02 09:00:00,ETH/JPY,14196.51,14196.51,14153.0,14155.0,43089.7,3.044
1577952000,2020-01-02 08:00:00,ETH/JPY,14097.0,14196.51,14093.0,14196.51,42432.77,3.003
1577948400,2020-01-02 07:00:00,ETH/JPY,14082.0,14105.0,14003.0,14097.0,791885.4,56.27
1577944800,2020-01-02 06:00:00,ETH/JPY,14094.0,14107.0,14082.0,14082.0,11669.61,0.8284
1577941200,2020-01-02 05:00:00,ETH/JPY,14104.0,14116.0,14094.0,14094.0,21767.35,1.544
1577937600,2020-01-02 04:00:00,ETH/JPY,14048.0,14128.0,14048.0,14104.0,114453.76,8.111
1577934000,2020-01-02 03:00:00,ETH/JPY,14116.12,14116.12,13981.0,14048.0,2060137.02,146.91
1577930400,2020-01-02 02:00:00,ETH/JPY,14172.0,14172.0,14048.28,14116.12,45959.53,3.256
1577926800,2020-01-02 01:00:00,ETH/JPY,14219.0,14222.0,14172.0,14172.0,37527.24,2.643
1577923200,2020-01-02 00:00:00,ETH/JPY,14219.0,14219.0,14219.0,14219.0,0.0,0.0
1577919600,2020-01-01 23:00:00,ETH/JPY,14165.0,14219.0,14165.0,14219.0,2742.2,0.193
1577916000,2020-01-01 22:00:00,ETH/JPY,14386.21,14386.21,14165.0,14165.0,8484687.58,597.01
1577912400,2020-01-01 21:00:00,ETH/JPY,14398.0,14415.0,14378.0,14386.21,312376.23,21.69
1577908800,2020-01-01 20:00:00,ETH/JPY,14375.0,14398.0,14369.0,14398.0,107612.19,7.477
1577905200,2020-01-01 19:00:00,ETH/JPY,14397.0,14397.0,14351.0,14375.0,609943.79,42.45
1577901600,2020-01-01 18:00:00,ETH/JPY,14438.41,14438.41,14357.0,14397.0,1424031.23,98.78
1577898000,2020-01-01 17:00:00,ETH/JPY,14752.0,14786.0,14436.32,14438.41,11998821.95,829.24
1577894400,2020-01-01 16:00:00,ETH/JPY,14707.86,14752.0,14703.0,14752.0,11091230.04,753.96
1577890800,2020-01-01 15:00:00,ETH/JPY,14705.0,14733.0,14664.0,14707.86,4190264.54,285.17
1577887200,2020-01-01 14:00:00,ETH/JPY,14665.0,14720.0,14618.0,14705.0,4690920.13,320.17
1577883600,2020-01-01 13:00:00,ETH/JPY,14651.0,14674.0,14620.61,14665.0,10562325.59,721.55
1577880000,2020-01-01 12:00:00,ETH/JPY,14559.0,14651.0,14556.0,14651.0,1669964.11,114.44
1577876400,2020-01-01 11:00:00,ETH/JPY,14558.0,14687.81,14558.0,14559.0,3054486.03,208.65
1577872800,2020-01-01 10:00:00,ETH/JPY,14516.0,14558.0,14493.0,14558.0,1151569.02,79.27
1577869200,2020-01-01 09:00:00,ETH/JPY,14467.0,14527.0,14467.0,14516.0,761373.02,52.49
1577865600,2020-01-01 08:00:00,ETH/JPY,14483.0,14492.12,14463.0,14467.0,687417.28,47.49
1577862000,2020-01-01 07:00:00,ETH/JPY,14515.0,14535.0,14483.0,14483.0,1024424.63,70.59
1577858400,2020-01-01 06:00:00,ETH/JPY,14483.0,14530.05,14483.0,14515.0,948398.13,65.34
1577854800,2020-01-01 05:00:00,ETH/JPY,14437.49,14516.0,14435.27,14483.0,5212273.65,360.84
1577851200,2020-01-01 04:00:00,ETH/JPY,14245.0,14450.79,14195.14,14437.49,3541024.99,245.72
1577847600,2020-01-01 03:00:00,ETH/JPY,14245.0,14245.0,14245.0,14245.0,0.0,0.0
1577844000,2020-01-01 02:00:00,ETH/JPY,14191.22,14259.0,14191.22,14245.0,1319.02,0.09254
