https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYVE,Volume USDT
1659484800,2022-08-03 00:00:00,HYVE/USDT,0.04202,0.04301,0.04061,0.04107,107123.1472,4518.771493843
1659398400,2022-08-02 00:00:00,HYVE/USDT,0.04027,0.04291,0.03934,0.04117,172698.8991,7011.457831782
1659312000,2022-08-01 00:00:00,HYVE/USDT,0.04113,0.04249,0.03932,0.04013,245338.4681,10065.359875439
1659225600,2022-07-31 00:00:00,HYVE/USDT,0.04108,0.04279,0.041,0.04106,148794.2363,6246.271900063
1659139200,2022-07-30 00:00:00,HYVE/USDT,0.04208,0.04357,0.04047,0.04105,653391.466,27605.08822497
1659052800,2022-07-29 00:00:00,HYVE/USDT,0.04196,0.04432,0.04074,0.0411,450397.1337,18884.279789496
1658966400,2022-07-28 00:00:00,HYVE/USDT,0.03803,0.0428,0.03772,0.04201,634598.9432,25634.898830096
1658880000,2022-07-27 00:00:00,HYVE/USDT,0.03474,0.04,0.03465,0.03797,1357328.3865,49336.695981823
1658793600,2022-07-26 00:00:00,HYVE/USDT,0.03643,0.03699,0.03321,0.03473,1245302.5134,43005.270804246
1658707200,2022-07-25 00:00:00,HYVE/USDT,0.03875,0.03875,0.0361,0.03621,379035.136,14227.447500208
1658620800,2022-07-24 00:00:00,HYVE/USDT,0.03832,0.0425,0.03754,0.0386,1188072.2458,45646.895614424
1658534400,2022-07-23 00:00:00,HYVE/USDT,0.03876,0.03952,0.03733,0.03769,1857417.1415,71053.609332835
1658448000,2022-07-22 00:00:00,HYVE/USDT,0.04013,0.04151,0.03837,0.03866,1452330.6608,57552.502023432
1658361600,2022-07-21 00:00:00,HYVE/USDT,0.04142,0.04317,0.03911,0.04012,2459909.0927,99307.207996957
1658275200,2022-07-20 00:00:00,HYVE/USDT,0.04385,0.04426,0.04116,0.04148,1370187.5115,58215.478552391
1658188800,2022-07-19 00:00:00,HYVE/USDT,0.04288,0.04439,0.0408,0.04372,1800545.528,76467.53668009
1658102400,2022-07-18 00:00:00,HYVE/USDT,0.04077,0.04537,0.0402,0.04224,1275606.622,54363.771657387
1658016000,2022-07-17 00:00:00,HYVE/USDT,0.04156,0.04296,0.04071,0.04082,1746361.2904,73396.842083987
1657929600,2022-07-16 00:00:00,HYVE/USDT,0.03998,0.04234,0.03953,0.04142,1355337.0125,55089.928854343
1657843200,2022-07-15 00:00:00,HYVE/USDT,0.0404,0.0408,0.03951,0.03984,750257.9484,30061.928473463
1657756800,2022-07-14 00:00:00,HYVE/USDT,0.03937,0.05,0.0374,0.04041,1434943.6842,56387.044628201
1657670400,2022-07-13 00:00:00,HYVE/USDT,0.03629,0.0634,0.03391,0.03915,2931460.3388,116673.786486607
1657584000,2022-07-12 00:00:00,HYVE/USDT,0.03669,0.03754,0.03576,0.03654,1689690.2883,61909.820697206
1657497600,2022-07-11 00:00:00,HYVE/USDT,0.04003,0.04042,0.03666,0.03666,2326678.1043,91059.503619274
1657411200,2022-07-10 00:00:00,HYVE/USDT,0.04208,0.04238,0.03933,0.04019,2294639.4626,93506.271382897
1657324800,2022-07-09 00:00:00,HYVE/USDT,0.0418,0.04415,0.0413,0.04211,2011967.2158,86376.226408539
1657238400,2022-07-08 00:00:00,HYVE/USDT,0.0432,0.044,0.0406,0.04272,910110.587,38678.100091155
1657152000,2022-07-07 00:00:00,HYVE/USDT,0.04235,0.04399,0.04081,0.04338,1156609.46009167,48704.1751701861668
1657065600,2022-07-06 00:00:00,HYVE/USDT,0.04106,0.04479,0.04003,0.04239,1053560.56217474,43449.6458679961145
1656979200,2022-07-05 00:00:00,HYVE/USDT,0.04225,0.04232,0.03901,0.04099,1298255.4318145,53402.4678145925302
1656892800,2022-07-04 00:00:00,HYVE/USDT,0.04045,0.0423,0.03993,0.04218,1461837.46527797,59642.5095429421641
1656806400,2022-07-03 00:00:00,HYVE/USDT,0.04112,0.04218,0.03901,0.04063,1680870.40849351,67632.699051783365
1656720000,2022-07-02 00:00:00,HYVE/USDT,0.04119,0.04294,0.03972,0.04104,205739.99077106,8474.7258604551877
1656633600,2022-07-01 00:00:00,HYVE/USDT,0.043,0.04479,0.0408,0.04147,49370.94219212,2091.439951946567
1656547200,2022-06-30 00:00:00,HYVE/USDT,0.04385,0.04434,0.0422,0.04302,180302.5924,7777.831329936
1656460800,2022-06-29 00:00:00,HYVE/USDT,0.04661,0.04709,0.0438,0.04387,370220.093,17014.615929986
1656374400,2022-06-28 00:00:00,HYVE/USDT,0.0467,0.0471,0.0461,0.04672,302469.66887487,14126.2506884002957
1656288000,2022-06-27 00:00:00,HYVE/USDT,0.04671,0.0485,0.0461,0.04695,184297.99861297,8759.3937340208011
1656201600,2022-06-26 00:00:00,HYVE/USDT,0.04702,0.04786,0.0463,0.0467,117889.24421888,5581.2990862558729
1656115200,2022-06-25 00:00:00,HYVE/USDT,0.0475,0.04859,0.04642,0.0468,61063.03133834,2896.0375382723168
1656028800,2022-06-24 00:00:00,HYVE/USDT,0.04581,0.04839,0.04519,0.04721,796505.58245622,37492.4231679488958
1655942400,2022-06-23 00:00:00,HYVE/USDT,0.04411,0.04689,0.04353,0.04534,486369.29205836,21698.5359099934623
