https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NFTB,Volume USDT
1646784000,2022-03-09 00:00:00,NFTB/USDT,0.1013,0.1092,0.1005,0.1018,653486.77224604,67276.153735788758
1646697600,2022-03-08 00:00:00,NFTB/USDT,0.1068,0.1075,0.101,0.1014,311001.94986674,32180.180434312922
1646611200,2022-03-07 00:00:00,NFTB/USDT,0.1064,0.1135,0.1021,0.1076,800954.54536086,85863.986550071221
1646524800,2022-03-06 00:00:00,NFTB/USDT,0.1117,0.1129,0.1048,0.1055,644794.99999409,69554.87451101931
1646438400,2022-03-05 00:00:00,NFTB/USDT,0.1127,0.1146,0.109,0.1117,213815.2099277,24017.119004238576
1646352000,2022-03-04 00:00:00,NFTB/USDT,0.125,0.1257,0.1084,0.1124,454389.94097407,53807.929637647215
1646265600,2022-03-03 00:00:00,NFTB/USDT,0.129,0.1321,0.1212,0.125,295455.41781403,37267.262451432085
1646179200,2022-03-02 00:00:00,NFTB/USDT,0.1285,0.1314,0.1239,0.1292,327998.20428236,41992.69431155716
1646092800,2022-03-01 00:00:00,NFTB/USDT,0.1278,0.1475,0.1236,0.1282,1190673.57955617,156760.68766341835
1646006400,2022-02-28 00:00:00,NFTB/USDT,0.1152,0.1298,0.114,0.1277,285590.40197893,34675.177658281319
1645920000,2022-02-27 00:00:00,NFTB/USDT,0.1209,0.1288,0.1145,0.1145,416390.13540232,50412.099373843022
1645833600,2022-02-26 00:00:00,NFTB/USDT,0.121,0.1264,0.1192,0.1208,234401.11550651,28762.652734162543
1645747200,2022-02-25 00:00:00,NFTB/USDT,0.1154,0.1212,0.1148,0.1204,163486.73420295,19360.736310013572
1645660800,2022-02-24 00:00:00,NFTB/USDT,0.1199,0.1208,0.1068,0.1155,1110543.29221267,124046.050400971028
1645574400,2022-02-23 00:00:00,NFTB/USDT,0.1231,0.1298,0.1191,0.1191,257968.65441231,32179.789398491196
1645488000,2022-02-22 00:00:00,NFTB/USDT,0.1192,0.126,0.119,0.1231,302211.93222733,36931.149700905907
1645401600,2022-02-21 00:00:00,NFTB/USDT,0.1315,0.1391,0.1191,0.1197,944327.38773582,120461.300136284771
1645315200,2022-02-20 00:00:00,NFTB/USDT,0.1404,0.1444,0.13,0.1316,185114.03242761,24557.055705871906
1645228800,2022-02-19 00:00:00,NFTB/USDT,0.1359,0.1461,0.1344,0.1405,205835.69163589,28694.663374898334
1645142400,2022-02-18 00:00:00,NFTB/USDT,0.1369,0.1437,0.1335,0.1358,541838.38145272,74912.13954796024
1645056000,2022-02-17 00:00:00,NFTB/USDT,0.1496,0.1535,0.136,0.137,293160.40703959,42568.434501536073
1644969600,2022-02-16 00:00:00,NFTB/USDT,0.1525,0.1576,0.1486,0.1495,400509.47780238,60708.356693351983
1644883200,2022-02-15 00:00:00,NFTB/USDT,0.1343,0.1604,0.1339,0.1518,888832.69965013,131126.07414136664
1644796800,2022-02-14 00:00:00,NFTB/USDT,0.1323,0.14,0.132,0.1349,635512.20446172,86571.407317199441
1644710400,2022-02-13 00:00:00,NFTB/USDT,0.1346,0.1387,0.1243,0.1322,937354.76465245,120586.553307762732
1644624000,2022-02-12 00:00:00,NFTB/USDT,0.1334,0.1385,0.132,0.1346,449283.63158826,60358.31559851311
1644537600,2022-02-11 00:00:00,NFTB/USDT,0.1375,0.1469,0.132,0.1341,618880.65360483,86488.236874316098
1644451200,2022-02-10 00:00:00,NFTB/USDT,0.1481,0.1519,0.1355,0.1373,1004343.45365337,143296.772576930173
1644364800,2022-02-09 00:00:00,NFTB/USDT,0.1455,0.1769,0.1388,0.1485,887999.78180243,131927.346754306781
1644278400,2022-02-08 00:00:00,NFTB/USDT,0.1543,0.1644,0.1367,0.1455,767622.78323105,115190.364440944335
1644192000,2022-02-07 00:00:00,NFTB/USDT,0.143,0.1636,0.1407,0.1553,911981.53955847,140269.887536757003
