https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CIRUS,Volume USDT
1651449600,2022-05-02 00:00:00,CIRUS/USDT,0.14218,0.14668,0.14218,0.14468,24661.20334596,3551.2154866988288
1651446000,2022-05-01 23:00:00,CIRUS/USDT,0.14234,0.14309,0.14218,0.14218,17475.6434,2491.460965254
1651442400,2022-05-01 22:00:00,CIRUS/USDT,0.14355,0.14381,0.14122,0.14237,45974.09110511,6564.1286756321608
1651438800,2022-05-01 21:00:00,CIRUS/USDT,0.14137,0.14428,0.14107,0.14356,27768.34568934,3957.5446285969752
1651435200,2022-05-01 20:00:00,CIRUS/USDT,0.13988,0.14171,0.13973,0.14133,46831.60537244,6578.577778785453
1651431600,2022-05-01 19:00:00,CIRUS/USDT,0.14101,0.14129,0.13981,0.13987,44910.58408424,6285.9742279154143
1651428000,2022-05-01 18:00:00,CIRUS/USDT,0.14294,0.1449,0.14083,0.14103,30289.64628873,4317.1835951569116
1651424400,2022-05-01 17:00:00,CIRUS/USDT,0.13743,0.14422,0.13737,0.14281,53321.87386418,7537.181209381507
1651420800,2022-05-01 16:00:00,CIRUS/USDT,0.13641,0.1382,0.13633,0.13744,38672.14748764,5313.6551290598368
1651417200,2022-05-01 15:00:00,CIRUS/USDT,0.13557,0.13657,0.13477,0.13639,24977.7927,3387.029325584
1651413600,2022-05-01 14:00:00,CIRUS/USDT,0.13443,0.1358,0.13443,0.13555,61371.0335,8292.781626083
1651410000,2022-05-01 13:00:00,CIRUS/USDT,0.1337,0.13451,0.13347,0.1345,47387.8143,6347.608216496
1651406400,2022-05-01 12:00:00,CIRUS/USDT,0.13393,0.13439,0.13347,0.13376,24706.492,3307.032590701
1651402800,2022-05-01 11:00:00,CIRUS/USDT,0.13536,0.13569,0.13281,0.13396,72395.65838665,9672.4320889895585
1651399200,2022-05-01 10:00:00,CIRUS/USDT,0.13551,0.136,0.13487,0.13555,42738.0861,5790.08806719
1651395600,2022-05-01 09:00:00,CIRUS/USDT,0.13656,0.13712,0.13469,0.13552,31002.3939,4215.771250943
1651392000,2022-05-01 08:00:00,CIRUS/USDT,0.13572,0.13729,0.13542,0.13658,33564.008433,4587.45364981757
1651388400,2022-05-01 07:00:00,CIRUS/USDT,0.13531,0.13635,0.13531,0.13573,51012.0521,6921.527228107
1651384800,2022-05-01 06:00:00,CIRUS/USDT,0.13186,0.13785,0.13184,0.13476,41942.222,5637.941001962
1651381200,2022-05-01 05:00:00,CIRUS/USDT,0.13177,0.1325,0.13069,0.13188,44418.003,5856.958855927
1651377600,2022-05-01 04:00:00,CIRUS/USDT,0.13184,0.1325,0.1302,0.13183,56605.5007,7447.180858028
1651374000,2022-05-01 03:00:00,CIRUS/USDT,0.13138,0.13245,0.13076,0.13181,29263.64895908,3854.3824661863808
1651370400,2022-05-01 02:00:00,CIRUS/USDT,0.13185,0.13205,0.13128,0.13133,42841.29004092,5646.9206710816192
1651366800,2022-05-01 01:00:00,CIRUS/USDT,0.1295,0.13239,0.12903,0.13184,31855.554,4150.847724974
1651363200,2022-05-01 00:00:00,CIRUS/USDT,0.1289,0.12992,0.12828,0.12947,35502.50528848,4585.9649002988127
1651359600,2022-04-30 23:00:00,CIRUS/USDT,0.13536,0.13538,0.12707,0.12887,109186.19142287,14173.6049806041229
1651356000,2022-04-30 22:00:00,CIRUS/USDT,0.1353,0.13582,0.13458,0.13537,35000.19514726,4731.8907822698396
1651352400,2022-04-30 21:00:00,CIRUS/USDT,0.13399,0.1358,0.13355,0.13526,34564.56219486,4656.0246627513204
1651348800,2022-04-30 20:00:00,CIRUS/USDT,0.13416,0.13603,0.13301,0.134,62253.70251592,8365.3946147313169
1651345200,2022-04-30 19:00:00,CIRUS/USDT,0.13393,0.13484,0.13299,0.13414,42147.76785756,5652.950351920088
1651341600,2022-04-30 18:00:00,CIRUS/USDT,0.13926,0.13926,0.1331,0.13449,95130.88147453,12812.5186582382069
1651338000,2022-04-30 17:00:00,CIRUS/USDT,0.13922,0.14134,0.13714,0.1393,64939.67016741,9038.6086883012684
1651334400,2022-04-30 16:00:00,CIRUS/USDT,0.14011,0.14032,0.13821,0.13921,28025.6827,3909.80231576
1651330800,2022-04-30 15:00:00,CIRUS/USDT,0.1395,0.14032,0.13887,0.14008,23439.16736533,3280.1751070531056
1651327200,2022-04-30 14:00:00,CIRUS/USDT,0.1399,0.14032,0.13877,0.13877,36149.89790765,5055.9928564691368
1651323600,2022-04-30 13:00:00,CIRUS/USDT,0.14021,0.14059,0.13948,0.14,25389.1827,3558.665291244
1651320000,2022-04-30 12:00:00,CIRUS/USDT,0.14,0.14058,0.13973,0.14018,27686.8727,3877.700052893
1651316400,2022-04-30 11:00:00,CIRUS/USDT,0.1403,0.14059,0.13948,0.14003,29464.2623,4124.745006466
1651312800,2022-04-30 10:00:00,CIRUS/USDT,0.1399,0.14062,0.13878,0.14028,45935.7632,6434.065773916
1651309200,2022-04-30 09:00:00,CIRUS/USDT,0.13997,0.14042,0.13974,0.13988,47311.5525,6621.176611989
1651305600,2022-04-30 08:00:00,CIRUS/USDT,0.14111,0.14141,0.13879,0.13996,31276.5087,4394.236011673
1651302000,2022-04-30 07:00:00,CIRUS/USDT,0.13999,0.1414,0.13979,0.14115,33357.03841437,4679.552787158422
1651298400,2022-04-30 06:00:00,CIRUS/USDT,0.14035,0.14079,0.13851,0.13996,53283.45048563,7442.980932103578
1651294800,2022-04-30 05:00:00,CIRUS/USDT,0.13993,0.1406,0.13948,0.1406,44933.8892,6300.666652883
1651291200,2022-04-30 04:00:00,CIRUS/USDT,0.14015,0.14019,0.13948,0.13991,42131.8481,5896.33940409
1651287600,2022-04-30 03:00:00,CIRUS/USDT,0.13983,0.14039,0.13957,0.14018,33793.18911763,4732.0437150820757
1651284000,2022-04-30 02:00:00,CIRUS/USDT,0.1389,0.14008,0.13888,0.13981,49659.69344394,6930.965898330615
1651280400,2022-04-30 01:00:00,CIRUS/USDT,0.13891,0.13945,0.13883,0.13945,47223.9978,6562.289113461
1651276800,2022-04-30 00:00:00,CIRUS/USDT,0.13892,0.13945,0.13886,0.13886,46421.9552,6454.592405023
1651273200,2022-04-29 23:00:00,CIRUS/USDT,0.13954,0.13967,0.13859,0.13889,44368.4802,6175.218770091
1651269600,2022-04-29 22:00:00,CIRUS/USDT,0.13859,0.13975,0.13859,0.13957,32197.01606041,4477.7204635332525
1651266000,2022-04-29 21:00:00,CIRUS/USDT,0.1398,0.13995,0.13859,0.13859,20540.75383821,2858.923304676867
1651262400,2022-04-29 20:00:00,CIRUS/USDT,0.14148,0.14169,0.13944,0.13981,41289.833,5800.375347988
1651258800,2022-04-29 19:00:00,CIRUS/USDT,0.14209,0.14215,0.14137,0.14145,33025.699,4680.35498649
1651255200,2022-04-29 18:00:00,CIRUS/USDT,0.142,0.14241,0.14079,0.14191,23639.48647879,3351.4398586864839
1651251600,2022-04-29 17:00:00,CIRUS/USDT,0.14133,0.14265,0.14129,0.14201,31421.9458,4454.864247154
1651248000,2022-04-29 16:00:00,CIRUS/USDT,0.14426,0.14452,0.14083,0.14132,46011.36705029,6543.4555919009108
1651244400,2022-04-29 15:00:00,CIRUS/USDT,0.14372,0.14452,0.143,0.14429,26163.86343459,3769.6451486388609
1651240800,2022-04-29 14:00:00,CIRUS/USDT,0.14179,0.14373,0.14083,0.14372,42902.84525179,6106.1834628727767
1651237200,2022-04-29 13:00:00,CIRUS/USDT,0.14137,0.14238,0.13961,0.14178,42270.163,5990.113811742
1651233600,2022-04-29 12:00:00,CIRUS/USDT,0.14104,0.14179,0.13986,0.14133,50296.4107,7086.822807384
1651230000,2022-04-29 11:00:00,CIRUS/USDT,0.14364,0.14473,0.13896,0.14099,69076.58383451,9810.2122652044847
1651226400,2022-04-29 10:00:00,CIRUS/USDT,0.14461,0.1449,0.14293,0.1441,41329.2843,5948.924812536
1651222800,2022-04-29 09:00:00,CIRUS/USDT,0.14507,0.14565,0.14456,0.14487,21459.5192,3110.688015848
1651219200,2022-04-29 08:00:00,CIRUS/USDT,0.14503,0.14555,0.14455,0.14506,33483.54,4857.169115956
1651215600,2022-04-29 07:00:00,CIRUS/USDT,0.1442,0.14559,0.1436,0.14502,25958.03974329,3751.6736909010139
1651212000,2022-04-29 06:00:00,CIRUS/USDT,0.14512,0.14515,0.1433,0.14418,40760.8368,5875.309094267
1651208400,2022-04-29 05:00:00,CIRUS/USDT,0.14264,0.14559,0.14205,0.14514,61893.7411,8924.950740024
1651204800,2022-04-29 04:00:00,CIRUS/USDT,0.14385,0.14385,0.14251,0.14263,31755.3361,4542.336632111
1651201200,2022-04-29 03:00:00,CIRUS/USDT,0.14605,0.14609,0.143,0.144,46564.25743333,6720.68942886352
1651197600,2022-04-29 02:00:00,CIRUS/USDT,0.14649,0.14659,0.14549,0.14609,30198.2046,4416.209267043
1651194000,2022-04-29 01:00:00,CIRUS/USDT,0.14583,0.14743,0.1456,0.14646,45883.53697861,6729.5543329114723
1651190400,2022-04-29 00:00:00,CIRUS/USDT,0.14586,0.148,0.14557,0.1458,48301.6253,7100.054154441
1651186800,2022-04-28 23:00:00,CIRUS/USDT,0.14541,0.14596,0.14469,0.14589,32590.96002539,4750.5540947535925
1651183200,2022-04-28 22:00:00,CIRUS/USDT,0.14533,0.14575,0.14477,0.14538,44492.79627461,6472.9701777654075
1651179600,2022-04-28 21:00:00,CIRUS/USDT,0.14493,0.14742,0.14396,0.14535,48542.98869679,7048.6180541605542
1651176000,2022-04-28 20:00:00,CIRUS/USDT,0.14432,0.14587,0.14366,0.14481,45316.76067857,6577.9207479584371
1651172400,2022-04-28 19:00:00,CIRUS/USDT,0.14361,0.14501,0.14361,0.1443,36879.5643,5328.903758434
1651168800,2022-04-28 18:00:00,CIRUS/USDT,0.14621,0.14666,0.14323,0.14461,94851.95502496,13742.742517675168
1651165200,2022-04-28 17:00:00,CIRUS/USDT,0.14772,0.14816,0.1462,0.14631,38649.04461784,5688.856087809879
1651161600,2022-04-28 16:00:00,CIRUS/USDT,0.14551,0.14773,0.14517,0.14706,38341.06897957,5600.0352238125559
1651158000,2022-04-28 15:00:00,CIRUS/USDT,0.14567,0.14668,0.14312,0.14541,51274.73912963,7418.3047050681842
1651154400,2022-04-28 14:00:00,CIRUS/USDT,0.14555,0.14565,0.14313,0.14565,33319.0332,4828.902345659
1651150800,2022-04-28 13:00:00,CIRUS/USDT,0.14774,0.14778,0.14491,0.14559,45412.1298,6637.593748344
1651147200,2022-04-28 12:00:00,CIRUS/USDT,0.14804,0.14883,0.14661,0.1481,40377.3842,5952.380701913
1651143600,2022-04-28 11:00:00,CIRUS/USDT,0.14833,0.14883,0.14805,0.14836,22107.4243,3280.859165921
1651140000,2022-04-28 10:00:00,CIRUS/USDT,0.14872,0.1496,0.14804,0.14833,25654.3042,3809.104177556
1651136400,2022-04-28 09:00:00,CIRUS/USDT,0.14848,0.14966,0.14791,0.14877,31480.94493436,4678.4318838064128
1651132800,2022-04-28 08:00:00,CIRUS/USDT,0.14608,0.14889,0.14468,0.14784,46737.49220192,6860.8811977618688
1651129200,2022-04-28 07:00:00,CIRUS/USDT,0.14708,0.14754,0.14557,0.1461,22475.7264,3295.71636415
1651125600,2022-04-28 06:00:00,CIRUS/USDT,0.1469,0.15005,0.1454,0.14709,52342.20668477,7705.975972762986
1651122000,2022-04-28 05:00:00,CIRUS/USDT,0.14698,0.14755,0.14661,0.14687,24055.6502,3535.476700991294
1651118400,2022-04-28 04:00:00,CIRUS/USDT,0.14646,0.14743,0.14457,0.14701,41080.47952745,5988.5105892619535
1651114800,2022-04-28 03:00:00,CIRUS/USDT,0.14758,0.14767,0.14652,0.14652,29362.08060869,4324.164971283168
1651111200,2022-04-28 02:00:00,CIRUS/USDT,0.14661,0.14947,0.14627,0.14756,32344.85122352,4768.4497987577257
1651107600,2022-04-28 01:00:00,CIRUS/USDT,0.1469,0.1478,0.14628,0.14662,27498.8675,4046.008832307
1651104000,2022-04-28 00:00:00,CIRUS/USDT,0.14704,0.14765,0.14627,0.14727,31989.4019,4703.515651412
1651100400,2022-04-27 23:00:00,CIRUS/USDT,0.14715,0.14763,0.14656,0.14694,27705.36534447,4075.4786282822121
1651096800,2022-04-27 22:00:00,CIRUS/USDT,0.14609,0.14743,0.14609,0.14714,24332.16867755,3574.9464163756633
1651093200,2022-04-27 21:00:00,CIRUS/USDT,0.14586,0.14677,0.14558,0.14607,25985.58116769,3797.9243202961092
1651089600,2022-04-27 20:00:00,CIRUS/USDT,0.14575,0.14667,0.14466,0.14588,74811.45862689,10931.1317674897374
1651086000,2022-04-27 19:00:00,CIRUS/USDT,0.14501,0.14645,0.14465,0.14538,37337.5282,5432.483797616
1651082400,2022-04-27 18:00:00,CIRUS/USDT,0.14569,0.14761,0.14483,0.14503,53264.0885,7791.787787251
1651078800,2022-04-27 17:00:00,CIRUS/USDT,0.14852,0.14998,0.14422,0.14566,60142.2553,8845.522748508
1651075200,2022-04-27 16:00:00,CIRUS/USDT,0.14924,0.15061,0.14752,0.14851,38555.3347,5760.324725663
1651071600,2022-04-27 15:00:00,CIRUS/USDT,0.15167,0.15198,0.14872,0.14925,68450.81388345,10252.268022424582
1651068000,2022-04-27 14:00:00,CIRUS/USDT,0.15313,0.1535,0.15095,0.15164,26133.72676135,3965.1742281856342
1651064400,2022-04-27 13:00:00,CIRUS/USDT,0.15243,0.15418,0.15042,0.15312,46673.67428588,7113.5279895129234
1651060800,2022-04-27 12:00:00,CIRUS/USDT,0.15208,0.15268,0.15184,0.15246,29870.48255485,4546.777360228165
1651057200,2022-04-27 11:00:00,CIRUS/USDT,0.15259,0.1528,0.15045,0.15206,42616.2222,6475.228132064
1651053600,2022-04-27 10:00:00,CIRUS/USDT,0.15444,0.15455,0.15122,0.15262,39671.1426,6048.783292915
1651050000,2022-04-27 09:00:00,CIRUS/USDT,0.15455,0.15604,0.15342,0.15441,31756.92593364,4910.0037062491856
1651046400,2022-04-27 08:00:00,CIRUS/USDT,0.1555,0.15566,0.15352,0.15453,45307.35913344,7009.5443230918688
1651042800,2022-04-27 07:00:00,CIRUS/USDT,0.15515,0.15626,0.15513,0.15545,36062.79919015,5613.813530379839
1651039200,2022-04-27 06:00:00,CIRUS/USDT,0.15331,0.15686,0.15315,0.15517,57665.90725129,8879.1489455593036
1651035600,2022-04-27 05:00:00,CIRUS/USDT,0.15392,0.15427,0.15315,0.15333,65251.256,10020.680049941
1651032000,2022-04-27 04:00:00,CIRUS/USDT,0.15425,0.15466,0.15356,0.15394,25948.14798308,3999.9766954981832
1651028400,2022-04-27 03:00:00,CIRUS/USDT,0.15103,0.15479,0.15103,0.15424,41543.49227509,6376.8423150390331
1651024800,2022-04-27 02:00:00,CIRUS/USDT,0.15112,0.1525,0.1505,0.15106,24884.6902,3772.804017999
1651021200,2022-04-27 01:00:00,CIRUS/USDT,0.15169,0.15198,0.1507,0.1511,23330.8613,3530.941641584
1651017600,2022-04-27 00:00:00,CIRUS/USDT,0.1504,0.15198,0.14979,0.15166,20663.349,3116.222558935
1651014000,2022-04-26 23:00:00,CIRUS/USDT,0.15115,0.15144,0.14979,0.15037,28589.2911,4308.661253069
1651010400,2022-04-26 22:00:00,CIRUS/USDT,0.14567,0.15174,0.145,0.15111,48398.9705825,7231.029456668125
1651006800,2022-04-26 21:00:00,CIRUS/USDT,0.14481,0.14645,0.14461,0.1458,59611.22064529,8659.7253981676548
1651003200,2022-04-26 20:00:00,CIRUS/USDT,0.14496,0.14553,0.14433,0.14482,21037.36533509,3047.9430503065937
1650999600,2022-04-26 19:00:00,CIRUS/USDT,0.14746,0.14793,0.14387,0.14496,39540.9607701,5772.45281367657
1650996000,2022-04-26 18:00:00,CIRUS/USDT,0.1478,0.14793,0.14712,0.14744,26580.21349046,3920.1492987477478
1650992400,2022-04-26 17:00:00,CIRUS/USDT,0.15147,0.15147,0.14181,0.14754,128060.09129606,18526.2372825670026
1650988800,2022-04-26 16:00:00,CIRUS/USDT,0.15027,0.1535,0.14981,0.1516,48026.23834371,7250.2727811093335
1650985200,2022-04-26 15:00:00,CIRUS/USDT,0.153,0.15305,0.1477,0.15027,73003.15578696,10930.4711738329983
1650981600,2022-04-26 14:00:00,CIRUS/USDT,0.15624,0.15643,0.153,0.15301,61557.77623715,9564.0157477603872
1650978000,2022-04-26 13:00:00,CIRUS/USDT,0.15698,0.15815,0.15592,0.15643,38238.52913807,5995.8643599801492
1650974400,2022-04-26 12:00:00,CIRUS/USDT,0.15767,0.15832,0.15569,0.15697,51298.04307496,8057.856529937704
1650970800,2022-04-26 11:00:00,CIRUS/USDT,0.15791,0.15826,0.15734,0.15764,40481.8037,6387.155789141
1650967200,2022-04-26 10:00:00,CIRUS/USDT,0.16173,0.16263,0.15738,0.15822,53277.22255766,8491.5537031778302
1650963600,2022-04-26 09:00:00,CIRUS/USDT,0.16552,0.16577,0.16085,0.16176,47516.28482391,7793.1372823679418
1650960000,2022-04-26 08:00:00,CIRUS/USDT,0.1666,0.16682,0.1633,0.16544,31062.1303,5128.929739257
1650956400,2022-04-26 07:00:00,CIRUS/USDT,0.16712,0.16749,0.16411,0.16657,58016.78590007,9635.1617909621171
1650952800,2022-04-26 06:00:00,CIRUS/USDT,0.16731,0.16749,0.16418,0.16712,44694.26146312,7440.6567141791617
1650949200,2022-04-26 05:00:00,CIRUS/USDT,0.16653,0.16748,0.16644,0.16728,45704.33691029,7634.0584898786694
1650945600,2022-04-26 04:00:00,CIRUS/USDT,0.16551,0.16668,0.16551,0.16648,43225.56123046,7193.8972266610599
1650942000,2022-04-26 03:00:00,CIRUS/USDT,0.16688,0.16719,0.16401,0.16553,59449.61512973,9815.1762216084059
1650938400,2022-04-26 02:00:00,CIRUS/USDT,0.16715,0.16748,0.16644,0.16687,29707.8275,4963.76180795
1650934800,2022-04-26 01:00:00,CIRUS/USDT,0.16684,0.16749,0.16557,0.16715,24361.11517825,4063.30291000305
1650931200,2022-04-26 00:00:00,CIRUS/USDT,0.16756,0.16774,0.1654,0.16683,30525.11863251,5094.8572156570999
1650927600,2022-04-25 23:00:00,CIRUS/USDT,0.16846,0.1691,0.16645,0.16764,36128.91774173,6094.342118607543
