https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RFUEL,Volume USDT
1649203200,2022-04-06 00:00:00,RFUEL/USDT,0.02796,0.02796,0.027003,0.027003,422926.40334648,11620.01588971615075
1649116800,2022-04-05 00:00:00,RFUEL/USDT,0.028671,0.029249,0.027825,0.027825,1852498.28019091,52882.26254864319708
1649030400,2022-04-04 00:00:00,RFUEL/USDT,0.029474,0.02983,0.027969,0.028671,1951973.6862578,56127.80859533601711
1648944000,2022-04-03 00:00:00,RFUEL/USDT,0.030518,0.030747,0.029433,0.029469,2050406.87859147,61285.57441168141097
1648857600,2022-04-02 00:00:00,RFUEL/USDT,0.030958,0.031279,0.030299,0.030518,1736837.45564999,53171.11850244956611
1648771200,2022-04-01 00:00:00,RFUEL/USDT,0.02857,0.031283,0.027895,0.03103,1903799.88959017,55106.97788316214776
1648684800,2022-03-31 00:00:00,RFUEL/USDT,0.029017,0.03022,0.028461,0.028572,1532871.5529755,44645.42698858065307
1648598400,2022-03-30 00:00:00,RFUEL/USDT,0.029543,0.029913,0.028744,0.029009,1050362.04510646,30578.80178408610901
1648512000,2022-03-29 00:00:00,RFUEL/USDT,0.029021,0.030138,0.028887,0.029543,470102.72815177,13891.03313868633915
1648425600,2022-03-28 00:00:00,RFUEL/USDT,0.029027,0.029438,0.028458,0.029021,1882845.87354151,54248.92858620430502
1648339200,2022-03-27 00:00:00,RFUEL/USDT,0.026452,0.029031,0.026276,0.029001,6673499.37972477,182931.65837204419196
1648252800,2022-03-26 00:00:00,RFUEL/USDT,0.02646,0.026601,0.026271,0.026453,4557759.57921481,120417.71656854808413
1648166400,2022-03-25 00:00:00,RFUEL/USDT,0.026074,0.026669,0.02595,0.026461,7712867.36955127,202239.03160746706769
1648080000,2022-03-24 00:00:00,RFUEL/USDT,0.025939,0.026601,0.025752,0.026061,10406442.68456079,271104.86880083644067
1647993600,2022-03-23 00:00:00,RFUEL/USDT,0.025689,0.026232,0.025399,0.025829,11934867.18179583,306963.54416264894514
1647907200,2022-03-22 00:00:00,RFUEL/USDT,0.025776,0.026335,0.025687,0.025689,14434689.47809572,372673.90935146526771
1647820800,2022-03-21 00:00:00,RFUEL/USDT,0.025615,0.026074,0.025183,0.025777,16396045.0669437,420310.30673822190628
1647734400,2022-03-20 00:00:00,RFUEL/USDT,0.026017,0.026081,0.025244,0.025616,16946933.86395705,438065.18407697910769
1647648000,2022-03-19 00:00:00,RFUEL/USDT,0.025175,0.027562,0.025116,0.026017,20570800.84500017,541619.01502243818122
1647561600,2022-03-18 00:00:00,RFUEL/USDT,0.025052,0.025241,0.024995,0.025176,17131411.10920678,429616.88627013092592
1647475200,2022-03-17 00:00:00,RFUEL/USDT,0.023888,0.025621,0.023833,0.025051,18230456.2910439,444026.04424054458115
1647388800,2022-03-16 00:00:00,RFUEL/USDT,0.023422,0.024193,0.02342,0.023888,18036991.62993053,425813.7280241020455
1647302400,2022-03-15 00:00:00,RFUEL/USDT,0.023625,0.02374,0.023015,0.023422,17932704.83754426,417046.37730860383
1647216000,2022-03-14 00:00:00,RFUEL/USDT,0.024013,0.024521,0.023392,0.023625,14256689.46460444,338759.70375395181483
1647129600,2022-03-13 00:00:00,RFUEL/USDT,0.024994,0.02512,0.02402,0.02402,635625.9948637,15744.4408289111232
1647043200,2022-03-12 00:00:00,RFUEL/USDT,0.025243,0.025313,0.024984,0.024997,177027.61399777,4454.62158102560561
1646956800,2022-03-11 00:00:00,RFUEL/USDT,0.026205,0.026205,0.02521,0.0253,1024924.37102101,26214.03775058849259
