https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM3S,Volume USDT
1656460800,2022-06-29 00:00:00,ATOM3S/USDT,1.5084,1.6959,1.3918,1.4682,91797.63207643,143238.538383964748
1656374400,2022-06-28 00:00:00,ATOM3S/USDT,1.2888,1.55,1.1712,1.4937,147329.34640535,198645.641189254865
1656288000,2022-06-27 00:00:00,ATOM3S/USDT,1.1575,1.3161,0.944,1.3021,128589.38809891,144165.603461700109
1656201600,2022-06-26 00:00:00,ATOM3S/USDT,0.9793,1.2,0.9492,1.1968,84963.70211244,90404.88341865884
1656115200,2022-06-25 00:00:00,ATOM3S/USDT,1.1379,1.245,0.9536,0.9762,130202.39980229,145832.194411887049
1656028800,2022-06-24 00:00:00,ATOM3S/USDT,1.2199,1.2902,1.02,1.1483,169386.72111281,194796.937501882234
1655942400,2022-06-23 00:00:00,ATOM3S/USDT,2.1614,2.1614,1.1841,1.221,260883.07229908,398884.143566863328
1655856000,2022-06-22 00:00:00,ATOM3S/USDT,2.2933,2.6766,1.64,2.154,138547.38520342,294649.674097895665
1655769600,2022-06-21 00:00:00,ATOM3S/USDT,2.4553,2.5876,2.0457,2.3017,59445.57147625,137141.454882445237
1655683200,2022-06-20 00:00:00,ATOM3S/USDT,2.5165,2.8565,2.2834,2.4425,93801.62826646,239872.415655362437
1655596800,2022-06-19 00:00:00,ATOM3S/USDT,4.0603,4.5276,2.4509,2.5234,109777.77947217,367932.468435661194
1655510400,2022-06-18 00:00:00,ATOM3S/USDT,3.6503,4.9464,3.4092,4.068,67399.28126825,288734.36471784826
1655424000,2022-06-17 00:00:00,ATOM3S/USDT,3.7481,3.9,3.2463,3.6503,49180.21314909,174493.445970227654
1655337600,2022-06-16 00:00:00,ATOM3S/USDT,2.6825,4.0842,2.4797,3.7514,114161.29960263,379250.813804452227
1655251200,2022-06-15 00:00:00,ATOM3S/USDT,4.79,5.7633,2.6835,2.6835,170864.52768136,689208.893430810704
1655164800,2022-06-14 00:00:00,ATOM3S/USDT,4.5017,5.75,3.8221,4.79,87494.65290633,414845.484605560075
1655078400,2022-06-13 00:00:00,ATOM3S/USDT,3.7824,5.5775,3.625,4.4563,169052.3063079,805331.479994333733
1654992000,2022-06-12 00:00:00,ATOM3S/USDT,3.1953,4.0113,2.961,3.7712,92161.08956775,316417.23413410262
1654905600,2022-06-11 00:00:00,ATOM3S/USDT,2.6733,3.368,2.4171,3.1953,66780.55826132,192849.122229592021
1654819200,2022-06-10 00:00:00,ATOM3S/USDT,2.1556,2.7009,2.0054,2.6738,50555.7826375,117259.770497715833
1654732800,2022-06-09 00:00:00,ATOM3S/USDT,2.177,2.2594,1.8703,2.1558,62248.84676875,130137.786694344098
1654646400,2022-06-08 00:00:00,ATOM3S/USDT,1.9207,2.25,1.7786,2.177,57697.72190512,119507.438546738372
1654560000,2022-06-07 00:00:00,ATOM3S/USDT,1.7848,2.2675,1.7793,1.9207,89978.25002128,182092.35943994886
1654473600,2022-06-06 00:00:00,ATOM3S/USDT,1.9596,2.0004,1.6021,1.7755,70966.74334855,126283.591445794814
1654387200,2022-06-05 00:00:00,ATOM3S/USDT,1.9377,2.0492,1.8434,1.9601,56625.12016768,109666.368983312789
1654300800,2022-06-04 00:00:00,ATOM3S/USDT,1.9791,2.1643,1.9151,1.9228,63561.35589953,127646.235571913422
1654214400,2022-06-03 00:00:00,ATOM3S/USDT,1.7538,2.1081,1.7211,1.9959,71377.38151283,141218.023296425895
1654128000,2022-06-02 00:00:00,ATOM3S/USDT,1.9506,2.0167,1.7211,1.7408,90763.91049762,170050.365374076807
1654041600,2022-06-01 00:00:00,ATOM3S/USDT,1.5089,2.0183,1.4311,1.9362,74527.60922018,124818.880858582212
1653955200,2022-05-31 00:00:00,ATOM3S/USDT,1.4365,1.6165,1.3001,1.509,68371.19372702,101272.277415509705
1653868800,2022-05-30 00:00:00,ATOM3S/USDT,1.9921,2.0504,1.3845,1.4364,136765.61355354,224681.533102583543
1653782400,2022-05-29 00:00:00,ATOM3S/USDT,2.1316,2.2931,1.93,2.0025,95287.68961797,199793.714158936794
1653696000,2022-05-28 00:00:00,ATOM3S/USDT,2.2536,2.3184,1.9499,2.1314,78127.36385566,164417.816713559617
1653609600,2022-05-27 00:00:00,ATOM3S/USDT,2.0271,2.3771,1.8574,2.2536,138470.01653542,294304.124446039653
1653523200,2022-05-26 00:00:00,ATOM3S/USDT,1.5439,2.2028,1.4712,2.0372,131268.57557264,248013.184318894629
1653436800,2022-05-25 00:00:00,ATOM3S/USDT,1.4305,1.6128,1.3082,1.5462,91836.83254257,137413.807409319928
1653350400,2022-05-24 00:00:00,ATOM3S/USDT,1.4108,1.6717,1.3096,1.4252,88676.50493176,130706.459715568812
1653264000,2022-05-23 00:00:00,ATOM3S/USDT,1.3206,1.4707,1.0119,1.4107,156485.99401614,185851.975547829965
1653177600,2022-05-22 00:00:00,ATOM3S/USDT,1.4548,1.5119,1.2462,1.3066,70672.79191143,96301.002703925861
1653091200,2022-05-21 00:00:00,ATOM3S/USDT,1.4247,1.5871,1.3052,1.4707,78031.93500821,113561.705630729051
1653004800,2022-05-20 00:00:00,ATOM3S/USDT,1.5873,1.6207,1.0203,1.4159,297587.48580111,396205.6417561264
1652918400,2022-05-19 00:00:00,ATOM3S/USDT,2.061,2.2283,1.5368,1.5874,105505.7610405,192549.448969183787
1652832000,2022-05-18 00:00:00,ATOM3S/USDT,1.5333,2.1,1.3879,2.061,158701.84989269,294157.163176140528
1652745600,2022-05-17 00:00:00,ATOM3S/USDT,1.7157,1.8547,1.3215,1.5338,91897.35515424,144963.36989824935
1652659200,2022-05-16 00:00:00,ATOM3S/USDT,1.34,1.7773,1.2713,1.7022,160201.99672305,248050.621437937467
1652572800,2022-05-15 00:00:00,ATOM3S/USDT,2.3035,2.6128,1.2902,1.3158,95346.9259694,177703.179977882753
1652486400,2022-05-14 00:00:00,ATOM3S/USDT,2.7432,3.3889,2.1205,2.301,95015.27012781,263141.886182514408
1652400000,2022-05-13 00:00:00,ATOM3S/USDT,4.1083,4.85,1.9475,2.7725,191996.35785061,595707.101405273727
1652313600,2022-05-12 00:00:00,ATOM3S/USDT,3.0627,4.878,2.4239,4.1379,397293.54879125,1531957.326977436046
1652227200,2022-05-11 00:00:00,ATOM3S/USDT,1.9432,4,1.7516,3.095,1531568.58575349,4220426.434321165269
1652140800,2022-05-10 00:00:00,ATOM3S/USDT,2.9822,3.2999,1.395,1.9297,946883.24074458,1962783.870395791323
1652054400,2022-05-09 00:00:00,ATOM3S/USDT,1.7707,3.075,1.6866,2.9153,839428.38508698,1861000.962215728318
1651968000,2022-05-08 00:00:00,ATOM3S/USDT,1.573,1.8489,1.5543,1.7763,493693.9932316,832515.76672541248
1651881600,2022-05-07 00:00:00,ATOM3S/USDT,1.3106,1.6727,1.3051,1.5731,376644.26916113,559662.286505065707
1651795200,2022-05-06 00:00:00,ATOM3S/USDT,1.2689,1.4427,1.2396,1.3106,502191.35402888,660929.487884717559
1651708800,2022-05-05 00:00:00,ATOM3S/USDT,0.967,1.3811,0.9077,1.2689,800527.33600077,924898.666025867697
1651622400,2022-05-04 00:00:00,ATOM3S/USDT,1.5664,1.5985,0.9262,0.9724,485919.83879956,602609.797789550265
1651536000,2022-05-03 00:00:00,ATOM3S/USDT,1.5109,1.5955,1.22,1.5626,550762.72261497,772364.121720843692
1651449600,2022-05-02 00:00:00,ATOM3S/USDT,1.4591,1.6512,1.3642,1.5069,321169.29493721,484952.140039382696
1651363200,2022-05-01 00:00:00,ATOM3S/USDT,1.4944,1.56,1.2892,1.4652,339344.1758322,485715.462341918993
1651276800,2022-04-30 00:00:00,ATOM3S/USDT,1.1995,1.5613,1.1825,1.4928,249992.49254469,342054.128134286619
1651190400,2022-04-29 00:00:00,ATOM3S/USDT,1.0043,1.2292,0.9903,1.2048,161976.45516487,178193.335650241628
1651104000,2022-04-28 00:00:00,ATOM3S/USDT,0.9286,1.0523,0.9225,1.0067,258912.39825572,256431.171428830824
1651017600,2022-04-27 00:00:00,ATOM3S/USDT,1.126,1.1458,0.8654,0.9263,453235.30780812,437128.481107286989
1650931200,2022-04-26 00:00:00,ATOM3S/USDT,0.9,1.1611,0.8834,1.1238,166976.81613932,171151.37738979639
1650844800,2022-04-25 00:00:00,ATOM3S/USDT,0.8839,1.0637,0.8742,0.9058,219252.05937533,211311.152918224701
1650758400,2022-04-24 00:00:00,ATOM3S/USDT,0.7874,0.8838,0.7833,0.8838,122169.98359355,102366.080077966914
1650672000,2022-04-23 00:00:00,ATOM3S/USDT,0.7977,0.8331,0.7626,0.7929,111679.45451611,88730.614585758426
1650585600,2022-04-22 00:00:00,ATOM3S/USDT,0.7811,0.8315,0.7256,0.8005,178189.89201077,138014.123761392984
1650499200,2022-04-21 00:00:00,ATOM3S/USDT,0.6973,0.8102,0.6374,0.7771,181309.77356615,128292.484105880623
1650412800,2022-04-20 00:00:00,ATOM3S/USDT,0.6641,0.7154,0.6298,0.6968,119489.54508894,79750.097802544366
1650326400,2022-04-19 00:00:00,ATOM3S/USDT,0.7168,0.746,0.6612,0.6685,138304.05734619,96083.767764025836
1650240000,2022-04-18 00:00:00,ATOM3S/USDT,0.8092,0.8854,0.7084,0.7185,266271.96020047,208490.626809836932
1650153600,2022-04-17 00:00:00,ATOM3S/USDT,0.7209,0.817,0.695,0.8056,124933.71277229,93522.251167248496
1650067200,2022-04-16 00:00:00,ATOM3S/USDT,0.7266,0.7499,0.7,0.7227,104335.09124407,75368.964330987656
1649980800,2022-04-15 00:00:00,ATOM3S/USDT,0.7465,0.7611,0.709,0.7245,223344.45121986,163742.943120182805
1649894400,2022-04-14 00:00:00,ATOM3S/USDT,0.6801,0.7631,0.6454,0.7478,246553.01196526,173694.799662936866
1649808000,2022-04-13 00:00:00,ATOM3S/USDT,0.6903,0.7313,0.6422,0.6848,323389.4677606,221336.424239495209
1649721600,2022-04-12 00:00:00,ATOM3S/USDT,0.7715,0.786,0.609,0.69,594095.48589558,409900.540495203076
1649635200,2022-04-11 00:00:00,ATOM3S/USDT,0.6022,0.8051,0.5929,0.7717,711705.0641091,494844.169170428137
1649548800,2022-04-10 00:00:00,ATOM3S/USDT,0.5482,0.6023,0.5419,0.6017,307009.86445974,174504.110586358992
1649462400,2022-04-09 00:00:00,ATOM3S/USDT,0.5717,0.5875,0.5422,0.5459,383981.19847754,216006.388654191179
1649376000,2022-04-08 00:00:00,ATOM3S/USDT,0.5317,0.5894,0.4609,0.5717,765284.91931151,399408.974084419586
1649289600,2022-04-07 00:00:00,ATOM3S/USDT,0.5851,0.6151,0.5175,0.5314,515811.48464216,287928.892926706228
1649203200,2022-04-06 00:00:00,ATOM3S/USDT,0.4685,0.5944,0.4592,0.5822,923338.80309961,481367.638132445386
1649116800,2022-04-05 00:00:00,ATOM3S/USDT,0.4018,0.4785,0.3869,0.4691,668291.83159128,286835.83735439754
1649030400,2022-04-04 00:00:00,ATOM3S/USDT,0.3632,0.4271,0.3444,0.4013,757873.14158514,292589.436291225926
1648944000,2022-04-03 00:00:00,ATOM3S/USDT,0.388,0.4145,0.3174,0.3633,1697120.67308606,601751.790422188234
1648857600,2022-04-02 00:00:00,ATOM3S/USDT,0.4875,0.4947,0.32,0.3884,1826887.54068644,701685.767326346667
1648771200,2022-04-01 00:00:00,ATOM3S/USDT,0.5116,0.5767,0.472,0.4854,687453.78889209,358543.133342972287
1648684800,2022-03-31 00:00:00,ATOM3S/USDT,0.4602,0.5337,0.4096,0.515,1117776.46646253,520181.513910001407
1648598400,2022-03-30 00:00:00,ATOM3S/USDT,0.4544,0.4957,0.404,0.4606,715040.18758142,320767.212764924566
1648512000,2022-03-29 00:00:00,ATOM3S/USDT,0.4921,0.4921,0.385,0.4544,605599.99298733,264574.588131553123
1648425600,2022-03-28 00:00:00,ATOM3S/USDT,0.4662,0.5039,0.3918,0.4945,637453.47121031,278724.048441575175
1648339200,2022-03-27 00:00:00,ATOM3S/USDT,0.5254,0.5616,0.461,0.4663,331713.40915914,171279.147160958855
1648252800,2022-03-26 00:00:00,ATOM3S/USDT,0.5624,0.57,0.5164,0.5272,263162.01153476,141775.590474572012
1648166400,2022-03-25 00:00:00,ATOM3S/USDT,0.5076,0.5864,0.468,0.5622,586032.0100076,312082.099844881511
1648080000,2022-03-24 00:00:00,ATOM3S/USDT,0.5662,0.5823,0.4945,0.5055,454215.71524797,247850.599000411701
1647993600,2022-03-23 00:00:00,ATOM3S/USDT,0.5789,0.6255,0.5575,0.5666,383895.83193793,225671.570284749758
1647907200,2022-03-22 00:00:00,ATOM3S/USDT,0.5849,0.6,0.5225,0.579,463212.7359988,259593.422336695614
1647820800,2022-03-21 00:00:00,ATOM3S/USDT,0.5908,0.6067,0.5554,0.5849,492492.10932573,286220.412876716819
1647734400,2022-03-20 00:00:00,ATOM3S/USDT,0.5451,0.6075,0.5349,0.5909,474064.34497464,273279.142146689477
1647648000,2022-03-19 00:00:00,ATOM3S/USDT,0.544,0.5604,0.5015,0.5456,560005.35702755,298398.191436273689
1647561600,2022-03-18 00:00:00,ATOM3S/USDT,0.5724,0.6329,0.5379,0.5457,352343.42158404,205988.78109544422
1647475200,2022-03-17 00:00:00,ATOM3S/USDT,0.5297,0.5794,0.5268,0.5719,400302.78352174,222939.94167824766
1647388800,2022-03-16 00:00:00,ATOM3S/USDT,0.684,0.714,0.5192,0.5272,940850.13489407,581043.378500256212
1647302400,2022-03-15 00:00:00,ATOM3S/USDT,0.6914,0.7418,0.6194,0.6847,989400.29704428,668985.153464044457
1647216000,2022-03-14 00:00:00,ATOM3S/USDT,0.7397,0.7762,0.6597,0.6909,1056306.2018569,754073.208641102661
1647129600,2022-03-13 00:00:00,ATOM3S/USDT,0.6637,0.7641,0.643,0.7395,749826.54578334,513224.708519718235
1647043200,2022-03-12 00:00:00,ATOM3S/USDT,0.6446,0.669,0.5922,0.6641,738036.78925447,468637.660157911783
1646956800,2022-03-11 00:00:00,ATOM3S/USDT,0.6207,0.6993,0.5828,0.6441,2395534.65472206,1528717.783690137929
