https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1655600400,2022-06-19 01:00:00,XRP/USDT,0.30553,0.30646,0.30285,0.3035,2326678.07245332,708483.1299866129976
1655596800,2022-06-19 00:00:00,XRP/USDT,0.30747,0.31128,0.30489,0.30552,3770542.55368374,1164555.2832292531512
1655593200,2022-06-18 23:00:00,XRP/USDT,0.31037,0.31238,0.30652,0.3075,2261609.76525633,698137.536111319491
1655589600,2022-06-18 22:00:00,XRP/USDT,0.3054,0.31428,0.30344,0.31023,4659069.71489942,1441957.87279516655
1655586000,2022-06-18 21:00:00,XRP/USDT,0.29518,0.31014,0.29464,0.3054,4994321.39270327,1512809.2352723616827
1655582400,2022-06-18 20:00:00,XRP/USDT,0.29557,0.29833,0.28736,0.29529,6981532.05749234,2047651.4229086602053
1655578800,2022-06-18 19:00:00,XRP/USDT,0.29955,0.30111,0.29435,0.29544,3482151.39367668,1039654.771011034032
1655575200,2022-06-18 18:00:00,XRP/USDT,0.3034,0.30376,0.29805,0.29959,5300468.65065826,1592900.545163571938
1655571600,2022-06-18 17:00:00,XRP/USDT,0.30467,0.30554,0.3003,0.3033,4403827.8556206,1334806.3369743865909
1655568000,2022-06-18 16:00:00,XRP/USDT,0.30552,0.30867,0.3039,0.30458,2245838.49874194,687595.0291979661999
1655564400,2022-06-18 15:00:00,XRP/USDT,0.30463,0.30679,0.30355,0.30549,2950606.08126511,900777.5590015728934
1655560800,2022-06-18 14:00:00,XRP/USDT,0.30882,0.30964,0.30416,0.30453,1849689.11333074,568758.2117974866288
1655557200,2022-06-18 13:00:00,XRP/USDT,0.30627,0.30901,0.30516,0.30881,2152736.45961781,660685.4005786613175
1655553600,2022-06-18 12:00:00,XRP/USDT,0.30566,0.30714,0.30483,0.30626,2133384.32756346,653027.3244525199951
1655550000,2022-06-18 11:00:00,XRP/USDT,0.30838,0.30968,0.30536,0.30566,2276251.05593744,700698.2651664750697
1655546400,2022-06-18 10:00:00,XRP/USDT,0.30628,0.3104,0.30601,0.30845,3600108.10921378,1109745.5507871610125
1655542800,2022-06-18 09:00:00,XRP/USDT,0.30317,0.3069,0.30236,0.30634,3716816.80069573,1131253.3899405126245
1655539200,2022-06-18 08:00:00,XRP/USDT,0.30869,0.30882,0.30038,0.30319,6019926.62727327,1835004.4412625005785
1655535600,2022-06-18 07:00:00,XRP/USDT,0.3107,0.31178,0.305,0.30864,5410409.98608004,1668022.6408339522121
1655532000,2022-06-18 06:00:00,XRP/USDT,0.31975,0.32047,0.30572,0.31034,3796020.65871145,1184321.6792439781532
1655528400,2022-06-18 05:00:00,XRP/USDT,0.32069,0.32152,0.31956,0.31977,1149540.0479154,368280.9224539027138
1655524800,2022-06-18 04:00:00,XRP/USDT,0.31989,0.32085,0.3192,0.32075,809982.92284656,259333.8526978949649
1655521200,2022-06-18 03:00:00,XRP/USDT,0.31967,0.3211,0.31922,0.3199,853474.44597365,273066.7383919616092
1655517600,2022-06-18 02:00:00,XRP/USDT,0.31843,0.31974,0.31648,0.31971,1434254.57025799,456479.2683955357348
1655514000,2022-06-18 01:00:00,XRP/USDT,0.32351,0.32402,0.31834,0.31844,1491009.0989839,477941.9317202035116
1655510400,2022-06-18 00:00:00,XRP/USDT,0.32111,0.32645,0.32059,0.32348,2934369.01275624,950292.3302947274504
1655506800,2022-06-17 23:00:00,XRP/USDT,0.32101,0.3235,0.32033,0.32103,1538877.18160466,495224.8274125602019
1655503200,2022-06-17 22:00:00,XRP/USDT,0.3215,0.32182,0.31833,0.3211,1956992.63111864,627007.3373579027295
1655499600,2022-06-17 21:00:00,XRP/USDT,0.32076,0.32322,0.31892,0.3215,1699983.88037883,545770.823286575163
1655496000,2022-06-17 20:00:00,XRP/USDT,0.31746,0.32137,0.31722,0.32078,2310590.02859797,739098.2755025396602
1655492400,2022-06-17 19:00:00,XRP/USDT,0.31842,0.31901,0.31615,0.31753,3400979.53799448,1080909.6088926589576
1655488800,2022-06-17 18:00:00,XRP/USDT,0.31953,0.32109,0.31762,0.3185,3011521.75558593,962249.4165969068458
1655485200,2022-06-17 17:00:00,XRP/USDT,0.31873,0.32035,0.31693,0.31939,3565251.67492561,1137504.1242990127087
1655481600,2022-06-17 16:00:00,XRP/USDT,0.32131,0.32291,0.31872,0.31872,4746329.79650936,1522643.1075551250675
1655478000,2022-06-17 15:00:00,XRP/USDT,0.32191,0.32424,0.31914,0.32131,3882198.97844819,1249432.5124106891672
1655474400,2022-06-17 14:00:00,XRP/USDT,0.32587,0.32599,0.32,0.32191,4987213.36389425,1608102.5463158947588
1655470800,2022-06-17 13:00:00,XRP/USDT,0.32236,0.32786,0.32061,0.32579,5281807.33584571,1715060.7963423426526
1655467200,2022-06-17 12:00:00,XRP/USDT,0.32531,0.3274,0.32191,0.32244,3895403.03883064,1264773.3918048950824
1655463600,2022-06-17 11:00:00,XRP/USDT,0.32959,0.33095,0.32465,0.32527,3612655.45692453,1182564.4817660353892
1655460000,2022-06-17 10:00:00,XRP/USDT,0.32828,0.33,0.32614,0.32933,4827853.78374871,1582918.0859925740712
1655456400,2022-06-17 09:00:00,XRP/USDT,0.33357,0.3337,0.32787,0.3283,4540029.95392543,1503715.9058985784996
1655452800,2022-06-17 08:00:00,XRP/USDT,0.33595,0.34,0.3327,0.33356,4979770.49251304,1676106.8899596883032
1655449200,2022-06-17 07:00:00,XRP/USDT,0.33517,0.33869,0.33324,0.33591,5223562.6682623,1756723.8024830036548
1655445600,2022-06-17 06:00:00,XRP/USDT,0.32963,0.33555,0.32816,0.3352,4255659.68218545,1413547.099345507493
1655442000,2022-06-17 05:00:00,XRP/USDT,0.32782,0.33321,0.32716,0.3296,3985213.30076424,1313674.2481613719606
1655438400,2022-06-17 04:00:00,XRP/USDT,0.32357,0.33109,0.32289,0.32783,4605651.25443672,1505277.304487792647
1655434800,2022-06-17 03:00:00,XRP/USDT,0.32544,0.32973,0.32307,0.32356,4967336.14462733,1620400.6132102767237
1655431200,2022-06-17 02:00:00,XRP/USDT,0.329,0.3306,0.3249,0.32536,5198099.53819899,1701567.790685668008
1655427600,2022-06-17 01:00:00,XRP/USDT,0.32056,0.3304,0.31841,0.32892,7572331.75027364,2452027.0297418946267
1655424000,2022-06-17 00:00:00,XRP/USDT,0.31316,0.3213,0.3105,0.32051,5715224.81435798,1806380.8905091694067
1655420400,2022-06-16 23:00:00,XRP/USDT,0.31128,0.31315,0.30703,0.31315,5122044.93334521,1589906.7244250035686
1655416800,2022-06-16 22:00:00,XRP/USDT,0.31644,0.317,0.31077,0.31123,4975540.14484785,1558670.216432396062
1655413200,2022-06-16 21:00:00,XRP/USDT,0.31814,0.32267,0.3156,0.31641,1558452.44395033,498221.6255571558437
1655409600,2022-06-16 20:00:00,XRP/USDT,0.31489,0.31919,0.31444,0.31814,3476842.79527746,1103793.9255295448733
1655406000,2022-06-16 19:00:00,XRP/USDT,0.31725,0.3195,0.31285,0.31489,5169177.69711448,1635793.6295774096159
1655402400,2022-06-16 18:00:00,XRP/USDT,0.31575,0.31882,0.31434,0.31744,5977833.16633581,1889958.9922661767496
1655398800,2022-06-16 17:00:00,XRP/USDT,0.3181,0.32002,0.31546,0.31578,6724907.77305795,2136963.3971696524418
1655395200,2022-06-16 16:00:00,XRP/USDT,0.31671,0.3198,0.3133,0.31798,6636843.27813312,2102440.6349407125045
1655391600,2022-06-16 15:00:00,XRP/USDT,0.31174,0.31843,0.31174,0.31666,6044020.30003678,1910614.1917095052572
1655388000,2022-06-16 14:00:00,XRP/USDT,0.31346,0.31487,0.31007,0.31175,7605165.6043182,2373694.5718300808601
1655384400,2022-06-16 13:00:00,XRP/USDT,0.31744,0.32061,0.31164,0.31349,6761305.88538304,2142846.0476001546614
1655380800,2022-06-16 12:00:00,XRP/USDT,0.31502,0.32178,0.31449,0.31751,6443080.54358842,2048618.2990592264793
1655377200,2022-06-16 11:00:00,XRP/USDT,0.3171,0.31763,0.31291,0.31507,6098889.58193931,1925853.7639740510164
1655373600,2022-06-16 10:00:00,XRP/USDT,0.31905,0.32036,0.31289,0.31718,5297111.66834208,1674373.0602064089051
1655370000,2022-06-16 09:00:00,XRP/USDT,0.32655,0.32717,0.31818,0.31901,5580984.49237385,1797604.1476841576162
1655366400,2022-06-16 08:00:00,XRP/USDT,0.32392,0.32765,0.32269,0.32646,5591093.97588065,1817827.0497723731219
1655362800,2022-06-16 07:00:00,XRP/USDT,0.33096,0.33223,0.32332,0.32389,6380156.999669,2090040.092864209378
1655359200,2022-06-16 06:00:00,XRP/USDT,0.33433,0.3365,0.32988,0.33094,4513635.81880239,1507622.8188425091792
1655355600,2022-06-16 05:00:00,XRP/USDT,0.33576,0.33733,0.3338,0.33432,4271418.03537837,1434337.4680845061411
1655352000,2022-06-16 04:00:00,XRP/USDT,0.33481,0.33826,0.33476,0.33572,5225731.1851465,1760148.9884633668634
1655348400,2022-06-16 03:00:00,XRP/USDT,0.33816,0.33936,0.3347,0.33485,4579786.69074973,1541604.5483792557365
1655344800,2022-06-16 02:00:00,XRP/USDT,0.33712,0.33937,0.33565,0.33815,6109927.17832141,2062631.1014010659298
1655341200,2022-06-16 01:00:00,XRP/USDT,0.34132,0.34606,0.33711,0.33711,6112519.85646962,2086559.6887131727765
1655337600,2022-06-16 00:00:00,XRP/USDT,0.34351,0.34754,0.33834,0.34127,6447739.11102159,2205918.0711038981494
1655334000,2022-06-15 23:00:00,XRP/USDT,0.34109,0.3457,0.33939,0.3436,5745590.07660541,1967690.9528296030223
1655330400,2022-06-15 22:00:00,XRP/USDT,0.33381,0.347,0.33371,0.34111,9340468.73817167,3186304.1725936572642
1655326800,2022-06-15 21:00:00,XRP/USDT,0.32589,0.33588,0.32398,0.33371,3450738.0557204,1140829.3970118417636
1655323200,2022-06-15 20:00:00,XRP/USDT,0.32318,0.32902,0.32138,0.32594,5543577.14114209,1804632.3101243550209
1655319600,2022-06-15 19:00:00,XRP/USDT,0.32004,0.33174,0.3183,0.32314,9817953.52773178,3184302.8226797127718
