https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume PAX
1645833600,2022-02-26 00:00:00,BTC/PAX,39294.5,39940.1,38796.1,39110.5,0.94616004,37041.085878544
1645747200,2022-02-25 00:00:00,BTC/PAX,38626.2,39523.3,38148.7,39299.8,1.04774865,40911.944307465
1645660800,2022-02-24 00:00:00,BTC/PAX,37291.2,39234.7,34353.7,38291.8,2.39627368,86432.37954715
1645574400,2022-02-23 00:00:00,BTC/PAX,38223.3,39238.6,37123.4,37225,0.45714046,17429.429331815
1645488000,2022-02-22 00:00:00,BTC/PAX,37132.1,38238,36384.7,38103.2,1.37027634,51542.821531341
1645401600,2022-02-21 00:00:00,BTC/PAX,38246.2,39348.8,36964.5,37003.4,6.23626723,240675.715026669
1645315200,2022-02-20 00:00:00,BTC/PAX,40173.2,40173.2,38034.8,38558.3,13.33382502,513615.711350378
1645228800,2022-02-19 00:00:00,BTC/PAX,39999.9,40331.3,39702.9,40097.9,0.55084183,22018.907441065
1645142400,2022-02-18 00:00:00,BTC/PAX,40468,41005.2,39476.8,40009.4,13.91762743,559522.692062507
1645056000,2022-02-17 00:00:00,BTC/PAX,43913.9,44130,40093.7,40465,7.13581837,299388.794148031
1644969600,2022-02-16 00:00:00,BTC/PAX,44531.2,44531.2,43376.6,43859,38.90358007,1705731.88819971
1644883200,2022-02-15 00:00:00,BTC/PAX,42606.3,47369,42528.3,44534.8,37.64696058,1659977.13582235
1644796800,2022-02-14 00:00:00,BTC/PAX,42076.9,42836.8,41720.5,42603.8,45.12197447,1906387.782076798
1644710400,2022-02-13 00:00:00,BTC/PAX,42214.4,42790.5,41939.2,42090.8,27.59593775,1169703.394055587
1644624000,2022-02-12 00:00:00,BTC/PAX,42357.4,43063.9,41787.1,42247.7,29.1750388,1232941.356975392
1644537600,2022-02-11 00:00:00,BTC/PAX,43525.5,44011.1,42064,42282.7,13.78716766,584923.134196783
1644451200,2022-02-10 00:00:00,BTC/PAX,44397.6,45779.9,43265.1,43386.9,0.87482104,38732.150322204
1644364800,2022-02-09 00:00:00,BTC/PAX,43955.5,44750.5,43092.9,44304.6,0.65025695,28747.446249238
1644278400,2022-02-08 00:00:00,BTC/PAX,43933.5,45399,42631.6,44215.6,0.64259828,27975.639201237
1644192000,2022-02-07 00:00:00,BTC/PAX,42034.3,44375.1,41755.3,43867.2,0.3693331,16190.605249573
1644105600,2022-02-06 00:00:00,BTC/PAX,41511,42430.9,41246,42389.4,2.09064874,86737.24742004
1644019200,2022-02-05 00:00:00,BTC/PAX,41584,41861.9,41195.1,41526.2,0.39504829,16430.60749801
1643932800,2022-02-04 00:00:00,BTC/PAX,37225.4,41993.9,37099.2,41615.5,1.10140886,43492.69330291
1643846400,2022-02-03 00:00:00,BTC/PAX,36915.7,37277.3,36322.1,37277.3,1.63959503,60131.88504744
1643760000,2022-02-02 00:00:00,BTC/PAX,38688,38820.1,35794.7,36940,2.37988612,90355.072537464
1643673600,2022-02-01 00:00:00,BTC/PAX,38443,39146.4,38044.5,38757.3,1.48441135,57322.733553218
1643587200,2022-01-31 00:00:00,BTC/PAX,37962.1,38765.1,36709.8,38415.8,2.31293148,87349.971951288
1643500800,2022-01-30 00:00:00,BTC/PAX,38038.5,38432.2,37346.5,38185.1,0.29189455,11049.288730714
1643414400,2022-01-29 00:00:00,BTC/PAX,37884.2,39014,37333.5,38337.8,0.40976434,15543.730121248
1643328000,2022-01-28 00:00:00,BTC/PAX,37102.5,38128.7,36276.6,38128.7,0.5162201,19079.511960592
1643241600,2022-01-27 00:00:00,BTC/PAX,36921.2,37240.2,35784.8,37094.1,1.17772206,42913.461367166
1643155200,2022-01-26 00:00:00,BTC/PAX,36997,38615.1,36412,36858.6,1.43843194,53196.474080726
1643068800,2022-01-25 00:00:00,BTC/PAX,36310.2,38700.1,35775.1,36912.6,1.53563935,56568.811103906
1642982400,2022-01-24 00:00:00,BTC/PAX,36148,37662.1,33000.3,36785.8,4.67773827,159161.964042185
1642896000,2022-01-23 00:00:00,BTC/PAX,35249,36470,34683.4,36245.7,0.85681707,30285.58409453
1642809600,2022-01-22 00:00:00,BTC/PAX,36495.3,37283,34281,35013.2,1.36962668,48957.154783717
1642723200,2022-01-21 00:00:00,BTC/PAX,40583.5,42709.6,35836.5,36293.7,2.23901183,86752.108165406
1642636800,2022-01-20 00:00:00,BTC/PAX,41812.5,47523.9,40583.2,40721.4,3.89923123,169798.161892851
1642550400,2022-01-19 00:00:00,BTC/PAX,42423.2,42516.7,41209.5,41670.9,1.65086365,69202.502506864
1642464000,2022-01-18 00:00:00,BTC/PAX,42280.7,44543,41324.4,42431.7,1.34626113,56915.534721273
1642377600,2022-01-17 00:00:00,BTC/PAX,43086.3,43086.3,41613,42078.9,0.43678773,18554.215209203
1642291200,2022-01-16 00:00:00,BTC/PAX,43086.3,43413.6,42639.7,43232.7,1.29856351,56084.904342392
1642204800,2022-01-15 00:00:00,BTC/PAX,43112.5,43777.6,42609.2,43146.3,0.6469513,27928.67128526
1642118400,2022-01-14 00:00:00,BTC/PAX,42497.7,43413.6,41787.1,43052.5,0.16385892,7010.19139748
1642032000,2022-01-13 00:00:00,BTC/PAX,44022,44391.1,42372.7,42580.9,0.19330437,8390.11943461
1641945600,2022-01-12 00:00:00,BTC/PAX,42813.6,44206.1,41718.2,43872.9,1.2111407,52049.66589383
1641859200,2022-01-11 00:00:00,BTC/PAX,41623.4,45258.8,41281.7,42695,0.66850696,28690.053627531
1641772800,2022-01-10 00:00:00,BTC/PAX,41776,42210.6,38250,41697,2.01104157,80883.470881882
1641686400,2022-01-09 00:00:00,BTC/PAX,41659.9,43462.4,41256.3,41834.2,1.39375514,58950.80032637
1641600000,2022-01-08 00:00:00,BTC/PAX,41938.3,42103.6,40424.5,41711.6,0.46492139,19373.142755807
1641513600,2022-01-07 00:00:00,BTC/PAX,42958.2,42958.2,40434.8,41446.3,0.79258355,33037.320038591
1641427200,2022-01-06 00:00:00,BTC/PAX,43221.3,45820.3,42385.5,42894.4,1.31417551,56951.232233977
1641340800,2022-01-05 00:00:00,BTC/PAX,46026.8,47007.6,42740,43774.4,2.0900363,92881.747610178
1641254400,2022-01-04 00:00:00,BTC/PAX,46433,47414.5,45630,45947.8,0.43662667,20244.803042086
1641168000,2022-01-03 00:00:00,BTC/PAX,46962.5,47373.5,45947.8,46443.6,0.23295025,10786.246203419
1641081600,2022-01-02 00:00:00,BTC/PAX,47241.2,47761.9,46914.4,47373.5,0.10449132,4935.834381578
1640995200,2022-01-01 00:00:00,BTC/PAX,46477.1,47918,46477.1,47241.4,0.07708533,3623.443212556
1640908800,2021-12-31 00:00:00,BTC/PAX,47336.3,48551.7,45808.2,46352.1,0.72918115,34159.256092573
1640822400,2021-12-30 00:00:00,BTC/PAX,46155.9,47881,45947.6,47177.4,0.44006136,20546.898396909
1640736000,2021-12-29 00:00:00,BTC/PAX,47626.3,47997.8,46101.1,46480.3,0.18591634,8789.132352831
1640649600,2021-12-28 00:00:00,BTC/PAX,50635.1,53234.2,45808.6,47773.3,2.67768032,130995.360882805
