https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XAVA,Volume USDT
1658880000,2022-07-27 00:00:00,XAVA/USDT,0.4436,0.5268,0.4425,0.513,85121.928,41003.42398658
1658793600,2022-07-26 00:00:00,XAVA/USDT,0.457,0.4691,0.4274,0.4431,63365.9656,28226.68261552
1658707200,2022-07-25 00:00:00,XAVA/USDT,0.5084,0.5128,0.4514,0.4574,62121.9218,29530.56147809
1658620800,2022-07-24 00:00:00,XAVA/USDT,0.5071,0.5239,0.4924,0.5085,68450.9582,34520.86669526
1658534400,2022-07-23 00:00:00,XAVA/USDT,0.5189,0.5263,0.4893,0.5062,99460.6276,50802.72864566
1658448000,2022-07-22 00:00:00,XAVA/USDT,0.5546,0.5692,0.514,0.5188,101798.5842,55473.33369802
1658361600,2022-07-21 00:00:00,XAVA/USDT,0.5169,0.5796,0.5,0.5544,72631.0023,38978.28330609
1658275200,2022-07-20 00:00:00,XAVA/USDT,0.5425,0.58,0.511,0.5155,72063.33394709,39069.21684058022
1658188800,2022-07-19 00:00:00,XAVA/USDT,0.5421,0.57,0.5168,0.5422,97190.61819581,53430.60295603375
1658102400,2022-07-18 00:00:00,XAVA/USDT,0.4861,0.5688,0.4823,0.5446,88646.77773048,46530.979889105315
1658016000,2022-07-17 00:00:00,XAVA/USDT,0.4908,0.5499,0.4833,0.4864,52580.69877368,26218.44965246957
1657929600,2022-07-16 00:00:00,XAVA/USDT,0.4788,0.5094,0.4626,0.491,55882.12201182,27025.670385723424
1657843200,2022-07-15 00:00:00,XAVA/USDT,0.4715,0.49,0.4585,0.4787,49563.93858725,23735.586452281623
1657756800,2022-07-14 00:00:00,XAVA/USDT,0.4544,0.4948,0.448,0.4717,100048.82845026,46267.4984219811
1657670400,2022-07-13 00:00:00,XAVA/USDT,0.3999,0.4577,0.38,0.4547,84268.02509594,35084.542085413207
1657584000,2022-07-12 00:00:00,XAVA/USDT,0.4252,0.4318,0.3989,0.4002,50941.39934744,21376.450704808251
1657497600,2022-07-11 00:00:00,XAVA/USDT,0.4591,0.4638,0.424,0.4254,59835.52077293,26594.247268402707
1657411200,2022-07-10 00:00:00,XAVA/USDT,0.4798,0.4815,0.45,0.4603,64754.57040973,30082.251260289423
1657324800,2022-07-09 00:00:00,XAVA/USDT,0.4773,0.505,0.4621,0.4796,69248.7357605,33359.879545852194
1657238400,2022-07-08 00:00:00,XAVA/USDT,0.5054,0.52,0.475,0.4773,78417.99371307,38708.091839733346
1657152000,2022-07-07 00:00:00,XAVA/USDT,0.5008,0.5181,0.49,0.5054,82503.09650662,41690.322293298414
1657065600,2022-07-06 00:00:00,XAVA/USDT,0.4989,0.5154,0.4715,0.5027,61570.80776804,30094.463457596959
1656979200,2022-07-05 00:00:00,XAVA/USDT,0.5066,0.5164,0.4596,0.4988,88655.20427946,43129.47556319392
1656892800,2022-07-04 00:00:00,XAVA/USDT,0.4755,0.51,0.461,0.5067,74111.92979687,35923.15290489714
1656806400,2022-07-03 00:00:00,XAVA/USDT,0.4849,0.4878,0.45,0.4752,80760.60436683,37679.164311857251
1656720000,2022-07-02 00:00:00,XAVA/USDT,0.491,0.4996,0.4755,0.485,74332.36442174,36051.674721398202
1656633600,2022-07-01 00:00:00,XAVA/USDT,0.4942,0.508,0.4764,0.4913,168922.46027627,83401.268247883658
1656547200,2022-06-30 00:00:00,XAVA/USDT,0.5094,0.5285,0.4576,0.494,227021.92741228,110314.850710551372
1656460800,2022-06-29 00:00:00,XAVA/USDT,0.5439,0.5634,0.4528,0.5091,314749.05362929,162244.513107835316
1656374400,2022-06-28 00:00:00,XAVA/USDT,0.5966,0.6149,0.5001,0.5441,209545.76080718,120036.278216465907
1656288000,2022-06-27 00:00:00,XAVA/USDT,0.6187,0.651,0.5835,0.5988,217422.49850276,133231.100507688791
1656201600,2022-06-26 00:00:00,XAVA/USDT,0.6535,0.6729,0.6188,0.6203,158311.65821505,102057.690139183301
1656115200,2022-06-25 00:00:00,XAVA/USDT,0.6449,0.6603,0.6104,0.6538,178996.38289118,114715.397030171252
1656028800,2022-06-24 00:00:00,XAVA/USDT,0.5913,0.6528,0.5857,0.646,207481.47690918,128858.912203102284
1655942400,2022-06-23 00:00:00,XAVA/USDT,0.567,0.6116,0.567,0.5911,215484.81238951,126893.532147316367
1655856000,2022-06-22 00:00:00,XAVA/USDT,0.6146,0.6207,0.5628,0.5682,235490.14731623,138324.153688262984
