https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNB,Volume USDT
1658448000,2022-07-22 00:00:00,UNB/USDT,0.002615,0.002664,0.0025,0.002544,2747239.5369,7089.6712872113
1658361600,2022-07-21 00:00:00,UNB/USDT,0.0026,0.00267,0.00252,0.002591,3812453.9133,9950.9279253021
1658275200,2022-07-20 00:00:00,UNB/USDT,0.002803,0.002837,0.0026,0.0026,6833686.6081017,18222.92616407324922
1658188800,2022-07-19 00:00:00,UNB/USDT,0.002851,0.00292,0.002751,0.002803,3977690.27077191,11245.96271137374097
1658102400,2022-07-18 00:00:00,UNB/USDT,0.002733,0.00296,0.002702,0.002877,12769313.38937338,35735.08310433590761
1658016000,2022-07-17 00:00:00,UNB/USDT,0.002605,0.003,0.002605,0.002735,11856443.02538873,33515.78344939117114
1657929600,2022-07-16 00:00:00,UNB/USDT,0.002527,0.002682,0.002514,0.002605,1660307.08400456,4309.19749753584539
1657843200,2022-07-15 00:00:00,UNB/USDT,0.002547,0.002598,0.00249,0.002548,2472924.25707565,6277.23542506045136
1657756800,2022-07-14 00:00:00,UNB/USDT,0.002451,0.002547,0.002394,0.002547,5532514.11203641,13706.89352645335012
1657670400,2022-07-13 00:00:00,UNB/USDT,0.002426,0.00245,0.002327,0.00245,2869881.87203208,6852.40316903541884
1657584000,2022-07-12 00:00:00,UNB/USDT,0.002483,0.002523,0.002416,0.002447,2284403.34738662,5642.08477099583411
1657497600,2022-07-11 00:00:00,UNB/USDT,0.002421,0.002511,0.002365,0.002466,3652378.08225429,8851.68207034706411
1657411200,2022-07-10 00:00:00,UNB/USDT,0.002558,0.002597,0.002366,0.00242,6326690.41105548,15715.85006960164315
1657324800,2022-07-09 00:00:00,UNB/USDT,0.002602,0.002704,0.002543,0.002558,11447653.8978982,29644.70199348360722
1657238400,2022-07-08 00:00:00,UNB/USDT,0.002463,0.0031,0.002423,0.002603,55388022.20108929,148713.70879026105224
1657152000,2022-07-07 00:00:00,UNB/USDT,0.002238,0.002684,0.002186,0.002453,25617386.73669828,61534.43443898727955
1657065600,2022-07-06 00:00:00,UNB/USDT,0.002217,0.002287,0.002156,0.002257,2074900.11298097,4633.5714233789337
1656979200,2022-07-05 00:00:00,UNB/USDT,0.002328,0.00238,0.002107,0.002233,9624920.41135419,21272.73931774140304
1656892800,2022-07-04 00:00:00,UNB/USDT,0.002001,0.002666,0.002001,0.00233,41079394.01918949,95791.96549787333198
1656806400,2022-07-03 00:00:00,UNB/USDT,0.002019,0.002084,0.001974,0.002001,2133765.32981607,4327.38018803231894
1656720000,2022-07-02 00:00:00,UNB/USDT,0.002139,0.002155,0.001974,0.002019,10136123.45409961,20772.02205577298748
1656633600,2022-07-01 00:00:00,UNB/USDT,0.002226,0.002444,0.002126,0.002139,8534867.85818737,19370.11459860908437
1656547200,2022-06-30 00:00:00,UNB/USDT,0.002388,0.00246,0.0022,0.002218,14654554.56022482,33506.81481309464392
1656460800,2022-06-29 00:00:00,UNB/USDT,0.002598,0.002626,0.002313,0.002411,15889045.09382002,38706.60017825774933
1656374400,2022-06-28 00:00:00,UNB/USDT,0.002413,0.003091,0.00241,0.002623,24893395.12953773,66974.80256547559611
1656288000,2022-06-27 00:00:00,UNB/USDT,0.002508,0.002572,0.002353,0.00241,11427956.73057957,28031.5687205561924
1656201600,2022-06-26 00:00:00,UNB/USDT,0.0024,0.002617,0.00232,0.002509,9948590.12483122,24569.72030013494315
1656115200,2022-06-25 00:00:00,UNB/USDT,0.002512,0.002564,0.002329,0.0024,10768148.5305175,26465.15693823919671
1656028800,2022-06-24 00:00:00,UNB/USDT,0.002615,0.002621,0.002372,0.002533,25778260.82553612,64209.18088971723044
1655942400,2022-06-23 00:00:00,UNB/USDT,0.00222,0.00377,0.002199,0.002622,179737809.47207941,524278.93565344068524
1655856000,2022-06-22 00:00:00,UNB/USDT,0.002117,0.0028,0.001854,0.00222,56108016.70173167,123952.14019072453484
1655769600,2022-06-21 00:00:00,UNB/USDT,0.002315,0.002384,0.001923,0.002127,28518904.41689638,60842.38984327985251
1655683200,2022-06-20 00:00:00,UNB/USDT,0.002356,0.002867,0.002006,0.002333,118732246.80325294,277674.7586582856866
1655596800,2022-06-19 00:00:00,UNB/USDT,0.001767,0.003,0.001711,0.002357,137988472.61865144,299910.55150947054807
1655510400,2022-06-18 00:00:00,UNB/USDT,0.001987,0.002194,0.001756,0.001768,67490887.39057143,130527.80644543917235
1655424000,2022-06-17 00:00:00,UNB/USDT,0.001625,0.002624,0.0016,0.001999,108793019.8116457,234673.25499496326826
1655337600,2022-06-16 00:00:00,UNB/USDT,0.001696,0.001946,0.001621,0.001649,33735101.30454322,59245.34125602757442
1655251200,2022-06-15 00:00:00,UNB/USDT,0.001819,0.001827,0.0014,0.0017,66908157.0124431,106144.34303840897903
1655164800,2022-06-14 00:00:00,UNB/USDT,0.001673,0.001904,0.001642,0.001819,50635905.06513908,90976.1751697719908
1655078400,2022-06-13 00:00:00,UNB/USDT,0.002088,0.00214,0.001574,0.001674,76180394.30743658,138390.43502093786632
1654992000,2022-06-12 00:00:00,UNB/USDT,0.002826,0.00312,0.00193,0.002088,137682772.85722228,315687.65949030237232
1654905600,2022-06-11 00:00:00,UNB/USDT,0.00483,0.0059,0.00247,0.002826,301540687.2554019,1140330.90342764296623
1654819200,2022-06-10 00:00:00,UNB/USDT,0.0019,0.0064,0.001823,0.00483,587334136.95378772,2456356.0249344097554
1654732800,2022-06-09 00:00:00,UNB/USDT,0.001895,0.00198,0.00182,0.001901,8944302.42706106,16571.05639352223593
1654646400,2022-06-08 00:00:00,UNB/USDT,0.001998,0.002069,0.001862,0.0019,17174229.32920672,33451.27592637534504
1654560000,2022-06-07 00:00:00,UNB/USDT,0.001887,0.002122,0.001794,0.001998,49097945.28079972,97363.70024836429598
1654473600,2022-06-06 00:00:00,UNB/USDT,0.001743,0.001972,0.0017,0.001884,21293112.7151171,39773.71508172759953
1654387200,2022-06-05 00:00:00,UNB/USDT,0.001759,0.001802,0.001651,0.001743,6408464.91274816,10898.12552628863962
1654300800,2022-06-04 00:00:00,UNB/USDT,0.001748,0.002194,0.001654,0.001742,20690356.22758671,37740.91983166782609
1654214400,2022-06-03 00:00:00,UNB/USDT,0.001727,0.001865,0.001702,0.00177,11095750.61878179,19827.62618087902869
1654128000,2022-06-02 00:00:00,UNB/USDT,0.001915,0.00235,0.001545,0.001727,17741608.9064091,33665.54920031576802
1654041600,2022-06-01 00:00:00,UNB/USDT,0.002647,0.002654,0.00185,0.001947,17578834.37833556,38520.22666301891424
1653955200,2022-05-31 00:00:00,UNB/USDT,0.002863,0.002894,0.002605,0.002647,10214514.74152711,27742.26858412071472
1653868800,2022-05-30 00:00:00,UNB/USDT,0.002559,0.0029,0.00253,0.002832,16086162.49289306,44485.83700715310834
1653782400,2022-05-29 00:00:00,UNB/USDT,0.002667,0.002674,0.002507,0.002587,4539408.3140975,11723.31803036650661
1653696000,2022-05-28 00:00:00,UNB/USDT,0.002844,0.002867,0.002606,0.002667,6344391.20306571,17154.13688783556495
1653609600,2022-05-27 00:00:00,UNB/USDT,0.002707,0.0033,0.002674,0.002827,53665305.15974252,158794.660192966865
1653523200,2022-05-26 00:00:00,UNB/USDT,0.002506,0.002748,0.002441,0.002707,17584608.46617864,45704.25634960949637
1653436800,2022-05-25 00:00:00,UNB/USDT,0.00254,0.00258,0.002436,0.00252,4940562.96785543,12444.80268789832507
1653350400,2022-05-24 00:00:00,UNB/USDT,0.002532,0.00258,0.002484,0.002559,6226380.00939706,15774.71774367741109
1653264000,2022-05-23 00:00:00,UNB/USDT,0.002597,0.002633,0.002433,0.002532,4402747.52489599,11157.93954744761939
1653177600,2022-05-22 00:00:00,UNB/USDT,0.002483,0.002806,0.002462,0.002579,3980128.78293336,10193.21608550698601
1653091200,2022-05-21 00:00:00,UNB/USDT,0.002445,0.002537,0.002366,0.002513,21966825.63429168,53734.67670979934871
