https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1656781200,2022-07-02 17:00:00,GRT/USDT,0.09339,0.09396,0.09292,0.09368,55891.98873855,5219.1028878323016
1656777600,2022-07-02 16:00:00,GRT/USDT,0.0921,0.09386,0.09167,0.09336,233133.29071759,21575.4404540009567
1656774000,2022-07-02 15:00:00,GRT/USDT,0.09225,0.0925,0.09128,0.092,151945.34746425,13930.9668131019216
1656770400,2022-07-02 14:00:00,GRT/USDT,0.09232,0.09283,0.09212,0.09232,38389.2180471,3553.86103520567
1656766800,2022-07-02 13:00:00,GRT/USDT,0.09297,0.093,0.0918,0.09203,53566.86442155,4941.9326826664912
1656763200,2022-07-02 12:00:00,GRT/USDT,0.09164,0.09325,0.09155,0.093,85554.70003129,7908.9861272030878
1656759600,2022-07-02 11:00:00,GRT/USDT,0.09219,0.09241,0.0914,0.09158,105321.09963141,9698.8021934926482
1656756000,2022-07-02 10:00:00,GRT/USDT,0.09159,0.09264,0.09108,0.09219,132554.20475676,12180.270835834734
1656752400,2022-07-02 09:00:00,GRT/USDT,0.0911,0.09156,0.09001,0.09126,64887.12809863,5895.0824432239875
1656748800,2022-07-02 08:00:00,GRT/USDT,0.09114,0.0918,0.09092,0.09107,164825.46142377,15074.1859098476225
1656745200,2022-07-02 07:00:00,GRT/USDT,0.09132,0.09225,0.09107,0.09125,207879.52106899,18998.2374006812052
1656741600,2022-07-02 06:00:00,GRT/USDT,0.09182,0.09258,0.0912,0.0913,27554.9039957,2534.799561314504
1656738000,2022-07-02 05:00:00,GRT/USDT,0.09151,0.09258,0.09132,0.09178,101862.62850941,9379.3536220173428
1656734400,2022-07-02 04:00:00,GRT/USDT,0.09045,0.09186,0.0903,0.09131,53119.44466266,4848.9017463386981
1656730800,2022-07-02 03:00:00,GRT/USDT,0.09134,0.09163,0.09016,0.09045,211371.1156969,19154.253379721714
1656727200,2022-07-02 02:00:00,GRT/USDT,0.09174,0.09265,0.09037,0.09124,123561.8498,11281.36098543
1656723600,2022-07-02 01:00:00,GRT/USDT,0.09077,0.09258,0.09062,0.09167,146146.73065931,13394.78504455315
1656720000,2022-07-02 00:00:00,GRT/USDT,0.0923,0.09337,0.09064,0.09064,219720.96436166,20298.7734859497926
1656716400,2022-07-01 23:00:00,GRT/USDT,0.09218,0.0935,0.09121,0.09227,49004.80895525,4516.9495516894755
1656712800,2022-07-01 22:00:00,GRT/USDT,0.09251,0.09335,0.0921,0.09235,52416.12251668,4864.5684779808898
1656709200,2022-07-01 21:00:00,GRT/USDT,0.09416,0.09423,0.0922,0.09245,250075.18171611,23369.5295778188482
1656705600,2022-07-01 20:00:00,GRT/USDT,0.09421,0.09711,0.09371,0.09422,599138.77274488,57177.8544185074698
1656702000,2022-07-01 19:00:00,GRT/USDT,0.09294,0.09428,0.09249,0.09428,517983.66614042,48180.1614682113622
1656698400,2022-07-01 18:00:00,GRT/USDT,0.09339,0.0935,0.09265,0.09307,79303.226981,7370.4824479339758
