https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3L,Volume USDT
1655424000,2022-06-17 00:00:00,UNI3L/USDT,0.000658,0.000759,0.000652,0.000726,90677371.48502111,64184.1747023422692
1655337600,2022-06-16 00:00:00,UNI3L/USDT,0.00112,0.001151,0.000635,0.000672,231291861.58426308,200340.53518442426232
1655251200,2022-06-15 00:00:00,UNI3L/USDT,0.000764,0.00112,0.00049,0.001115,164287104.42652629,138634.32932706962422
1655164800,2022-06-14 00:00:00,UNI3L/USDT,0.000672,0.000816,0.000519,0.000766,88880570.63720797,58800.26322931303718
1655078400,2022-06-13 00:00:00,UNI3L/USDT,0.001002,0.00106,0.000572,0.000663,75988440.76449055,54234.94833634783957
1654992000,2022-06-12 00:00:00,UNI3L/USDT,0.001284,0.00136,0.001015,0.001015,22003784.34289378,26324.0030779446444
1654905600,2022-06-11 00:00:00,UNI3L/USDT,0.001781,0.001921,0.001251,0.001292,20206765.41894894,30863.63387511167098
1654819200,2022-06-10 00:00:00,UNI3L/USDT,0.0023,0.002321,0.001701,0.001781,10980504.4874849,21557.43895157039668
1654732800,2022-06-09 00:00:00,UNI3L/USDT,0.002111,0.002488,0.00208,0.0023,11382397.72292727,25973.63467414987581
1654646400,2022-06-08 00:00:00,UNI3L/USDT,0.002317,0.002469,0.002066,0.002129,11622655.8316027,26642.50608179309251
1654560000,2022-06-07 00:00:00,UNI3L/USDT,0.002522,0.00262,0.001952,0.0024,33759142.27639775,75167.88063660610654
1654473600,2022-06-06 00:00:00,UNI3L/USDT,0.002176,0.002599,0.002176,0.002537,15242229.328797,37635.24080242943956
1654387200,2022-06-05 00:00:00,UNI3L/USDT,0.002246,0.002363,0.001974,0.002176,13667646.12109707,30000.09664738348321
1654300800,2022-06-04 00:00:00,UNI3L/USDT,0.002199,0.002301,0.002001,0.002191,9970017.58415826,21607.78184781224708
1654214400,2022-06-03 00:00:00,UNI3L/USDT,0.00249,0.002554,0.002039,0.0022,14826471.63481644,32925.97351501726108
1654128000,2022-06-02 00:00:00,UNI3L/USDT,0.002273,0.002545,0.00216,0.002491,8321959.5072935,19768.14547489547611
1654041600,2022-06-01 00:00:00,UNI3L/USDT,0.003249,0.003426,0.002224,0.002381,15201522.316244,42889.46394528224552
1653955200,2022-05-31 00:00:00,UNI3L/USDT,0.003181,0.003559,0.002999,0.003244,21666644.07038023,70790.48864482190081
1653868800,2022-05-30 00:00:00,UNI3L/USDT,0.002232,0.003232,0.002159,0.003181,17287163.51533863,48653.74334647774112
1653782400,2022-05-29 00:00:00,UNI3L/USDT,0.002263,0.002343,0.001986,0.002196,10118432.87148346,21708.62814928813667
1653696000,2022-05-28 00:00:00,UNI3L/USDT,0.001937,0.002334,0.001845,0.002264,13155758.22434665,28227.37506946610657
1653609600,2022-05-27 00:00:00,UNI3L/USDT,0.002305,0.002499,0.00181,0.001914,13533755.97793716,28339.50462530026102
1653523200,2022-05-26 00:00:00,UNI3L/USDT,0.003747,0.004018,0.002085,0.002299,16690521.23967133,45526.39014068111082
1653436800,2022-05-25 00:00:00,UNI3L/USDT,0.003722,0.004048,0.003269,0.003713,13047456.66609462,47988.54367943726222
1653350400,2022-05-24 00:00:00,UNI3L/USDT,0.003776,0.004081,0.003067,0.003727,10860403.96869466,39294.82219362723508
1653264000,2022-05-23 00:00:00,UNI3L/USDT,0.003482,0.004411,0.003236,0.003756,24789310.70700167,97988.61551550204768
1653177600,2022-05-22 00:00:00,UNI3L/USDT,0.003062,0.003593,0.002833,0.003491,8955916.97217682,29135.95065893818584
1653091200,2022-05-21 00:00:00,UNI3L/USDT,0.002798,0.00329,0.002632,0.003045,8805894.31951115,26271.27705285465072
1653004800,2022-05-20 00:00:00,UNI3L/USDT,0.002913,0.003551,0.002511,0.002798,13768515.46585705,41881.61193788829255
1652918400,2022-05-19 00:00:00,UNI3L/USDT,0.002558,0.003064,0.002263,0.00298,13748975.67143556,36958.3354097341221
1652832000,2022-05-18 00:00:00,UNI3L/USDT,0.003678,0.00386,0.002458,0.002492,12866050.58638187,39956.25314324352906
1652745600,2022-05-17 00:00:00,UNI3L/USDT,0.003004,0.003748,0.002915,0.003685,16935418.74136842,57190.55961728862348
1652659200,2022-05-16 00:00:00,UNI3L/USDT,0.003732,0.003732,0.002655,0.00291,7286423.42396332,22269.30233927758646
1652572800,2022-05-15 00:00:00,UNI3L/USDT,0.003309,0.003807,0.002866,0.003795,8477106.65657455,28867.6968715288054
1652486400,2022-05-14 00:00:00,UNI3L/USDT,0.00313,0.003928,0.002463,0.003288,34947807.46390633,102011.67937802325865
1652400000,2022-05-13 00:00:00,UNI3L/USDT,0.002462,0.003889,0.002328,0.003196,18530625.52866811,60272.67682648314402
1652313600,2022-05-12 00:00:00,UNI3L/USDT,0.003154,0.0038,0.001158,0.002323,193394959.91117599,419624.32166647184716
1652227200,2022-05-11 00:00:00,UNI3L/USDT,0.00673,0.007212,0.002669,0.003154,65667319.34538357,250092.77285074527876
1652140800,2022-05-10 00:00:00,UNI3L/USDT,0.006463,0.008684,0.005781,0.0068,13358528.7369895,96657.79928661050632
1652054400,2022-05-09 00:00:00,UNI3L/USDT,0.0119,0.012399,0.0063,0.006463,9712076.29528555,85002.61234390018972
1651968000,2022-05-08 00:00:00,UNI3L/USDT,0.012392,0.013068,0.010601,0.011898,4244388.50387663,51364.76254893789918
1651881600,2022-05-07 00:00:00,UNI3L/USDT,0.01463,0.015,0.01127,0.012301,4504515.22777918,61270.40682125101105
1651795200,2022-05-06 00:00:00,UNI3L/USDT,0.013255,0.01519,0.010945,0.01464,3595456.08064257,49776.01914372890135
1651708800,2022-05-05 00:00:00,UNI3L/USDT,0.017491,0.0185,0.011001,0.013496,5259307.0115667,78757.24669504377188
1651622400,2022-05-04 00:00:00,UNI3L/USDT,0.011999,0.0176,0.011807,0.017368,6806936.83871277,99894.59665338939136
1651536000,2022-05-03 00:00:00,UNI3L/USDT,0.012245,0.01333,0.011172,0.011891,2747868.89858251,34061.25031057961744
1651449600,2022-05-02 00:00:00,UNI3L/USDT,0.01318,0.0137,0.010668,0.0123,6404472.06215914,78228.36725244677414
1651363200,2022-05-01 00:00:00,UNI3L/USDT,0.011694,0.013968,0.010564,0.0133,7109934.73247831,88356.86901234930452
1651276800,2022-04-30 00:00:00,UNI3L/USDT,0.018422,0.019563,0.0107,0.011842,2107267.77000532,32050.9363470221985
1651190400,2022-04-29 00:00:00,UNI3L/USDT,0.0229,0.023282,0.017419,0.0185,1402056.7749717,30024.96882171312416
1651104000,2022-04-28 00:00:00,UNI3L/USDT,0.02295,0.024293,0.021795,0.0229,1985982.04500103,45867.7759631490482
1651017600,2022-04-27 00:00:00,UNI3L/USDT,0.021553,0.024914,0.0215,0.0233,1931993.75868465,45032.70084670348386
1650931200,2022-04-26 00:00:00,UNI3L/USDT,0.028987,0.030663,0.020763,0.021432,2369177.05963001,62701.69923247337538
1650844800,2022-04-25 00:00:00,UNI3L/USDT,0.02893,0.030195,0.023562,0.028872,2343111.03646655,62376.70816433261969
1650758400,2022-04-24 00:00:00,UNI3L/USDT,0.031236,0.033235,0.028587,0.028587,1358350.08094528,41495.48848184534708
1650672000,2022-04-23 00:00:00,UNI3L/USDT,0.031243,0.034096,0.030203,0.030908,1044338.53862188,33520.38831736708834
1650585600,2022-04-22 00:00:00,UNI3L/USDT,0.030039,0.033097,0.029,0.03099,3043408.43710218,94544.03172956512971
1650499200,2022-04-21 00:00:00,UNI3L/USDT,0.036198,0.0404,0.027948,0.030357,3787503.23556268,134804.80071795339873
1650412800,2022-04-20 00:00:00,UNI3L/USDT,0.0388,0.0403,0.033504,0.035983,1663275.07554007,61133.63588753866743
1650326400,2022-04-19 00:00:00,UNI3L/USDT,0.036753,0.039458,0.034709,0.0388,1625236.4993235,61411.83396649289852
1650240000,2022-04-18 00:00:00,UNI3L/USDT,0.034966,0.0373,0.031,0.036836,1503514.27159164,51040.56560831353615
1650153600,2022-04-17 00:00:00,UNI3L/USDT,0.040923,0.041099,0.034853,0.035309,492951.27612717,19102.5929362490473
1650067200,2022-04-16 00:00:00,UNI3L/USDT,0.042281,0.0429,0.038607,0.040845,412961.34108813,16968.21887542078686
1649980800,2022-04-15 00:00:00,UNI3L/USDT,0.038944,0.044689,0.038481,0.041981,936302.50835116,38413.70073633965537
1649894400,2022-04-14 00:00:00,UNI3L/USDT,0.040854,0.042685,0.036845,0.038588,1631266.58342484,65296.43159021778829
1649808000,2022-04-13 00:00:00,UNI3L/USDT,0.03704,0.042,0.036634,0.041018,1285278.9125738,50535.75048997852132
1649721600,2022-04-12 00:00:00,UNI3L/USDT,0.033831,0.039177,0.033454,0.0375,1383678.05774922,50797.8691762404825
1649635200,2022-04-11 00:00:00,UNI3L/USDT,0.046548,0.046802,0.032543,0.03324,1852976.33897667,69558.44691304534399
1649548800,2022-04-10 00:00:00,UNI3L/USDT,0.048719,0.0528,0.045997,0.045997,1227451.75242962,60622.44392405614549
1649462400,2022-04-09 00:00:00,UNI3L/USDT,0.045111,0.049898,0.044556,0.04933,951818.14403302,45117.96021757345929
1649376000,2022-04-08 00:00:00,UNI3L/USDT,0.057146,0.05863,0.043427,0.044894,1783048.54612204,90708.80349101658697
1649289600,2022-04-07 00:00:00,UNI3L/USDT,0.049657,0.059511,0.048301,0.057559,2124424.27752859,110841.75031882162233
1649203200,2022-04-06 00:00:00,UNI3L/USDT,0.071743,0.072047,0.049105,0.049759,2178148.88122152,132176.85803690653379
1649116800,2022-04-05 00:00:00,UNI3L/USDT,0.081601,0.088652,0.0708,0.072605,1861352.71281333,150684.15084997220572
1649030400,2022-04-04 00:00:00,UNI3L/USDT,0.089084,0.094672,0.07089,0.081601,2425469.13374838,205228.68085593307196
1648944000,2022-04-03 00:00:00,UNI3L/USDT,0.084283,0.092633,0.080393,0.088987,2089022.35254453,184120.13750152503228
1648857600,2022-04-02 00:00:00,UNI3L/USDT,0.08258,0.092969,0.080292,0.084262,2838197.28865207,246069.78517356596223
1648771200,2022-04-01 00:00:00,UNI3L/USDT,0.077452,0.093007,0.069227,0.0829,3358618.44795554,273864.12431303302427
1648684800,2022-03-31 00:00:00,UNI3L/USDT,0.086775,0.106268,0.072276,0.077432,3952392.87765563,351421.1123661533322
1648598400,2022-03-30 00:00:00,UNI3L/USDT,0.077051,0.089638,0.069134,0.086775,2563482.96711303,212614.39801354085249
1648512000,2022-03-29 00:00:00,UNI3L/USDT,0.070649,0.0868,0.070649,0.077077,2043552.52293886,160379.29575213106538
1648425600,2022-03-28 00:00:00,UNI3L/USDT,0.081018,0.085427,0.068267,0.070648,3068312.0688824,246972.50503157682247
1648339200,2022-03-27 00:00:00,UNI3L/USDT,0.066584,0.081673,0.063902,0.081457,2357628.83628316,170228.19429772270709
1648252800,2022-03-26 00:00:00,UNI3L/USDT,0.065922,0.069182,0.06229,0.066584,2577685.1512339,168309.57482998198311
1648166400,2022-03-25 00:00:00,UNI3L/USDT,0.070188,0.0773,0.063338,0.066023,4115505.5657237,291168.38255445975696
1648080000,2022-03-24 00:00:00,UNI3L/USDT,0.056835,0.0705,0.056523,0.070143,3309630.29205011,209734.85430389639248
1647993600,2022-03-23 00:00:00,UNI3L/USDT,0.052703,0.061038,0.0513,0.056998,2558734.39750066,142613.31052481640766
1647907200,2022-03-22 00:00:00,UNI3L/USDT,0.046952,0.059299,0.045975,0.052799,2918719.35271549,159014.1796334097888
1647820800,2022-03-21 00:00:00,UNI3L/USDT,0.046686,0.050937,0.04463,0.047111,2157489.80335415,102928.27290360924607
1647734400,2022-03-20 00:00:00,UNI3L/USDT,0.053389,0.054323,0.043526,0.046782,1265101.73697736,60973.88527153826451
1647648000,2022-03-19 00:00:00,UNI3L/USDT,0.052344,0.057361,0.050838,0.053692,1275243.1770572,68447.83260518758492
1647561600,2022-03-18 00:00:00,UNI3L/USDT,0.046252,0.0538,0.042509,0.051785,1915172.74822152,92159.33883302269366
1647475200,2022-03-17 00:00:00,UNI3L/USDT,0.044448,0.048688,0.043421,0.046099,1716346.18840189,78433.30014978813868
