https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume USDT
1651968000,2022-05-08 00:00:00,ANT/USDT,3.0866,3.1212,2.941,2.9915,163039.76400734,495660.88762157472
1651881600,2022-05-07 00:00:00,ANT/USDT,3.2394,3.2662,3.002,3.0828,115541.19115284,367881.707022276561
1651795200,2022-05-06 00:00:00,ANT/USDT,3.1924,3.3103,3.0934,3.2351,181705.91497773,583791.302290647327
1651708800,2022-05-05 00:00:00,ANT/USDT,3.5868,3.68,3.0878,3.1992,135654.06843355,457283.438809495688
1651622400,2022-05-04 00:00:00,ANT/USDT,3.2847,3.5918,3.2732,3.5823,138162.6316838,472074.49201341113
1651536000,2022-05-03 00:00:00,ANT/USDT,3.4229,3.474,3.2291,3.2813,111159.59598218,374236.401146170886
1651449600,2022-05-02 00:00:00,ANT/USDT,3.4067,3.4554,3.24,3.4244,131883.13925432,440948.076313100337
1651363200,2022-05-01 00:00:00,ANT/USDT,3.1907,3.4618,3.1016,3.3974,172146.98008282,566613.046572013135
1651276800,2022-04-30 00:00:00,ANT/USDT,3.6141,3.7186,3.0532,3.1796,143743.2664292,502140.151186247962
1651190400,2022-04-29 00:00:00,ANT/USDT,3.8666,3.9823,3.5164,3.6122,127504.93524661,479736.113302008115
1651104000,2022-04-28 00:00:00,ANT/USDT,3.8566,3.9703,3.765,3.8666,122911.52751146,474968.197026062232
1651017600,2022-04-27 00:00:00,ANT/USDT,3.7268,3.894,3.702,3.8592,106187.6812372,405686.790493802415
1650931200,2022-04-26 00:00:00,ANT/USDT,4.1333,4.2073,3.6489,3.7307,117945.18216568,465611.398499668747
1650844800,2022-04-25 00:00:00,ANT/USDT,4.1979,4.2079,3.8541,4.1307,178693.2508006,720985.981508852973
1650758400,2022-04-24 00:00:00,ANT/USDT,4.2756,4.3437,4.1799,4.201,87161.94020095,371600.089615344534
1650672000,2022-04-23 00:00:00,ANT/USDT,4.4827,4.5699,4.2474,4.2785,165000.34313281,735055.414351253338
1650585600,2022-04-22 00:00:00,ANT/USDT,4.2124,4.5532,4.1936,4.4912,146189.29627513,645173.446859348814
1650499200,2022-04-21 00:00:00,ANT/USDT,4.3655,4.6162,4.1251,4.2137,119390.03186315,534084.670904179476
1650412800,2022-04-20 00:00:00,ANT/USDT,4.3945,4.5323,4.26,4.3613,158168.32561337,696848.235285074047
1650326400,2022-04-19 00:00:00,ANT/USDT,4.2796,4.4178,4.1997,4.4016,69105.19648632,298228.438684107796
1650240000,2022-04-18 00:00:00,ANT/USDT,4.1924,4.3029,3.9811,4.2784,96535.38518999,399219.143678398613
1650153600,2022-04-17 00:00:00,ANT/USDT,4.3711,4.4578,4.1774,4.1953,75491.76044396,328356.590329063207
1650067200,2022-04-16 00:00:00,ANT/USDT,4.3577,4.4269,4.2347,4.3791,63281.7177384,274674.592853485903
1649980800,2022-04-15 00:00:00,ANT/USDT,4.2455,4.3587,4.1856,4.3538,74372.10444128,319257.923701521974
1649894400,2022-04-14 00:00:00,ANT/USDT,4.4502,4.514,4.1737,4.2442,92607.91200809,403850.322801214442
1649808000,2022-04-13 00:00:00,ANT/USDT,4.3502,4.4671,4.2012,4.4492,121507.8384844,531418.300542025533
1649721600,2022-04-12 00:00:00,ANT/USDT,4.1689,4.4395,4.1316,4.3488,143317.97616392,612751.293672601396
1649635200,2022-04-11 00:00:00,ANT/USDT,4.5782,4.6012,4.1,4.1662,177024.37699428,770459.507827301906
1649548800,2022-04-10 00:00:00,ANT/USDT,4.7365,4.8108,4.558,4.5733,145277.05602219,682331.347170305397
1649462400,2022-04-09 00:00:00,ANT/USDT,4.5579,4.7607,4.5524,4.7348,132578.8383306,618975.270599809809
1649376000,2022-04-08 00:00:00,ANT/USDT,4.9007,4.9705,4.4947,4.5596,164555.59945748,787669.212784951786
1649289600,2022-04-07 00:00:00,ANT/USDT,4.7614,4.9999,4.6824,4.9114,165250.88974943,799930.024659114384
1649203200,2022-04-06 00:00:00,ANT/USDT,5.615,5.6536,4.7373,4.7722,305169.32430722,1586023.966775164743
1649116800,2022-04-05 00:00:00,ANT/USDT,5.7577,6.2026,5.5804,5.6193,259907.18868557,1531502.755651888714
1649030400,2022-04-04 00:00:00,ANT/USDT,5.9736,6.1794,5.3522,5.7596,436197.11502839,2523228.204080198706
1648944000,2022-04-03 00:00:00,ANT/USDT,5.2841,6.3294,5.1734,5.9724,450154.91525932,2610179.292024509983
1648857600,2022-04-02 00:00:00,ANT/USDT,5.2145,5.608,5.187,5.2681,414635.37429012,2248378.668448088947
1648771200,2022-04-01 00:00:00,ANT/USDT,5.1383,5.2916,4.8401,5.2275,259849.4823987,1326605.567810965817
1648684800,2022-03-31 00:00:00,ANT/USDT,5.4263,5.7008,5.0597,5.1364,304886.44410062,1653346.037283819768
1648598400,2022-03-30 00:00:00,ANT/USDT,5.4163,5.5423,5.2225,5.4359,178547.05257846,970681.689553145277
1648512000,2022-03-29 00:00:00,ANT/USDT,5.2882,5.5829,5.2406,5.4163,139062.6856274,753624.734597178545
1648425600,2022-03-28 00:00:00,ANT/USDT,5.5795,5.7805,5.2157,5.2927,148719.14473032,832820.671469134834
1648339200,2022-03-27 00:00:00,ANT/USDT,5.517,5.5932,5.269,5.5777,89402.02064223,488471.952850606405
1648252800,2022-03-26 00:00:00,ANT/USDT,5.3715,5.6086,5.3143,5.5117,107431.85348839,587033.007793722629
1648166400,2022-03-25 00:00:00,ANT/USDT,5.2266,5.63,5.1241,5.3529,126669.97713084,682151.243043493739
1648080000,2022-03-24 00:00:00,ANT/USDT,5.0541,5.2486,4.9826,5.2248,49840.65456746,254531.557680184047
1647993600,2022-03-23 00:00:00,ANT/USDT,4.7987,5.1447,4.7535,5.0404,59009.15408055,292116.451575740786
1647907200,2022-03-22 00:00:00,ANT/USDT,4.806,5.0462,4.7611,4.803,64660.51944845,318411.16086397742
1647820800,2022-03-21 00:00:00,ANT/USDT,4.6734,4.9324,4.5103,4.8262,53209.91529672,254306.814048269208
1647734400,2022-03-20 00:00:00,ANT/USDT,4.9899,5.0002,4.6018,4.6514,71890.74620433,341938.026158109744
1647648000,2022-03-19 00:00:00,ANT/USDT,4.7077,5.0359,4.6817,4.9761,67254.5134182,329052.279910537392
1647561600,2022-03-18 00:00:00,ANT/USDT,4.5337,4.7518,4.4042,4.7047,48585.52640378,221176.725399738156
1647475200,2022-03-17 00:00:00,ANT/USDT,4.7175,4.7982,4.5282,4.547,51950.50680596,241129.537626837152
1647388800,2022-03-16 00:00:00,ANT/USDT,4.4179,4.7165,4.36,4.7143,190993.25424595,863269.393242006768
1647302400,2022-03-15 00:00:00,ANT/USDT,4.4441,4.5102,4.1854,4.4198,145597.66984491,632036.765000442942
1647216000,2022-03-14 00:00:00,ANT/USDT,4.271,4.4543,4.192,4.4463,73939.0755572,321166.301630805707
1647129600,2022-03-13 00:00:00,ANT/USDT,4.3201,4.4843,4.2222,4.2666,67409.14988344,295376.822611053392
1647043200,2022-03-12 00:00:00,ANT/USDT,4.3604,4.5332,4.3192,4.3258,113390.70126041,504352.836517903878
1646956800,2022-03-11 00:00:00,ANT/USDT,4.5194,4.5716,4.3594,4.3633,210421.45924417,936606.827718174049
1646870400,2022-03-10 00:00:00,ANT/USDT,4.7432,4.8422,4.3192,4.5194,189794.64183171,847832.805959245801
1646784000,2022-03-09 00:00:00,ANT/USDT,4.4057,5.0358,4.4016,4.7455,164346.90342578,776473.546923455744
1646697600,2022-03-08 00:00:00,ANT/USDT,4.4229,4.6437,4.2956,4.4017,145320.40567791,652573.600636439373
1646611200,2022-03-07 00:00:00,ANT/USDT,4.5999,4.7627,4.248,4.42,85480.05471908,383074.317471922175
1646524800,2022-03-06 00:00:00,ANT/USDT,4.8561,4.9259,4.5652,4.5919,90623.7304014,427584.826423766101
1646438400,2022-03-05 00:00:00,ANT/USDT,4.7118,4.9602,4.58,4.8749,81835.33801475,392472.649938646246
1646352000,2022-03-04 00:00:00,ANT/USDT,5.0968,5.2132,4.65,4.7281,160141.01854949,788348.708689321005
1646265600,2022-03-03 00:00:00,ANT/USDT,5.2526,5.3077,4.8365,5.0959,159130.60390884,803021.963960773377
1646179200,2022-03-02 00:00:00,ANT/USDT,5.6327,5.6606,5.1997,5.2488,174876.06844248,945266.294341061141
1646092800,2022-03-01 00:00:00,ANT/USDT,5.402,5.8836,5.2677,5.6533,221307.30246316,1225585.177381975127
1646006400,2022-02-28 00:00:00,ANT/USDT,4.8412,5.4282,4.7097,5.3982,171829.98742447,869143.876061392654
1645920000,2022-02-27 00:00:00,ANT/USDT,5.4275,5.5089,4.7868,4.8391,148543.88317055,767420.311881553402
1645833600,2022-02-26 00:00:00,ANT/USDT,5.4209,5.7519,5.3513,5.4211,183486.83430867,1021945.523269737109
1645747200,2022-02-25 00:00:00,ANT/USDT,4.953,5.5099,4.8935,5.4228,227192.57654993,1173797.588418384803
1645660800,2022-02-24 00:00:00,ANT/USDT,4.8351,4.9881,4.0967,4.9558,210690.2809137,938086.051900322549
1645574400,2022-02-23 00:00:00,ANT/USDT,4.8161,5.1674,4.7121,4.8378,138077.6163696,681793.405466260667
1645488000,2022-02-22 00:00:00,ANT/USDT,4.44,4.916,4.3562,4.8134,164468.35398163,767756.556643207375
1645401600,2022-02-21 00:00:00,ANT/USDT,4.8698,5.1472,4.4052,4.4375,149741.0993332,726355.961505672278
1645315200,2022-02-20 00:00:00,ANT/USDT,5.366,5.4705,4.7638,4.8542,133178.48899141,662256.786965601904
1645228800,2022-02-19 00:00:00,ANT/USDT,5.3911,5.5445,5.1506,5.3658,96475.76504988,515045.510107158706
1645142400,2022-02-18 00:00:00,ANT/USDT,5.2609,5.8187,5.2431,5.388,149249.64005469,827826.454621493412
1645056000,2022-02-17 00:00:00,ANT/USDT,5.9646,6.0831,5.2,5.286,111959.05286141,628489.436901799597
1644969600,2022-02-16 00:00:00,ANT/USDT,6.401,6.4237,5.851,5.9616,113916.33795141,693832.514861653226
1644883200,2022-02-15 00:00:00,ANT/USDT,5.8345,6.4078,5.8141,6.4078,108226.35917144,664838.503182887945
1644796800,2022-02-14 00:00:00,ANT/USDT,5.7682,5.9467,5.3947,5.8074,107348.56651376,612592.675330412071
1644710400,2022-02-13 00:00:00,ANT/USDT,6.1852,6.3477,5.682,5.7551,61383.84699629,367546.182550358919
1644624000,2022-02-12 00:00:00,ANT/USDT,6.0871,6.4609,5.7944,6.1793,111953.24247944,693317.553899983119
1644537600,2022-02-11 00:00:00,ANT/USDT,6.937,6.9782,5.9207,6.0892,155485.88098056,1009358.365009298511
1644451200,2022-02-10 00:00:00,ANT/USDT,7.8549,7.866,6.8996,6.9508,101311.45672792,744956.916444126842
1644364800,2022-02-09 00:00:00,ANT/USDT,7.5584,7.8844,7.2469,7.8499,97333.84324403,743858.520332251511
1644278400,2022-02-08 00:00:00,ANT/USDT,7.723,8.0516,7.1755,7.5497,103427.64142182,777612.371605980693
1644192000,2022-02-07 00:00:00,ANT/USDT,7.9998,8.204,7.6539,7.7191,153423.28227451,1213345.357922320178
1644105600,2022-02-06 00:00:00,ANT/USDT,8.7458,8.8759,7.6604,8.0074,164991.84673885,1348022.61930303954
1644019200,2022-02-05 00:00:00,ANT/USDT,7.846,8.7816,7.5615,8.7338,308740.45643963,2495422.7956840601
