https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFP,Volume USDT
1653523200,2022-05-26 00:00:00,SFP/USDT,0.4192,0.428,0.3706,0.3802,346055.26908251,136404.11203294614
1653436800,2022-05-25 00:00:00,SFP/USDT,0.4291,0.4389,0.4136,0.4182,144967.44579205,61545.704635654917
1653350400,2022-05-24 00:00:00,SFP/USDT,0.4041,0.432,0.3975,0.4278,306820.17324831,127694.102535830305
1653264000,2022-05-23 00:00:00,SFP/USDT,0.4147,0.4455,0.4016,0.4046,272255.06503885,116366.58414366666
1653177600,2022-05-22 00:00:00,SFP/USDT,0.4066,0.427,0.3988,0.4169,243892.5043693,100508.699329343554
1653091200,2022-05-21 00:00:00,SFP/USDT,0.3804,0.4385,0.3719,0.4054,972241.59227692,397832.78360518105
1653004800,2022-05-20 00:00:00,SFP/USDT,0.3858,0.3969,0.3573,0.3809,315983.80095608,119174.070827479724
1652918400,2022-05-19 00:00:00,SFP/USDT,0.3473,0.392,0.333,0.3887,406497.80753121,147614.075763474701
1652832000,2022-05-18 00:00:00,SFP/USDT,0.3792,0.3902,0.3394,0.3472,472940.18067898,171658.359005684255
1652745600,2022-05-17 00:00:00,SFP/USDT,0.3323,0.3803,0.331,0.3771,304169.64957399,107897.661508983731
1652659200,2022-05-16 00:00:00,SFP/USDT,0.3737,0.3739,0.3269,0.3323,152212.16948975,52028.326677347523
1652572800,2022-05-15 00:00:00,SFP/USDT,0.3557,0.3748,0.33,0.3734,190450.42332719,66900.146311299148
1652486400,2022-05-14 00:00:00,SFP/USDT,0.3507,0.375,0.3033,0.3549,279982.5280932,93984.144962887597
1652400000,2022-05-13 00:00:00,SFP/USDT,0.332,0.3972,0.3213,0.3499,257367.26736456,94590.985217298835
1652313600,2022-05-12 00:00:00,SFP/USDT,0.3844,0.399,0.29,0.3334,1254851.21540322,422036.559029615246
1652227200,2022-05-11 00:00:00,SFP/USDT,0.5422,0.56,0.2682,0.3853,936567.74104258,427486.052875624797
1652140800,2022-05-10 00:00:00,SFP/USDT,0.5011,0.5888,0.4817,0.5422,574626.55218713,310699.62117960032
1652054400,2022-05-09 00:00:00,SFP/USDT,0.6105,0.6305,0.4963,0.4963,324558.26565945,183205.99804670585
1651968000,2022-05-08 00:00:00,SFP/USDT,0.6099,0.6255,0.5893,0.6061,473795.54049975,289991.52579920167
1651881600,2022-05-07 00:00:00,SFP/USDT,0.6388,0.6445,0.5981,0.6106,295370.32179633,184058.860118965126
1651795200,2022-05-06 00:00:00,SFP/USDT,0.6366,0.6572,0.612,0.6388,266201.91965107,168502.2912532901
1651708800,2022-05-05 00:00:00,SFP/USDT,0.6917,0.698,0.61,0.637,254080.66958973,167743.163767345454
1651622400,2022-05-04 00:00:00,SFP/USDT,0.6424,0.6911,0.6424,0.6911,193360.72054244,128066.418292410548
1651536000,2022-05-03 00:00:00,SFP/USDT,0.638,0.6687,0.628,0.6434,221555.62604093,142489.884237870885
1651449600,2022-05-02 00:00:00,SFP/USDT,0.6474,0.6568,0.6144,0.6369,230871.37460819,145923.934487279237
1651363200,2022-05-01 00:00:00,SFP/USDT,0.6057,0.7055,0.6049,0.648,230183.94916194,145938.391075537669
1651276800,2022-04-30 00:00:00,SFP/USDT,0.6695,0.686,0.5824,0.6055,116521.66269382,73035.416769715951
1651190400,2022-04-29 00:00:00,SFP/USDT,0.727,0.7333,0.66,0.6691,201361.07614153,141209.116164309878
1651104000,2022-04-28 00:00:00,SFP/USDT,0.7202,0.7599,0.715,0.7278,124423.96254098,90913.079417730855
1651017600,2022-04-27 00:00:00,SFP/USDT,0.7023,0.7295,0.6978,0.7187,102112.278899,72651.721991357123
1650931200,2022-04-26 00:00:00,SFP/USDT,0.7781,0.7858,0.6929,0.7014,139732.94142086,103405.097742996483
1650844800,2022-04-25 00:00:00,SFP/USDT,0.7754,0.7787,0.7196,0.7781,198162.35558565,147951.195732001885
1650758400,2022-04-24 00:00:00,SFP/USDT,0.7784,0.7931,0.7655,0.7721,110774.27439963,86246.232674437217
1650672000,2022-04-23 00:00:00,SFP/USDT,0.7991,0.8075,0.7768,0.7784,58442.59499326,46054.106675385289
1650585600,2022-04-22 00:00:00,SFP/USDT,0.7855,0.8148,0.7811,0.7999,55517.14775631,44269.682863545038
1650499200,2022-04-21 00:00:00,SFP/USDT,0.8068,0.8552,0.7726,0.7892,112791.79541203,93238.06519002837
1650412800,2022-04-20 00:00:00,SFP/USDT,0.823,0.8513,0.7955,0.8082,117216.68169374,96668.715375487991
1650326400,2022-04-19 00:00:00,SFP/USDT,0.7905,0.8347,0.7849,0.8262,264938.75115183,215273.797940621993
1650240000,2022-04-18 00:00:00,SFP/USDT,0.7611,0.7902,0.7237,0.7902,88334.29303255,67069.174825313745
1650153600,2022-04-17 00:00:00,SFP/USDT,0.7984,0.8096,0.7615,0.7615,43093.40607593,34101.502742056238
1650067200,2022-04-16 00:00:00,SFP/USDT,0.8008,0.8155,0.7823,0.7976,38812.66932573,30939.249488767932
1649980800,2022-04-15 00:00:00,SFP/USDT,0.7917,0.8135,0.7812,0.8028,43265.87642789,34647.600117964022
1649894400,2022-04-14 00:00:00,SFP/USDT,0.806,0.8309,0.774,0.7901,88733.40888229,71963.408788766026
1649808000,2022-04-13 00:00:00,SFP/USDT,0.788,0.8096,0.7691,0.806,40756.65596269,32325.902702743016
1649721600,2022-04-12 00:00:00,SFP/USDT,0.7456,0.81,0.7416,0.7906,130198.66372527,101395.572625060494
1649635200,2022-04-11 00:00:00,SFP/USDT,0.8392,0.842,0.7355,0.7456,240089.09418103,188304.318032359879
1649548800,2022-04-10 00:00:00,SFP/USDT,0.8719,0.8881,0.8389,0.8389,102159.20921854,88473.344022287805
1649462400,2022-04-09 00:00:00,SFP/USDT,0.832,0.883,0.832,0.8744,112406.28252088,95966.167232438945
1649376000,2022-04-08 00:00:00,SFP/USDT,0.8945,0.9096,0.8241,0.8318,126515.46445165,110121.125958998038
1649289600,2022-04-07 00:00:00,SFP/USDT,0.858,0.9024,0.8359,0.8949,108340.24863882,94526.893848846102
1649203200,2022-04-06 00:00:00,SFP/USDT,0.9737,0.9812,0.85,0.8534,326040.48495698,296938.281134190284
1649116800,2022-04-05 00:00:00,SFP/USDT,0.9996,1.035,0.9747,0.9805,277779.69440704,277984.801638622637
1649030400,2022-04-04 00:00:00,SFP/USDT,1.0729,1.0729,0.944,0.9959,306970.06893744,308837.237155557109
1648944000,2022-04-03 00:00:00,SFP/USDT,1.01,1.096,0.9854,1.0728,405623.59399759,426843.416820923499
1648857600,2022-04-02 00:00:00,SFP/USDT,1.048,1.1089,1.0055,1.0097,490942.45203383,519471.799222133232
1648771200,2022-04-01 00:00:00,SFP/USDT,1.0496,1.0956,0.9928,1.055,856230.19300851,901805.105347873428
1648684800,2022-03-31 00:00:00,SFP/USDT,1.1172,1.412,1.0096,1.0478,2886928.23349617,3407093.23375525103
1648598400,2022-03-30 00:00:00,SFP/USDT,0.8611,1.2202,0.8311,1.1176,1887026.99952129,2052783.880169618279
1648512000,2022-03-29 00:00:00,SFP/USDT,0.8484,0.8962,0.844,0.8611,89214.51929349,77686.570262975093
1648425600,2022-03-28 00:00:00,SFP/USDT,0.891,0.9266,0.8414,0.8485,154953.60447754,138813.626947519521
1648339200,2022-03-27 00:00:00,SFP/USDT,0.8335,0.8979,0.8192,0.8918,148857.59693988,127135.883763190162
1648252800,2022-03-26 00:00:00,SFP/USDT,0.8165,0.8404,0.808,0.8357,29487.17383493,24432.373212061958
1648166400,2022-03-25 00:00:00,SFP/USDT,0.8459,0.9,0.8139,0.816,115096.62405913,98508.213775871195
1648080000,2022-03-24 00:00:00,SFP/USDT,0.8586,0.87,0.8296,0.8468,55275.38869106,46767.09382318385
1647993600,2022-03-23 00:00:00,SFP/USDT,0.8198,0.8668,0.8051,0.8579,147359.65636498,123181.72655140401
1647907200,2022-03-22 00:00:00,SFP/USDT,0.7843,0.8629,0.7776,0.8198,90622.25019847,75612.262103016279
1647820800,2022-03-21 00:00:00,SFP/USDT,0.7681,0.8017,0.7484,0.7876,44139.08451553,34497.146654199427
1647734400,2022-03-20 00:00:00,SFP/USDT,0.8063,0.8113,0.7519,0.7645,73609.38551351,56963.702716636556
1647648000,2022-03-19 00:00:00,SFP/USDT,0.7601,0.8246,0.7598,0.8092,181310.28340505,144088.938905932771
1647561600,2022-03-18 00:00:00,SFP/USDT,0.7249,0.9,0.7135,0.7612,602075.83250828,466637.407842013425
1647475200,2022-03-17 00:00:00,SFP/USDT,0.7429,0.7786,0.7249,0.7292,98184.14059815,73520.774490883594
1647388800,2022-03-16 00:00:00,SFP/USDT,0.7189,0.75,0.7051,0.7427,62808.29696707,45598.592805825162
1647302400,2022-03-15 00:00:00,SFP/USDT,0.6996,0.7494,0.6775,0.7197,63644.581011,45503.163231250304
1647216000,2022-03-14 00:00:00,SFP/USDT,0.6786,0.7094,0.6672,0.6983,25284.384,17279.363913830046
1647129600,2022-03-13 00:00:00,SFP/USDT,0.7066,0.7581,0.6757,0.6807,56076.44461469,40071.396024008098
1647043200,2022-03-12 00:00:00,SFP/USDT,0.7066,0.742,0.7061,0.7079,26595.98077701,19288.294601430767
1646956800,2022-03-11 00:00:00,SFP/USDT,0.7711,0.7815,0.7072,0.7072,136240.82692177,101687.977671370129
1646870400,2022-03-10 00:00:00,SFP/USDT,0.7527,0.825,0.6843,0.7714,165632.47335517,126715.983967494169
1646784000,2022-03-09 00:00:00,SFP/USDT,0.7719,0.81,0.7421,0.7554,161666.10037475,124674.371143390925
1646697600,2022-03-08 00:00:00,SFP/USDT,0.6831,0.7768,0.6831,0.7758,246072.32328531,182160.189762125436
1646611200,2022-03-07 00:00:00,SFP/USDT,0.7279,0.7285,0.65,0.6831,102410.73856708,68773.375129412057
1646524800,2022-03-06 00:00:00,SFP/USDT,0.7035,0.7669,0.6859,0.7229,202581.05737344,147513.148009082816
1646438400,2022-03-05 00:00:00,SFP/USDT,0.6785,0.7249,0.6625,0.7006,31546.24756218,21727.704614149013
