https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1650812400,2022-04-24 15:00:00,GMT/USDT,3.2878,3.3838,3.2526,3.3505,1202042.20099114,4014276.638372407199
1650808800,2022-04-24 14:00:00,GMT/USDT,3.2007,3.319,3.1788,3.2892,578561.62361962,1878792.896666243844
1650805200,2022-04-24 13:00:00,GMT/USDT,3.1786,3.2189,3.1675,3.2007,266620.54952875,851394.633432046064
1650801600,2022-04-24 12:00:00,GMT/USDT,3.1562,3.2005,3.1499,3.1793,268920.67792346,851908.907808100873
1650798000,2022-04-24 11:00:00,GMT/USDT,3.1668,3.1729,3.1405,3.1549,140266.4135162,442308.139326806188
1650794400,2022-04-24 10:00:00,GMT/USDT,3.1863,3.1873,3.1468,3.1685,126998.40765154,402662.106443559764
1650790800,2022-04-24 09:00:00,GMT/USDT,3.1881,3.2082,3.1688,3.1836,83125.67535621,265133.985754241473
1650787200,2022-04-24 08:00:00,GMT/USDT,3.1984,3.2095,3.1797,3.1905,83096.24461911,265398.039959893066
1650783600,2022-04-24 07:00:00,GMT/USDT,3.2098,3.234,3.1914,3.1974,104277.01563949,334899.069714366512
1650780000,2022-04-24 06:00:00,GMT/USDT,3.1955,3.2289,3.1891,3.2082,134897.5667106,432942.397453749948
1650776400,2022-04-24 05:00:00,GMT/USDT,3.178,3.2097,3.1578,3.1924,149711.41129193,476044.352354331647
1650772800,2022-04-24 04:00:00,GMT/USDT,3.2,3.2581,3.1657,3.1769,455018.87669151,1463215.577802851612
1650769200,2022-04-24 03:00:00,GMT/USDT,3.1708,3.2,3.1658,3.199,296182.4510695,944159.733432948647
1650765600,2022-04-24 02:00:00,GMT/USDT,3.1504,3.1804,3.14,3.1708,218451.21626856,690430.331316232763
1650762000,2022-04-24 01:00:00,GMT/USDT,3.1542,3.1707,3.15,3.1513,103726.34894645,327529.802696854985
1650758400,2022-04-24 00:00:00,GMT/USDT,3.1482,3.1985,3.1435,3.1547,219883.33479908,698334.537935455187
1650754800,2022-04-23 23:00:00,GMT/USDT,3.1462,3.1586,3.1164,3.1497,147928.66923378,464547.156178097783
1650751200,2022-04-23 22:00:00,GMT/USDT,3.1503,3.1768,3.1445,3.1451,72935.10537491,230492.120207036675
1650747600,2022-04-23 21:00:00,GMT/USDT,3.1724,3.1765,3.1406,3.1502,170304.91168127,538743.987301275261
1650744000,2022-04-23 20:00:00,GMT/USDT,3.1592,3.1863,3.1446,3.1689,157080.35790266,497324.153771981277
1650740400,2022-04-23 19:00:00,GMT/USDT,3.1705,3.1816,3.1434,3.1559,105442.24338946,333043.470269477715
1650736800,2022-04-23 18:00:00,GMT/USDT,3.195,3.1958,3.15,3.1703,108999.92682685,345762.806233494802
1650733200,2022-04-23 17:00:00,GMT/USDT,3.16,3.1988,3.1157,3.1972,292417.94919887,925637.506066631214
1650729600,2022-04-23 16:00:00,GMT/USDT,3.1746,3.2154,3.1545,3.1601,587980.12345921,1867652.847443325876
1650726000,2022-04-23 15:00:00,GMT/USDT,3.175,3.1814,3.1583,3.1714,104323.11384407,330599.907199333865
1650722400,2022-04-23 14:00:00,GMT/USDT,3.1741,3.187,3.14,3.1692,180776.66440594,572938.108651544859
1650718800,2022-04-23 13:00:00,GMT/USDT,3.154,3.1955,3.154,3.1722,162455.8052681,515185.537920829572
1650715200,2022-04-23 12:00:00,GMT/USDT,3.2428,3.2588,3.1252,3.1502,777205.65581635,2461696.129663068124
1650711600,2022-04-23 11:00:00,GMT/USDT,3.28,3.3029,3.2207,3.2424,506203.83248074,1645775.56800785266
1650708000,2022-04-23 10:00:00,GMT/USDT,3.4254,3.4396,3.2604,3.28,605077.39759165,2039311.213497644
1650704400,2022-04-23 09:00:00,GMT/USDT,3.3773,3.449,3.3655,3.4236,808160.97362022,2754146.305849906639
1650700800,2022-04-23 08:00:00,GMT/USDT,3.2011,3.4265,3.196,3.3725,1074136.63480231,3585208.956296401121
1650697200,2022-04-23 07:00:00,GMT/USDT,3.1667,3.2096,3.1653,3.2035,204782.78497955,653342.478685986086
1650693600,2022-04-23 06:00:00,GMT/USDT,3.1481,3.2068,3.1381,3.1649,319537.05592227,1019069.032187791642
1650690000,2022-04-23 05:00:00,GMT/USDT,3.1197,3.1558,3.1135,3.1553,57305.46900189,179345.237087919622
1650686400,2022-04-23 04:00:00,GMT/USDT,3.15,3.1547,3.1026,3.1238,115883.15987348,362456.604782639256
1650682800,2022-04-23 03:00:00,GMT/USDT,3.1383,3.1586,3.129,3.1484,119708.73590554,376446.083606978813
1650679200,2022-04-23 02:00:00,GMT/USDT,3.1276,3.1435,3.113,3.1401,124949.52119878,391208.932055705394
1650675600,2022-04-23 01:00:00,GMT/USDT,3.1202,3.1593,3.096,3.128,390342.14290027,1223340.981368790342
1650672000,2022-04-23 00:00:00,GMT/USDT,3.176,3.2148,3.1157,3.1215,314996.96747681,994542.961325739729
1650668400,2022-04-22 23:00:00,GMT/USDT,3.161,3.221,3.146,3.1756,262482.83993461,836688.357157883614
1650664800,2022-04-22 22:00:00,GMT/USDT,3.125,3.1623,3.1117,3.1613,142679.33650675,448702.135892772341
1650661200,2022-04-22 21:00:00,GMT/USDT,3.1481,3.1481,3.1131,3.1237,110720.24029986,346205.456333758169
1650657600,2022-04-22 20:00:00,GMT/USDT,3.1634,3.165,3.1272,3.1454,189336.52147221,595101.691117322764
1650654000,2022-04-22 19:00:00,GMT/USDT,3.1588,3.1788,3.1435,3.162,301347.56136659,952481.585882524242
1650650400,2022-04-22 18:00:00,GMT/USDT,3.1177,3.1612,3.1042,3.158,244716.4984289,769293.307746346735
1650646800,2022-04-22 17:00:00,GMT/USDT,3.1447,3.1673,3.1089,3.1169,227569.175588,713673.442163969583
1650643200,2022-04-22 16:00:00,GMT/USDT,3.1292,3.2013,3.1155,3.1473,296149.78044185,934585.996250089314
1650639600,2022-04-22 15:00:00,GMT/USDT,3.1109,3.1796,3.0886,3.1276,423635.53654962,1333851.736792459548
