https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1559239200,2019-05-30 18:00:00,BTC/USDT,8608.9,8651.3,8576.6,8645.6,19.9294623,171646.414951974
1559235600,2019-05-30 17:00:00,BTC/USDT,8648.5,8658.1,8538,8613.6,50.21657129,432205.316407453
1559232000,2019-05-30 16:00:00,BTC/USDT,8930,9068.9,8616.1,8660.1,79.46121084,697262.280060628
1559228400,2019-05-30 15:00:00,BTC/USDT,8709.1,8936.1,8709.1,8932.9,25.10122982,221306.061544852
1559224800,2019-05-30 14:00:00,BTC/USDT,8714,8728.6,8700,8702.2,8.50205387,74095.392471481
1559221200,2019-05-30 13:00:00,BTC/USDT,8713.5,8744,8707.6,8714.1,5.91592149,51625.059056322
1559217600,2019-05-30 12:00:00,BTC/USDT,8723.1,8739.7,8681.9,8713.6,13.83395621,120593.421388383
1559214000,2019-05-30 11:00:00,BTC/USDT,8727.4,8756.9,8720.5,8723.1,9.34418772,81660.62871904
1559210400,2019-05-30 10:00:00,BTC/USDT,8712.9,8767.2,8708.2,8723.3,20.44991508,178811.154140574
1559206800,2019-05-30 09:00:00,BTC/USDT,8706.2,8715,8675.4,8711.2,8.51034767,74038.220476143
1559203200,2019-05-30 08:00:00,BTC/USDT,8700.1,8718.7,8659.2,8702.3,16.20052721,140835.270205833
1559199600,2019-05-30 07:00:00,BTC/USDT,8701.5,8723.8,8678.6,8698.6,11.75654803,102357.490355936
1559196000,2019-05-30 06:00:00,BTC/USDT,8709.6,8731.5,8694.4,8701.7,11.65337202,101565.38141726
1559192400,2019-05-30 05:00:00,BTC/USDT,8681.6,8752,8680.2,8708.4,17.78270324,155150.195296881
1559188800,2019-05-30 04:00:00,BTC/USDT,8678.3,8690.5,8656.2,8680.4,11.72156888,101667.161646654
1559185200,2019-05-30 03:00:00,BTC/USDT,8593.1,8697,8588.5,8677.2,13.40072364,115796.592532566
1559181600,2019-05-30 02:00:00,BTC/USDT,8621.1,8621.1,8550,8590.4,18.7236607,160735.503995234
1559178000,2019-05-30 01:00:00,BTC/USDT,8666.8,8712.3,8552.7,8621.2,20.07169906,173580.56191101
1559174400,2019-05-30 00:00:00,BTC/USDT,8643.5,8666.9,8591,8664.9,14.59754568,126080.508281577
1559170800,2019-05-29 23:00:00,BTC/USDT,8659,8672.4,8613.6,8644.9,11.33177983,97914.676609694
1559167200,2019-05-29 22:00:00,BTC/USDT,8639.5,8682.5,8639.5,8659,10.51674394,91151.263690006
1559163600,2019-05-29 21:00:00,BTC/USDT,8635.5,8663.8,8624,8638.1,9.78952939,84599.861318044
1559160000,2019-05-29 20:00:00,BTC/USDT,8669.7,8697.9,8601,8637.7,15.38775096,133068.00970188
1559156400,2019-05-29 19:00:00,BTC/USDT,8656.7,8688.3,8652.9,8674.3,13.32420957,115517.55503501
1559152800,2019-05-29 18:00:00,BTC/USDT,8661.9,8682.9,8642,8656.2,9.88058205,85575.174607029
1559149200,2019-05-29 17:00:00,BTC/USDT,8705.7,8716,8660.7,8660.7,17.01902663,147735.019216887
1559145600,2019-05-29 16:00:00,BTC/USDT,8686.2,8721.3,8628.1,8703.1,11.99110083,103989.460411463
1559142000,2019-05-29 15:00:00,BTC/USDT,8687.2,8718.4,8651.7,8686.2,10.91860774,94893.925082483
