https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT
1658934000,2022-07-27 15:00:00,XLM/USDT,0.106855,0.107158,0.106593,0.106838,941305.41661415,100619.87196434821201
1658930400,2022-07-27 14:00:00,XLM/USDT,0.106906,0.10706,0.106582,0.106829,1082564.75634418,115616.49092844663805
1658926800,2022-07-27 13:00:00,XLM/USDT,0.105955,0.106998,0.105372,0.106907,1183264.80243922,125482.10334416511844
1658923200,2022-07-27 12:00:00,XLM/USDT,0.104909,0.106163,0.104558,0.105975,538543.02131968,56821.64355922954395
1658919600,2022-07-27 11:00:00,XLM/USDT,0.105467,0.105753,0.104781,0.104857,527502.79720446,55541.21615963871775
1658916000,2022-07-27 10:00:00,XLM/USDT,0.105408,0.105793,0.105261,0.105483,398823.46093527,42092.0874409729956
1658912400,2022-07-27 09:00:00,XLM/USDT,0.105557,0.105706,0.105261,0.105399,382259.06294224,40338.40239124246188
1658908800,2022-07-27 08:00:00,XLM/USDT,0.105952,0.106356,0.10551,0.105569,351363.31607717,37238.27960788821233
1658905200,2022-07-27 07:00:00,XLM/USDT,0.105611,0.106706,0.105557,0.10598,693475.58210702,73639.12521547046353
1658901600,2022-07-27 06:00:00,XLM/USDT,0.105771,0.105818,0.105004,0.105613,569732.65840791,60019.72133835165852
1658898000,2022-07-27 05:00:00,XLM/USDT,0.104481,0.1059,0.104395,0.105836,307190.23395173,32301.18069227744185
1658894400,2022-07-27 04:00:00,XLM/USDT,0.103571,0.104547,0.103565,0.104496,448056.66264057,46660.20923842862049
1658890800,2022-07-27 03:00:00,XLM/USDT,0.10429,0.104342,0.10335,0.103572,489394.96208199,50733.53855265403913
1658887200,2022-07-27 02:00:00,XLM/USDT,0.104406,0.104531,0.103973,0.104294,530812.14006721,55320.83593311651696
1658883600,2022-07-27 01:00:00,XLM/USDT,0.105291,0.105586,0.104351,0.104426,595337.96372831,62407.99113043409531
1658880000,2022-07-27 00:00:00,XLM/USDT,0.105511,0.105696,0.10492,0.10529,337480.77731323,35543.13523330041123
1658876400,2022-07-26 23:00:00,XLM/USDT,0.10519,0.10567,0.104753,0.105508,595819.99936259,62669.98875734188469
1658872800,2022-07-26 22:00:00,XLM/USDT,0.104099,0.10541,0.104052,0.105201,504688.09211434,52985.24071376032845
1658869200,2022-07-26 21:00:00,XLM/USDT,0.104178,0.10477,0.103755,0.104134,592047.40922853,61717.791820218932
1658865600,2022-07-26 20:00:00,XLM/USDT,0.103242,0.104202,0.10288,0.104173,730985.03653039,75726.62540200256507
1658862000,2022-07-26 19:00:00,XLM/USDT,0.103522,0.103639,0.102542,0.103263,640498.71137536,65987.82976886762209
1658858400,2022-07-26 18:00:00,XLM/USDT,0.103699,0.104011,0.10292,0.103523,1126321.28075245,116481.51443484657156
1658854800,2022-07-26 17:00:00,XLM/USDT,0.103456,0.104277,0.10342,0.103718,822201.89042217,85384.67292914936945
1658851200,2022-07-26 16:00:00,XLM/USDT,0.10231,0.10351,0.102301,0.103464,674831.21335294,69529.21473754333728
1658847600,2022-07-26 15:00:00,XLM/USDT,0.103541,0.103602,0.102278,0.102327,574531.22327947,59080.17102160423373
1658844000,2022-07-26 14:00:00,XLM/USDT,0.103092,0.103682,0.102775,0.103585,773099.34392218,79796.20047618309235
1658840400,2022-07-26 13:00:00,XLM/USDT,0.103436,0.103569,0.10271,0.103093,711061.84715918,73388.7993012140728
1658836800,2022-07-26 12:00:00,XLM/USDT,0.104298,0.104457,0.102914,0.103435,1387851.19237423,144019.65964308338349
1658833200,2022-07-26 11:00:00,XLM/USDT,0.104563,0.10472,0.103543,0.104294,377850.56177765,39402.63082485708984
1658829600,2022-07-26 10:00:00,XLM/USDT,0.104837,0.105051,0.104469,0.104542,311538.57379935,32597.82530423453232
1658826000,2022-07-26 09:00:00,XLM/USDT,0.104752,0.105048,0.104563,0.104838,262548.35262653,27513.0904725500141
1658822400,2022-07-26 08:00:00,XLM/USDT,0.104564,0.10493,0.104378,0.104752,513311.28873422,53719.42495789205474
1658818800,2022-07-26 07:00:00,XLM/USDT,0.104377,0.104739,0.10401,0.104564,588689.13356908,61448.99652522300852
