https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUA,Volume USDT
1656633600000.0,2022-07-01 00:00:00,LUA/USDT,0.01475,0.01475,0.014,0.01425,706757.5070175439,10071.294475
1656547200000.0,2022-06-30 00:00:00,LUA/USDT,0.01425,0.01475,0.01375,0.01475,34008.65593220339,501.627675
1656460800000.0,2022-06-29 00:00:00,LUA/USDT,0.01525,0.01925,0.01425,0.01425,1406424.3157894737,20041.5465
1656374400000.0,2022-06-28 00:00:00,LUA/USDT,0.015,0.01525,0.015,0.01525,5.4,0.08235
1656288000000.0,2022-06-27 00:00:00,LUA/USDT,0.015,0.015,0.015,0.015,0.0,0.0
1656201600000.0,2022-06-26 00:00:00,LUA/USDT,0.015,0.015,0.015,0.015,2.2,0.033
1656115200000.0,2022-06-25 00:00:00,LUA/USDT,0.015,0.01525,0.01425,0.015,132130.235,1981.953525
1656028800000.0,2022-06-24 00:00:00,LUA/USDT,0.01525,0.01525,0.0145,0.015,8249.800000000001,123.747
1655942400000.0,2022-06-23 00:00:00,LUA/USDT,0.0145,0.01525,0.0145,0.01525,88319.63606557378,1346.87445
1655856000000.0,2022-06-22 00:00:00,LUA/USDT,0.015,0.015,0.01425,0.0145,307541.2293103448,4459.347825
1655769600000.0,2022-06-21 00:00:00,LUA/USDT,0.01425,0.015,0.01425,0.015,8262.903333333334,123.94355
1655683200000.0,2022-06-20 00:00:00,LUA/USDT,0.01375,0.0145,0.01375,0.01425,352251.8105263158,5019.5883
1655596800000.0,2022-06-19 00:00:00,LUA/USDT,0.014,0.01425,0.01375,0.01375,400.0363636363636,5.5005
1655510400000.0,2022-06-18 00:00:00,LUA/USDT,0.01425,0.0145,0.01375,0.014,368305.8214285714,5156.2815
1655424000000.0,2022-06-17 00:00:00,LUA/USDT,0.01425,0.015,0.014,0.01425,36327.78771929824,517.670975
1655337600000.0,2022-06-16 00:00:00,LUA/USDT,0.01475,0.01525,0.01425,0.01425,47687.79298245614,679.55105
1655251200000.0,2022-06-15 00:00:00,LUA/USDT,0.015,0.01525,0.01375,0.01475,524275.1220338983,7733.05805
1655164800000.0,2022-06-14 00:00:00,LUA/USDT,0.015,0.01575,0.0135,0.015,67199.57833333334,1007.993675
1655078400000.0,2022-06-13 00:00:00,LUA/USDT,0.015,0.01625,0.01225,0.015,1173739.9616666667,17606.099425
1654992000000.0,2022-06-12 00:00:00,LUA/USDT,0.01475,0.01625,0.01375,0.015,1213165.8683333334,18197.488025
1654905600000.0,2022-06-11 00:00:00,LUA/USDT,0.01575,0.0165,0.0135,0.01475,327273.57627118647,4827.28525
1654819200000.0,2022-06-10 00:00:00,LUA/USDT,0.016,0.01675,0.015,0.01575,114704.46507936508,1806.595325
1654732800000.0,2022-06-09 00:00:00,LUA/USDT,0.016,0.01625,0.01575,0.016,3840.6015624999995,61.449625
1654646400000.0,2022-06-08 00:00:00,LUA/USDT,0.0155,0.01675,0.01525,0.016,529411.9937499999,8470.5919
1654560000000.0,2022-06-07 00:00:00,LUA/USDT,0.01625,0.01625,0.01525,0.0155,119405.68225806451,1850.788075
1654473600000.0,2022-06-06 00:00:00,LUA/USDT,0.0155,0.0165,0.0155,0.01625,218950.8169230769,3557.950775
1654387200000.0,2022-06-05 00:00:00,LUA/USDT,0.015,0.01575,0.015,0.0155,48766.25161290322,755.8769
1654300800000.0,2022-06-04 00:00:00,LUA/USDT,0.01575,0.017,0.01475,0.015,243140.40166666667,3647.106025
1654214400000.0,2022-06-03 00:00:00,LUA/USDT,0.017,0.0175,0.015,0.01575,850810.5682539681,13400.26645
1654128000000.0,2022-06-02 00:00:00,LUA/USDT,0.01725,0.01725,0.01575,0.017,210621.3382352941,3580.56275
1654041600000.0,2022-06-01 00:00:00,LUA/USDT,0.01725,0.01775,0.0165,0.01725,35845.22753623188,618.330175
1653955200000.0,2022-05-31 00:00:00,LUA/USDT,0.017,0.01775,0.0165,0.01725,228468.65942028983,3941.084375
1653868800000.0,2022-05-30 00:00:00,LUA/USDT,0.0155,0.017,0.01525,0.017,100351.08235294117,1705.9684
1653782400000.0,2022-05-29 00:00:00,LUA/USDT,0.01575,0.01625,0.0145,0.0155,326138.9016129032,5055.152975
1653696000000.0,2022-05-28 00:00:00,LUA/USDT,0.01575,0.01675,0.01525,0.01575,153634.87142857144,2419.749225
1653609600000.0,2022-05-27 00:00:00,LUA/USDT,0.017,0.0175,0.01575,0.01575,71067.8253968254,1119.31825
1653523200000.0,2022-05-26 00:00:00,LUA/USDT,0.0165,0.01875,0.01625,0.017,357292.3676470588,6073.97025
1653436800000.0,2022-05-25 00:00:00,LUA/USDT,0.0165,0.017,0.0165,0.0165,6271.692424242424,103.482925
1653350400000.0,2022-05-24 00:00:00,LUA/USDT,0.017,0.01775,0.016,0.0165,109379.57424242425,1804.762975
1653264000000.0,2022-05-23 00:00:00,LUA/USDT,0.01625,0.019,0.01575,0.017,538774.1779411763,9159.161025
1653177600000.0,2022-05-22 00:00:00,LUA/USDT,0.0175,0.0175,0.01575,0.01625,69705.43846153846,1132.713375
1653091200000.0,2022-05-21 00:00:00,LUA/USDT,0.01575,0.01775,0.01525,0.0175,9534.492857142855,166.853625
1653004800000.0,2022-05-20 00:00:00,LUA/USDT,0.016,0.0165,0.01525,0.01575,13405.595238095239,211.138125
1652918400000.0,2022-05-19 00:00:00,LUA/USDT,0.01575,0.01775,0.015,0.016,751647.5859375,12026.361375
1652832000000.0,2022-05-18 00:00:00,LUA/USDT,0.016,0.016,0.0155,0.01575,3600.4968253968254,56.707825
1652745600000.0,2022-05-17 00:00:00,LUA/USDT,0.0155,0.01625,0.0155,0.016,11304.598437499999,180.873575
1652659200000.0,2022-05-16 00:00:00,LUA/USDT,0.016,0.01675,0.01525,0.0155,39235.33064516129,608.147625
1652572800000.0,2022-05-15 00:00:00,LUA/USDT,0.01625,0.01725,0.016,0.016,22339.0671875,357.425075
