https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume BTC
1658620800000,2022-07-24 00:00:00,BTC/EUT,22031,22527,21879,22175,26937.0054115,1.21474658
1658534400000,2022-07-23 00:00:00,BTC/EUT,22274,22817,21563,22037,106970.17963455,4.85411715
1658448000000,2022-07-22 00:00:00,BTC/EUT,22672,23280,22103,22290,96386.6023383,4.32420827
1658361600000,2022-07-21 00:00:00,BTC/EUT,22829,23002,22005,22664,233638.83992352002,10.30880868
1658275200000,2022-07-20 00:00:00,BTC/EUT,22901,23788,22466,22829,112002.29905283,4.90614127
1658188800000,2022-07-19 00:00:00,BTC/EUT,22180,23237,21234,22879,165249.22495236,7.22274684
1658102400000,2022-07-18 00:00:00,BTC/EUT,20609,22459,20607,22185,89380.07917965001,4.02885189
1658016000000,2022-07-17 00:00:00,BTC/EUT,21047,21563,20574,20609,216919.58681868,10.52547852
1657929600000,2022-07-16 00:00:00,BTC/EUT,20665,21460,20361,21047,24680.93145271,1.17265793
1657843200000,2022-07-15 00:00:00,BTC/EUT,20533,21021,20364,20666,42920.86945116,2.07688326
1657756800000,2022-07-14 00:00:00,BTC/EUT,20209,20861,19653,20533,58080.57558754001,2.82864538
1657670400000,2022-07-13 00:00:00,BTC/EUT,19257,20196,18895,20181,1214811.75361455,60.19581555
1657584000000,2022-07-12 00:00:00,BTC/EUT,19881,20019,19200,19244,242677.19962252,12.61053833
1657497600000,2022-07-11 00:00:00,BTC/EUT,20506,20554,19847,19881,428341.82738742,21.54528582
1657411200000,2022-07-10 00:00:00,BTC/EUT,21199,21218,20322,20506,39246.94112856,1.91392476
1657324800000,2022-07-09 00:00:00,BTC/EUT,21237,21562,21020,21202,25752.43302964,1.21462282
1657238400000,2022-07-08 00:00:00,BTC/EUT,21285,22003,20926,21207,344397.07723272,16.23978296
1657152000000,2022-07-07 00:00:00,BTC/EUT,20183,21468,19844,21285,66796.47014535,3.13819451
1657065600000,2022-07-06 00:00:00,BTC/EUT,19670,20262,19298,20183,59903.19304469,2.96800243
1656979200000,2022-07-05 00:00:00,BTC/EUT,19413,20164,18800,19655,109657.8060465,5.5791303
1656892800000,2022-07-04 00:00:00,BTC/EUT,18504,19563,18329,19430,20783.16349,1.069643
1656806400000,2022-07-03 00:00:00,BTC/EUT,18473,18950,17987,18504,19844.090766719997,1.07242168
1656720000000,2022-07-02 00:00:00,BTC/EUT,18463,18711,18216,18472,20455.334206720003,1.10736976
1656633600000,2022-07-01 00:00:00,BTC/EUT,19080,20148,18169,18453,55858.855786650005,3.02708805
1656547200000,2022-06-30 00:00:00,BTC/EUT,19271,19315,17858,19004,38348.130741400004,2.01789785
1656460800000,2022-06-29 00:00:00,BTC/EUT,19312,19599,18949,19271,33249.86041804,1.72538324
