https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORESTPLUS,Volume USDT
1655251200,2022-06-15 00:00:00,FORESTPLUS/USDT,0.0060767,0.0073049,0.0051199,0.0057713,96033385.1354476,560128.067711663471829
1655164800,2022-06-14 00:00:00,FORESTPLUS/USDT,0.0051471,0.0067578,0.00501,0.0060767,99902411.81438496,572964.868296742869964
1655078400,2022-06-13 00:00:00,FORESTPLUS/USDT,0.006331,0.0064646,0.0050118,0.0051462,72115391.12621713,412530.920451703273414
1654992000,2022-06-12 00:00:00,FORESTPLUS/USDT,0.007527,0.0080195,0.0060763,0.0063556,72411795.04368487,481564.822415184482188
1654905600,2022-06-11 00:00:00,FORESTPLUS/USDT,0.0088621,0.0095486,0.0071698,0.0075275,69456518.51806074,556387.18455811238936
1654819200,2022-06-10 00:00:00,FORESTPLUS/USDT,0.0091505,0.01226,0.0083,0.00884,125813462.49351305,1236064.308053440955379
1654732800,2022-06-09 00:00:00,FORESTPLUS/USDT,0.012511,0.0163747,0.0069132,0.0091257,298345451.96450902,2920895.732865517794571
1654646400,2022-06-08 00:00:00,FORESTPLUS/USDT,0.005679,0.0225548,0.0054295,0.0124392,332478015.5305153,3777121.35469578545145
1654560000,2022-06-07 00:00:00,FORESTPLUS/USDT,0.0053226,0.0064,0.0053188,0.0056791,86447491.06300701,480772.145531934694847
1654473600,2022-06-06 00:00:00,FORESTPLUS/USDT,0.005322,0.0062,0.0053051,0.0053224,80003416.28019159,447076.431077122004227
1654387200,2022-06-05 00:00:00,FORESTPLUS/USDT,0.0055092,0.0057038,0.0051086,0.0053222,79755412.5401711,426567.552632810039496
1654300800,2022-06-04 00:00:00,FORESTPLUS/USDT,0.0052512,0.0056705,0.0052177,0.0055086,86249362.79318087,465762.149121375379304
1654214400,2022-06-03 00:00:00,FORESTPLUS/USDT,0.005146,0.0057619,0.0049804,0.0052511,77505213.59800463,401944.862043079760985
1654128000,2022-06-02 00:00:00,FORESTPLUS/USDT,0.0050013,0.0055,0.0048615,0.0051454,85010587.27065816,428780.796584369258191
1654041600,2022-06-01 00:00:00,FORESTPLUS/USDT,0.005166,0.0055311,0.0049394,0.005003,79872598.23053795,410650.765485858883493
1653955200,2022-05-31 00:00:00,FORESTPLUS/USDT,0.00553,0.0059,0.0050049,0.0051659,85412237.21706008,449728.50344766380284
1653868800,2022-05-30 00:00:00,FORESTPLUS/USDT,0.0051359,0.0056196,0.0049101,0.0054932,93073785.31469217,481438.937859317342463
1653782400,2022-05-29 00:00:00,FORESTPLUS/USDT,0.0046067,0.0067,0.0045502,0.0051363,109525257.38392488,567656.449582277310172
1653696000,2022-05-28 00:00:00,FORESTPLUS/USDT,0.0047565,0.0050307,0.0045695,0.0046067,80694946.2902196,386327.298538838351283
1653609600,2022-05-27 00:00:00,FORESTPLUS/USDT,0.0050555,0.0050623,0.0044853,0.0047485,83645162.58254197,394141.389501853069487
1653523200,2022-05-26 00:00:00,FORESTPLUS/USDT,0.0054077,0.0054868,0.00485,0.0050304,75897941.73643299,390420.213833508174653
1653436800,2022-05-25 00:00:00,FORESTPLUS/USDT,0.005293,0.0057,0.00505,0.0054062,85504137.63707305,451985.58397841184752
1653350400,2022-05-24 00:00:00,FORESTPLUS/USDT,0.0048039,0.005686,0.0047949,0.0052871,91025378.93821393,475733.077733247327546
1653264000,2022-05-23 00:00:00,FORESTPLUS/USDT,0.0057065,0.0060966,0.0047,0.0047946,99942660.55465697,536268.73510953607168
1653177600,2022-05-22 00:00:00,FORESTPLUS/USDT,0.0072659,0.007727,0.005,0.0057397,172076036.2451975,1030852.647589956322148
1653091200,2022-05-21 00:00:00,FORESTPLUS/USDT,0.0042067,0.0118997,0.0042067,0.0072017,268145870.34618765,1796558.536761859709723
1653004800,2022-05-20 00:00:00,FORESTPLUS/USDT,0.0045999,0.0046625,0.0041013,0.004208,99362115.87650352,428219.229851905450121
1652918400,2022-05-19 00:00:00,FORESTPLUS/USDT,0.0038818,0.0065,0.0037759,0.0046008,156349658.54378478,730989.922072307989186
1652832000,2022-05-18 00:00:00,FORESTPLUS/USDT,0.004063,0.0045,0.0038593,0.0038829,100272938.38020062,409012.271202723436558
1652745600,2022-05-17 00:00:00,FORESTPLUS/USDT,0.0039829,0.0048,0.0039061,0.0040633,96386164.8444829,400728.171248511802797
1652659200,2022-05-16 00:00:00,FORESTPLUS/USDT,0.0044328,0.0052,0.0038,0.0039826,91704188.81557117,371966.219207889117204
1652572800,2022-05-15 00:00:00,FORESTPLUS/USDT,0.0036965,0.0059533,0.0035295,0.004432,117187841.78463557,475604.124041347410335
1652486400,2022-05-14 00:00:00,FORESTPLUS/USDT,0.0038456,0.0039127,0.0031048,0.0036928,109393215.50136057,376908.304184518599096
1652400000,2022-05-13 00:00:00,FORESTPLUS/USDT,0.0031571,0.0058099,0.0031178,0.0038501,102806069.91576196,393146.34200749788623
1652313600,2022-05-12 00:00:00,FORESTPLUS/USDT,0.0039994,0.0040316,0.0027296,0.0031199,78149750.37610824,253649.142842005239694
1652227200,2022-05-11 00:00:00,FORESTPLUS/USDT,0.00532,0.0058088,0.0033397,0.0039873,52014916.88090469,236208.252883060976246
1652140800,2022-05-10 00:00:00,FORESTPLUS/USDT,0.005075,0.0085,0.0050101,0.0052918,67483743.8745953,426470.472899518877983
1652054400,2022-05-09 00:00:00,FORESTPLUS/USDT,0.0063933,0.0064642,0.0049923,0.0050751,49266459.76187642,295986.832715436241437
1651968000,2022-05-08 00:00:00,FORESTPLUS/USDT,0.0066134,0.0066174,0.0062835,0.0063993,54698683.80808964,353972.395448174530194
1651881600,2022-05-07 00:00:00,FORESTPLUS/USDT,0.007057,0.007186,0.0065398,0.0066174,61364021.23351945,418158.470441327498121
1651795200,2022-05-06 00:00:00,FORESTPLUS/USDT,0.0066781,0.0086999,0.0064754,0.0070558,66729121.68161633,466034.881567271394538
1651708800,2022-05-05 00:00:00,FORESTPLUS/USDT,0.0078961,0.0079112,0.006649,0.0066777,60173868.36906391,444125.303354408284341
1651622400,2022-05-04 00:00:00,FORESTPLUS/USDT,0.0063975,0.0137343,0.0063969,0.0078961,200588750.00994744,1756165.653962179045651
1651536000,2022-05-03 00:00:00,FORESTPLUS/USDT,0.0063049,0.0065672,0.0060396,0.0063969,59393158.76854142,372720.771329641125729
1651449600,2022-05-02 00:00:00,FORESTPLUS/USDT,0.0069032,0.0069286,0.0062001,0.0063049,61748319.36468075,403931.862346537383662
1651363200,2022-05-01 00:00:00,FORESTPLUS/USDT,0.0077684,0.0081555,0.0065882,0.0069287,63531808.59768866,455328.326102659751228
1651276800,2022-04-30 00:00:00,FORESTPLUS/USDT,0.0081091,0.0083569,0.0077222,0.0077678,47157323.26574122,382821.268155231931422
1651190400,2022-04-29 00:00:00,FORESTPLUS/USDT,0.0092573,0.0093057,0.00801,0.0081091,43202780.22865071,364457.52466125785587
1651104000,2022-04-28 00:00:00,FORESTPLUS/USDT,0.0084082,0.0097493,0.008236,0.0092581,45272718.74833492,397315.626168364874168
1651017600,2022-04-27 00:00:00,FORESTPLUS/USDT,0.0081991,0.0085258,0.0081475,0.0084086,39197817.81494878,325762.643758339812886
1650931200,2022-04-26 00:00:00,FORESTPLUS/USDT,0.0088101,0.0094,0.0081752,0.0081982,37574720.76858385,330712.697585369918143
1650844800,2022-04-25 00:00:00,FORESTPLUS/USDT,0.0088912,0.0089365,0.0084803,0.0088109,38815023.36705507,339439.194095134501486
1650758400,2022-04-24 00:00:00,FORESTPLUS/USDT,0.009113,0.0099,0.0086977,0.0088917,46959187.10813003,422899.315083751979515
1650672000,2022-04-23 00:00:00,FORESTPLUS/USDT,0.0089127,0.0099821,0.0088071,0.0091116,46970867.57415472,426256.165043016149848
1650585600,2022-04-22 00:00:00,FORESTPLUS/USDT,0.0087143,0.0092999,0.0086026,0.0089139,36782981.05278274,327683.218924879650047
1650499200,2022-04-21 00:00:00,FORESTPLUS/USDT,0.0092196,0.0096215,0.0086958,0.0087202,37037940.24466059,343982.241047884186329
1650412800,2022-04-20 00:00:00,FORESTPLUS/USDT,0.0094091,0.009438,0.0089093,0.0092204,38363875.03364761,354354.152224966629473
1650326400,2022-04-19 00:00:00,FORESTPLUS/USDT,0.0097056,0.0097736,0.0091048,0.0094165,43158256.27487611,405506.674605355986272
1650240000,2022-04-18 00:00:00,FORESTPLUS/USDT,0.009367,0.0097724,0.0090333,0.0097356,40004395.82506919,373679.160249712537784
1650153600,2022-04-17 00:00:00,FORESTPLUS/USDT,0.009505,0.0095094,0.009173,0.0093673,39066390.72507367,363518.373184575152533
1650067200,2022-04-16 00:00:00,FORESTPLUS/USDT,0.0096451,0.0097912,0.0093608,0.009506,39771241.50457846,380781.02269015602263
1649980800,2022-04-15 00:00:00,FORESTPLUS/USDT,0.0103048,0.0103514,0.00952,0.0096456,38940246.28368387,387850.777915097353837
1649894400,2022-04-14 00:00:00,FORESTPLUS/USDT,0.0092804,0.0109789,0.0092467,0.0103044,47728014.73587985,477384.844516171291504
1649808000,2022-04-13 00:00:00,FORESTPLUS/USDT,0.0088419,0.0093374,0.0087152,0.0092812,41147555.47962377,369827.433857123641646
1649721600,2022-04-12 00:00:00,FORESTPLUS/USDT,0.0091775,0.0093979,0.0086318,0.008896,38706996.98673021,351110.720731164627895
1649635200,2022-04-11 00:00:00,FORESTPLUS/USDT,0.0104473,0.0104506,0.0091308,0.0091777,30109414.99458901,293449.989709919793133
1649548800,2022-04-10 00:00:00,FORESTPLUS/USDT,0.0103809,0.01048,0.0101465,0.0104344,34457710.98834904,356697.328679016914563
1649462400,2022-04-09 00:00:00,FORESTPLUS/USDT,0.0103817,0.0104911,0.01,0.0103812,46001580.39961054,470013.893857886399118
1649376000,2022-04-08 00:00:00,FORESTPLUS/USDT,0.0118253,0.01212,0.0102632,0.0103736,41221444.53179613,470227.470633876877939
1649289600,2022-04-07 00:00:00,FORESTPLUS/USDT,0.0115816,0.0119923,0.011456,0.0118249,37101269.28550819,430694.701568675597433
1649203200,2022-04-06 00:00:00,FORESTPLUS/USDT,0.0127074,0.0127535,0.0115412,0.0115818,24748716.26898008,297512.240842051889372
1649116800,2022-04-05 00:00:00,FORESTPLUS/USDT,0.0130269,0.01329,0.0126876,0.0127105,27687487.94827919,359657.080214755833709
1649030400,2022-04-04 00:00:00,FORESTPLUS/USDT,0.0130863,0.013696,0.0125647,0.0130271,33120106.84722878,430895.487401632511903
1648944000,2022-04-03 00:00:00,FORESTPLUS/USDT,0.0126888,0.01335,0.0126731,0.0130859,37921718.06728438,494176.278740226642628
1648857600,2022-04-02 00:00:00,FORESTPLUS/USDT,0.0127781,0.0133999,0.0124955,0.0126886,43712023.0052128,567916.251844918904201
1648771200,2022-04-01 00:00:00,FORESTPLUS/USDT,0.0121749,0.0130442,0.0115101,0.0127776,44228489.93936731,539400.348223884919551
1648684800,2022-03-31 00:00:00,FORESTPLUS/USDT,0.0135152,0.0142142,0.01212,0.0121735,46314404.55349513,613247.825865687192154
1648598400,2022-03-30 00:00:00,FORESTPLUS/USDT,0.0133437,0.0145044,0.0129999,0.013512,50167004.81616928,690591.71216183484411
1648512000,2022-03-29 00:00:00,FORESTPLUS/USDT,0.0133029,0.0139619,0.0128,0.0133431,46925085.79230063,632719.917259363580932
1648425600,2022-03-28 00:00:00,FORESTPLUS/USDT,0.0123989,0.0165,0.0122066,0.0133177,64219524.37797594,866125.264514206365589
1648339200,2022-03-27 00:00:00,FORESTPLUS/USDT,0.0116517,0.0126901,0.011602,0.0123997,56992148.54953447,685358.56114835939068
1648252800,2022-03-26 00:00:00,FORESTPLUS/USDT,0.0121939,0.013,0.0114716,0.0117055,59619940.14257044,719250.939013907967659
1648166400,2022-03-25 00:00:00,FORESTPLUS/USDT,0.012028,0.0135909,0.0115865,0.0121944,57537220.93087512,701542.06198163396959
