https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1559779200,2019-06-06 00:00:00,ETH/USD,246.68,249.94,237.71,249.23,627350.05,2564.58
1559692800,2019-06-05 00:00:00,ETH/USD,241.55,249.71,239.04,246.68,589127.9,2400.59
1559606400,2019-06-04 00:00:00,ETH/USD,250.61,252.0,235.8,241.55,880440.37,3581.6
1559520000,2019-06-03 00:00:00,ETH/USD,266.36,267.33,249.0,250.61,686445.11,2637.4
1559433600,2019-06-02 00:00:00,ETH/USD,262.7,270.64,261.57,266.36,595710.57,2237.56
1559347200,2019-06-01 00:00:00,ETH/USD,266.12,273.76,260.0,262.7,683094.18,2566.31
1559260800,2019-05-31 00:00:00,ETH/USD,256.04,267.58,246.18,266.12,819108.8,3182.89
1559174400,2019-05-30 00:00:00,ETH/USD,264.44,283.5,240.56,256.04,1377193.34,5105.23
1559088000,2019-05-29 00:00:00,ETH/USD,264.52,268.6,257.79,264.44,748600.41,2833.49
1559001600,2019-05-28 00:00:00,ETH/USD,263.7,266.0,257.07,264.52,743631.81,2842.94
1558915200,2019-05-27 00:00:00,ETH/USD,255.91,268.45,254.41,263.7,1002273.74,3869.02
1558828800,2019-05-26 00:00:00,ETH/USD,245.61,258.5,241.12,255.91,874138.8,3514.64
1558742400,2019-05-25 00:00:00,ETH/USD,243.96,251.63,243.85,245.61,553389.71,2244.39
1558656000,2019-05-24 00:00:00,ETH/USD,245.16,251.42,242.06,243.96,702303.58,2837.54
1558569600,2019-05-23 00:00:00,ETH/USD,244.5,247.0,232.4,245.16,792846.33,3292.84
1558483200,2019-05-22 00:00:00,ETH/USD,252.3,257.0,241.63,244.5,779002.9,3105.16
1558396800,2019-05-21 00:00:00,ETH/USD,248.95,259.0,245.2,252.3,755005.19,3008.84
1558310400,2019-05-20 00:00:00,ETH/USD,255.95,255.95,239.71,248.95,808728.8,3287.34
1558224000,2019-05-19 00:00:00,ETH/USD,235.07,258.56,234.06,255.95,995864.85,3958.28
1558137600,2019-05-18 00:00:00,ETH/USD,242.0,245.47,230.11,235.07,742554.0,3120.94
1558051200,2019-05-17 00:00:00,ETH/USD,257.51,260.32,221.0,242.0,1389128.82,5907.21
1557964800,2019-05-16 00:00:00,ETH/USD,240.3,269.99,237.0,257.51,1670079.1,6603.4
1557878400,2019-05-15 00:00:00,ETH/USD,214.05,241.5,213.01,240.3,1225289.32,5390.19
1557792000,2019-05-14 00:00:00,ETH/USD,195.4,216.0,194.36,214.05,1165328.15,5672.54
1557705600,2019-05-13 00:00:00,ETH/USD,187.51,204.68,186.0,195.4,895941.46,4580.6
1557619200,2019-05-12 00:00:00,ETH/USD,192.1,203.14,181.24,187.51,897768.81,4692.65
1557532800,2019-05-11 00:00:00,ETH/USD,174.04,203.36,174.04,192.1,1026552.72,5450.52
1557446400,2019-05-10 00:00:00,ETH/USD,170.5,177.13,169.94,174.04,511879.32,2942.08
1557360000,2019-05-09 00:00:00,ETH/USD,170.19,172.0,168.0,170.5,479748.33,2826.18
1557273600,2019-05-08 00:00:00,ETH/USD,167.61,171.87,165.0,170.19,462550.01,2741.98
1557187200,2019-05-07 00:00:00,ETH/USD,171.17,178.5,167.21,167.61,555061.69,3211.81
1557100800,2019-05-06 00:00:00,ETH/USD,162.27,174.7,158.5,171.17,606134.63,3629.88
1557014400,2019-05-05 00:00:00,ETH/USD,161.35,163.0,159.01,162.27,335985.45,2079.47
1556928000,2019-05-04 00:00:00,ETH/USD,164.05,166.74,159.11,161.35,384484.53,2372.04
1556841600,2019-05-03 00:00:00,ETH/USD,160.58,167.33,159.56,164.05,431347.16,2639.14
1556755200,2019-05-02 00:00:00,ETH/USD,159.49,161.2,158.72,160.58,346627.55,2168.63
1556668800,2019-05-01 00:00:00,ETH/USD,162.21,164.57,158.79,159.49,358654.86,2229.34
1556582400,2019-04-30 00:00:00,ETH/USD,156.65,163.1,156.54,162.21,370864.62,2324.44
1556496000,2019-04-29 00:00:00,ETH/USD,159.61,160.6,154.9,156.65,396460.94,2511.96
1556409600,2019-04-28 00:00:00,ETH/USD,161.55,162.74,159.0,159.61,371607.89,2309.72
1556323200,2019-04-27 00:00:00,ETH/USD,159.27,163.2,157.73,161.55,369951.8,2311.54
1556236800,2019-04-26 00:00:00,ETH/USD,156.2,162.0,152.74,159.27,555284.98,3510.24
