https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ADA
1594080000,2020-07-07 00:00:00,ADA/BTC,1.126e-05,1.286e-05,1.112e-05,1.275e-05,8.067,677788.88
1593993600,2020-07-06 00:00:00,ADA/BTC,1.083e-05,1.143e-05,1.054e-05,1.126e-05,3.703,342226.48
1593907200,2020-07-05 00:00:00,ADA/BTC,1.089e-05,1.09e-05,1.045e-05,1.083e-05,3.854,362005.07
1593820800,2020-07-04 00:00:00,ADA/BTC,1.067e-05,1.112e-05,1.056e-05,1.089e-05,4.23,388717.62
1593734400,2020-07-03 00:00:00,ADA/BTC,1.023e-05,1.125e-05,1.017e-05,1.067e-05,8.88,826911.34
1593648000,2020-07-02 00:00:00,ADA/BTC,1.043e-05,1.047e-05,9.86e-06,1.023e-05,4.194,410441.57
1593561600,2020-07-01 00:00:00,ADA/BTC,9.1e-06,1.043e-05,9.06e-06,1.043e-05,5.453,564413.94
1593475200,2020-06-30 00:00:00,ADA/BTC,9.12e-06,9.2e-06,9.01e-06,9.1e-06,2.557,280975.71
1593388800,2020-06-29 00:00:00,ADA/BTC,8.79e-06,9.14e-06,8.79e-06,9.12e-06,3.383,374646.21
1593302400,2020-06-28 00:00:00,ADA/BTC,8.56e-06,8.87e-06,8.51e-06,8.79e-06,3.962,456871.91
1593216000,2020-06-27 00:00:00,ADA/BTC,8.79e-06,8.85e-06,8.44e-06,8.56e-06,3.493,401754.67
1593129600,2020-06-26 00:00:00,ADA/BTC,8.82e-06,8.88e-06,8.73e-06,8.79e-06,2.606,296339.87
1593043200,2020-06-25 00:00:00,ADA/BTC,8.89e-06,8.96e-06,8.73e-06,8.82e-06,2.876,325017.64
1592956800,2020-06-24 00:00:00,ADA/BTC,8.59e-06,8.99e-06,8.58e-06,8.89e-06,4.394,496848.15
1592870400,2020-06-23 00:00:00,ADA/BTC,8.63e-06,8.69e-06,8.48e-06,8.59e-06,3.371,392304.95
1592784000,2020-06-22 00:00:00,ADA/BTC,8.44e-06,8.68e-06,8.42e-06,8.63e-06,3.712,433109.4
1592697600,2020-06-21 00:00:00,ADA/BTC,8.5e-06,8.59e-06,8.41e-06,8.44e-06,3.16,371096.05
1592611200,2020-06-20 00:00:00,ADA/BTC,8.6e-06,8.61e-06,8.37e-06,8.5e-06,3.456,406724.5
1592524800,2020-06-19 00:00:00,ADA/BTC,8.72e-06,8.72e-06,8.5e-06,8.6e-06,2.57,299239.02
1592438400,2020-06-18 00:00:00,ADA/BTC,8.81e-06,8.95e-06,8.6e-06,8.72e-06,2.962,338841.31
1592352000,2020-06-17 00:00:00,ADA/BTC,8.31e-06,8.84e-06,8.2e-06,8.81e-06,4.11,485253.4
1592265600,2020-06-16 00:00:00,ADA/BTC,8.34e-06,8.35e-06,8.18e-06,8.31e-06,2.541,307954.66
1592179200,2020-06-15 00:00:00,ADA/BTC,8.2e-06,8.54e-06,7.77e-06,8.34e-06,3.448,431001.53
1592092800,2020-06-14 00:00:00,ADA/BTC,8.33e-06,8.35e-06,8.18e-06,8.2e-06,3.246,393991.4
1592006400,2020-06-13 00:00:00,ADA/BTC,8.38e-06,8.41e-06,8.16e-06,8.33e-06,3.132,376985.62
