https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDN,Volume USDT
1656979200,2022-07-05 00:00:00,SDN/USDT,0.3197,0.3234,0.2983,0.3053,39165.77080145,12108.121518084035
1656892800,2022-07-04 00:00:00,SDN/USDT,0.3069,0.3441,0.3007,0.3198,56158.50587721,17653.77478880297
1656806400,2022-07-03 00:00:00,SDN/USDT,0.3096,0.3143,0.2999,0.307,45578.81994197,13992.908131066477
1656720000,2022-07-02 00:00:00,SDN/USDT,0.2983,0.3159,0.2955,0.3097,67678.66569804,20762.709645500977
1656633600,2022-07-01 00:00:00,SDN/USDT,0.3125,0.3273,0.2968,0.2985,44581.62448162,13673.736993310749
1656547200,2022-06-30 00:00:00,SDN/USDT,0.3146,0.3146,0.2959,0.3111,79264.30182848,24056.941788899124
1656460800,2022-06-29 00:00:00,SDN/USDT,0.3216,0.3518,0.31,0.3146,113986.83689929,36538.561768509481
1656374400,2022-06-28 00:00:00,SDN/USDT,0.354,0.3649,0.3218,0.3218,101458.38635218,35053.891564132206
1656288000,2022-06-27 00:00:00,SDN/USDT,0.3299,0.3643,0.3249,0.3544,96963.21654893,33669.722353518653
1656201600,2022-06-26 00:00:00,SDN/USDT,0.324,0.3617,0.3171,0.328,102950.42746037,34857.340185879719
1656115200,2022-06-25 00:00:00,SDN/USDT,0.3093,0.3412,0.3057,0.3238,185852.04153048,60014.073760358129
1656028800,2022-06-24 00:00:00,SDN/USDT,0.284,0.3332,0.279,0.3096,140668.4833121,42686.798483216983
1655942400,2022-06-23 00:00:00,SDN/USDT,0.274,0.2851,0.265,0.284,102003.99643451,28210.79059722091
1655856000,2022-06-22 00:00:00,SDN/USDT,0.292,0.292,0.269,0.2746,108770.49606536,29969.222704468287
1655769600,2022-06-21 00:00:00,SDN/USDT,0.2934,0.309,0.2887,0.294,36655.08934085,10929.208753876565
1655683200,2022-06-20 00:00:00,SDN/USDT,0.2846,0.295,0.275,0.2933,42688.55121786,12270.08815993417
1655596800,2022-06-19 00:00:00,SDN/USDT,0.2748,0.2926,0.261,0.2823,89486.27520739,24655.489163781843
1655510400,2022-06-18 00:00:00,SDN/USDT,0.2836,0.2868,0.2547,0.2741,90976.40567259,24078.5114235833
1655424000,2022-06-17 00:00:00,SDN/USDT,0.2778,0.312,0.2748,0.286,89361.08232167,26413.01670725037
1655337600,2022-06-16 00:00:00,SDN/USDT,0.311,0.312,0.274,0.2761,46366.7399434,13271.309443017456
1655251200,2022-06-15 00:00:00,SDN/USDT,0.291,0.3149,0.266,0.3089,65284.52947661,18940.431006208301
1655164800,2022-06-14 00:00:00,SDN/USDT,0.297,0.31,0.271,0.293,70190.33963184,20567.94311597993
1655078400,2022-06-13 00:00:00,SDN/USDT,0.309,0.309,0.269,0.297,113207.88514865,32517.1655240472
1654992000,2022-06-12 00:00:00,SDN/USDT,0.316,0.325,0.288,0.311,63121.88873217,19414.4458899214
1654905600,2022-06-11 00:00:00,SDN/USDT,0.335,0.34,0.31,0.319,88533.97934397,28471.91466413302
1654819200,2022-06-10 00:00:00,SDN/USDT,0.369,0.369,0.334,0.335,94369.2071732,33009.89255975509
1654732800,2022-06-09 00:00:00,SDN/USDT,0.369,0.38,0.364,0.371,40624.97974069,15112.44058601681
1654646400,2022-06-08 00:00:00,SDN/USDT,0.377,0.393,0.362,0.369,58730.33164328,21921.7541420888
1654560000,2022-06-07 00:00:00,SDN/USDT,0.389,0.39,0.363,0.377,58703.0040137,21874.76126937694
1654473600,2022-06-06 00:00:00,SDN/USDT,0.379,0.413,0.374,0.389,108736.09946296,42831.69581975025
1654387200,2022-06-05 00:00:00,SDN/USDT,0.382,0.387,0.365,0.379,63407.67092174,23888.31450146819
1654300800,2022-06-04 00:00:00,SDN/USDT,0.366,0.386,0.365,0.383,48474.0087414,18149.0232673752
1654214400,2022-06-03 00:00:00,SDN/USDT,0.398,0.398,0.354,0.368,67391.82301955,24624.58228008299
1654128000,2022-06-02 00:00:00,SDN/USDT,0.372,0.401,0.368,0.398,47904.65373169,18209.10264829783
1654041600,2022-06-01 00:00:00,SDN/USDT,0.409,0.432,0.367,0.375,92333.17537571,36868.02118889924
1653955200,2022-05-31 00:00:00,SDN/USDT,0.432,0.455,0.408,0.412,101558.98795379,43184.86034027317
1653868800,2022-05-30 00:00:00,SDN/USDT,0.394,0.439,0.388,0.43,112578.77496466,46963.08760506462
1653782400,2022-05-29 00:00:00,SDN/USDT,0.401,0.449,0.38,0.394,682057.30125934,280328.21332859844
1653696000,2022-05-28 00:00:00,SDN/USDT,0.378,0.41,0.378,0.401,87696.5313837,34877.95809066935
1653609600,2022-05-27 00:00:00,SDN/USDT,0.414,0.416,0.367,0.379,111873.57762422,43092.29009382299
1653523200,2022-05-26 00:00:00,SDN/USDT,0.453,0.465,0.41,0.413,135356.23475376,58111.45154961228
1653436800,2022-05-25 00:00:00,SDN/USDT,0.486,0.575,0.447,0.456,352610.0320833,179073.69541690583
1653350400,2022-05-24 00:00:00,SDN/USDT,0.391,0.544,0.389,0.486,499272.60235487,241779.80340990151
1653264000,2022-05-23 00:00:00,SDN/USDT,0.402,0.453,0.384,0.389,147767.37595915,61313.14171689495
1653177600,2022-05-22 00:00:00,SDN/USDT,0.395,0.427,0.391,0.402,21551.64463273,8794.2554826602
1653091200,2022-05-21 00:00:00,SDN/USDT,0.393,0.406,0.379,0.395,20921.31418249,8215.1513028937
1653004800,2022-05-20 00:00:00,SDN/USDT,0.413,0.432,0.382,0.391,80776.58327668,33500.61990736159
1652918400,2022-05-19 00:00:00,SDN/USDT,0.409,0.431,0.399,0.411,54722.17486599,22786.87098352632
1652832000,2022-05-18 00:00:00,SDN/USDT,0.473,0.486,0.41,0.411,26321.55630528,11657.36949324171
1652745600,2022-05-17 00:00:00,SDN/USDT,0.447,0.496,0.446,0.475,131468.32837214,62160.44625299374
1652659200,2022-05-16 00:00:00,SDN/USDT,0.513,0.515,0.437,0.447,76449.86109593,35089.05520552926
1652572800,2022-05-15 00:00:00,SDN/USDT,0.502,0.524,0.452,0.511,132888.16029238,65850.99116301118
1652486400,2022-05-14 00:00:00,SDN/USDT,0.488,0.511,0.419,0.499,218555.14428105,102459.73281757802
1652400000,2022-05-13 00:00:00,SDN/USDT,0.444,0.559,0.425,0.487,156929.8314278,79226.25718058562
1652313600,2022-05-12 00:00:00,SDN/USDT,0.396,0.46,0.3,0.442,292527.44367111,112698.32840465451
1652227200,2022-05-11 00:00:00,SDN/USDT,0.713,0.716,0.383,0.396,237948.03300125,130924.91411772986
1652140800,2022-05-10 00:00:00,SDN/USDT,0.685,0.747,0.673,0.715,135869.84152046,97217.63533534388
1652054400,2022-05-09 00:00:00,SDN/USDT,0.792,0.793,0.686,0.688,124193.99120621,89055.21805108301
1651968000,2022-05-08 00:00:00,SDN/USDT,0.815,0.815,0.761,0.789,39017.91401128,30699.49803764589
1651881600,2022-05-07 00:00:00,SDN/USDT,0.832,0.845,0.809,0.814,38106.99460057,31438.28389079829
1651795200,2022-05-06 00:00:00,SDN/USDT,0.853,0.863,0.79,0.834,58464.24760313,47871.06904218866
1651708800,2022-05-05 00:00:00,SDN/USDT,0.953,0.972,0.826,0.85,57009.87791004,49819.6165905532
1651622400,2022-05-04 00:00:00,SDN/USDT,0.857,1.147,0.854,0.953,200948.95629238,195945.8763100534
1651536000,2022-05-03 00:00:00,SDN/USDT,0.82,0.919,0.8,0.856,128092.66074235,109536.9057115556
1651449600,2022-05-02 00:00:00,SDN/USDT,0.788,0.856,0.785,0.821,83406.42187878,68072.88620105409
1651363200,2022-05-01 00:00:00,SDN/USDT,0.753,0.792,0.73,0.788,111674.80013793,84283.0130950274
1651276800,2022-04-30 00:00:00,SDN/USDT,0.767,0.829,0.746,0.753,176806.76055033,138736.57023413104
1651190400,2022-04-29 00:00:00,SDN/USDT,0.818,0.823,0.758,0.767,104266.83762894,81621.20054040672
1651104000,2022-04-28 00:00:00,SDN/USDT,0.815,0.875,0.773,0.818,302139.06332631,251125.19346337456
1651017600,2022-04-27 00:00:00,SDN/USDT,0.823,0.845,0.797,0.812,130445.3355486,107212.61068049978
1650931200,2022-04-26 00:00:00,SDN/USDT,0.879,0.925,0.818,0.823,231071.63926762,202655.42750819813
1650844800,2022-04-25 00:00:00,SDN/USDT,0.929,0.932,0.82,0.877,152423.35567976,129932.13962371058
1650758400,2022-04-24 00:00:00,SDN/USDT,0.962,0.969,0.896,0.925,152501.68635868,141082.71457146251
1650672000,2022-04-23 00:00:00,SDN/USDT,1.034,1.036,0.958,0.962,81368.21199007,79851.35271483286
1650585600,2022-04-22 00:00:00,SDN/USDT,1.062,1.134,1.026,1.03,63520.61403589,67758.44388432585
1650499200,2022-04-21 00:00:00,SDN/USDT,1.113,1.196,1.062,1.062,84160.64420907,95764.73870505745
1650412800,2022-04-20 00:00:00,SDN/USDT,1.148,1.17,1.089,1.113,77411.2586621,87536.76482272934
1650326400,2022-04-19 00:00:00,SDN/USDT,1.198,1.213,1.131,1.143,85577.47024485,101023.26318183325
1650240000,2022-04-18 00:00:00,SDN/USDT,1.157,1.202,1.059,1.195,88838.58836873,99570.84885877439
1650153600,2022-04-17 00:00:00,SDN/USDT,1.273,1.29,1.151,1.153,103181.90749656,123399.26365031403
1650067200,2022-04-16 00:00:00,SDN/USDT,1.249,1.32,1.214,1.269,71638.10075196,90116.90335137884
1649980800,2022-04-15 00:00:00,SDN/USDT,1.294,1.362,1.191,1.249,114054.29704254,141821.56870766409
1649894400,2022-04-14 00:00:00,SDN/USDT,1.389,1.445,1.275,1.3,128577.71515734,176566.85648791066
1649808000,2022-04-13 00:00:00,SDN/USDT,1.389,1.482,1.292,1.394,328294.14558258,453769.8379962452
1649721600,2022-04-12 00:00:00,SDN/USDT,1.389,1.527,1.326,1.381,193096.69888763,275244.07011458855
1649635200,2022-04-11 00:00:00,SDN/USDT,1.596,1.607,1.277,1.382,255862.09437124,362577.2174859435
1649548800,2022-04-10 00:00:00,SDN/USDT,1.462,1.79,1.46,1.597,617987.61889657,1016228.64861676704
1649462400,2022-04-09 00:00:00,SDN/USDT,1.28,1.617,1.28,1.468,266803.16739265,396863.24386880253
1649376000,2022-04-08 00:00:00,SDN/USDT,1.411,1.499,1.269,1.274,175081.61613672,244366.49310353037
1649289600,2022-04-07 00:00:00,SDN/USDT,1.261,1.447,1.206,1.412,126553.41782176,170274.18984454946
1649203200,2022-04-06 00:00:00,SDN/USDT,1.309,1.388,1.198,1.261,124036.66478355,155566.33245942309
1649116800,2022-04-05 00:00:00,SDN/USDT,1.369,1.568,1.299,1.303,98698.99127783,139736.36631675163
1649030400,2022-04-04 00:00:00,SDN/USDT,1.326,1.38,1.205,1.373,125406.51033361,157658.9159034695
