https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR,tradecount
1640304000000,2021-12-24 00:00:00,ETH/EUR,3630.00000000,3658.70000000,3557.59000000,3581.84000000,12929.80120000,46718246.64583200,45668
1640217600000,2021-12-23 00:00:00,ETH/EUR,3517.44000000,3665.08000000,3438.75000000,3628.49000000,25426.61640000,89757225.65913200,74604
1640131200000,2021-12-22 00:00:00,ETH/EUR,3557.20000000,3610.00000000,3482.20000000,3517.23000000,15099.65620000,53540427.28198000,56304
1640044800000,2021-12-21 00:00:00,ETH/EUR,3497.49000000,3598.96000000,3470.26000000,3557.92000000,21357.50000000,75756580.26314300,69434
1639958400000,2021-12-20 00:00:00,ETH/EUR,3489.66000000,3541.00000000,3327.14000000,3497.29000000,25632.59370000,87641031.76044100,78250
1639872000000,2021-12-19 00:00:00,ETH/EUR,3526.49000000,3589.88000000,3457.50000000,3489.90000000,18169.35740000,63846819.97683600,62891
1639785600000,2021-12-18 00:00:00,ETH/EUR,3448.97000000,3560.39000000,3354.01000000,3526.65000000,20306.99950000,70759243.60049100,68076
1639699200000,2021-12-17 00:00:00,ETH/EUR,3495.97000000,3526.00000000,3275.00000000,3447.02000000,29966.60160000,102521634.00100200,98803
1639612800000,2021-12-16 00:00:00,ETH/EUR,3558.99000000,3639.45000000,3490.52000000,3495.40000000,25629.82060000,91538905.67654700,83990
1639526400000,2021-12-15 00:00:00,ETH/EUR,3430.85000000,3626.84000000,3240.71000000,3558.56000000,36103.78440000,124299832.94887600,109385
1639440000000,2021-12-14 00:00:00,ETH/EUR,3357.70000000,3450.60000000,3270.53000000,3430.86000000,30285.41380000,101944634.48337400,91293
1639353600000,2021-12-13 00:00:00,ETH/EUR,3656.16000000,3666.68000000,3256.00000000,3356.82000000,40395.73990000,139155455.80171700,117377
1639267200000,2021-12-12 00:00:00,ETH/EUR,3626.44000000,3694.77000000,3537.44000000,3657.00000000,18199.85750000,65679157.42148700,64513
1639180800000,2021-12-11 00:00:00,ETH/EUR,3454.88000000,3632.50000000,3398.45000000,3625.50000000,28327.49380000,100705152.08329500,87090
1639094400000,2021-12-10 00:00:00,ETH/EUR,3639.19000000,3755.71000000,3444.95000000,3456.00000000,35085.97190000,126360352.97989600,105922
1639008000000,2021-12-09 00:00:00,ETH/EUR,3916.54000000,3960.55000000,3615.03000000,3639.00000000,29417.33200000,110821813.04283500,101343
1638921600000,2021-12-08 00:00:00,ETH/EUR,3825.52000000,3938.89000000,3750.63000000,3916.00000000,23066.12890000,88777896.24106200,86767
1638835200000,2021-12-07 00:00:00,ETH/EUR,3859.51000000,3936.05000000,3781.08000000,3825.42000000,22486.29160000,86926827.53684200,85005
1638748800000,2021-12-06 00:00:00,ETH/EUR,3719.49000000,3882.98000000,3470.67000000,3861.00000000,47993.47080000,174478081.72509800,154616
1638662400000,2021-12-05 00:00:00,ETH/EUR,3680.22000000,3780.12000000,3586.79000000,3719.00000000,65133.72530000,241093432.66125600,190048
1638576000000,2021-12-04 00:00:00,ETH/EUR,3737.00000000,3756.36000000,3185.30000000,3680.65000000,80454.71440000,284365666.81230200,244349
1638489600000,2021-12-03 00:00:00,ETH/EUR,3996.89000000,4118.49000000,3590.00000000,3737.04000000,57536.26640000,223233066.38426100,187087
1638403200000,2021-12-02 00:00:00,ETH/EUR,4052.59000000,4088.31000000,3929.35000000,3997.50000000,33841.62500000,135650002.23921000,123976
1638316800000,2021-12-01 00:00:00,ETH/EUR,4087.89000000,4223.00000000,4001.68000000,4052.59000000,35668.47070000,147700297.18384300,140613
1638230400000,2021-11-30 00:00:00,ETH/EUR,3938.26000000,4172.20000000,3848.28000000,4087.89000000,54964.43060000,221477423.55097700,173088
1638144000000,2021-11-29 00:00:00,ETH/EUR,3812.51000000,3961.13000000,3796.50000000,3937.65000000,27361.52520000,105848799.69601900,100563
1638057600000,2021-11-28 00:00:00,ETH/EUR,3637.74000000,3815.50000000,3516.00000000,3813.00000000,24831.44140000,90437392.14246100,87612
1637971200000,2021-11-27 00:00:00,ETH/EUR,3585.35000000,3712.09000000,3573.60000000,3638.18000000,22767.70080000,83197424.67263000,74995
1637884800000,2021-11-26 00:00:00,ETH/EUR,4037.49000000,4060.91000000,3472.05000000,3585.00000000,47675.38490000,176075441.49205100,159263
1637798400000,2021-11-25 00:00:00,ETH/EUR,3816.69000000,4060.63000000,3796.86000000,4036.86000000,28394.88440000,111533717.33908300,101443
1637712000000,2021-11-24 00:00:00,ETH/EUR,3858.63000000,3888.44000000,3720.32000000,3816.34000000,31888.61260000,121204891.50145100,96518
1637625600000,2021-11-23 00:00:00,ETH/EUR,3639.65000000,3899.99000000,3609.41000000,3858.62000000,35492.00440000,132982088.29230000,104188
1637539200000,2021-11-22 00:00:00,ETH/EUR,3784.59000000,3833.56000000,3587.10000000,3639.02000000,38261.35920000,142067056.27474700,106724
1637452800000,2021-11-21 00:00:00,ETH/EUR,3924.94000000,3935.64000000,3770.30000000,3783.96000000,22327.75940000,86379364.62937600,66853
1637366400000,2021-11-20 00:00:00,ETH/EUR,3813.00000000,3947.38000000,3740.00000000,3925.22000000,29130.42250000,111747735.38743500,91221
1637280000000,2021-11-19 00:00:00,ETH/EUR,3519.25000000,3820.47000000,3499.57000000,3812.09000000,40883.73850000,150072831.50187100,120468
1637193600000,2021-11-18 00:00:00,ETH/EUR,3799.99000000,3845.47000000,3486.42000000,3518.91000000,45828.39720000,167341759.16672100,144081
1637107200000,2021-11-17 00:00:00,ETH/EUR,3729.82000000,3809.21000000,3600.41000000,3799.99000000,42434.29240000,157379846.18697700,142196
1637020800000,2021-11-16 00:00:00,ETH/EUR,4023.15000000,4023.15000000,3623.00000000,3730.22000000,57846.23420000,219412243.97288700,182248
1636934400000,2021-11-15 00:00:00,ETH/EUR,4066.33000000,4170.94000000,4000.95000000,4023.30000000,28172.77790000,115176536.17389700,100924
1636848000000,2021-11-14 00:00:00,ETH/EUR,4081.31000000,4126.83000000,3969.75000000,4066.73000000,29354.21610000,118471070.79818600,73076
1636761600000,2021-11-13 00:00:00,ETH/EUR,4094.04000000,4130.24000000,4024.26000000,4081.32000000,21459.53690000,87539337.12904300,61192
1636675200000,2021-11-12 00:00:00,ETH/EUR,4144.79000000,4219.18000000,3954.12000000,4094.34000000,37099.04810000,151072785.95254100,113099
1636588800000,2021-11-11 00:00:00,ETH/EUR,4044.90000000,4192.61000000,3995.70000000,4144.98000000,22555.15410000,92720530.70129000,86817
1636502400000,2021-11-10 00:00:00,ETH/EUR,4095.82000000,4221.00000000,3911.59000000,4046.00000000,39090.91139000,159672915.13925460,137334
1636416000000,2021-11-09 00:00:00,ETH/EUR,4151.19000000,4177.00000000,4073.01000000,4096.04000000,23537.28489000,97331443.93737910,86358
1636329600000,2021-11-08 00:00:00,ETH/EUR,4013.97000000,4163.99000000,4012.92000000,4150.98000000,25255.96473000,103568920.70107580,91436
1636243200000,2021-11-07 00:00:00,ETH/EUR,3926.73000000,4032.49000000,3915.03000000,4013.28000000,20875.88890000,83193726.25521300,78677
1636156800000,2021-11-06 00:00:00,ETH/EUR,3894.29000000,3943.00000000,3770.30000000,3925.96000000,24005.99640000,92780438.56408000,89909
1636070400000,2021-11-05 00:00:00,ETH/EUR,3928.77000000,3964.59000000,3866.04000000,3894.50000000,21172.67960000,82795751.22741100,98162
1635984000000,2021-11-04 00:00:00,ETH/EUR,3970.20000000,3972.81000000,3835.68000000,3929.00000000,30750.20610000,120059952.69764200,123329
1635897600000,2021-11-03 00:00:00,ETH/EUR,3967.36000000,4028.40000000,3850.00000000,3969.25000000,34759.26671000,137319794.44370550,153070
1635811200000,2021-11-02 00:00:00,ETH/EUR,3742.28000000,3976.47000000,3712.84000000,3966.53000000,30926.62742000,118748950.76727080,143675
1635724800000,2021-11-01 00:00:00,ETH/EUR,3722.79000000,3803.07000000,3603.53000000,3742.81000000,36065.68320000,134639997.08754100,141791
1635638400000,2021-10-31 00:00:00,ETH/EUR,3751.50000000,3811.70000000,3615.29000000,3722.79000000,28512.45410000,105695753.15488300,98606
1635552000000,2021-10-30 00:00:00,ETH/EUR,3816.81000000,3829.27000000,3680.00000000,3750.83000000,21745.23180000,81382479.41941900,82892
1635465600000,2021-10-29 00:00:00,ETH/EUR,3675.65000000,3846.30000000,3660.56000000,3816.72000000,38227.25997000,143368802.95456960,136555
1635379200000,2021-10-28 00:00:00,ETH/EUR,3394.95000000,3686.87000000,3367.19000000,3675.97000000,46462.05330000,165246593.24989100,148050
1635292800000,2021-10-27 00:00:00,ETH/EUR,3573.00000000,3720.00000000,3383.00000000,3394.50000000,49728.04870000,174680290.09458800,155993
1635206400000,2021-10-26 00:00:00,ETH/EUR,3640.50000000,3704.74000000,3543.52000000,3572.44000000,24484.14860000,88708040.22525200,93845
1635120000000,2021-10-25 00:00:00,ETH/EUR,3517.83000000,3653.11000000,3506.37000000,3639.79000000,20305.55430000,72692593.03820600,76838
1635033600000,2021-10-24 00:00:00,ETH/EUR,3590.99000000,3605.94000000,3412.30000000,3518.43000000,24938.67110000,87307837.99751200,105669
1634947200000,2021-10-23 00:00:00,ETH/EUR,3422.97000000,3593.87000000,3394.16000000,3590.63000000,22943.36590000,80009634.91450700,92350
1634860800000,2021-10-22 00:00:00,ETH/EUR,3484.55000000,3581.92000000,3350.00000000,3423.32000000,28671.86600000,99739018.04864800,131317
1634774400000,2021-10-21 00:00:00,ETH/EUR,3551.41000000,3748.63000000,3441.38000000,3483.91000000,53650.20862000,191616723.19277010,209998
1634688000000,2021-10-20 00:00:00,ETH/EUR,3333.32000000,3559.17000000,3290.00000000,3551.77000000,31870.44202000,109152488.32132440,137226
1634601600000,2021-10-19 00:00:00,ETH/EUR,3233.43000000,3341.19000000,3219.84000000,3333.12000000,32847.52530000,107525456.09229300,122324
1634515200000,2021-10-18 00:00:00,ETH/EUR,3314.35000000,3353.99000000,3173.82000000,3233.02000000,37398.09770000,121990196.04867800,135864
1634428800000,2021-10-17 00:00:00,ETH/EUR,3295.26000000,3370.30000000,3145.36000000,3313.93000000,28225.72420000,92522263.14208100,89365
1634342400000,2021-10-16 00:00:00,ETH/EUR,3327.40000000,3416.00000000,3272.51000000,3294.52000000,23484.84646000,78532556.46584410,81209
1634256000000,2021-10-15 00:00:00,ETH/EUR,3266.93000000,3360.00000000,3218.14000000,3328.40000000,28805.90430000,94585146.91769300,105651
1634169600000,2021-10-14 00:00:00,ETH/EUR,3110.60000000,3297.00000000,3092.13000000,3266.98000000,25461.88640000,81581488.28871800,92219
1634083200000,2021-10-13 00:00:00,ETH/EUR,3033.58000000,3116.64000000,2962.50000000,3109.98000000,22319.66130000,67593193.14044700,76887
1633996800000,2021-10-12 00:00:00,ETH/EUR,3070.28000000,3081.24000000,2954.97000000,3035.34000000,30073.99690000,90900807.87356800,94642
1633910400000,2021-10-11 00:00:00,ETH/EUR,2955.18000000,3134.89000000,2919.71000000,3070.60000000,26031.51760000,79786348.74821500,84755
1633824000000,2021-10-10 00:00:00,ETH/EUR,3075.48000000,3104.27000000,2947.47000000,2955.72000000,24400.39930000,74316806.31320600,89678
1633737600000,2021-10-09 00:00:00,ETH/EUR,3059.30000000,3121.17000000,3038.65000000,3075.95000000,15954.30200000,49215966.78819800,74801
