https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARRR,Volume BTC
1649548800,2022-04-10 00:00:00,ARRR/BTC,0.00004705,0.00004748,0.00004352,0.000044,91319.72625221,4.1213324776732717
1649462400,2022-04-09 00:00:00,ARRR/BTC,0.00004842,0.00004915,0.0000437,0.000047,140671.96223878,6.5284166010205769
1649376000,2022-04-08 00:00:00,ARRR/BTC,0.00004877,0.00004979,0.00004731,0.00004842,93397.98857104,4.5375053401171224
1649289600,2022-04-07 00:00:00,ARRR/BTC,0.00004916,0.00004974,0.00004671,0.00004901,109534.88506382,5.3045481147003358
1649203200,2022-04-06 00:00:00,ARRR/BTC,0.00005067,0.00005175,0.00004839,0.00004939,68945.45347379,3.4237691714427002
1649116800,2022-04-05 00:00:00,ARRR/BTC,0.00004624,0.00005255,0.0000458,0.00005064,175429.48272392,8.6481112119098405
1649030400,2022-04-04 00:00:00,ARRR/BTC,0.00004649,0.00004709,0.0000448,0.00004601,83258.46137685,3.8221641348484097
1648944000,2022-04-03 00:00:00,ARRR/BTC,0.00004643,0.00004679,0.00004486,0.00004647,92224.34177657,4.193590765063537
1648857600,2022-04-02 00:00:00,ARRR/BTC,0.00004732,0.00004808,0.0000461,0.00004655,107260.22728665,5.0423449516517975
1648771200,2022-04-01 00:00:00,ARRR/BTC,0.00004786,0.00004875,0.00004593,0.00004749,141771.03085378,6.7053812163437603
1648684800,2022-03-31 00:00:00,ARRR/BTC,0.00004486,0.00005012,0.0000444,0.00004793,206981.32143792,9.8295142619420658
1648598400,2022-03-30 00:00:00,ARRR/BTC,0.00004433,0.00004576,0.00004321,0.00004488,119393.39592181,5.3381862845008797
1648512000,2022-03-29 00:00:00,ARRR/BTC,0.00004541,0.00004696,0.00004414,0.00004437,104733.36200647,4.784690787648475
1648425600,2022-03-28 00:00:00,ARRR/BTC,0.00005048,0.00005129,0.00004465,0.00004514,142846.46444712,6.8794836198886038
1648339200,2022-03-27 00:00:00,ARRR/BTC,0.0000508,0.00005097,0.00004851,0.00005049,104166.17701342,5.1893216822380452
1648252800,2022-03-26 00:00:00,ARRR/BTC,0.0000519,0.00005243,0.00005022,0.00005053,77283.31857542,3.9814657060854783
1648166400,2022-03-25 00:00:00,ARRR/BTC,0.00004989,0.00005337,0.00004976,0.0000519,125704.48494256,6.510390199483125
1648080000,2022-03-24 00:00:00,ARRR/BTC,0.00005311,0.00005325,0.00004807,0.00004991,177419.03101036,8.9011123882989473
1647993600,2022-03-23 00:00:00,ARRR/BTC,0.00004718,0.00005423,0.00004601,0.00005338,283516.94896707,14.1594343484176418
1647907200,2022-03-22 00:00:00,ARRR/BTC,0.00004042,0.00005085,0.00004042,0.00004716,268498.77854516,12.1372727226551904
1647820800,2022-03-21 00:00:00,ARRR/BTC,0.00004038,0.00004144,0.00003799,0.00004042,173916.90045788,6.9713101841993048
1647734400,2022-03-20 00:00:00,ARRR/BTC,0.00004187,0.00004221,0.00004015,0.00004061,102447.20128475,4.233294989432654
1647648000,2022-03-19 00:00:00,ARRR/BTC,0.00003727,0.00004542,0.00003716,0.00004186,304291.6968432,12.5991641889408278
1647561600,2022-03-18 00:00:00,ARRR/BTC,0.0000356,0.00003745,0.00003467,0.00003728,86418.9565533,3.0965243517357446
1647475200,2022-03-17 00:00:00,ARRR/BTC,0.00003592,0.0000366,0.0000348,0.00003564,83891.25041781,2.9855513638169287
1647388800,2022-03-16 00:00:00,ARRR/BTC,0.00003523,0.00003611,0.00003426,0.00003592,83978.06503174,2.9618980648454446
1647302400,2022-03-15 00:00:00,ARRR/BTC,0.0000353,0.00003605,0.00003454,0.00003543,62469.22367764,2.2062791129658182
1647216000,2022-03-14 00:00:00,ARRR/BTC,0.00003619,0.00003668,0.00003454,0.00003525,121309.51184132,4.3122163447813853
1647129600,2022-03-13 00:00:00,ARRR/BTC,0.00003219,0.00004,0.00003216,0.00003618,342592.60021263,12.4672625016637315
1647043200,2022-03-12 00:00:00,ARRR/BTC,0.00003343,0.00003361,0.00003168,0.00003234,125830.41832154,4.0970289514615658
1646956800,2022-03-11 00:00:00,ARRR/BTC,0.0000284,0.00003369,0.00002821,0.0000334,186227.60374696,5.6324343908262488
1646870400,2022-03-10 00:00:00,ARRR/BTC,0.00002817,0.00002908,0.00002771,0.00002824,99731.75306738,2.8223561323607671
1646784000,2022-03-09 00:00:00,ARRR/BTC,0.00002883,0.00003082,0.00002731,0.00002814,291743.09980754,8.5080058787743129
1646697600,2022-03-08 00:00:00,ARRR/BTC,0.0000273,0.00002892,0.00002579,0.00002892,83813.46971265,2.3004396697548663
1646611200,2022-03-07 00:00:00,ARRR/BTC,0.00002958,0.00002968,0.0000269,0.0000273,94270.19432453,2.6266249229364918
1646524800,2022-03-06 00:00:00,ARRR/BTC,0.00002857,0.00002991,0.00002817,0.00002958,63738.95020685,1.8429548837283294
1646438400,2022-03-05 00:00:00,ARRR/BTC,0.00002746,0.00002881,0.00002727,0.00002847,44885.60237363,1.2590777475200375
1646352000,2022-03-04 00:00:00,ARRR/BTC,0.00002709,0.00002789,0.00002681,0.00002734,65092.05905181,1.7779077003342886
1646265600,2022-03-03 00:00:00,ARRR/BTC,0.00002703,0.00002761,0.0000266,0.00002701,41869.56029318,1.1355459977906998
1646179200,2022-03-02 00:00:00,ARRR/BTC,0.00002627,0.0000274,0.00002611,0.00002693,46636.72326068,1.2473401127345851
1646092800,2022-03-01 00:00:00,ARRR/BTC,0.0000257,0.00002688,0.0000253,0.00002625,97900.07675818,2.5665752687603337
1646006400,2022-02-28 00:00:00,ARRR/BTC,0.00002691,0.00002789,0.00002492,0.00002572,110823.68369077,2.9420215379258874
1645920000,2022-02-27 00:00:00,ARRR/BTC,0.00002899,0.00002904,0.00002584,0.00002688,171567.25221643,4.6244349030983635
1645833600,2022-02-26 00:00:00,ARRR/BTC,0.00002699,0.00002914,0.00002673,0.00002897,82360.55755827,2.3013642886317845
1645747200,2022-02-25 00:00:00,ARRR/BTC,0.00002727,0.00002774,0.00002579,0.00002681,118923.94458021,3.1856216093914458
1645660800,2022-02-24 00:00:00,ARRR/BTC,0.0000293,0.00002971,0.00002629,0.00002727,161042.887521,4.485741800583368
1645574400,2022-02-23 00:00:00,ARRR/BTC,0.0000269,0.0000296,0.0000261,0.00002916,117985.61390669,3.3068674052514272
