https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1657126800000.0,2022-07-06 17:00:00,HNT/USDT,9.1858,9.1858,9.1486,9.1858,0.0,0.0
1657123200000.0,2022-07-06 16:00:00,HNT/USDT,9.0868,9.1861,9.0868,9.1858,24.986066537481765,229.51701
1657119600000.0,2022-07-06 15:00:00,HNT/USDT,9.1423,9.1423,9.0868,9.0868,10.0,90.868
1657116000000.0,2022-07-06 14:00:00,HNT/USDT,9.1164,9.1423,9.0741,9.1423,5.59552410224998,51.15596
1657112400000.0,2022-07-06 13:00:00,HNT/USDT,9.0764,9.1529,9.0647,9.1164,51.656985213461454,470.92574
1657108800000.0,2022-07-06 12:00:00,HNT/USDT,9.0697,9.0849,9.0697,9.0764,0.0,0.0
1657105200000.0,2022-07-06 11:00:00,HNT/USDT,9.1529,9.1536,9.0697,9.0697,0.30000000000000004,2.72091
1657101600000.0,2022-07-06 10:00:00,HNT/USDT,9.1735,9.1843,9.1356,9.1529,0.0,0.0
1657098000000.0,2022-07-06 09:00:00,HNT/USDT,9.1529,9.1843,9.1456,9.1735,2.40282553005941,22.04232
1657094400000.0,2022-07-06 08:00:00,HNT/USDT,9.1487,9.1529,9.0697,9.1529,3.3844049426957574,30.97712
1657090800000.0,2022-07-06 07:00:00,HNT/USDT,9.1044,9.1529,9.1044,9.1487,0.300137724485446,2.74587
1657087200000.0,2022-07-06 06:00:00,HNT/USDT,9.1529,9.1529,9.0697,9.1044,0.29885659681033344,2.72091
1657083600000.0,2022-07-06 05:00:00,HNT/USDT,9.1282,9.1622,9.0684,9.1529,33.36417965890592,305.379
1657080000000.0,2022-07-06 04:00:00,HNT/USDT,9.0787,9.208,9.0515,9.1282,20.350010955062334,185.75897
1657076400000.0,2022-07-06 03:00:00,HNT/USDT,9.075,9.1016,9.0443,9.0787,10.568242149206384,95.9459
1657072800000.0,2022-07-06 02:00:00,HNT/USDT,8.9865,9.075,8.9865,9.075,13.399824793388431,121.60341
1657069200000.0,2022-07-06 01:00:00,HNT/USDT,9.1625,9.1643,8.9865,8.9865,22.352134868970122,200.86746
1657065600000.0,2022-07-06 00:00:00,HNT/USDT,9.1529,9.1832,9.1267,9.1625,0.0,0.0
1657062000000.0,2022-07-05 23:00:00,HNT/USDT,9.2361,9.2361,9.1529,9.1529,0.5008259677260759,4.58401
1657058400000.0,2022-07-05 22:00:00,HNT/USDT,9.2,9.2361,9.125,9.2361,0.9941100681023375,9.1817
1657054800000.0,2022-07-05 21:00:00,HNT/USDT,9.275,9.275,9.2,9.2,16.948086956521742,155.9224
1657051200000.0,2022-07-05 20:00:00,HNT/USDT,9.346,9.4557,9.275,9.275,32.58118490566038,302.19049
1657047600000.0,2022-07-05 19:00:00,HNT/USDT,9.2546,9.3461,9.2386,9.346,13.477612882516585,125.96177
1657044000000.0,2022-07-05 18:00:00,HNT/USDT,9.1443,9.2726,9.0699,9.2546,27.504106066172497,254.5395
1657040400000.0,2022-07-05 17:00:00,HNT/USDT,9.0697,9.1464,9.0697,9.1443,0.20004593025163217,1.82928
1657036800000.0,2022-07-05 16:00:00,HNT/USDT,9.0874,9.1529,9.0697,9.0697,1.2075923128659163,10.9525
1657033200000.0,2022-07-05 15:00:00,HNT/USDT,9.0676,9.0874,9.0294,9.0874,5.189957523604111,47.16322
1657029600000.0,2022-07-05 14:00:00,HNT/USDT,9.0286,9.0676,9.0286,9.0676,14.95908178569853,135.64297
1657026000000.0,2022-07-05 13:00:00,HNT/USDT,9.0141,9.0804,9.0069,9.0286,171.00088275037103,1543.89857
1657022400000.0,2022-07-05 12:00:00,HNT/USDT,9.1255,9.1255,9.0141,9.0141,5.9336117859797435,53.48617
1657018800000.0,2022-07-05 11:00:00,HNT/USDT,9.1477,9.1942,9.1255,9.1255,0.0,0.0
1657015200000.0,2022-07-05 10:00:00,HNT/USDT,9.1368,9.1774,9.1224,9.1477,35.0676563507767,320.7884
1657011600000.0,2022-07-05 09:00:00,HNT/USDT,9.1529,9.1734,9.114,9.1368,0.20035242097889855,1.83058
1657008000000.0,2022-07-05 08:00:00,HNT/USDT,9.4026,9.4026,9.1529,9.1529,16.766122212632062,153.45864
1657004400000.0,2022-07-05 07:00:00,HNT/USDT,9.4578,9.4687,9.4025,9.4026,0.1999978729287644,1.8805
1657000800000.0,2022-07-05 06:00:00,HNT/USDT,9.4578,9.5119,9.4578,9.4578,0.0,0.0
1656997200000.0,2022-07-05 05:00:00,HNT/USDT,9.4025,9.5299,9.4025,9.4578,4.911382139609635,46.45087
1656993600000.0,2022-07-05 04:00:00,HNT/USDT,9.406,9.4279,9.4025,9.4025,0.0,0.0
1656990000000.0,2022-07-05 03:00:00,HNT/USDT,9.4025,9.4341,9.4025,9.406,0.0,0.0
1656986400000.0,2022-07-05 02:00:00,HNT/USDT,9.4863,9.4863,9.4025,9.4025,8.858127093858016,83.28854
1656982800000.0,2022-07-05 01:00:00,HNT/USDT,9.4763,9.5095,9.4763,9.4863,0.0,0.0
1656979200000.0,2022-07-05 00:00:00,HNT/USDT,9.4861,9.5095,9.4763,9.4763,3.600474868883425,34.11918
1656975600000.0,2022-07-04 23:00:00,HNT/USDT,9.4448,9.4895,9.4448,9.4861,9.6936559808562,91.95499
1656972000000.0,2022-07-04 22:00:00,HNT/USDT,9.3374,9.4448,9.3193,9.4448,1.098656403523632,10.37659
1656968400000.0,2022-07-04 21:00:00,HNT/USDT,9.3193,9.3375,9.3193,9.3374,0.0,0.0
1656964800000.0,2022-07-04 20:00:00,HNT/USDT,9.368,9.3994,9.286,9.3193,2.8,26.09404
1656961200000.0,2022-07-04 19:00:00,HNT/USDT,9.3797,9.4025,9.3471,9.368,0.30110482493595214,2.82075
1656957600000.0,2022-07-04 18:00:00,HNT/USDT,9.4007,9.4024,9.3442,9.3797,10.360638399948826,97.17968
1656954000000.0,2022-07-04 17:00:00,HNT/USDT,9.2361,9.4024,9.2361,9.4007,11.599437275947535,109.04283
1656950400000.0,2022-07-04 16:00:00,HNT/USDT,9.3337,9.3423,9.2361,9.2361,3.1191866696982493,28.80912
1656946800000.0,2022-07-04 15:00:00,HNT/USDT,9.2991,9.4861,9.2991,9.3337,19.781594651638684,184.63547
1656943200000.0,2022-07-04 14:00:00,HNT/USDT,9.2843,9.3023,9.2683,9.2991,35.858828273703914,333.45483
1656939600000.0,2022-07-04 13:00:00,HNT/USDT,9.3023,9.3284,9.2843,9.2843,0.0,0.0
1656936000000.0,2022-07-04 12:00:00,HNT/USDT,9.3461,9.3663,9.3023,9.3023,2.6090031497586614,24.26973
1656932400000.0,2022-07-04 11:00:00,HNT/USDT,9.1952,9.3461,9.1952,9.3461,4.399139748130237,41.1148
1656928800000.0,2022-07-04 10:00:00,HNT/USDT,9.2028,9.2361,9.1952,9.1952,2.001334391856621,18.40267
1656925200000.0,2022-07-04 09:00:00,HNT/USDT,9.1071,9.219,9.1044,9.2028,0.399878297909332,3.68
1656921600000.0,2022-07-04 08:00:00,HNT/USDT,9.1071,9.1339,9.1044,9.1071,6.498072932107916,59.1786
1656918000000.0,2022-07-04 07:00:00,HNT/USDT,9.1071,9.1259,9.1071,9.1071,6.599999999999999,60.10686
1656914400000.0,2022-07-04 06:00:00,HNT/USDT,9.1069,9.3313,9.1066,9.1071,175.33571938377747,1596.79993
1656910800000.0,2022-07-04 05:00:00,HNT/USDT,9.0862,9.1409,9.086,9.1069,36.436086923102266,331.8198
1656907200000.0,2022-07-04 04:00:00,HNT/USDT,9.0847,9.1026,9.068,9.0862,7.984910083423214,72.55249
1656903600000.0,2022-07-04 03:00:00,HNT/USDT,9.1529,9.1529,9.0847,9.0847,3.4,30.88798
1656900000000.0,2022-07-04 02:00:00,HNT/USDT,9.2432,9.2619,9.1529,9.1529,0.3,2.74587
1656896400000.0,2022-07-04 01:00:00,HNT/USDT,9.1856,9.424,9.1687,9.2432,363.4059795308984,3359.03415
1656892800000.0,2022-07-04 00:00:00,HNT/USDT,9.1493,9.2361,9.1392,9.1856,21.18241377808744,194.57318
1656889200000.0,2022-07-03 23:00:00,HNT/USDT,9.1382,9.1777,9.1382,9.1493,7.701335621304363,70.46183
1656885600000.0,2022-07-03 22:00:00,HNT/USDT,9.1382,9.1896,9.1382,9.1382,0.0,0.0
1656882000000.0,2022-07-03 21:00:00,HNT/USDT,9.1773,9.193,9.1382,9.1382,2.6,23.75932
1656878400000.0,2022-07-03 20:00:00,HNT/USDT,9.1532,9.1986,9.1529,9.1773,0.0,0.0
1656874800000.0,2022-07-03 19:00:00,HNT/USDT,9.0604,9.1816,9.0604,9.1532,0.29999016737315914,2.74587
1656871200000.0,2022-07-03 18:00:00,HNT/USDT,9.072,9.072,9.0604,9.0604,3.5000000000000004,31.7114
1656867600000.0,2022-07-03 17:00:00,HNT/USDT,9.072,9.0911,9.072,9.072,0.0,0.0
1656864000000.0,2022-07-03 16:00:00,HNT/USDT,8.9865,9.0724,8.9865,9.072,6.491986331569666,58.8953
1656860400000.0,2022-07-03 15:00:00,HNT/USDT,8.9644,8.9865,8.9515,8.9865,0.3,2.69595
1656856800000.0,2022-07-03 14:00:00,HNT/USDT,8.8894,8.9754,8.8894,8.9644,8.88676877426264,79.66455
1656853200000.0,2022-07-03 13:00:00,HNT/USDT,8.9177,8.9567,8.8805,8.8894,27.212019933853803,241.89853
1656849600000.0,2022-07-03 12:00:00,HNT/USDT,9.0757,9.0757,8.9032,8.9177,0.7020150935779406,6.26036
1656846000000.0,2022-07-03 11:00:00,HNT/USDT,9.0757,9.0904,9.0757,9.0757,0.0,0.0
1656842400000.0,2022-07-03 10:00:00,HNT/USDT,9.0323,9.0937,9.0228,9.0757,8.004416188282997,72.64568
1656838800000.0,2022-07-03 09:00:00,HNT/USDT,9.0697,9.0697,9.0228,9.0323,1.4984223287534737,13.5342
1656835200000.0,2022-07-03 08:00:00,HNT/USDT,9.0697,9.0744,9.0651,9.0697,0.0,0.0
1656831600000.0,2022-07-03 07:00:00,HNT/USDT,9.0697,9.1052,9.0697,9.0697,0.0,0.0
1656828000000.0,2022-07-03 06:00:00,HNT/USDT,9.0652,9.1034,9.065,9.0697,0.0,0.0
1656824400000.0,2022-07-03 05:00:00,HNT/USDT,9.1203,9.1529,9.0651,9.0652,3.227889070290782,29.26146
1656820800000.0,2022-07-03 04:00:00,HNT/USDT,9.0576,9.1386,8.9865,9.1203,25.449534554784382,232.10739
1656817200000.0,2022-07-03 03:00:00,HNT/USDT,9.0389,9.1011,9.0389,9.0576,0.0,0.0
1656813600000.0,2022-07-03 02:00:00,HNT/USDT,9.029,9.0663,9.025,9.0389,1.5,13.55835
1656810000000.0,2022-07-03 01:00:00,HNT/USDT,9.0684,9.0783,9.0126,9.029,26.32436703953926,237.68271
1656806400000.0,2022-07-03 00:00:00,HNT/USDT,9.102,9.1467,9.0684,9.0684,7.110335891667769,64.47937
1656802800000.0,2022-07-02 23:00:00,HNT/USDT,9.1354,9.1894,9.102,9.102,0.0,0.0
1656799200000.0,2022-07-02 22:00:00,HNT/USDT,9.1747,9.191,9.1354,9.1354,0.2012172428136699,1.8382
1656795600000.0,2022-07-02 21:00:00,HNT/USDT,9.1523,9.208,9.1404,9.1747,2.6,23.85422
1656792000000.0,2022-07-02 20:00:00,HNT/USDT,9.1588,9.208,9.1288,9.1523,0.0,0.0
1656788400000.0,2022-07-02 19:00:00,HNT/USDT,9.208,9.208,9.1588,9.1588,0.0,0.0
1656784800000.0,2022-07-02 18:00:00,HNT/USDT,9.1661,9.208,9.1558,9.208,0.0,0.0
1656781200000.0,2022-07-02 17:00:00,HNT/USDT,9.208,9.208,9.1501,9.1661,0.0,0.0
1656777600000.0,2022-07-02 16:00:00,HNT/USDT,9.0678,9.208,9.0385,9.208,4.498204821894005,41.41947
1656774000000.0,2022-07-02 15:00:00,HNT/USDT,9.0709,9.1033,9.0304,9.0678,0.0,0.0
1656770400000.0,2022-07-02 14:00:00,HNT/USDT,9.0304,9.1337,9.0304,9.0709,0.0,0.0
1656766800000.0,2022-07-02 13:00:00,HNT/USDT,9.0976,9.1098,9.0304,9.0304,7.499999999999999,67.728
1656763200000.0,2022-07-02 12:00:00,HNT/USDT,9.054,9.1294,9.0311,9.0976,0.8953207439324657,8.14527
