https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume USDT
1655078400,2022-06-13 00:00:00,FTT/USDT,27.928,28.103,23.883,24.452,65740.0598559,1696029.14619721483
1654992000,2022-06-12 00:00:00,FTT/USDT,27.455,29.297,26.625,27.928,55194.63071683,1538711.39843087991
1654905600,2022-06-11 00:00:00,FTT/USDT,27.584,28.083,26.572,27.401,22725.91409184,619905.6182389211
1654819200,2022-06-10 00:00:00,FTT/USDT,28.563,28.674,27.32,27.587,18272.60399631,511336.15648904878
1654732800,2022-06-09 00:00:00,FTT/USDT,28.12,29.114,27.924,28.53,35879.72836875,1029989.11584241139
1654646400,2022-06-08 00:00:00,FTT/USDT,27.093,28.471,26.476,28.087,18357.56180419,506534.88184638155
1654560000,2022-06-07 00:00:00,FTT/USDT,27.398,27.432,25.202,27.098,39579.65110148,1041258.23406079694
1654473600,2022-06-06 00:00:00,FTT/USDT,26.161,27.658,26.124,27.363,13031.23893889,351240.75936267405
1654387200,2022-06-05 00:00:00,FTT/USDT,26.005,26.381,25.648,26.133,7447.19785702,193545.68612891383
1654300800,2022-06-04 00:00:00,FTT/USDT,26.023,26.057,25.55,25.951,10268.53797713,264753.98323183592
1654214400,2022-06-03 00:00:00,FTT/USDT,27.162,27.324,25.818,26.023,14457.23636887,380681.27906655463
1654128000,2022-06-02 00:00:00,FTT/USDT,26.908,27.244,26.416,27.157,12954.78580043,347449.801332491
1654041600,2022-06-01 00:00:00,FTT/USDT,28.94,29.123,26.542,26.901,22214.15101962,620125.91536301337
1653955200,2022-05-31 00:00:00,FTT/USDT,29.213,29.459,28.482,28.98,19935.19199674,577007.44183045733
1653868800,2022-05-30 00:00:00,FTT/USDT,27.302,29.431,27.143,29.138,26407.14524072,752154.07581205981
1653782400,2022-05-29 00:00:00,FTT/USDT,27.116,27.378,26.726,27.302,6518.63897482,176144.3646855029
1653696000,2022-05-28 00:00:00,FTT/USDT,26.428,27.237,26.375,27.103,12124.7861558,325050.33698235559
1653609600,2022-05-27 00:00:00,FTT/USDT,27.557,27.673,26.285,26.361,29239.50152214,787694.93993606204
1653523200,2022-05-26 00:00:00,FTT/USDT,29.003,29.336,26.554,27.554,35068.90656066,980057.39411474401
1653436800,2022-05-25 00:00:00,FTT/USDT,29.859,30.27,28.073,28.986,16837.05976514,495051.14858581043
1653350400,2022-05-24 00:00:00,FTT/USDT,29.707,30.075,28.741,29.87,18469.38352728,542083.43358146816
1653264000,2022-05-23 00:00:00,FTT/USDT,30.791,31.165,29.449,29.649,14160.35039851,431810.83468864225
1653177600,2022-05-22 00:00:00,FTT/USDT,30.13,30.947,29.972,30.747,6533.87510937,199539.65220437328
1653091200,2022-05-21 00:00:00,FTT/USDT,29.747,30.324,29.473,30.095,3795.63405293,113749.14001061964
1653004800,2022-05-20 00:00:00,FTT/USDT,30.915,31.281,29.233,29.741,11668.969089,352752.29800510626
1652918400,2022-05-19 00:00:00,FTT/USDT,29.667,31.31,29.62,30.91,25986.88148824,790049.15513276483
1652832000,2022-05-18 00:00:00,FTT/USDT,32.085,32.25,29.603,29.678,10375.41380295,320247.7419555484
1652745600,2022-05-17 00:00:00,FTT/USDT,31.853,32.648,31.179,32.044,7582.63023213,243018.68801267476
1652659200,2022-05-16 00:00:00,FTT/USDT,32.727,32.727,30.839,31.806,7764.93344696,247043.02670211827
1652572800,2022-05-15 00:00:00,FTT/USDT,31.532,32.774,30.968,32.734,6979.09205513,221942.59967342442
1652486400,2022-05-14 00:00:00,FTT/USDT,30.856,31.637,29.927,31.503,11097.75356801,342681.03572965983
1652400000,2022-05-13 00:00:00,FTT/USDT,29.678,32.637,29.374,30.813,15921.43544029,500690.24303296014
1652313600,2022-05-12 00:00:00,FTT/USDT,29.9,31.327,26.309,29.653,45852.67662986,1337721.15069455938
