https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume TUSD
1656464400,2022-06-29 01:00:00,BTC/TUSD,20234.1,20332.9,20234.1,20331.4,0.01617794,328.35145497
1656460800,2022-06-29 00:00:00,BTC/TUSD,20276.9,20320.3,20179.6,20234.1,1.81527604,36764.854107673
1656457200,2022-06-28 23:00:00,BTC/TUSD,20286.6,20318.4,20213.9,20250.4,0.26453947,5353.473707803
1656453600,2022-06-28 22:00:00,BTC/TUSD,20373.2,20383.8,20257.8,20277.1,0.83193604,16889.146884232
1656450000,2022-06-28 21:00:00,BTC/TUSD,20255.6,20369.8,20255.6,20369.8,0.6468061,13141.483364414
1656446400,2022-06-28 20:00:00,BTC/TUSD,20190.2,20288.3,20159.4,20288.3,0.09520697,1925.986321958
1656442800,2022-06-28 19:00:00,BTC/TUSD,20328.1,20328.1,20199.4,20250.5,0.76378468,15443.134627438
1656439200,2022-06-28 18:00:00,BTC/TUSD,20592.8,20603.8,20264.4,20328.1,2.42163043,49293.869485474
1656435600,2022-06-28 17:00:00,BTC/TUSD,20607.6,20636,20599.1,20604.6,0.3458474,7126.072014412
1656432000,2022-06-28 16:00:00,BTC/TUSD,20618.3,20700,20618.3,20679.9,2.65048115,54747.560431914
1656428400,2022-06-28 15:00:00,BTC/TUSD,20769.1,20769.1,20603.2,20609.8,1.01525906,21030.703055919
1656424800,2022-06-28 14:00:00,BTC/TUSD,20966,20972.3,20702.8,20763.3,0.96017258,19978.43702242
1656421200,2022-06-28 13:00:00,BTC/TUSD,20911,21091.7,20857.8,21044.5,1.98782567,41489.189628795
1656417600,2022-06-28 12:00:00,BTC/TUSD,20995.5,21069.1,20940,20940,0.39940487,8402.109135266
1656414000,2022-06-28 11:00:00,BTC/TUSD,20984.5,21013.4,20907.8,20983.3,2.05467199,43110.407654384
1656410400,2022-06-28 10:00:00,BTC/TUSD,21030,21047.5,20992.7,20995.4,0.03607041,758.549426742
1656406800,2022-06-28 09:00:00,BTC/TUSD,21148.9,21184.1,21020.8,21060.2,0.75767709,15958.103650565
1656403200,2022-06-28 08:00:00,BTC/TUSD,20916.3,21119.9,20866.6,21119.9,0.54421143,11407.04096237
1656399600,2022-06-28 07:00:00,BTC/TUSD,20855.7,20867.1,20816.5,20851.8,0.01264222,263.476718919
1656396000,2022-06-28 06:00:00,BTC/TUSD,20735.6,20860.3,20735.6,20860.3,0.07061071,1468.170733277
1656392400,2022-06-28 05:00:00,BTC/TUSD,20752.2,20767.7,20742.6,20748.2,0.0061845,128.358858305
1656388800,2022-06-28 04:00:00,BTC/TUSD,20730,20752.2,20684.8,20752.2,0.00454278,94.115122859
1656385200,2022-06-28 03:00:00,BTC/TUSD,20658.1,20721.7,20651.3,20721.7,0.62953805,13031.375109228
1656381600,2022-06-28 02:00:00,BTC/TUSD,20616.1,20624.8,20520,20624.8,1.01089026,20782.610425897
1656378000,2022-06-28 01:00:00,BTC/TUSD,20783.4,20783.4,20557.4,20578.7,2.28144193,47142.120035903
1656374400,2022-06-28 00:00:00,BTC/TUSD,20740,20832.2,20685.8,20703,0.30999348,6434.338862509
1656370800,2022-06-27 23:00:00,BTC/TUSD,20796.5,20843.3,20683.6,20736.5,2.25062897,46608.75069012
1656367200,2022-06-27 22:00:00,BTC/TUSD,20841.6,20908,20799.8,20813.1,4.07773899,84938.903898719
1656363600,2022-06-27 21:00:00,BTC/TUSD,20896.5,20896.5,20814.8,20814.8,0.22853116,4767.310491962
1656360000,2022-06-27 20:00:00,BTC/TUSD,20880,20909.3,20880,20898.7,0.47153697,9848.336949668
1656356400,2022-06-27 19:00:00,BTC/TUSD,20800,20867.5,20736,20850,1.85353446,38557.639875686
1656352800,2022-06-27 18:00:00,BTC/TUSD,20702.7,20875.3,20522.1,20798.3,3.85200641,79524.125279881
1656349200,2022-06-27 17:00:00,BTC/TUSD,20717.7,20750.6,20683.7,20705.7,0.09312784,1928.287196158
1656345600,2022-06-27 16:00:00,BTC/TUSD,20745.2,20783.4,20668.4,20769.9,0.52296354,10821.076734245
1656342000,2022-06-27 15:00:00,BTC/TUSD,20713.3,20786.1,20685,20742.6,0.34961702,7255.26307658
1656338400,2022-06-27 14:00:00,BTC/TUSD,20702.8,20814.8,20592.5,20814.8,0.54888538,11344.940186292
1656334800,2022-06-27 13:00:00,BTC/TUSD,21224.4,21250.9,20713.2,20727.6,3.93306863,82902.017068644
1656331200,2022-06-27 12:00:00,BTC/TUSD,21275.9,21292.6,21172.4,21173,1.0644492,22573.532619495
1656327600,2022-06-27 11:00:00,BTC/TUSD,21414.1,21421.9,21275.9,21275.9,0.91788054,19565.854994458
1656324000,2022-06-27 10:00:00,BTC/TUSD,21438.3,21460.4,21406.3,21406.3,0.01533345,328.642036971
1656320400,2022-06-27 09:00:00,BTC/TUSD,21449.8,21476.5,21416.6,21458.6,0.57958901,12442.785568582
1656316800,2022-06-27 08:00:00,BTC/TUSD,21376,21506.5,21334.4,21480.5,4.08375328,87547.70036734
1656313200,2022-06-27 07:00:00,BTC/TUSD,21300.1,21368.1,21299.2,21353.2,1.59645928,34040.694280376
1656309600,2022-06-27 06:00:00,BTC/TUSD,21174.9,21203,21161,21188.3,0.02952771,625.687626157
1656306000,2022-06-27 05:00:00,BTC/TUSD,21212.9,21232,21130.2,21163.2,0.20956367,4437.84047538
1656302400,2022-06-27 04:00:00,BTC/TUSD,21173,21242.4,21173,21230.4,1.28897408,27333.235642181
1656298800,2022-06-27 03:00:00,BTC/TUSD,21109.4,21129.7,21109.4,21114.8,0.01041021,219.857104307
1656295200,2022-06-27 02:00:00,BTC/TUSD,21065.4,21148.9,21038,21108.6,0.53256945,11234.961193052
1656291600,2022-06-27 01:00:00,BTC/TUSD,21008.7,21097.6,20920.4,21038,1.22602701,25734.898661419
1656288000,2022-06-27 00:00:00,BTC/TUSD,21026.6,21081,20976.6,21004.6,0.5134297,10818.073322787
1656284400,2022-06-26 23:00:00,BTC/TUSD,21142.9,21142.9,20998.4,20998.4,0.64052663,13520.756457273
1656280800,2022-06-26 22:00:00,BTC/TUSD,21375.8,21375.8,20980.9,21006.2,2.35760289,49887.28067104
1656277200,2022-06-26 21:00:00,BTC/TUSD,21390.3,21390.3,21322.4,21370.3,0.51344407,10972.258050047
1656273600,2022-06-26 20:00:00,BTC/TUSD,21234.2,21402.9,21223.4,21402.9,0.2381688,5072.711075159
1656270000,2022-06-26 19:00:00,BTC/TUSD,21228.8,21287.1,21228.8,21287.1,1.09770317,23322.626625179
1656266400,2022-06-26 18:00:00,BTC/TUSD,21248.8,21248.8,21115,21170.9,1.57942605,33431.825078241
1656262800,2022-06-26 17:00:00,BTC/TUSD,21291.8,21353.2,21160.6,21248.8,1.56245956,33217.512621821
1656259200,2022-06-26 16:00:00,BTC/TUSD,21297.8,21380.9,21290.9,21380.9,0.48929395,10433.924478723
1656255600,2022-06-26 15:00:00,BTC/TUSD,21396.4,21396.4,21210.4,21310.5,3.95354115,83984.405552168
1656252000,2022-06-26 14:00:00,BTC/TUSD,21386.7,21464.4,21383.9,21403.5,0.4246824,9111.442834319
1656248400,2022-06-26 13:00:00,BTC/TUSD,21350,21385.7,21304.1,21370,0.90471094,19303.076212898
1656244800,2022-06-26 12:00:00,BTC/TUSD,21703.8,21875.5,21402.7,21402.7,12.28924226,266056.439726224
1656241200,2022-06-26 11:00:00,BTC/TUSD,21401.6,21731.8,21401.6,21691.3,3.2740163,70800.255861182
1656237600,2022-06-26 10:00:00,BTC/TUSD,21406.7,21421.1,21368.7,21398.4,0.1255281,2684.839433486
1656234000,2022-06-26 09:00:00,BTC/TUSD,21437.5,21437.5,21350,21406.7,0.48496091,10394.075267929
1656230400,2022-06-26 08:00:00,BTC/TUSD,21412.9,21437.5,21401.3,21437.5,0.0134001,286.942933414
1656226800,2022-06-26 07:00:00,BTC/TUSD,21438,21440.3,21350.6,21350.6,0.03543661,758.493588006
1656223200,2022-06-26 06:00:00,BTC/TUSD,21348.9,21500,21335.4,21467,0.9039595,19302.573824365
1656219600,2022-06-26 05:00:00,BTC/TUSD,21397.6,21438,21364.3,21364.3,0.04742462,1014.745606083
1656216000,2022-06-26 04:00:00,BTC/TUSD,21378.4,21490.9,21369.6,21424.3,1.26098534,27043.197377848
1656212400,2022-06-26 03:00:00,BTC/TUSD,21313.1,21420.6,21313.1,21420.6,0.43424668,9301.76609282
1656208800,2022-06-26 02:00:00,BTC/TUSD,21378.7,21378.7,21274.8,21325.4,0.88491394,18843.35113109
1656205200,2022-06-26 01:00:00,BTC/TUSD,21496.7,21512.7,21345.8,21348,0.49710735,10628.926570374
1656201600,2022-06-26 00:00:00,BTC/TUSD,21474.3,21474.3,21386.5,21414.6,0.2359129,5060.468505822
1656198000,2022-06-25 23:00:00,BTC/TUSD,21422.7,21555.5,21422.7,21503.4,2.27735865,48988.414885164
1656194400,2022-06-25 22:00:00,BTC/TUSD,21465.2,21465.2,21418.1,21420,0.04868327,1043.077951847
1656190800,2022-06-25 21:00:00,BTC/TUSD,21202.1,21498.7,21196.5,21496.7,1.85858785,39816.043738819
1656187200,2022-06-25 20:00:00,BTC/TUSD,21182.2,21218.3,21145.7,21181.1,1.48193889,31409.330987447
1656183600,2022-06-25 19:00:00,BTC/TUSD,21187.5,21193.9,21165.3,21186.9,0.07433406,1574.559249608
1656180000,2022-06-25 18:00:00,BTC/TUSD,21070.4,21220.8,21064.5,21195.3,2.05790426,43608.089182348
1656176400,2022-06-25 17:00:00,BTC/TUSD,21014.9,21137.7,21014.9,21103,0.58901061,12430.742128364
1656172800,2022-06-25 16:00:00,BTC/TUSD,20963.5,21057.9,20907.8,21030.4,0.19225099,4038.350952028
1656169200,2022-06-25 15:00:00,BTC/TUSD,21098.1,21109.9,20908.1,20957,2.24166785,47118.279632299
1656165600,2022-06-25 14:00:00,BTC/TUSD,21108.5,21199.6,21046.5,21138.1,0.88074464,18582.844618225
1656162000,2022-06-25 13:00:00,BTC/TUSD,21107.9,21191.7,21070.4,21134.4,0.28560783,6048.021097655
1656158400,2022-06-25 12:00:00,BTC/TUSD,21334.7,21334.7,21012.4,21094.8,3.32132951,70072.13524431
1656154800,2022-06-25 11:00:00,BTC/TUSD,21411.8,21444.5,21301.7,21334.7,0.45152083,9651.090939234
1656151200,2022-06-25 10:00:00,BTC/TUSD,21402.2,21423.9,21367.5,21402.3,0.07909588,1692.139336034
1656147600,2022-06-25 09:00:00,BTC/TUSD,21366.9,21463.3,21366.9,21392.4,2.06997206,44358.230182898
1656144000,2022-06-25 08:00:00,BTC/TUSD,21482.1,21519.7,21388,21421.3,0.88700507,19012.797125835
1656140400,2022-06-25 07:00:00,BTC/TUSD,21300,21586.2,21300,21480.8,1.8601515,39858.299547096
1656136800,2022-06-25 06:00:00,BTC/TUSD,21180.1,21298.8,21180.1,21257.7,0.11757971,2494.55702109
1656133200,2022-06-25 05:00:00,BTC/TUSD,21266.3,21290,21205.3,21211.6,0.00358485,76.104989762
1656129600,2022-06-25 04:00:00,BTC/TUSD,21271.9,21273.3,21187,21193,0.00125519,26.602573998
1656126000,2022-06-25 03:00:00,BTC/TUSD,21193.7,21277.9,21193.7,21277.9,0.0080015,169.613817074
1656122400,2022-06-25 02:00:00,BTC/TUSD,21294,21295.9,21170.3,21170.3,0.32839006,6967.518863231
1656118800,2022-06-25 01:00:00,BTC/TUSD,21141.8,21300,21141.8,21290.2,1.32887826,28290.883014229
1656115200,2022-06-25 00:00:00,BTC/TUSD,21187.1,21250.7,21114.8,21250.7,0.50119627,10623.001283095
1656111600,2022-06-24 23:00:00,BTC/TUSD,21297.1,21361.8,21208.1,21208.1,1.06749038,22697.376954082
1656108000,2022-06-24 22:00:00,BTC/TUSD,21301.8,21512.4,21301.8,21340.9,0.77287276,16584.068362788
1656104400,2022-06-24 21:00:00,BTC/TUSD,21190.2,21343.1,21190.2,21294.8,0.67543445,14380.465205754
1656100800,2022-06-24 20:00:00,BTC/TUSD,21218.9,21308.7,21173.2,21202.2,2.6436334,56091.824108685
1656097200,2022-06-24 19:00:00,BTC/TUSD,21102.5,21221.8,21018.9,21209.2,2.02833284,42738.579975348
1656093600,2022-06-24 18:00:00,BTC/TUSD,20907.8,21097.8,20884.2,21072.7,2.6632012,55828.648187008
1656090000,2022-06-24 17:00:00,BTC/TUSD,21123.1,21188.9,20939.7,20939.7,1.08477454,22940.362240898
