https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNFI,Volume USDT
1657843200,2022-07-15 00:00:00,UNFI/USDT,6.239,6.339,5.845,6.034,81037.4935196,493384.30109327073
1657756800,2022-07-14 00:00:00,UNFI/USDT,5.829,6.507,5.405,6.241,137896.19918837,812865.92349244486
1657670400,2022-07-13 00:00:00,UNFI/USDT,5.813,5.933,5.238,5.827,119785.38863987,677015.49200322961
1657584000,2022-07-12 00:00:00,UNFI/USDT,6.441,6.441,5.634,5.81,125344.48267719,773688.74085806565
1657497600,2022-07-11 00:00:00,UNFI/USDT,7.015,7.192,6.415,6.438,200415.54259983,1390154.46588431881
1657411200,2022-07-10 00:00:00,UNFI/USDT,6.904,7.222,6.467,7.007,165228.40168195,1127608.67739708416
1657324800,2022-07-09 00:00:00,UNFI/USDT,7.492,7.656,6.822,6.883,276279.47418546,2002415.02004692488
1657238400,2022-07-08 00:00:00,UNFI/USDT,6.086,7.665,5.825,7.491,293815.06054753,2005691.95215793335
1657152000,2022-07-07 00:00:00,UNFI/USDT,6.166,6.251,5.888,6.078,117376.75623998,707855.93883914499
1657065600,2022-07-06 00:00:00,UNFI/USDT,5.473,6.488,5.381,6.159,270477.79242734,1621978.50844542688
1656979200,2022-07-05 00:00:00,UNFI/USDT,5.795,5.812,5.344,5.488,166607.19124844,917121.83559550455
1656892800,2022-07-04 00:00:00,UNFI/USDT,5.735,5.977,5.473,5.796,196301.22184344,1113767.78884807765
1656806400,2022-07-03 00:00:00,UNFI/USDT,6.191,6.869,5.45,5.73,311911.83891393,1860755.78983814475
1656720000,2022-07-02 00:00:00,UNFI/USDT,4.746,6.435,4.642,6.195,287915.79818333,1626892.76760583085
1656633600,2022-07-01 00:00:00,UNFI/USDT,4.917,5.08,4.609,4.739,100555.20824526,481256.55276414526
1656547200,2022-06-30 00:00:00,UNFI/USDT,5.549,5.609,4.694,4.917,117085.56154214,595341.97177438081
1656460800,2022-06-29 00:00:00,UNFI/USDT,5.776,6.885,5.47,5.569,357927.82575393,2206781.36671546172
1656374400,2022-06-28 00:00:00,UNFI/USDT,4.871,6.49,4.569,5.772,481322.90352653,2778925.67215367837
1656288000,2022-06-27 00:00:00,UNFI/USDT,4.636,5.062,4.554,4.871,51274.01963805,244901.87555491105
1656201600,2022-06-26 00:00:00,UNFI/USDT,5.058,5.136,4.61,4.616,56265.91270221,277975.12513281975
1656115200,2022-06-25 00:00:00,UNFI/USDT,5.184,5.221,4.871,5.06,58167.06523561,295011.4899471168
1656028800,2022-06-24 00:00:00,UNFI/USDT,5.151,5.285,5.005,5.208,67410.47120674,347738.52955727859
1655942400,2022-06-23 00:00:00,UNFI/USDT,4.723,5.392,4.717,5.134,104122.48933461,529527.45637645281
1655856000,2022-06-22 00:00:00,UNFI/USDT,5.114,5.148,4.72,4.72,89887.55476863,444729.97614707727
1655769600,2022-06-21 00:00:00,UNFI/USDT,5.549,5.685,5.057,5.113,115449.80830284,630738.3635629379
1655683200,2022-06-20 00:00:00,UNFI/USDT,5.269,5.876,4.915,5.55,152820.30775747,820965.83839766015
1655596800,2022-06-19 00:00:00,UNFI/USDT,5.113,5.5,4.815,5.272,104999.90934394,539234.80605850172
1655510400,2022-06-18 00:00:00,UNFI/USDT,5.669,6.02,4.75,5.089,142532.04228007,778259.05864161511
1655424000,2022-06-17 00:00:00,UNFI/USDT,5.346,6.109,5.31,5.682,100342.84275706,572790.81676148115
1655337600,2022-06-16 00:00:00,UNFI/USDT,6.284,6.728,5.258,5.341,159783.67765224,929910.0974285067
1655251200,2022-06-15 00:00:00,UNFI/USDT,6.097,6.8,5.106,6.288,425457.309268,2468845.05350236124
1655164800,2022-06-14 00:00:00,UNFI/USDT,6.203,7.347,5.57,6.096,837238.11735089,5436318.27218596621
1655078400,2022-06-13 00:00:00,UNFI/USDT,5.272,8.981,4.027,6.204,840590.98094979,4875752.7906495627
1654992000,2022-06-12 00:00:00,UNFI/USDT,7.042,7.186,5.196,5.277,403549.4218712,2387523.27777545333
1654905600,2022-06-11 00:00:00,UNFI/USDT,7.907,8.55,6.678,7.036,224710.08017729,1666327.55178168139
1654819200,2022-06-10 00:00:00,UNFI/USDT,9.023,9.562,7.46,7.908,299256.18235829,2519727.05980294107
1654732800,2022-06-09 00:00:00,UNFI/USDT,8.08,10.1,7.182,9.02,616210.43177283,5224280.14630600661
1654646400,2022-06-08 00:00:00,UNFI/USDT,18.804,21.7,7.621,8.085,2679211.45005429,28160620.7579959874
1654560000,2022-06-07 00:00:00,UNFI/USDT,3.417,42,3.149,18.743,871158.54432021,18781939.41527893229
1654473600,2022-06-06 00:00:00,UNFI/USDT,2.476,3.909,2.467,3.407,245688.18519171,835070.3561476136
1654387200,2022-06-05 00:00:00,UNFI/USDT,2.72,2.84,2.474,2.474,70755.62477512,187110.82196423292
1654300800,2022-06-04 00:00:00,UNFI/USDT,2.592,2.815,2.497,2.733,94897.09032523,248703.12870194437
1654214400,2022-06-03 00:00:00,UNFI/USDT,2.647,2.934,2.445,2.59,40003.72112994,103536.04615537887
1654128000,2022-06-02 00:00:00,UNFI/USDT,2.589,2.667,2.512,2.658,31597.27501995,81978.49098119819
1654041600,2022-06-01 00:00:00,UNFI/USDT,3.106,3.196,2.573,2.592,26153.16597387,75268.85198807019
1653955200,2022-05-31 00:00:00,UNFI/USDT,3.028,3.142,2.789,3.081,62949.22179936,185686.54585859386
1653868800,2022-05-30 00:00:00,UNFI/USDT,3.213,3.693,2.98,3.022,174551.7416601,573329.1435009603
1653782400,2022-05-29 00:00:00,UNFI/USDT,2.044,3.4,2.044,3.215,261028.33990185,721487.29085524565
1653696000,2022-05-28 00:00:00,UNFI/USDT,1.902,2.064,1.869,2.044,25476.45662697,50477.94618570906
1653609600,2022-05-27 00:00:00,UNFI/USDT,2.024,2.041,1.857,1.891,33784.16768986,65610.84797681354
1653523200,2022-05-26 00:00:00,UNFI/USDT,2.378,2.468,1.981,2.008,72728.98530809,157088.50686577325
1653436800,2022-05-25 00:00:00,UNFI/USDT,2.388,2.521,2.324,2.374,66177.41487445,159599.04403371332
1653350400,2022-05-24 00:00:00,UNFI/USDT,2.31,2.428,2.161,2.391,46459.25704561,106848.62594923351
1653264000,2022-05-23 00:00:00,UNFI/USDT,2.442,2.542,2.263,2.306,32466.31372212,78538.12188130489
1653177600,2022-05-22 00:00:00,UNFI/USDT,2.383,2.579,2.375,2.46,20503.00586689,50329.32588525998
1653091200,2022-05-21 00:00:00,UNFI/USDT,2.137,2.452,2.062,2.41,29768.11269428,67812.08682102466
1653004800,2022-05-20 00:00:00,UNFI/USDT,2.322,2.484,2.053,2.172,19829.08824334,44327.14157139484
1652918400,2022-05-19 00:00:00,UNFI/USDT,1.995,2.381,1.901,2.346,41944.63761978,91812.82057887753
1652832000,2022-05-18 00:00:00,UNFI/USDT,2.168,2.395,1.894,1.961,44133.43349415,95013.0100881427
1652745600,2022-05-17 00:00:00,UNFI/USDT,1.889,2.282,1.889,2.182,50295.6637069,103846.78077221451
1652659200,2022-05-16 00:00:00,UNFI/USDT,2.24,2.24,1.892,1.892,31186.30825878,62407.64029699879
1652572800,2022-05-15 00:00:00,UNFI/USDT,2.077,2.23,1.949,2.18,28933.76858847,60033.25046633693
1652486400,2022-05-14 00:00:00,UNFI/USDT,1.875,2.119,1.768,2.09,40388.81840338,77331.26043167775
1652400000,2022-05-13 00:00:00,UNFI/USDT,1.761,2.382,1.736,1.861,71487.57361927,144388.21702364443
1652313600,2022-05-12 00:00:00,UNFI/USDT,1.86,2.02,1.351,1.746,193551.92861844,316878.94648024976
1652227200,2022-05-11 00:00:00,UNFI/USDT,2.821,2.961,1.278,1.865,157568.35920011,330043.17465206603
1652140800,2022-05-10 00:00:00,UNFI/USDT,2.809,3.251,2.672,2.821,31688.7627201,93712.67252014062
1652054400,2022-05-09 00:00:00,UNFI/USDT,3.703,3.788,2.786,2.786,27084.07454172,86784.81382511895
1651968000,2022-05-08 00:00:00,UNFI/USDT,3.802,3.861,3.61,3.723,6508.21134935,24303.12966901639
1651881600,2022-05-07 00:00:00,UNFI/USDT,4.099,4.15,3.669,3.79,3354.61055121,13390.99466971034
1651795200,2022-05-06 00:00:00,UNFI/USDT,4.087,4.155,3.881,4.117,6440.58476525,26130.42115891774
1651708800,2022-05-05 00:00:00,UNFI/USDT,4.453,4.623,3.915,4.047,14524.15774571,62937.18327253676
1651622400,2022-05-04 00:00:00,UNFI/USDT,3.917,4.51,3.917,4.381,9424.15997031,40375.9887397336
