https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume BTC
1653919200,2022-05-30 14:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653915600,2022-05-30 13:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653912000,2022-05-30 12:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653908400,2022-05-30 11:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653904800,2022-05-30 10:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653901200,2022-05-30 09:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653897600,2022-05-30 08:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653894000,2022-05-30 07:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653890400,2022-05-30 06:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653886800,2022-05-30 05:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653883200,2022-05-30 04:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653879600,2022-05-30 03:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653876000,2022-05-30 02:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653872400,2022-05-30 01:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653868800,2022-05-30 00:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653865200,2022-05-29 23:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653861600,2022-05-29 22:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653858000,2022-05-29 21:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653854400,2022-05-29 20:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653850800,2022-05-29 19:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653847200,2022-05-29 18:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653843600,2022-05-29 17:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653840000,2022-05-29 16:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653836400,2022-05-29 15:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653832800,2022-05-29 14:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653829200,2022-05-29 13:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653825600,2022-05-29 12:00:00,ZRX/BTC,0.00001314,0.00001315,0.00001314,0.00001315,1512.15805471,0.019884878419436498
1653822000,2022-05-29 11:00:00,ZRX/BTC,0.00001316,0.00001316,0.00001316,0.00001316,0.00000000,0.0
1653818400,2022-05-29 10:00:00,ZRX/BTC,0.00001316,0.00001316,0.00001316,0.00001316,0.00000000,0.0
1653814800,2022-05-29 09:00:00,ZRX/BTC,0.00001316,0.00001316,0.00001316,0.00001316,0.00000000,0.0
1653811200,2022-05-29 08:00:00,ZRX/BTC,0.00001316,0.00001316,0.00001316,0.00001316,0.00000000,0.0
1653807600,2022-05-29 07:00:00,ZRX/BTC,0.00001316,0.00001316,0.00001316,0.00001316,15161.18155333,0.1995211492418228
1653804000,2022-05-29 06:00:00,ZRX/BTC,0.00001316,0.00001316,0.00001316,0.00001316,562.02104855,0.007396196998918
1653800400,2022-05-29 05:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653796800,2022-05-29 04:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653793200,2022-05-29 03:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653789600,2022-05-29 02:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653786000,2022-05-29 01:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653782400,2022-05-29 00:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653778800,2022-05-28 23:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653775200,2022-05-28 22:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653771600,2022-05-28 21:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653768000,2022-05-28 20:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653764400,2022-05-28 19:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653760800,2022-05-28 18:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653757200,2022-05-28 17:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653753600,2022-05-28 16:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653750000,2022-05-28 15:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653746400,2022-05-28 14:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653742800,2022-05-28 13:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653739200,2022-05-28 12:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653735600,2022-05-28 11:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653732000,2022-05-28 10:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653728400,2022-05-28 09:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653724800,2022-05-28 08:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653721200,2022-05-28 07:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653717600,2022-05-28 06:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653714000,2022-05-28 05:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653710400,2022-05-28 04:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653706800,2022-05-28 03:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,0.00000000,0.0
1653703200,2022-05-28 02:00:00,ZRX/BTC,0.00001290,0.00001290,0.00001290,0.00001290,562.02104855,0.007250071526295001
1653699600,2022-05-28 01:00:00,ZRX/BTC,0.00001308,0.00001308,0.00001308,0.00001308,0.00000000,0.0
1653696000,2022-05-28 00:00:00,ZRX/BTC,0.00001303,0.00001308,0.00001303,0.00001308,1124.04209710,0.014702470630068002
1653692400,2022-05-27 23:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653688800,2022-05-27 22:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653685200,2022-05-27 21:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653681600,2022-05-27 20:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653678000,2022-05-27 19:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653674400,2022-05-27 18:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653670800,2022-05-27 17:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653667200,2022-05-27 16:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,0.00000000,0.0
1653663600,2022-05-27 15:00:00,ZRX/BTC,0.00001317,0.00001317,0.00001317,0.00001317,150.00000000,0.0019755
