https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MV,Volume USDT
1656633600,2022-07-01 00:00:00,MV/USDT,0.40124,0.40124,0.39222,0.39567,643542.25808301,254538.0371414995303
1656547200,2022-06-30 00:00:00,MV/USDT,0.40046,0.40379,0.39379,0.39405,660840.61291451,261522.7612846189099
1656460800,2022-06-29 00:00:00,MV/USDT,0.39543,0.40396,0.39449,0.39742,624552.31433067,247142.4651226834058
1656374400,2022-06-28 00:00:00,MV/USDT,0.40013,0.4008,0.39432,0.39432,671929.7208,267951.91661028
1656288000,2022-06-27 00:00:00,MV/USDT,0.40781,0.40886,0.39854,0.39939,609600.44561567,246615.7325433944923
1656201600,2022-06-26 00:00:00,MV/USDT,0.41133,0.41795,0.41121,0.41121,659757.44389368,271704.756982372382
1656115200,2022-06-25 00:00:00,MV/USDT,0.41525,0.41716,0.41131,0.41132,620139.15321113,255174.4938398599672
1656028800,2022-06-24 00:00:00,MV/USDT,0.41724,0.41834,0.41215,0.41708,736767.81941689,307376.809423851539
1655942400,2022-06-23 00:00:00,MV/USDT,0.41348,0.41831,0.41209,0.41735,772703.32767331,320544.232159267981
1655856000,2022-06-22 00:00:00,MV/USDT,0.41855,0.41856,0.41035,0.41542,707865.25155807,292703.260569879758
1655769600,2022-06-21 00:00:00,MV/USDT,0.39631,0.41878,0.39631,0.417,771294.09986686,315089.7737325157612
1655683200,2022-06-20 00:00:00,MV/USDT,0.38949,0.39808,0.38949,0.39596,516798.23395231,203272.8723323592845
1655596800,2022-06-19 00:00:00,MV/USDT,0.41213,0.41356,0.38407,0.39088,560799.4032598,228138.7247555854695
1655510400,2022-06-18 00:00:00,MV/USDT,0.4332,0.43461,0.41193,0.41193,549068.74038304,228481.0591188946528
1655424000,2022-06-17 00:00:00,MV/USDT,0.4328,0.43756,0.4328,0.43468,457657.51140559,198845.7499302407245
1655337600,2022-06-16 00:00:00,MV/USDT,0.429,0.43722,0.42802,0.435,560665.99835315,242412.8633596436393
1655251200,2022-06-15 00:00:00,MV/USDT,0.4244,0.44164,0.42088,0.4295,514619.02698897,219379.1003130687752
1655164800,2022-06-14 00:00:00,MV/USDT,0.45464,0.45464,0.42078,0.42088,557642.50982752,236445.4077138799632
1655078400,2022-06-13 00:00:00,MV/USDT,0.50656,0.50922,0.44927,0.45246,528343.70288119,240206.3500714925939
1654992000,2022-06-12 00:00:00,MV/USDT,0.52733,0.52786,0.50798,0.51053,353999.39464238,184194.7410953015016
1654905600,2022-06-11 00:00:00,MV/USDT,0.57152,0.57443,0.52733,0.52733,377179.79574514,213224.2370663866462
1654819200,2022-06-10 00:00:00,MV/USDT,0.59736,0.59736,0.57169,0.57169,365066.98327794,213352.7227163373542
1654732800,2022-06-09 00:00:00,MV/USDT,0.6154,0.62797,0.57508,0.59806,442046.21895454,262069.3089793130344
1654646400,2022-06-08 00:00:00,MV/USDT,0.5851,0.61801,0.58,0.61335,437000.4284818,258497.825658175861
1654560000,2022-06-07 00:00:00,MV/USDT,0.615,0.61793,0.58202,0.58577,331821.54372274,202106.4616897281112
