https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTHALF,Volume USD
1637193600000.0,2021-11-18 00:00:00,CUSDTHALF/USD,5131.75,5146.25,5131.75,5131.75,0.0,0.0
1637107200000.0,2021-11-17 00:00:00,CUSDTHALF/USD,5131.75,5135.5,5131.75,5131.75,0.0,0.0
1637020800000.0,2021-11-16 00:00:00,CUSDTHALF/USD,5131.75,5156.25,5131.75,5131.75,0.0,0.0
1636934400000.0,2021-11-15 00:00:00,CUSDTHALF/USD,5131.75,5133.25,5131.75,5131.75,0.0,0.0
1636848000000.0,2021-11-14 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1636761600000.0,2021-11-13 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1636675200000.0,2021-11-12 00:00:00,CUSDTHALF/USD,5131.75,5154.75,5131.75,5131.75,0.0,0.0
1636588800000.0,2021-11-11 00:00:00,CUSDTHALF/USD,5131.75,5136.25,5131.75,5131.75,0.0,0.0
1636502400000.0,2021-11-10 00:00:00,CUSDTHALF/USD,5141.25,5148.0,5131.75,5131.75,0.0,0.0
1636416000000.0,2021-11-09 00:00:00,CUSDTHALF/USD,5133.0,5146.25,5131.75,5141.25,0.0,0.0
1636329600000.0,2021-11-08 00:00:00,CUSDTHALF/USD,5203.75,5204.5,5131.75,5140.75,3.0104556728103876e-05,0.15476
1636243200000.0,2021-11-07 00:00:00,CUSDTHALF/USD,5206.0,5224.25,5139.25,5203.75,4.975210184962767e-05,0.2588975
1636156800000.0,2021-11-06 00:00:00,CUSDTHALF/USD,5216.0,5224.0,5199.5,5206.0,0.0,0.0
1636070400000.0,2021-11-05 00:00:00,CUSDTHALF/USD,5225.5,5233.5,5207.5,5208.0,0.0,0.0
1635984000000.0,2021-11-04 00:00:00,CUSDTHALF/USD,5219.75,5235.0,5210.75,5225.5,0.0,0.0
1635897600000.0,2021-11-03 00:00:00,CUSDTHALF/USD,5214.75,5235.0,5206.25,5211.5,0.0,0.0
1635811200000.0,2021-11-02 00:00:00,CUSDTHALF/USD,5226.25,5235.0,5209.75,5214.75,0.0,0.0
1635724800000.0,2021-11-01 00:00:00,CUSDTHALF/USD,5233.0,5235.0,5218.25,5226.25,0.0,0.0
1635638400000.0,2021-10-31 00:00:00,CUSDTHALF/USD,5236.25,5236.25,5221.0,5233.0,0.0,0.0
1635552000000.0,2021-10-30 00:00:00,CUSDTHALF/USD,5157.25,5236.25,5156.25,5236.25,1.9999999999999998e-05,0.104725
1635465600000.0,2021-10-29 00:00:00,CUSDTHALF/USD,5151.0,5166.25,5143.75,5157.25,0.0,0.0
1635379200000.0,2021-10-28 00:00:00,CUSDTHALF/USD,5151.25,5160.25,5143.75,5151.0,0.0,0.0
1635292800000.0,2021-10-27 00:00:00,CUSDTHALF/USD,5152.75,5166.25,5143.75,5151.25,0.0,0.0
1635206400000.0,2021-10-26 00:00:00,CUSDTHALF/USD,5167.25,5171.25,5143.75,5152.75,0.0,0.0
1635120000000.0,2021-10-25 00:00:00,CUSDTHALF/USD,5169.5,5200.0,5143.75,5167.25,0.0,0.0
1635033600000.0,2021-10-24 00:00:00,CUSDTHALF/USD,5167.25,5172.75,5143.75,5169.5,0.0,0.0
1634947200000.0,2021-10-23 00:00:00,CUSDTHALF/USD,5165.5,5173.5,5143.75,5167.25,0.0,0.0
1634860800000.0,2021-10-22 00:00:00,CUSDTHALF/USD,5167.0,5183.0,5143.75,5173.5,0.0,0.0
1634774400000.0,2021-10-21 00:00:00,CUSDTHALF/USD,5180.25,5181.0,5143.75,5167.0,0.049534007160828335,255.942215
1634688000000.0,2021-10-20 00:00:00,CUSDTHALF/USD,5178.75,5183.75,5178.75,5180.25,0.0,0.0
1634601600000.0,2021-10-19 00:00:00,CUSDTHALF/USD,5180.5,5188.25,5178.75,5179.5,0.0,0.0
1634515200000.0,2021-10-18 00:00:00,CUSDTHALF/USD,5178.75,5190.0,5178.75,5180.5,0.0,0.0
1634428800000.0,2021-10-17 00:00:00,CUSDTHALF/USD,5259.25,5273.0,5178.75,5178.75,0.015327271059618633,79.376105
1634342400000.0,2021-10-16 00:00:00,CUSDTHALF/USD,5263.5,5276.25,5248.5,5259.25,0.0,0.0
1634256000000.0,2021-10-15 00:00:00,CUSDTHALF/USD,5265.0,5274.0,5250.25,5263.5,0.0,0.0
1634169600000.0,2021-10-14 00:00:00,CUSDTHALF/USD,5258.0,5322.0,5244.25,5265.0,0.0,0.0
1634083200000.0,2021-10-13 00:00:00,CUSDTHALF/USD,5277.0,5322.0,5253.5,5258.0,0.0,0.0
1633996800000.0,2021-10-12 00:00:00,CUSDTHALF/USD,5281.0,5307.5,5254.25,5268.25,0.0,0.0
1633910400000.0,2021-10-11 00:00:00,CUSDTHALF/USD,5289.25,5301.75,5264.25,5281.0,0.0,0.0
1633824000000.0,2021-10-10 00:00:00,CUSDTHALF/USD,5282.5,5316.75,5258.0,5289.25,0.0,0.0
1633737600000.0,2021-10-09 00:00:00,CUSDTHALF/USD,5286.75,5322.0,5262.75,5282.5,0.0,0.0
1633651200000.0,2021-10-08 00:00:00,CUSDTHALF/USD,5291.75,5309.0,5276.25,5286.75,0.0,0.0
1633564800000.0,2021-10-07 00:00:00,CUSDTHALF/USD,5291.0,5297.5,5281.0,5291.75,0.0,0.0
1633478400000.0,2021-10-06 00:00:00,CUSDTHALF/USD,5292.5,5305.25,5281.25,5291.0,0.0,0.0
1633392000000.0,2021-10-05 00:00:00,CUSDTHALF/USD,5284.0,5315.5,5279.0,5292.5,0.0,0.0
1633305600000.0,2021-10-04 00:00:00,CUSDTHALF/USD,5294.5,5313.0,5275.25,5284.0,0.0,0.0
1633219200000.0,2021-10-03 00:00:00,CUSDTHALF/USD,5298.25,5303.5,5285.0,5294.5,0.0,0.0
1633132800000.0,2021-10-02 00:00:00,CUSDTHALF/USD,5300.75,5306.75,5287.75,5298.25,0.0,0.0
1633046400000.0,2021-10-01 00:00:00,CUSDTHALF/USD,5304.25,5316.0,5291.25,5300.75,0.0,0.0
1632960000000.0,2021-09-30 00:00:00,CUSDTHALF/USD,5314.5,5322.0,5295.25,5304.25,0.0,0.0
1632873600000.0,2021-09-29 00:00:00,CUSDTHALF/USD,5313.5,5322.0,5301.0,5314.5,0.0,0.0
1632787200000.0,2021-09-28 00:00:00,CUSDTHALF/USD,5313.75,5322.0,5296.25,5313.5,0.0,0.0
1632700800000.0,2021-09-27 00:00:00,CUSDTHALF/USD,5306.25,5322.0,5304.0,5313.75,0.0,0.0
1632614400000.0,2021-09-26 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5306.25,5306.25,0.0,0.0
1632528000000.0,2021-09-25 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5299.25,5322.0,0.0,0.0
1632441600000.0,2021-09-24 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5322.0,5322.0,0.0,0.0
1632355200000.0,2021-09-23 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5316.75,5322.0,0.0,0.0
1632268800000.0,2021-09-22 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5322.0,5322.0,0.0,0.0
1632182400000.0,2021-09-21 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5322.0,5322.0,0.0,0.0
1632096000000.0,2021-09-20 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5322.0,5322.0,0.0,0.0
1632009600000.0,2021-09-19 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5322.0,5322.0,0.0,0.0
1631923200000.0,2021-09-18 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5322.0,5322.0,0.0,0.0
1631836800000.0,2021-09-17 00:00:00,CUSDTHALF/USD,5382.25,5389.5,5322.0,5322.0,0.0,0.0
1631750400000.0,2021-09-16 00:00:00,CUSDTHALF/USD,5322.75,5389.0,5322.0,5382.25,0.0,0.0
1631664000000.0,2021-09-15 00:00:00,CUSDTHALF/USD,5322.0,5328.75,5322.0,5322.75,0.0,0.0
1631577600000.0,2021-09-14 00:00:00,CUSDTHALF/USD,5322.0,5328.25,5322.0,5322.0,0.0,0.0
1631491200000.0,2021-09-13 00:00:00,CUSDTHALF/USD,5322.0,5326.25,5322.0,5322.0,0.0,0.0
1631404800000.0,2021-09-12 00:00:00,CUSDTHALF/USD,5326.5,5328.25,5322.0,5322.0,0.0,0.0
1631318400000.0,2021-09-11 00:00:00,CUSDTHALF/USD,5322.0,5328.0,5322.0,5326.5,0.0,0.0
1631232000000.0,2021-09-10 00:00:00,CUSDTHALF/USD,5325.5,5327.5,5322.0,5322.0,0.0,0.0
1631145600000.0,2021-09-09 00:00:00,CUSDTHALF/USD,5329.0,5329.25,5322.0,5325.5,0.0,0.0
1631059200000.0,2021-09-08 00:00:00,CUSDTHALF/USD,5328.5,5329.5,5322.0,5329.0,0.0,0.0
1630972800000.0,2021-09-07 00:00:00,CUSDTHALF/USD,5324.75,5332.0,5322.0,5322.25,0.0,0.0
1630886400000.0,2021-09-06 00:00:00,CUSDTHALF/USD,5322.0,5330.0,5322.0,5324.75,0.0,0.0
1630800000000.0,2021-09-05 00:00:00,CUSDTHALF/USD,5322.0,5325.75,5321.25,5324.75,0.0,0.0
1630713600000.0,2021-09-04 00:00:00,CUSDTHALF/USD,5322.0,5323.25,5318.5,5322.0,0.0,0.0
1630627200000.0,2021-09-03 00:00:00,CUSDTHALF/USD,5322.0,5322.75,5318.25,5322.0,0.0,0.0
1630540800000.0,2021-09-02 00:00:00,CUSDTHALF/USD,5322.0,5331.0,5318.5,5322.0,0.0,0.0
1630454400000.0,2021-09-01 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5318.0,5322.0,0.0,0.0
1630368000000.0,2021-08-31 00:00:00,CUSDTHALF/USD,5322.0,5323.0,5319.0,5322.0,0.0,0.0
1630281600000.0,2021-08-30 00:00:00,CUSDTHALF/USD,5322.0,5329.0,5317.5,5322.0,0.0,0.0
1630195200000.0,2021-08-29 00:00:00,CUSDTHALF/USD,5322.0,5327.25,5315.5,5322.0,0.0,0.0
1630108800000.0,2021-08-28 00:00:00,CUSDTHALF/USD,5322.0,5326.75,5315.0,5322.0,0.0,0.0
1630022400000.0,2021-08-27 00:00:00,CUSDTHALF/USD,5322.0,5327.25,5314.5,5322.0,0.0,0.0
1629936000000.0,2021-08-26 00:00:00,CUSDTHALF/USD,5322.0,5323.0,5315.75,5322.0,0.0,0.0
1629849600000.0,2021-08-25 00:00:00,CUSDTHALF/USD,5322.0,5323.75,5317.5,5322.0,0.0,0.0
1629763200000.0,2021-08-24 00:00:00,CUSDTHALF/USD,5322.0,5330.25,5318.25,5322.0,0.0,0.0
