https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VLX,Volume USDT
1645920000,2022-02-27 00:00:00,VLX/USDT,0.2296,0.2305,0.2234,0.2265,1953008.54404222,443384.656864121351
1645833600,2022-02-26 00:00:00,VLX/USDT,0.2327,0.2365,0.22,0.2297,2122965.58374444,488337.740348924532
1645747200,2022-02-25 00:00:00,VLX/USDT,0.2327,0.2426,0.2011,0.2323,5062718.58348344,1157331.936279193899
1645660800,2022-02-24 00:00:00,VLX/USDT,0.2461,0.2486,0.2029,0.2335,5615252.36349166,1272840.834617014849
1645574400,2022-02-23 00:00:00,VLX/USDT,0.2473,0.2606,0.2421,0.2461,2662843.0732249,667618.805956060768
1645488000,2022-02-22 00:00:00,VLX/USDT,0.2418,0.251,0.2323,0.2473,2365315.13796532,571487.132160354648
1645401600,2022-02-21 00:00:00,VLX/USDT,0.2612,0.2732,0.2403,0.2418,4921425.99328479,1272102.756145501639
1645315200,2022-02-20 00:00:00,VLX/USDT,0.2557,0.288,0.241,0.261,4572869.93862957,1181710.778068781163
1645228800,2022-02-19 00:00:00,VLX/USDT,0.2625,0.267,0.2553,0.2556,1735286.59888162,452053.75895630684
1645142400,2022-02-18 00:00:00,VLX/USDT,0.2694,0.2795,0.259,0.2622,3637561.65505355,973166.565100313471
1645056000,2022-02-17 00:00:00,VLX/USDT,0.2752,0.2862,0.2589,0.2695,3615891.62293106,994952.561426759957
1644969600,2022-02-16 00:00:00,VLX/USDT,0.2842,0.2898,0.2732,0.2753,3090446.79999477,871743.842792555952
1644883200,2022-02-15 00:00:00,VLX/USDT,0.2716,0.2934,0.2687,0.2842,4233526.32685203,1188120.810261636483
1644796800,2022-02-14 00:00:00,VLX/USDT,0.273,0.28,0.258,0.2716,3100652.6237697,829670.533550854614
1644710400,2022-02-13 00:00:00,VLX/USDT,0.2773,0.283,0.267,0.273,2474400.45495421,681417.933491363935
1644624000,2022-02-12 00:00:00,VLX/USDT,0.2709,0.2834,0.2652,0.2773,3190378.18341599,875087.664646666719
1644537600,2022-02-11 00:00:00,VLX/USDT,0.3082,0.316,0.27,0.271,4758991.32927006,1397722.614085893321
1644451200,2022-02-10 00:00:00,VLX/USDT,0.3248,0.3343,0.305,0.3083,5942127.46090555,1899696.823075008399
1644364800,2022-02-09 00:00:00,VLX/USDT,0.2974,0.3316,0.291,0.3248,4327343.41127848,1338867.144986178054
1644278400,2022-02-08 00:00:00,VLX/USDT,0.3042,0.325,0.2827,0.2973,6222118.60183927,1867747.485104168404
1644192000,2022-02-07 00:00:00,VLX/USDT,0.2697,0.3119,0.2694,0.3042,5033557.24026693,1477946.824990865224
