https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DRGN,Volume BTC
1654848000,2022-06-10 08:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000065,0.00000065,1526.7808,0.000996641755
1654844400,2022-06-10 07:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000065,0.00000065,56188.0202,0.036610377916
1654840800,2022-06-10 06:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000066,0.00000067,926.5664,0.000613617203
1654837200,2022-06-10 05:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,0,0
1654833600,2022-06-10 04:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000066,0.00000067,2004.704,0.001324388655
1654830000,2022-06-10 03:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000065,0.00000067,11045.19284477,0.0072682492875253
1654826400,2022-06-10 02:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000066,0.00000066,6501.8861,0.004322699937
1654822800,2022-06-10 01:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,149.5294,0.000100184698
1654819200,2022-06-10 00:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000067,0.00000067,2643.5041,0.001790977869
1654815600,2022-06-09 23:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000067,0.00000068,252.34824411,0.0001695015529948
1654812000,2022-06-09 22:00:00,DRGN/BTC,0.00000068,0.00000068,0.00000068,0.00000068,0,0
1654808400,2022-06-09 21:00:00,DRGN/BTC,0.00000068,0.00000068,0.00000068,0.00000068,3.2646,0.000002219928
1654804800,2022-06-09 20:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000066,0.00000068,2228.73355881,0.0014884706359908
1654801200,2022-06-09 19:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000066,0.00000067,7459.3937,0.00495575498
1654797600,2022-06-09 18:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,0,0
1654794000,2022-06-09 17:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,10000,0.0067
1654790400,2022-06-09 16:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000066,0.00000066,775.0911,0.000512419764
1654786800,2022-06-09 15:00:00,DRGN/BTC,0.00000068,0.00000068,0.00000066,0.00000068,40182.76744706,0.0272180279480596
1654783200,2022-06-09 14:00:00,DRGN/BTC,0.00000068,0.00000068,0.00000067,0.00000068,7916.98145294,0.0053230215769992
1654779600,2022-06-09 13:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000067,0.00000068,15067.51153529,0.0101862829919972
1654776000,2022-06-09 12:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000066,0.00000066,4549.3023,0.003002539518
1654772400,2022-06-09 11:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000066,0.00000067,2643.6745,0.001753979803
1654768800,2022-06-09 10:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000067,0.00000068,308.2848,0.000209495478
1654765200,2022-06-09 09:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,2620.0706,0.001755447302
1654761600,2022-06-09 08:00:00,DRGN/BTC,0.00000066,0.0000007,0.00000065,0.00000067,150005.4582,0.102835404379
1654758000,2022-06-09 07:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000065,0.00000066,8817.7426,0.005765161961
1654754400,2022-06-09 06:00:00,DRGN/BTC,0.00000065,0.00000067,0.00000065,0.00000066,26130.35078507,0.0172548778239969
1654750800,2022-06-09 05:00:00,DRGN/BTC,0.00000065,0.00000067,0.00000065,0.00000067,4028.5557,0.002646236522
1654747200,2022-06-09 04:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000064,0.00000065,33210.52628787,0.0216467573219942
1654743600,2022-06-09 03:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000065,0.00000065,4472.0977,0.002938346555
1654740000,2022-06-09 02:00:00,DRGN/BTC,0.00000065,0.00000067,0.00000065,0.00000066,10093.2133,0.006670745404
1654736400,2022-06-09 01:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000064,0.00000066,34710.8994,0.02285259959
1654732800,2022-06-09 00:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000064,0.00000065,63998.3115,0.042077906848
1654729200,2022-06-08 23:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000067,0.00000068,455.6796,0.000307476949
1654725600,2022-06-08 22:00:00,DRGN/BTC,0.00000069,0.00000069,0.00000067,0.00000067,28253.3052,0.019011352773
1654722000,2022-06-08 21:00:00,DRGN/BTC,0.0000007,0.0000007,0.00000068,0.00000068,20110.06186521,0.0137628031699949
1654718400,2022-06-08 20:00:00,DRGN/BTC,0.00000068,0.0000007,0.00000068,0.00000069,4269.5231,0.0029401933606376
1654714800,2022-06-08 19:00:00,DRGN/BTC,0.0000007,0.0000007,0.00000068,0.00000068,40959.74416376,0.0282717778559944
1654711200,2022-06-08 18:00:00,DRGN/BTC,0.00000071,0.00000072,0.0000007,0.0000007,5356.0314,0.003802637648
1654707600,2022-06-08 17:00:00,DRGN/BTC,0.0000007,0.0000007,0.0000007,0.0000007,0,0
1654704000,2022-06-08 16:00:00,DRGN/BTC,0.00000071,0.00000071,0.0000007,0.0000007,13949.7964,0.009900339322
1654700400,2022-06-08 15:00:00,DRGN/BTC,0.0000007,0.00000071,0.0000007,0.0000007,18725.2461,0.013246192763
1654696800,2022-06-08 14:00:00,DRGN/BTC,0.0000007,0.00000071,0.0000007,0.00000071,15050.1087,0.01068182655
1654693200,2022-06-08 13:00:00,DRGN/BTC,0.00000069,0.00000071,0.00000068,0.0000007,39232.8037,0.027273716967
1654689600,2022-06-08 12:00:00,DRGN/BTC,0.00000069,0.00000069,0.00000068,0.00000068,25634.6296,0.017539700959
1654686000,2022-06-08 11:00:00,DRGN/BTC,0.00000068,0.0000007,0.00000068,0.00000069,43959.0683,0.030613822762
1654682400,2022-06-08 10:00:00,DRGN/BTC,0.00000071,0.00000071,0.00000068,0.00000068,33897.77734929,0.0231737947469959
1654678800,2022-06-08 09:00:00,DRGN/BTC,0.0000007,0.00000071,0.0000007,0.0000007,28777.93338169,0.0203535646969999
1654675200,2022-06-08 08:00:00,DRGN/BTC,0.00000069,0.0000007,0.00000069,0.00000069,40980.83397391,0.0283831190099979
1654671600,2022-06-08 07:00:00,DRGN/BTC,0.00000071,0.00000071,0.00000068,0.00000068,62618.136,0.043466339784
1654668000,2022-06-08 06:00:00,DRGN/BTC,0.00000071,0.00000072,0.00000071,0.00000071,9511.6207,0.006831042553
1654664400,2022-06-08 05:00:00,DRGN/BTC,0.00000071,0.00000071,0.0000007,0.00000071,2051.5328,0.001438393308
1654660800,2022-06-08 04:00:00,DRGN/BTC,0.00000071,0.00000072,0.0000007,0.0000007,5669.14922253,0.0040386267749963
