https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLVE,Volume USDT
1655856000,2022-06-22 00:00:00,SOLVE/USDT,0.02776,0.02803,0.02661,0.02701,605034.58612104,16541.2047165984843
1655769600,2022-06-21 00:00:00,SOLVE/USDT,0.02734,0.02887,0.02682,0.02779,501690.27130907,13972.9402732578804
1655683200,2022-06-20 00:00:00,SOLVE/USDT,0.02528,0.02838,0.02472,0.02738,1094871.30508604,29293.252522936836
1655596800,2022-06-19 00:00:00,SOLVE/USDT,0.02409,0.02748,0.023,0.02535,689737.9616085,16731.0105992834682
1655510400,2022-06-18 00:00:00,SOLVE/USDT,0.02526,0.02554,0.023,0.02409,1124078.50352139,26729.5269925320273
1655424000,2022-06-17 00:00:00,SOLVE/USDT,0.02437,0.02576,0.02394,0.02536,479838.16950075,11931.3360338778064
1655337600,2022-06-16 00:00:00,SOLVE/USDT,0.02637,0.02694,0.02408,0.02427,588231.13723325,14795.8788822236272
1655251200,2022-06-15 00:00:00,SOLVE/USDT,0.02589,0.02935,0.02304,0.0265,1934044.80757652,48814.7390811352407
1655164800,2022-06-14 00:00:00,SOLVE/USDT,0.02535,0.02662,0.02382,0.0259,612601.50624182,15666.6982669855178
1655078400,2022-06-13 00:00:00,SOLVE/USDT,0.0311,0.0311,0.025,0.02553,552239.2407417,14983.5109424624842
1654992000,2022-06-12 00:00:00,SOLVE/USDT,0.0339,0.0339,0.0311,0.03112,360591.56913783,11465.9170273851624
1654905600,2022-06-11 00:00:00,SOLVE/USDT,0.03526,0.03566,0.03367,0.0339,318607.56932889,10969.9769046610159
1654819200,2022-06-10 00:00:00,SOLVE/USDT,0.0372,0.0372,0.03493,0.03526,156356.05798181,5625.9355839918957
1654732800,2022-06-09 00:00:00,SOLVE/USDT,0.03737,0.03747,0.03612,0.0371,210594.58366938,7780.9423999928076
1654646400,2022-06-08 00:00:00,SOLVE/USDT,0.03877,0.03894,0.03729,0.03729,260854.03750999,9977.8982809884762
1654560000,2022-06-07 00:00:00,SOLVE/USDT,0.03846,0.03893,0.03608,0.03877,762290.92633138,28504.0897228926332
1654473600,2022-06-06 00:00:00,SOLVE/USDT,0.0382,0.0499,0.03721,0.0386,6798868.01413489,285621.1598982157866
1654387200,2022-06-05 00:00:00,SOLVE/USDT,0.03932,0.03937,0.03733,0.03823,212064.01377734,8059.9262960013564
1654300800,2022-06-04 00:00:00,SOLVE/USDT,0.0383,0.03963,0.03805,0.03918,82149.46424295,3221.284353571364
1654214400,2022-06-03 00:00:00,SOLVE/USDT,0.03828,0.04205,0.03733,0.03856,508190.22384639,20024.7496630832147
1654128000,2022-06-02 00:00:00,SOLVE/USDT,0.03757,0.03872,0.03708,0.0383,172157.10485722,6512.7780692562469
1654041600,2022-06-01 00:00:00,SOLVE/USDT,0.03946,0.03962,0.03682,0.03751,175095.6113,6637.495060256
1653955200,2022-05-31 00:00:00,SOLVE/USDT,0.0397,0.04054,0.038,0.03951,999999.818939,39357.6561989397126
1653868800,2022-05-30 00:00:00,SOLVE/USDT,0.037,0.03974,0.037,0.0397,349210.30968899,13442.7368621473335
1653782400,2022-05-29 00:00:00,SOLVE/USDT,0.03644,0.03753,0.03594,0.03697,90439.98041656,3323.637457323146
1653696000,2022-05-28 00:00:00,SOLVE/USDT,0.0354,0.03705,0.0354,0.03669,181453.49409052,6574.0486056917168
1653609600,2022-05-27 00:00:00,SOLVE/USDT,0.03706,0.03706,0.0345,0.03563,190276.73844776,6747.462831959743
1653523200,2022-05-26 00:00:00,SOLVE/USDT,0.03849,0.03942,0.03499,0.03708,891136.86566208,33252.0246002087744
1653436800,2022-05-25 00:00:00,SOLVE/USDT,0.03833,0.03981,0.038,0.03854,323439.76878036,12547.1558521227716
1653350400,2022-05-24 00:00:00,SOLVE/USDT,0.03869,0.03956,0.03661,0.03842,696967.53759187,26468.7020697668252
1653264000,2022-05-23 00:00:00,SOLVE/USDT,0.04055,0.04199,0.03803,0.03885,627648.26143234,25063.118479374442
1653177600,2022-05-22 00:00:00,SOLVE/USDT,0.04169,0.04246,0.03919,0.04072,535083.2597383,21697.7335789236396
1653091200,2022-05-21 00:00:00,SOLVE/USDT,0.04153,0.043,0.03949,0.04165,515371.30430061,21163.3907245235351
1653004800,2022-05-20 00:00:00,SOLVE/USDT,0.04142,0.04484,0.04121,0.04153,631264.65656835,26948.6996409848945
1652918400,2022-05-19 00:00:00,SOLVE/USDT,0.03711,0.05239,0.035,0.04135,2544003.5842026,103204.6864048533262
1652832000,2022-05-18 00:00:00,SOLVE/USDT,0.04072,0.04114,0.03662,0.03719,798886.80099509,30833.2808684463192
1652745600,2022-05-17 00:00:00,SOLVE/USDT,0.04035,0.04137,0.03899,0.04082,539828.71687371,21864.8030877619797
1652659200,2022-05-16 00:00:00,SOLVE/USDT,0.04145,0.04311,0.03702,0.04039,936505.19592662,37071.4625821341143
1652572800,2022-05-15 00:00:00,SOLVE/USDT,0.03455,0.04206,0.03455,0.04166,1064451.8595181,42113.9157375857968
1652486400,2022-05-14 00:00:00,SOLVE/USDT,0.03474,0.03726,0.03224,0.03474,647924.29158582,22438.6747461948164
1652400000,2022-05-13 00:00:00,SOLVE/USDT,0.02934,0.04007,0.02907,0.03487,1479170.3440154,50395.0644068233569
1652313600,2022-05-12 00:00:00,SOLVE/USDT,0.03408,0.03778,0.02329,0.02945,3052283.47291974,94845.0298904712813
1652227200,2022-05-11 00:00:00,SOLVE/USDT,0.04583,0.04648,0.03032,0.03408,2221394.88094121,83525.4323599871438
1652140800,2022-05-10 00:00:00,SOLVE/USDT,0.04666,0.05222,0.04145,0.04582,2648016.49891146,127710.4644968636609
1652054400,2022-05-09 00:00:00,SOLVE/USDT,0.05353,0.05423,0.046,0.04666,1181921.68202391,59014.7766820894266
1651968000,2022-05-08 00:00:00,SOLVE/USDT,0.05563,0.0572,0.05258,0.0538,1838291.39004687,99851.0563414313212
1651881600,2022-05-07 00:00:00,SOLVE/USDT,0.0579,0.06,0.05561,0.05561,1803667.12623277,105363.4303702839876
1651795200,2022-05-06 00:00:00,SOLVE/USDT,0.06773,0.06792,0.05566,0.05749,5543128.10523029,329626.4567398100601
1651708800,2022-05-05 00:00:00,SOLVE/USDT,0.07315,0.07324,0.06677,0.06757,261372.24754533,18314.1074511940109
1651622400,2022-05-04 00:00:00,SOLVE/USDT,0.06822,0.07376,0.06822,0.07316,168085.47760286,12083.4335366944738
1651536000,2022-05-03 00:00:00,SOLVE/USDT,0.06831,0.07056,0.0677,0.06825,313842.20290771,21720.0489109526114
1651449600,2022-05-02 00:00:00,SOLVE/USDT,0.07049,0.07124,0.068,0.06848,156209.56870777,10829.1561038156504
