https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TXA,Volume USDT
1650682800,2022-04-23 03:00:00,TXA/USDT,1.9764,1.9825,1.9764,1.9788,4906.8354,9708.6660089
1650679200,2022-04-23 02:00:00,TXA/USDT,1.9712,1.9765,1.9712,1.9763,119.6422,236.46054097
1650675600,2022-04-23 01:00:00,TXA/USDT,1.9711,1.9711,1.9711,1.9711,4.8932,9.64498652
1650672000,2022-04-23 00:00:00,TXA/USDT,1.9608,1.9711,1.954,1.9711,5.9527,11.69031943
1650668400,2022-04-22 23:00:00,TXA/USDT,1.9696,1.9696,1.9696,1.9696,0,0
1650664800,2022-04-22 22:00:00,TXA/USDT,1.9693,1.9696,1.9693,1.9696,8.8662,17.46193506
1650661200,2022-04-22 21:00:00,TXA/USDT,1.9696,1.9696,1.9682,1.9682,82.8005,163.07928428
1650657600,2022-04-22 20:00:00,TXA/USDT,1.9696,1.9696,1.9696,1.9696,10.8854,21.43988384
1650654000,2022-04-22 19:00:00,TXA/USDT,1.9698,1.9746,1.9697,1.9746,28.8182,56.76920566
1650650400,2022-04-22 18:00:00,TXA/USDT,1.9694,1.9694,1.9694,1.9694,0,0
1650646800,2022-04-22 17:00:00,TXA/USDT,2.0036,2.0041,1.9637,1.9694,29945.3309,59864.05914691
1650643200,2022-04-22 16:00:00,TXA/USDT,2.0036,2.0037,2.0033,2.0036,8482.3575,16995.18536136
1650639600,2022-04-22 15:00:00,TXA/USDT,2.0043,2.0043,2.0033,2.0036,15807.5037,31673.20610044
1650636000,2022-04-22 14:00:00,TXA/USDT,2.0064,2.0064,1.991,2.0043,7394.396,14828.12584881
1650632400,2022-04-22 13:00:00,TXA/USDT,2.0048,2.0066,2.0027,2.0064,10679.01236077,21407.866219228158
1650628800,2022-04-22 12:00:00,TXA/USDT,2.0047,2.0051,2.0031,2.0048,11497.37,23048.22533127
1650625200,2022-04-22 11:00:00,TXA/USDT,2.0042,2.0048,1.9996,2.0047,13772.1342,27606.14400553
1650621600,2022-04-22 10:00:00,TXA/USDT,2.004,2.0046,2.0039,2.0044,30372.67148332,60875.753070973272
1650618000,2022-04-22 09:00:00,TXA/USDT,2.004,2.0044,1.9996,2.004,10406.7329,20855.00451782
1650614400,2022-04-22 08:00:00,TXA/USDT,2.003,2.0042,1.9996,2.004,27164.0722,54426.34644643
1650610800,2022-04-22 07:00:00,TXA/USDT,2.0038,2.004,2.0019,2.003,11315.3363,22670.8173045
1650607200,2022-04-22 06:00:00,TXA/USDT,2.0022,2.0048,1.998,2.0038,7072.0913,14166.33068858
1650603600,2022-04-22 05:00:00,TXA/USDT,2.0023,2.0025,1.998,2.0023,29224.68,58504.35183545
1650600000,2022-04-22 04:00:00,TXA/USDT,2.0023,2.0024,2.0001,2.0023,17668.3162,35373.15736474
1650596400,2022-04-22 03:00:00,TXA/USDT,2.0025,2.0029,1.9995,2.0023,17751.0534,35542.22901081
1650592800,2022-04-22 02:00:00,TXA/USDT,2.002,2.0027,1.9983,2.0024,12697.3589,25424.97380578
1650589200,2022-04-22 01:00:00,TXA/USDT,2.0022,2.0024,1.9984,2.002,17993.2184,36026.27009873
1650585600,2022-04-22 00:00:00,TXA/USDT,2.0011,2.011,1.9743,2.0022,27702.8619,55478.71959625
1650582000,2022-04-21 23:00:00,TXA/USDT,2.0009,2.0011,1.9987,2.001,22744.0919,45501.82064405
1650578400,2022-04-21 22:00:00,TXA/USDT,2.0007,2.0009,2.0004,2.0009,11378.1478,22764.79670015
1650574800,2022-04-21 21:00:00,TXA/USDT,1.9976,2.0077,1.9973,2.0007,14089.83634964,28181.366672322228
1650571200,2022-04-21 20:00:00,TXA/USDT,1.9975,1.9977,1.9973,1.9976,20219.6977,40390.1220566
1650567600,2022-04-21 19:00:00,TXA/USDT,1.9984,1.9984,1.9933,1.9974,9869.8443,19716.28538017
