https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPHA,Volume EUR
1654732800,2022-06-09 00:00:00,ALPHA/EUR,0.16190,0.16190,0.14857,0.14857,56089.88738670,8333.27456904202
1654646400,2022-06-08 00:00:00,ALPHA/EUR,0.15114,0.16897,0.15075,0.16041,122006.58836445,19571.076839541423
1654560000,2022-06-07 00:00:00,ALPHA/EUR,0.14435,0.15709,0.13630,0.15100,63296.48030929,9557.76852670279
1654473600,2022-06-06 00:00:00,ALPHA/EUR,0.14454,0.14700,0.14334,0.14387,55729.95580981,8017.868742357365
1654387200,2022-06-05 00:00:00,ALPHA/EUR,0.14367,0.14383,0.13940,0.14163,13405.20985988,1898.5798724548044
1654300800,2022-06-04 00:00:00,ALPHA/EUR,0.14395,0.14403,0.14149,0.14149,14344.86693817,2029.6552230816733
1654214400,2022-06-03 00:00:00,ALPHA/EUR,0.14148,0.14206,0.13343,0.13722,59721.80307451,8195.025817884261
1654128000,2022-06-02 00:00:00,ALPHA/EUR,0.14245,0.14245,0.13803,0.14132,30930.16917035,4371.051507153862
1654041600,2022-06-01 00:00:00,ALPHA/EUR,0.15280,0.16076,0.13744,0.13842,21860.25019795,3025.8958324002388
1653955200,2022-05-31 00:00:00,ALPHA/EUR,0.15750,0.16081,0.14856,0.15610,51819.02826931,8088.950312839291
1653868800,2022-05-30 00:00:00,ALPHA/EUR,0.14175,0.15422,0.14065,0.15151,55515.02520754,8411.081469194385
1653782400,2022-05-29 00:00:00,ALPHA/EUR,0.13404,0.13563,0.13118,0.13563,26312.63928388,3568.783266072644
1653696000,2022-05-28 00:00:00,ALPHA/EUR,0.13070,0.13369,0.13000,0.13175,24260.03056960,3196.2590275448
1653609600,2022-05-27 00:00:00,ALPHA/EUR,0.13500,0.13899,0.12992,0.12992,39531.11955886,5135.883053087092
1653523200,2022-05-26 00:00:00,ALPHA/EUR,0.15000,0.15000,0.13436,0.13544,35680.08645867,4832.510909962265
1653436800,2022-05-25 00:00:00,ALPHA/EUR,0.16198,0.16198,0.15450,0.15520,77707.28426688,12060.170518219777
1653350400,2022-05-24 00:00:00,ALPHA/EUR,0.15915,0.17611,0.15000,0.16595,109961.96808913,18248.18860439112
1653264000,2022-05-23 00:00:00,ALPHA/EUR,0.15092,0.15966,0.13991,0.13991,54626.09454746,7642.736888135129
1653177600,2022-05-22 00:00:00,ALPHA/EUR,0.15108,0.16110,0.15108,0.15429,132445.61472214,20435.03389547898
1653091200,2022-05-21 00:00:00,ALPHA/EUR,0.14208,0.15080,0.14208,0.15033,64727.29063504,9730.453601165564
1653004800,2022-05-20 00:00:00,ALPHA/EUR,0.15026,0.15026,0.14132,0.14401,24393.39631157,3512.8930028291957
1652918400,2022-05-19 00:00:00,ALPHA/EUR,0.13779,0.15226,0.13754,0.15226,42065.74966309,6404.931043702083
1652832000,2022-05-18 00:00:00,ALPHA/EUR,0.16081,0.16110,0.13596,0.13787,62476.75861686,8613.670710506489
1652745600,2022-05-17 00:00:00,ALPHA/EUR,0.14403,0.15639,0.14403,0.14763,66676.07451063,9843.388880004308
1652659200,2022-05-16 00:00:00,ALPHA/EUR,0.14993,0.15140,0.13891,0.14425,173581.88731156,25039.18724469253
1652572800,2022-05-15 00:00:00,ALPHA/EUR,0.14995,0.15842,0.13322,0.15596,108789.17615830,16966.759913648468
1652486400,2022-05-14 00:00:00,ALPHA/EUR,0.15667,0.15864,0.13938,0.15668,51893.19971047,8130.62653063644
1652400000,2022-05-13 00:00:00,ALPHA/EUR,0.15291,0.19990,0.14921,0.14921,295415.53234124,44078.95158063642
1652313600,2022-05-12 00:00:00,ALPHA/EUR,0.16298,0.21100,0.12500,0.14802,79686.38871441,11795.179257506968
1652227200,2022-05-11 00:00:00,ALPHA/EUR,0.20920,0.25000,0.11633,0.14161,279956.81537392,39644.68462510082
1652140800,2022-05-10 00:00:00,ALPHA/EUR,0.19200,0.29013,0.19067,0.21100,110487.90555358,23312.94807180538
1652054400,2022-05-09 00:00:00,ALPHA/EUR,0.23510,0.24000,0.19553,0.19553,40892.65254954,7995.740353011556
1651968000,2022-05-08 00:00:00,ALPHA/EUR,0.23549,0.24595,0.23549,0.24037,15807.15457870,3799.565746082119
1651881600,2022-05-07 00:00:00,ALPHA/EUR,0.25000,0.25560,0.23885,0.24280,23278.43287455,5652.00350194074
1651795200,2022-05-06 00:00:00,ALPHA/EUR,0.25759,0.25772,0.24906,0.25512,5658.02294958,1443.4748148968497
1651708800,2022-05-05 00:00:00,ALPHA/EUR,0.29100,0.29339,0.25900,0.26061,150873.69696564,39319.19416621544
1651622400,2022-05-04 00:00:00,ALPHA/EUR,0.26480,0.30088,0.26035,0.29002,187334.41372130,54330.726667451425
1651536000,2022-05-03 00:00:00,ALPHA/EUR,0.27108,0.27108,0.25625,0.25866,19244.30767231,4977.732622519704
1651449600,2022-05-02 00:00:00,ALPHA/EUR,0.27242,0.27608,0.26128,0.26523,76795.83625342,20368.55964949459
1651363200,2022-05-01 00:00:00,ALPHA/EUR,0.25328,0.27300,0.25328,0.26900,29392.21991171,7906.507156249991
1651276800,2022-04-30 00:00:00,ALPHA/EUR,0.28680,0.29287,0.23937,0.25278,85823.54036169,21694.474532628
1651190400,2022-04-29 00:00:00,ALPHA/EUR,0.30200,0.30886,0.27981,0.28320,109624.61277431,31045.69033768459
1651104000,2022-04-28 00:00:00,ALPHA/EUR,0.31312,0.31398,0.30882,0.31066,13553.38669306,4210.495110066019
1651017600,2022-04-27 00:00:00,ALPHA/EUR,0.30767,0.31576,0.30735,0.31307,19504.39176445,6106.239929696361
1650931200,2022-04-26 00:00:00,ALPHA/EUR,0.32986,0.33963,0.30000,0.30000,59619.56861460,17885.870584379998
1650844800,2022-04-25 00:00:00,ALPHA/EUR,0.31680,0.32708,0.30843,0.32684,19496.37845998,6372.196335859863
1650758400,2022-04-24 00:00:00,ALPHA/EUR,0.34400,0.34400,0.32500,0.32757,26037.12334671,8528.980494681793
1650672000,2022-04-23 00:00:00,ALPHA/EUR,0.34525,0.34857,0.34179,0.34655,41591.87357266,14413.663786605324
1650585600,2022-04-22 00:00:00,ALPHA/EUR,0.37673,0.37673,0.34260,0.34727,77593.79083268,26945.995742464784
1650499200,2022-04-21 00:00:00,ALPHA/EUR,0.36212,0.39000,0.35921,0.36113,166741.21502584,60215.2549822816
1650412800,2022-04-20 00:00:00,ALPHA/EUR,0.34445,0.37888,0.34127,0.36079,189867.69504070,68502.36569373416
1650326400,2022-04-19 00:00:00,ALPHA/EUR,0.33963,0.34223,0.33258,0.33802,12985.65418471,4389.410827515674
1650240000,2022-04-18 00:00:00,ALPHA/EUR,0.32500,0.33600,0.31100,0.33600,37175.58867449,12490.99779462864
1650153600,2022-04-17 00:00:00,ALPHA/EUR,0.34461,0.34628,0.33678,0.33678,13932.99091347,4692.352679838426
1650067200,2022-04-16 00:00:00,ALPHA/EUR,0.34663,0.34988,0.34259,0.34792,21152.05888444,7359.224327074366
1649980800,2022-04-15 00:00:00,ALPHA/EUR,0.35921,0.35921,0.34336,0.34592,16797.24274513,5810.50221039537
1649894400,2022-04-14 00:00:00,ALPHA/EUR,0.37676,0.37786,0.34219,0.34944,29483.00263725,10302.540441560639
1649808000,2022-04-13 00:00:00,ALPHA/EUR,0.34248,0.37196,0.33401,0.37196,60252.87046350,22411.657697603463
1649721600,2022-04-12 00:00:00,ALPHA/EUR,0.31671,0.35742,0.31671,0.34162,55440.44585853,18939.565114191017
1649635200,2022-04-11 00:00:00,ALPHA/EUR,0.35500,0.35673,0.31755,0.31755,70331.24471135,22333.686758089192
1649548800,2022-04-10 00:00:00,ALPHA/EUR,0.37249,0.37721,0.36712,0.37236,18575.80961104,6916.888466766855
1649462400,2022-04-09 00:00:00,ALPHA/EUR,0.37304,0.38775,0.36914,0.38132,21226.78303054,8094.196905205512
1649376000,2022-04-08 00:00:00,ALPHA/EUR,0.40073,0.40365,0.36535,0.36535,90987.90463765,33242.43095936543
1649289600,2022-04-07 00:00:00,ALPHA/EUR,0.40193,0.40792,0.38000,0.39979,59727.97528200,23878.64723799078
1649203200,2022-04-06 00:00:00,ALPHA/EUR,0.44967,0.44967,0.38904,0.38904,93710.77047111,36457.238144080635
1649116800,2022-04-05 00:00:00,ALPHA/EUR,0.51856,0.51856,0.44989,0.44989,79979.12897032,35981.810332457266
1649030400,2022-04-04 00:00:00,ALPHA/EUR,0.48222,0.53065,0.46807,0.53065,95656.80716349,50760.284721305965
1648944000,2022-04-03 00:00:00,ALPHA/EUR,0.52440,0.55016,0.48490,0.49000,95094.91005548,46596.50592718519
1648857600,2022-04-02 00:00:00,ALPHA/EUR,0.56160,0.62762,0.50000,0.50000,158508.91390026,79254.45695013
1648771200,2022-04-01 00:00:00,ALPHA/EUR,0.38770,0.57521,0.35000,0.52015,538070.47661414,279877.3584108449
1648684800,2022-03-31 00:00:00,ALPHA/EUR,0.37282,0.39500,0.34630,0.37000,167614.86505936,62017.50007196319
1648598400,2022-03-30 00:00:00,ALPHA/EUR,0.32283,0.38411,0.32283,0.37277,53174.50274492,19821.859388223827
1648512000,2022-03-29 00:00:00,ALPHA/EUR,0.31327,0.34494,0.31327,0.32600,57193.39909582,18645.04810523732
1648425600,2022-03-28 00:00:00,ALPHA/EUR,0.35797,0.35797,0.30000,0.30359,79290.83124351,24071.903457217202
