https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALBT,Volume USDT
1655856000,2022-06-22 00:00:00,ALBT/USDT,0.05398,0.05439,0.04756,0.04835,2102665.05873929,107391.8799560262139
1655769600,2022-06-21 00:00:00,ALBT/USDT,0.05326,0.05955,0.0514,0.05399,2895667.85914966,158013.0726174529535
1655683200,2022-06-20 00:00:00,ALBT/USDT,0.0555,0.06039,0.04972,0.05359,2632714.0992469,140133.1870027427093
1655596800,2022-06-19 00:00:00,ALBT/USDT,0.05322,0.05884,0.04801,0.0553,2600252.79831053,136480.069643500624
1655510400,2022-06-18 00:00:00,ALBT/USDT,0.05271,0.05801,0.04714,0.05365,1837474.76473994,92532.3857079122438
1655424000,2022-06-17 00:00:00,ALBT/USDT,0.05332,0.05658,0.05066,0.05311,1193993.93629534,63284.185757404842
1655337600,2022-06-16 00:00:00,ALBT/USDT,0.05873,0.05939,0.04976,0.05332,2078678.53246818,112426.8502122096495
1655251200,2022-06-15 00:00:00,ALBT/USDT,0.05577,0.06136,0.04995,0.05871,4088109.35900885,222646.4555210565812
1655164800,2022-06-14 00:00:00,ALBT/USDT,0.05918,0.06364,0.05083,0.05572,2971862.55783827,164332.5867351059364
1655078400,2022-06-13 00:00:00,ALBT/USDT,0.06281,0.06539,0.05377,0.05919,3441437.56193898,202376.1211378942583
1654992000,2022-06-12 00:00:00,ALBT/USDT,0.06901,0.06901,0.06234,0.06281,1442068.60895255,94260.5786685507294
1654905600,2022-06-11 00:00:00,ALBT/USDT,0.07523,0.07678,0.06503,0.06845,1381718.85986317,97216.9691693730214
1654819200,2022-06-10 00:00:00,ALBT/USDT,0.07994,0.08063,0.07351,0.07523,1446991.48846569,109999.462928880875
1654732800,2022-06-09 00:00:00,ALBT/USDT,0.08063,0.08312,0.07801,0.07966,670857.77819344,54096.196175135528
1654646400,2022-06-08 00:00:00,ALBT/USDT,0.08873,0.09049,0.0791,0.08082,1253069.12399315,105317.4215535778478
1654560000,2022-06-07 00:00:00,ALBT/USDT,0.09065,0.09096,0.0823,0.08894,866872.44467223,74157.8147133201205
1654473600,2022-06-06 00:00:00,ALBT/USDT,0.0889,0.09636,0.08838,0.09041,1814501.57596266,166212.0778674460272
1654387200,2022-06-05 00:00:00,ALBT/USDT,0.08988,0.09356,0.08609,0.08928,625960.63927506,56409.3095643653316
1654300800,2022-06-04 00:00:00,ALBT/USDT,0.09332,0.0939,0.08926,0.08988,453139.00103202,41233.7796362239064
1654214400,2022-06-03 00:00:00,ALBT/USDT,0.0984,0.10029,0.0933,0.0934,1072905.00551099,102473.7853564787627
1654128000,2022-06-02 00:00:00,ALBT/USDT,0.09277,0.10255,0.08923,0.09904,1930348.66949077,184339.3385441621028
1654041600,2022-06-01 00:00:00,ALBT/USDT,0.10567,0.10769,0.092,0.09279,1450885.68315212,145875.6873064991295
1653955200,2022-05-31 00:00:00,ALBT/USDT,0.09698,0.10746,0.09411,0.10523,1731244.19476728,171190.0092200171997
1653868800,2022-05-30 00:00:00,ALBT/USDT,0.09225,0.1,0.0892,0.0977,1883426.7549556,177851.7100787170319
1653782400,2022-05-29 00:00:00,ALBT/USDT,0.08679,0.09228,0.085,0.09224,877725.03660396,78121.5481929605878
1653696000,2022-05-28 00:00:00,ALBT/USDT,0.08658,0.08898,0.08351,0.08711,667201.85211124,57336.8810390735822
1653609600,2022-05-27 00:00:00,ALBT/USDT,0.08966,0.08966,0.08402,0.08687,699919.50591655,61072.7806905749837
1653523200,2022-05-26 00:00:00,ALBT/USDT,0.09629,0.09706,0.086,0.08941,727617.4369213,66148.1560534780163
1653436800,2022-05-25 00:00:00,ALBT/USDT,0.09661,0.09938,0.09169,0.09617,524075.20977691,49992.5016992887464
1653350400,2022-05-24 00:00:00,ALBT/USDT,0.09472,0.09846,0.0911,0.09662,760271.9432116,72248.0939887275645
1653264000,2022-05-23 00:00:00,ALBT/USDT,0.09174,0.118,0.09114,0.09476,1632682.97008395,163355.1409150513442
1653177600,2022-05-22 00:00:00,ALBT/USDT,0.09437,0.10127,0.09006,0.09174,728697.62238009,69197.5303605612474
1653091200,2022-05-21 00:00:00,ALBT/USDT,0.09021,0.09548,0.08853,0.09422,832728.7127697,77072.618498905048
1653004800,2022-05-20 00:00:00,ALBT/USDT,0.08983,0.0923,0.08711,0.09022,807349.51039914,72391.2272489445319
1652918400,2022-05-19 00:00:00,ALBT/USDT,0.08645,0.09269,0.08447,0.0898,1020543.19118914,90268.275060052668
