https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PDEX,Volume USDT
1654754400,2022-06-09 06:00:00,PDEX/USDT,1.8967,1.906,1.8966,1.8968,3344.98046232,6345.18828570192
1654750800,2022-06-09 05:00:00,PDEX/USDT,1.8903,1.9092,1.8903,1.9059,3687.90044787,7003.905036870742
1654747200,2022-06-09 04:00:00,PDEX/USDT,1.8861,1.8993,1.8774,1.8903,2732.42821939,5169.931606765052
1654743600,2022-06-09 03:00:00,PDEX/USDT,1.9063,1.9064,1.875,1.8862,5774.64681571,10891.118898074418
1654740000,2022-06-09 02:00:00,PDEX/USDT,1.9092,1.9287,1.8872,1.9062,6034.94389166,11502.362586624152
1654736400,2022-06-09 01:00:00,PDEX/USDT,1.8938,1.9092,1.8938,1.9092,4260.70948606,8112.103953229108
1654732800,2022-06-09 00:00:00,PDEX/USDT,1.9027,1.9029,1.8936,1.8938,3996.96536639,7580.987068963531
1654729200,2022-06-08 23:00:00,PDEX/USDT,1.8999,1.9029,1.8935,1.9027,3871.12357379,7347.717342134991
1654725600,2022-06-08 22:00:00,PDEX/USDT,1.8839,1.9029,1.8751,1.8999,3465.60158262,6551.664778897002
1654722000,2022-06-08 21:00:00,PDEX/USDT,1.8835,1.8932,1.8751,1.8839,3288.08727932,6197.332355398624
1654718400,2022-06-08 20:00:00,PDEX/USDT,1.9049,1.9053,1.8752,1.8834,4958.83159171,9356.902231775063
1654714800,2022-06-08 19:00:00,PDEX/USDT,1.8868,1.905,1.8868,1.9049,3419.55711823,6487.11952784815
1654711200,2022-06-08 18:00:00,PDEX/USDT,1.9093,1.933,1.8751,1.8867,5867.38715436,11082.76555942896
1654707600,2022-06-08 17:00:00,PDEX/USDT,1.8902,1.9239,1.8902,1.9094,5453.36187722,10399.18491823518
1654704000,2022-06-08 16:00:00,PDEX/USDT,1.9087,1.9089,1.8902,1.8903,4484.0678,8500.89108627
1654700400,2022-06-08 15:00:00,PDEX/USDT,1.8935,1.9087,1.8935,1.9054,4514.94841624,8597.40704227908
1654696800,2022-06-08 14:00:00,PDEX/USDT,1.8955,1.9087,1.8931,1.8934,5277.79906017,10013.62326182747
1654693200,2022-06-08 13:00:00,PDEX/USDT,1.8871,1.8956,1.8757,1.8955,3485.1012,6563.9566146
1654689600,2022-06-08 12:00:00,PDEX/USDT,1.8715,1.8901,1.8715,1.887,4067.2504,7660.7904485
1654686000,2022-06-08 11:00:00,PDEX/USDT,1.8792,1.8963,1.8714,1.8715,5509.89174928,10406.259125402881
1654682400,2022-06-08 10:00:00,PDEX/USDT,1.8931,1.8963,1.8792,1.8795,3965.277,7485.68585935
1654678800,2022-06-08 09:00:00,PDEX/USDT,1.871,1.9029,1.871,1.893,5435.9707,10298.76506829
1654675200,2022-06-08 08:00:00,PDEX/USDT,1.8582,1.9023,1.8582,1.8711,5608.608325,10486.7469965875
1654671600,2022-06-08 07:00:00,PDEX/USDT,1.8586,1.8673,1.8583,1.8588,3561.2043,6619.04288193
1654668000,2022-06-08 06:00:00,PDEX/USDT,1.8672,1.877,1.8583,1.8586,5030.62931641,9399.93424747157
1654664400,2022-06-08 05:00:00,PDEX/USDT,1.8662,1.8674,1.8583,1.8673,4332.40679446,8080.780421386142
1654660800,2022-06-08 04:00:00,PDEX/USDT,1.861,1.8665,1.8582,1.8663,4727.96600658,8813.498604600018
1654657200,2022-06-08 03:00:00,PDEX/USDT,1.881,1.8812,1.8334,1.861,5531.60813217,10306.243023001587
1654653600,2022-06-08 02:00:00,PDEX/USDT,1.8872,1.9061,1.8807,1.881,3807.42901416,7236.629122120376
1654650000,2022-06-08 01:00:00,PDEX/USDT,1.8711,1.9188,1.871,1.8872,6506.81342632,12305.477627212003
1654646400,2022-06-08 00:00:00,PDEX/USDT,1.868,1.8836,1.8618,1.8711,6621.84916673,12378.558818552735
1654642800,2022-06-07 23:00:00,PDEX/USDT,1.8679,1.8765,1.8678,1.868,4583.05832408,8566.40116753612
1654639200,2022-06-07 22:00:00,PDEX/USDT,1.8591,1.8835,1.8591,1.8679,6356.18261071,11891.823891181214
1654635600,2022-06-07 21:00:00,PDEX/USDT,1.8646,1.8711,1.8583,1.859,3850.0761,7178.84962038
