https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC3L,Volume USDT
1652486400,2022-05-14 00:00:00,MATIC3L/USDT,0.0263,0.0312,0.02,0.0278,10473730.46477933,263754.616867935721
1652400000,2022-05-13 00:00:00,MATIC3L/USDT,0.0196,0.0348,0.018,0.0261,17491500.52214655,493767.788017231713
1652313600,2022-05-12 00:00:00,MATIC3L/USDT,0.0293,0.0362,0.0107,0.0197,42860303.50612614,794113.393982371687
1652227200,2022-05-11 00:00:00,MATIC3L/USDT,0.0826,0.0903,0.0221,0.0293,37554099.93331419,1696789.27950507865
1652140800,2022-05-10 00:00:00,MATIC3L/USDT,0.0646,0.1071,0.06,0.0828,19351580.26150079,1693621.123661683036
1652054400,2022-05-09 00:00:00,MATIC3L/USDT,0.123,0.128,0.0599,0.0642,9005944.76662056,719680.019620783822
1651968000,2022-05-08 00:00:00,MATIC3L/USDT,0.1406,0.1438,0.1173,0.1229,1904394.38158684,243444.669142341272
1651881600,2022-05-07 00:00:00,MATIC3L/USDT,0.1497,0.161,0.129,0.1401,1667973.11953922,246272.640599664409
1651795200,2022-05-06 00:00:00,MATIC3L/USDT,0.1575,0.1647,0.1359,0.1504,1814809.8810563,273053.42213626465
1651708800,2022-05-05 00:00:00,MATIC3L/USDT,0.2178,0.2395,0.1398,0.1584,2313760.85968845,400768.261154265545
1651622400,2022-05-04 00:00:00,MATIC3L/USDT,0.1708,0.2182,0.1692,0.2177,1748720.34223442,340119.112815511863
1651536000,2022-05-03 00:00:00,MATIC3L/USDT,0.1719,0.191,0.1612,0.1723,1295732.89163891,228525.703817269145
1651449600,2022-05-02 00:00:00,MATIC3L/USDT,0.1819,0.1929,0.1524,0.1719,1836608.30608089,318167.710621180709
1651363200,2022-05-01 00:00:00,MATIC3L/USDT,0.1535,0.1934,0.148,0.1825,2060467.08920681,355450.210107984495
1651276800,2022-04-30 00:00:00,MATIC3L/USDT,0.2118,0.2256,0.147,0.1552,853272.59440162,157344.396385342772
1651190400,2022-04-29 00:00:00,MATIC3L/USDT,0.2762,0.2824,0.2036,0.2114,864247.43901103,210542.472462413083
1651104000,2022-04-28 00:00:00,MATIC3L/USDT,0.2892,0.3089,0.27,0.276,478319.60285629,136990.884151456249
1651017600,2022-04-27 00:00:00,MATIC3L/USDT,0.2846,0.3162,0.2787,0.2899,677053.45706134,200706.453520236985
1650931200,2022-04-26 00:00:00,MATIC3L/USDT,0.3733,0.3976,0.2692,0.2834,972943.24392387,312420.298610678796
1650844800,2022-04-25 00:00:00,MATIC3L/USDT,0.3624,0.3785,0.2942,0.3718,665375.25092219,223291.835073933716
1650758400,2022-04-24 00:00:00,MATIC3L/USDT,0.3801,0.3922,0.354,0.3633,525578.26406092,194500.15640678233
1650672000,2022-04-23 00:00:00,MATIC3L/USDT,0.4109,0.4292,0.3637,0.3801,763694.29841745,301857.945615333536
1650585600,2022-04-22 00:00:00,MATIC3L/USDT,0.3953,0.5024,0.3907,0.4112,1550348.24505512,687098.231418626057
1650499200,2022-04-21 00:00:00,MATIC3L/USDT,0.4302,0.4763,0.3724,0.3957,860873.5740985,376506.135611878289
1650412800,2022-04-20 00:00:00,MATIC3L/USDT,0.4413,0.484,0.4113,0.4324,711538.46153693,314844.939081535758
1650326400,2022-04-19 00:00:00,MATIC3L/USDT,0.4366,0.46,0.4103,0.4416,699894.92594973,306449.07991118652
1650240000,2022-04-18 00:00:00,MATIC3L/USDT,0.3627,0.4434,0.3259,0.4346,801950.72327804,311756.867947475084
1650153600,2022-04-17 00:00:00,MATIC3L/USDT,0.4114,0.4276,0.3609,0.3645,285616.48591806,112880.960175716115
1650067200,2022-04-16 00:00:00,MATIC3L/USDT,0.4199,0.4238,0.386,0.4118,220288.30815312,89310.618557957997
1649980800,2022-04-15 00:00:00,MATIC3L/USDT,0.3962,0.4239,0.3935,0.4184,416068.21128898,170319.599652647315
1649894400,2022-04-14 00:00:00,MATIC3L/USDT,0.4447,0.47,0.3818,0.3978,665933.56918401,279091.418447009687
1649808000,2022-04-13 00:00:00,MATIC3L/USDT,0.4229,0.4651,0.3998,0.4447,754630.40175211,330809.298222379098
1649721600,2022-04-12 00:00:00,MATIC3L/USDT,0.3741,0.4912,0.3675,0.4219,1149154.35326676,489655.514984872525
1649635200,2022-04-11 00:00:00,MATIC3L/USDT,0.4627,0.4838,0.3525,0.3696,507949.20104935,207763.699194704936
1649548800,2022-04-10 00:00:00,MATIC3L/USDT,0.5019,0.5318,0.4627,0.4658,357858.41434167,178525.692426065809
1649462400,2022-04-09 00:00:00,MATIC3L/USDT,0.4739,0.5266,0.4637,0.5007,374505.77578003,183476.538855630051
1649376000,2022-04-08 00:00:00,MATIC3L/USDT,0.5582,0.5759,0.4635,0.4721,529902.50737998,284267.875773426415
1649289600,2022-04-07 00:00:00,MATIC3L/USDT,0.5033,0.5704,0.485,0.5553,661338.977688,354010.061773605676
1649203200,2022-04-06 00:00:00,MATIC3L/USDT,0.6755,0.6853,0.5,0.5053,904862.87986793,536250.639472285901
1649116800,2022-04-05 00:00:00,MATIC3L/USDT,0.7481,0.7855,0.6715,0.6771,463136.76144965,337877.807686813745
1649030400,2022-04-04 00:00:00,MATIC3L/USDT,0.8079,0.8085,0.6879,0.7473,589786.86534083,442273.088065987764
1648944000,2022-04-03 00:00:00,MATIC3L/USDT,0.7668,0.841,0.7322,0.8068,519290.52257656,412788.504434727702
1648857600,2022-04-02 00:00:00,MATIC3L/USDT,0.8154,0.8766,0.7609,0.7637,772724.68094219,634277.801395860019
1648771200,2022-04-01 00:00:00,MATIC3L/USDT,0.7179,0.8406,0.6433,0.8178,750024.26182588,568482.354951512929
1648684800,2022-03-31 00:00:00,MATIC3L/USDT,0.8106,0.9089,0.6959,0.7169,1130145.04929971,911135.350269752713
1648598400,2022-03-30 00:00:00,MATIC3L/USDT,0.7983,0.8717,0.7347,0.8103,760128.89679117,612710.180542825942
1648512000,2022-03-29 00:00:00,MATIC3L/USDT,0.7789,0.8871,0.7447,0.7986,884486.32292552,725724.008762153118
