https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume BTC
1656115200,2022-06-25 00:00:00,FTT/BTC,0.0012598,0.0013139,0.0012433,0.0012966,4685.0812686,5.974143794014546
1656028800,2022-06-24 00:00:00,FTT/BTC,0.0012493,0.001263,0.0012226,0.0012603,424.40147325,0.527781224600895
1655942400,2022-06-23 00:00:00,FTT/BTC,0.0012605,0.0012645,0.0012286,0.0012487,2925.95695343,3.646038021554829
1655856000,2022-06-22 00:00:00,FTT/BTC,0.001322,0.0013272,0.0012588,0.0012598,1085.05695124,1.416739145579148
1655769600,2022-06-21 00:00:00,FTT/BTC,0.001298,0.0013247,0.0012726,0.0013201,989.42237684,1.282751666395839
1655683200,2022-06-20 00:00:00,FTT/BTC,0.001219,0.0013073,0.0012137,0.0012994,523.49947304,0.661484589808026
1655596800,2022-06-19 00:00:00,FTT/BTC,0.0012018,0.0012333,0.0011969,0.0012191,286.36188495,0.347458950296671
1655510400,2022-06-18 00:00:00,FTT/BTC,0.0011925,0.0012058,0.0011805,0.0012029,872.08490976,1.038962425318831
1655424000,2022-06-17 00:00:00,FTT/BTC,0.0011411,0.0011926,0.0011411,0.0011907,269.41791548,0.312793250208284
1655337600,2022-06-16 00:00:00,FTT/BTC,0.0011306,0.0011423,0.0011176,0.0011395,376.94807448,0.425821176769072
1655251200,2022-06-15 00:00:00,FTT/BTC,0.0010862,0.0011306,0.001046,0.0011298,844.82231728,0.90941303337814
1655164800,2022-06-14 00:00:00,FTT/BTC,0.0010916,0.0010953,0.001052,0.0010842,1727.45797159,1.852920649336019
1655078400,2022-06-13 00:00:00,FTT/BTC,0.00105,0.0010902,0.0010181,0.0010893,3771.48648373,3.954476368851977
1654992000,2022-06-12 00:00:00,FTT/BTC,0.0009657,0.001055,0.0009657,0.00105,8765.34742348,8.837751927350492
1654905600,2022-06-11 00:00:00,FTT/BTC,0.0009479,0.0009661,0.000937,0.0009655,1857.65552317,1.765913040811406
1654819200,2022-06-10 00:00:00,FTT/BTC,0.0009491,0.0009545,0.0009412,0.0009479,2429.9049,2.30132668554
1654732800,2022-06-09 00:00:00,FTT/BTC,0.0009335,0.0009531,0.0009298,0.0009494,1255.33367068,1.187630292473904
1654646400,2022-06-08 00:00:00,FTT/BTC,0.00087,0.0009352,0.0008698,0.0009286,3101.02215371,2.787321488858176
1654560000,2022-06-07 00:00:00,FTT/BTC,0.0008727,0.0008793,0.0008579,0.0008692,3676.13135532,3.194105987646301
1654473600,2022-06-06 00:00:00,FTT/BTC,0.0008735,0.0008758,0.0008562,0.0008733,2852.21372896,2.47119947320554
